date,메리츠
2020-03-20,10.44796
2020-03-21,3.4603
2020-03-22,2.71593
2020-03-23,10.48149
2020-03-24,11.17221
2020-03-25,12.3927
2020-03-26,11.54774
2020-03-27,10.12607
2020-03-28,3.49383
2020-03-29,2.98417
2020-03-30,11.3935
2020-03-31,13.67355
2020-04-01,10.0523
2020-04-02,8.57027
2020-04-03,8.70439
2020-04-04,2.70922
2020-04-05,2.41416
2020-04-06,10.42784
2020-04-07,9.61641
2020-04-08,8.32215
2020-04-09,8.72451
2020-04-10,9.18723
2020-04-11,3.19876
2020-04-12,2.60863
2020-04-13,9.4957
2020-04-14,8.10085
2020-04-15,3.25241
2020-04-16,9.17381
2020-04-17,9.29452
2020-04-18,2.99087
2020-04-19,2.69581
2020-04-20,9.64994
2020-04-21,9.54935
2020-04-22,9.36158
2020-04-23,8.8251
2020-04-24,8.55686
2020-04-25,2.99087
2020-04-26,2.30686
2020-04-27,11.69527
2020-04-28,10.02548
2020-04-29,13.78755
2020-04-30,3.86266
2020-05-01,4.20466
2020-05-02,2.39404
2020-05-03,2.17945
2020-05-04,11.64163
2020-05-05,3.0244
2020-05-06,10.21995
2020-05-07,8.76475
2020-05-08,9.00616
2020-05-09,2.87687
2020-05-10,2.77628
2020-05-11,10.87714
2020-05-12,10.01877
2020-05-13,9.0464
2020-05-14,8.85863
2020-05-15,9.21405
2020-05-16,2.89028
2020-05-17,2.46781
2020-05-18,10.99114
2020-05-19,9.75053
2020-05-20,9.23417
2020-05-21,9.23417
2020-05-22,8.75134
2020-05-23,2.76958
2020-05-24,2.82322
2020-05-25,12.43964
2020-05-26,10.57537
2020-05-27,9.76394
2020-05-28,9.54265
2020-05-29,10.06571
2020-05-30,2.74946
2020-05-31,2.38063
2020-06-01,10.98444
2020-06-02,8.62392
2020-06-03,8.44957
2020-06-04,8.13438
2020-06-05,8.20815
2020-06-06,2.28674
2020-06-07,2.32698
2020-06-08,9.64324
2020-06-09,8.52333
2020-06-10,8.67086
2020-06-11,8.49651
2020-06-12,7.3699
2020-06-13,2.31357
2020-06-14,2.2398
2020-06-15,9.28782
2020-06-16,8.40262
2020-06-17,7.71861
2020-06-18,8.12768
2020-06-19,7.44366
2020-06-20,2.18615
2020-06-21,2.18615
2020-06-22,9.64994
2020-06-23,8.05391
2020-06-24,7.68508
2020-06-25,9.50912
2020-06-26,7.83261
2020-06-27,2.3471
2020-06-28,3.05793
2020-06-29,10.77655
2020-06-30,9.91148
2020-07-01,9.18052
2020-07-02,7.65826
2020-07-03,7.52414
2020-07-04,2.50134
2020-07-05,4.90209
2020-07-06,10.78326
2020-07-07,9.90477
2020-07-08,9.36158
2020-07-09,8.33556
2020-07-10,7.65155
2020-07-11,2.70252
2020-07-12,2.92381
2020-07-13,9.56947
2020-07-14,9.09334
2020-07-15,9.03299
2020-07-16,8.47639
2020-07-17,7.20225
2020-07-18,2.58181
2020-07-19,2.42086
2020-07-20,10.0523
2020-07-21,9.41523
2020-07-22,8.81169
2020-07-23,8.62392
2020-07-24,8.42945
2020-07-25,2.74946
2020-07-26,3.56759
2020-07-27,11.51421
2020-07-28,9.68347
2020-07-29,9.07993
2020-07-30,8.83851
2020-07-31,9.52253
2020-08-01,2.70922
2020-08-02,2.53487
2020-08-03,8.89216
2020-08-04,8.43615
2020-08-05,9.44206
2020-08-06,8.46298
2020-08-07,9.03969
2020-08-08,3.239
2020-08-09,2.62204
2020-08-10,11.10515
2020-08-11,10.30042
2020-08-12,9.93159
2020-08-13,9.62982
2020-08-14,7.97344
2020-08-15,2.87017
2020-08-16,2.25992
2020-08-17,4.54667
2020-08-18,9.69018
2020-08-19,8.94581
2020-08-20,8.36909
2020-08-21,8.28862
2020-08-22,2.97746
2020-08-23,2.32027
2020-08-24,10.87714
2020-08-25,10.32054
2020-08-26,9.25429
2020-08-27,8.41604
2020-08-28,8.61722
2020-08-29,2.92381
2020-08-30,3.10488
2020-08-31,12.15799
2020-09-01,9.13358
2020-09-02,8.83181
2020-09-03,10.24007
2020-09-04,7.84603
2020-09-05,2.69581
2020-09-06,2.65557
2020-09-07,9.60971
2020-09-08,8.00697
2020-09-09,8.63733
2020-09-10,8.98605
2020-09-11,7.88626
2020-09-12,2.74275
2020-09-13,2.44769
2020-09-14,9.96512
2020-09-15,8.14109
2020-09-16,7.74543
2020-09-17,7.57108
2020-09-18,7.89297
2020-09-19,2.70252
2020-09-20,2.31357
2020-09-21,8.68428
2020-09-22,9.10005
2020-09-23,7.30954
2020-09-24,8.75804
2020-09-25,8.78487
2020-09-26,2.52145
2020-09-27,2.42757
2020-09-28,9.95171
2020-09-29,8.5971
2020-09-30,2.13251
2020-10-01,1.71003
2020-10-02,1.82403
2020-10-03,2.07886
2020-10-04,2.44769
2020-10-05,11.53433
2020-10-06,9.56947
2020-10-07,8.53674
2020-10-08,8.06732
2020-10-09,2.46781
2020-10-10,2.28674
2020-10-11,2.54828
2020-10-12,10.46137
2020-10-13,8.87204
2020-10-14,9.28111
2020-10-15,8.59039
2020-10-16,8.16791
2020-10-17,2.61534
2020-10-18,2.37392
2020-10-19,8.95252
2020-10-20,8.79157
2020-10-21,8.7111
2020-10-22,7.97344
2020-10-23,7.73873
2020-10-24,2.5684
2020-10-25,2.06545
2020-10-26,9.64994
2020-10-27,9.43535
2020-10-28,9.01958
2020-10-29,8.24168
2020-10-30,8.66416
2020-10-31,2.43428
2020-11-01,2.30016
2020-11-02,8.70439
2020-11-03,8.14109
2020-11-04,7.98015
2020-11-05,7.52414
2020-11-06,7.32966
2020-11-07,2.43428
2020-11-08,2.26663
2020-11-09,9.2677
2020-11-10,9.10675
2020-11-11,8.65745
2020-11-12,8.83181
2020-11-13,7.14189
2020-11-14,2.62875
2020-11-15,2.26663
2020-11-16,9.43535
2020-11-17,8.85193
2020-11-18,8.17462
2020-11-19,7.87285
2020-11-20,7.45708
2020-11-21,2.50804
2020-11-22,2.38063
2020-11-23,9.99865
2020-11-24,9.4957
2020-11-25,9.91148
2020-11-26,9.34146
2020-11-27,8.18133
2020-11-28,2.6891
2020-11-29,2.59522
2020-11-30,11.9434
2020-12-01,10.14619
2020-12-02,8.41604
2020-12-03,7.50402
2020-12-04,8.55016
2020-12-05,2.93052
2020-12-06,2.63546
2020-12-07,9.84442
2020-12-08,9.95171
2020-12-09,9.23417
2020-12-10,9.41523
2020-12-11,10.02548
2020-12-12,3.31276
2020-12-13,3.0177
2020-12-14,10.40101
2020-12-15,10.10595
2020-12-16,9.18052
2020-12-17,8.79157
2020-12-18,8.78487
2020-12-19,2.95064
2020-12-20,2.65557
2020-12-21,10.56866
2020-12-22,9.03299
2020-12-23,9.24758
2020-12-24,8.83181
2020-12-25,2.40745
2020-12-26,2.85675
2020-12-27,2.83664
2020-12-28,13.30472
2020-12-29,12.31893
2020-12-30,11.48739
2020-12-31,10.40101
2021-01-01,2.50804
2021-01-02,3.33959
2021-01-03,2.42086
2021-01-04,12.45305
2021-01-05,11.03138
2021-01-06,11.06491
2021-01-07,8.95252
2021-01-08,10.76314
2021-01-09,3.76877
2021-01-10,3.20547
2021-01-11,11.25268
2021-01-12,9.01287
2021-01-13,10.07913
2021-01-14,9.77736
2021-01-15,9.1537
2021-01-16,3.26582
2021-01-17,2.84334
2021-01-18,10.74302
2021-01-19,10.7162
2021-01-20,10.17972
2021-01-21,10.55525
2021-01-22,8.83181
2021-01-23,3.27923
2021-01-24,2.89699
2021-01-25,11.90987
2021-01-26,10.25348
2021-01-27,10.03218
2021-01-28,9.91818
2021-01-29,9.77736
2021-01-30,3.0177
2021-01-31,2.60193
2021-02-01,11.01126
2021-02-02,9.74383
2021-02-03,9.48229
2021-02-04,8.56357
2021-02-05,8.56357
2021-02-06,3.1317
2021-02-07,2.56169
2021-02-08,9.52923
2021-02-09,8.77145
2021-02-10,7.90638
2021-02-11,2.34039
2021-02-12,2.17274
2021-02-13,2.06545
2021-02-14,2.5684
2021-02-15,11.03809
2021-02-16,9.64324
2021-02-17,8.81169
2021-02-18,9.489
2021-02-19,8.31545
2021-02-20,2.91711
2021-02-21,2.45439
2021-02-22,10.28701
2021-02-23,9.54265
2021-02-24,9.34146
2021-02-25,10.05901
2021-02-26,9.29452
2021-02-27,3.04452
2021-02-28,2.40075
2021-03-01,3.09146
2021-03-02,10.60219
2021-03-03,8.97263
2021-03-04,7.91309
2021-03-05,7.89297
2021-03-06,2.91711
2021-03-07,2.60863
2021-03-08,9.80418
2021-03-09,8.53674
2021-03-10,8.83851
2021-03-11,8.35568
2021-03-12,8.00697
2021-03-13,2.94393
2021-03-14,2.3538
2021-03-15,10.11266
2021-03-16,8.95252
2021-03-17,8.47639
2021-03-18,8.18133
2021-03-19,7.96003
2021-03-20,2.66899
2021-03-21,2.61534
2021-03-22,9.58959
2021-03-23,8.73792
2021-03-24,8.63063
2021-03-25,8.55686
2021-03-26,8.31545
2021-03-27,2.82993
2021-03-28,2.50804
2021-03-29,10.19983
2021-03-30,8.85863
2021-03-31,11.09173
2021-04-01,8.17462
2021-04-02,6.85354
2021-04-03,2.40075
2021-04-04,2.0185
2021-04-05,8.3758
2021-04-06,8.67757
2021-04-07,8.08744
2021-04-08,6.94071
2021-04-09,6.96083
2021-04-10,2.03862
2021-04-11,2.19286
2021-04-12,8.32886
2021-04-13,8.06732
2021-04-14,7.89297
2021-04-15,8.01368
2021-04-16,7.18884
2021-04-17,2.33369
2021-04-18,2.2398
2021-04-19,7.71861
2021-04-20,8.25509
2021-04-21,7.78567
2021-04-22,7.39672
2021-04-23,6.97424
2021-04-24,2.38733
2021-04-25,2.06545
2021-04-26,9.12687
2021-04-27,8.73122
2021-04-28,7.8192
2021-04-29,7.20895
2021-04-30,7.55096
2021-05-01,2.2398
2021-05-02,1.9045
2021-05-03,8.06062
2021-05-04,6.43776
2021-05-05,2.29345
2021-05-06,7.85273
2021-05-07,6.96754
2021-05-08,2.32027
2021-05-09,1.93133
2021-05-10,9.30123
2021-05-11,8.43615
2021-05-12,8.28862
2021-05-13,7.20895
2021-05-14,7.60461
2021-05-15,2.42086
2021-05-16,2.13921
2021-05-17,33.90557
2021-05-18,20.33932
2021-05-19,4.01689
2021-05-20,10.21995
2021-05-21,8.83851
2021-05-22,2.85675
2021-05-23,2.19286
2021-05-24,10.76314
2021-05-25,9.84442
2021-05-26,8.77145
2021-05-27,8.22827
2021-05-28,7.77896
2021-05-29,2.48122
2021-05-30,2.02521
2021-05-31,10.30042
2021-06-01,8.22827
2021-06-02,6.91389
2021-06-03,6.61212
2021-06-04,6.3707
2021-06-05,2.05874
2021-06-06,2.19286
2021-06-07,8.34898
2021-06-08,7.33637
2021-06-09,7.13519
2021-06-10,7.84603
2021-06-11,7.22907
2021-06-12,2.28004
2021-06-13,2.19957
2021-06-14,8.52333
2021-06-15,7.8192
2021-06-16,8.02709
2021-06-17,7.85944
2021-06-18,7.9265
2021-06-19,2.34039
2021-06-20,2.17945
2021-06-21,9.19393
2021-06-22,8.22156
2021-06-23,7.89297
2021-06-24,8.4831
2021-06-25,9.36829
2021-06-26,2.58851
2021-06-27,2.19957
2021-06-28,11.07162
2021-06-29,14.15638
2021-06-30,17.69045
2021-07-01,7.66496
2021-07-02,6.53165
2021-07-03,2.3471
2021-07-04,1.81062
2021-07-05,8.55016
2021-07-06,7.69179
2021-07-07,7.02119
2021-07-08,6.90718
2021-07-09,6.07564
2021-07-10,2.11239
2021-07-11,1.75697
2021-07-12,7.65826
2021-07-13,7.06142
2021-07-14,6.1427
2021-07-15,7.10836
2021-07-16,6.44447
2021-07-17,1.93133
2021-07-18,1.70332
2021-07-19,7.09495
2021-07-20,7.22907
2021-07-21,6.65906
2021-07-22,6.39082
2021-07-23,6.65906
2021-07-24,1.95815
2021-07-25,1.73015
2021-07-26,8.5971
2021-07-27,7.53084
2021-07-28,7.14189
2021-07-29,7.08825
2021-07-30,8.1478
2021-07-31,2.34039
2021-08-01,1.87768
2021-08-02,7.34978
2021-08-03,6.11587
2021-08-04,6.02199
2021-08-05,5.9214
2021-08-06,5.67328
2021-08-07,2.11239
2021-08-08,1.5692
