date,메리츠금융지주
2020-03-20,2.49652
2020-03-21,0.68989
2020-03-22,0.51618
2020-03-23,1.96049
2020-03-24,1.94063
2020-03-25,2.72979
2020-03-26,2.47667
2020-03-27,2.61564
2020-03-28,0.78419
2020-03-29,0.79908
2020-03-30,2.5809
2020-03-31,3.89616
2020-04-01,2.68513
2020-04-02,2.21361
2020-04-03,2.57593
2020-04-04,0.55092
2020-04-05,0.6204
2020-04-06,2.27814
2020-04-07,2.28806
2020-04-08,2.70994
2020-04-09,2.02005
2020-04-10,1.86619
2020-04-11,0.50129
2020-04-12,0.54099
2020-04-13,1.56343
2020-04-14,1.48898
2020-04-15,0.60055
2020-04-16,1.43438
2020-04-17,1.65773
2020-04-18,0.43676
2020-04-19,0.55588
2020-04-20,1.61306
2020-04-21,1.47409
2020-04-22,1.62298
2020-04-23,1.30037
2020-04-24,1.38971
2020-04-25,0.51618
2020-04-26,0.34246
2020-04-27,1.61802
2020-04-28,1.73714
2020-04-29,1.8513
2020-04-30,0.64026
2020-05-01,0.41195
2020-05-02,0.25312
2020-05-03,0.40202
2020-05-04,1.30534
2020-05-05,0.46654
2020-05-06,1.50883
2020-05-07,1.35497
2020-05-08,1.32519
2020-05-09,0.34742
2020-05-10,0.42684
2020-05-11,2.61068
2020-05-12,4.16914
2020-05-13,1.76692
2020-05-14,1.73714
2020-05-15,1.4046
2020-05-16,0.38217
2020-05-17,0.38713
2020-05-18,1.2557
2020-05-19,1.53365
2020-05-20,1.41949
2020-05-21,1.66765
2020-05-22,1.50387
2020-05-23,0.40698
2020-05-24,0.44669
2020-05-25,1.52372
2020-05-26,1.72721
2020-05-27,2.10939
2020-05-28,1.47409
2020-05-29,1.26067
2020-05-30,0.42187
2020-05-31,0.26801
2020-06-01,1.30534
2020-06-02,1.43438
2020-06-03,1.92574
2020-06-04,1.50387
2020-06-05,1.35993
2020-06-06,1.87115
2020-06-07,1.99027
2020-06-08,3.97061
2020-06-09,3.29064
2020-06-10,2.35755
2020-06-11,2.30792
2020-06-12,1.97538
2020-06-13,0.50129
2020-06-14,0.27794
2020-06-15,1.82648
2020-06-16,1.59817
2020-06-17,1.28052
2020-06-18,1.3103
2020-06-19,1.39467
2020-06-20,0.35735
2020-06-21,0.36728
2020-06-22,1.6081
2020-06-23,1.27059
2020-06-24,1.20607
