date,메타마스크지갑
2020-10-05,0.56947
2020-10-07,0.56947
2020-10-14,0.56947
2020-10-15,0.56947
2020-10-29,0.68337
2020-11-12,0.56947
2020-12-01,0.56947
2020-12-16,0.56947
2020-12-31,0.56947
2021-01-12,0.56947
2021-02-04,0.56947
2021-02-16,0.56947
2021-02-19,1.25284
2021-03-06,0.56947
2021-03-07,0.91116
2021-03-13,0.56947
2021-03-15,1.36674
2021-03-16,0.91116
2021-03-17,0.79726
2021-03-18,0.56947
2021-03-19,0.68337
2021-03-20,0.68337
2021-03-21,0.91116
2021-03-22,1.02505
2021-03-23,1.48063
2021-04-01,1.70842
2021-04-02,1.02505
2021-04-03,1.13895
2021-04-04,1.02505
2021-04-05,0.56947
2021-04-06,0.56947
2021-04-09,0.79726
2021-04-11,0.79726
2021-04-12,0.56947
2021-04-13,0.91116
2021-04-14,0.79726
2021-04-15,0.56947
2021-04-17,1.82232
2021-04-19,1.36674
2021-04-20,1.36674
2021-04-22,1.25284
2021-04-23,0.68337
2021-04-24,0.68337
2021-04-25,1.13895
2021-04-26,1.36674
2021-04-27,1.59453
2021-04-28,1.82232
2021-04-29,2.05011
2021-04-30,0.68337
2021-05-01,0.56947
2021-05-02,0.79726
2021-05-03,1.70842
2021-05-04,0.79726
2021-05-05,0.91116
2021-05-07,0.56947
2021-05-08,0.56947
2021-05-09,0.79726
2021-05-10,0.56947
2021-05-11,1.93621
2021-05-12,3.53075
2021-05-13,1.25284
2021-05-14,1.82232
2021-05-15,1.25284
2021-05-16,0.91116
2021-05-17,1.36674
2021-05-18,0.79726
2021-05-19,0.68337
2021-05-20,0.68337
2021-05-24,0.56947
2021-05-25,0.56947
2021-05-26,1.13895
2021-06-01,0.68337
2021-06-09,0.68337
2021-06-11,0.79726
2021-06-15,0.56947
2021-06-17,1.36674
2021-06-19,1.36674
2021-06-21,0.56947
2021-06-22,0.56947
2021-06-28,0.68337
2021-06-29,0.91116
2021-06-30,0.68337
2021-07-03,1.25284
2021-07-05,0.91116
2021-07-06,0.79726
2021-07-08,1.25284
2021-07-15,1.82232
2021-07-16,0.68337
2021-07-19,0.68337
2021-07-25,1.36674
2021-07-27,0.68337
