date,모의투자
2020-03-20,76.70157
2020-03-21,49.73821
2020-03-22,40.57591
2020-03-23,90.31413
2020-03-24,88.21989
2020-03-25,81.93717
2020-03-26,73.03664
2020-03-27,61.51832
2020-03-28,45.81151
2020-03-29,29.84293
2020-03-30,52.87958
2020-03-31,68.84816
2020-04-01,64.92146
2020-04-02,65.44502
2020-04-03,47.64397
2020-04-04,35.34031
2020-04-05,33.50785
2020-04-06,57.32984
2020-04-07,62.82722
2020-04-08,57.59162
2020-04-09,64.3979
2020-04-10,53.14136
2020-04-11,35.34031
2020-04-12,35.86387
2020-04-13,57.59162
2020-04-14,45.54973
2020-04-15,35.60209
2020-04-16,45.54973
2020-04-17,55.2356
2020-04-18,36.64921
2020-04-19,37.17277
2020-04-20,52.6178
2020-04-21,68.84816
2020-04-22,76.96335
2020-04-23,68.58638
2020-04-24,56.28272
2020-04-25,25.13089
2020-04-26,23.03664
2020-04-27,41.36125
2020-04-28,47.90575
2020-04-29,48.95287
2020-04-30,37.95811
2020-05-01,28.79581
2020-05-02,23.29842
2020-05-03,28.27225
2020-05-04,36.64921
2020-05-05,33.76963
2020-05-06,43.71727
2020-05-07,44.50261
2020-05-08,32.19895
2020-05-09,21.20418
2020-05-10,20.41884
2020-05-11,40.83769
2020-05-12,37.43455
2020-05-13,34.03141
2020-05-14,36.12565
2020-05-15,41.09947
2020-05-16,31.67539
2020-05-17,20.68062
2020-05-18,42.40837
2020-05-19,45.54973
2020-05-20,41.88481
2020-05-21,43.19371
2020-05-22,41.36125
2020-05-23,20.9424
2020-05-24,28.01047
2020-05-25,38.48167
2020-05-26,43.71727
2020-05-27,39.26701
2020-05-28,45.81151
2020-05-29,40.05235
2020-05-30,30.10471
2020-05-31,23.29842
2020-06-01,44.24083
2020-06-02,47.90575
2020-06-03,48.95287
2020-06-04,54.71204
2020-06-05,39.00523
2020-06-06,28.53403
2020-06-07,27.74869
2020-06-08,44.76439
2020-06-09,42.93193
2020-06-10,46.33507
2020-06-11,53.14136
2020-06-12,41.62303
2020-06-13,21.98952
2020-06-14,25.39267
2020-06-15,48.16753
2020-06-16,47.64397
2020-06-17,46.59685
2020-06-18,41.62303
2020-06-19,41.09947
2020-06-20,23.5602
2020-06-21,30.62827
2020-06-22,36.12565
2020-06-23,40.31413
2020-06-24,56.02094
2020-06-25,47.90575
2020-06-26,42.93193
2020-06-27,20.9424
2020-06-28,25.13089
2020-06-29,37.43455
2020-06-30,46.07329
2020-07-01,35.34031
2020-07-02,39.00523
2020-07-03,39.52879
2020-07-04,19.89528
2020-07-05,28.53403
2020-07-06,49.21465
2020-07-07,41.09947
2020-07-08,42.67015
2020-07-09,55.2356
2020-07-10,40.57591
2020-07-11,30.10471
2020-07-12,32.72251
2020-07-13,50.78534
2020-07-14,41.88481
2020-07-15,44.50261
2020-07-16,45.81151
2020-07-17,40.05235
2020-07-18,23.03664
2020-07-19,21.20418
2020-07-20,41.88481
2020-07-21,43.45549
2020-07-22,59.1623
2020-07-23,56.28272
2020-07-24,45.02617
2020-07-25,30.62827
2020-07-26,31.67539
2020-07-27,46.33507
2020-07-28,45.28795
2020-07-29,39.52879
2020-07-30,37.69633
2020-07-31,33.24607
2020-08-01,27.22513
2020-08-02,24.8691
2020-08-03,41.62303
2020-08-04,48.42931
2020-08-05,53.40314
2020-08-06,46.85863
2020-08-07,37.95811
