date,미국국채ETF
2020-03-20,8.3514
2020-03-21,6.39913
2020-03-22,6.72451
2020-03-23,9.76138
2020-03-24,7.59219
2020-03-25,8.8937
2020-03-26,8.24295
2020-03-27,5.42299
2020-03-28,8.02603
2020-03-29,6.18221
2020-03-30,6.61605
2020-03-31,7.26681
2020-04-01,4.98915
2020-04-02,6.83297
2020-04-03,4.01301
2020-04-04,5.20607
2020-04-05,8.78524
2020-04-06,8.67678
2020-04-07,6.94143
2020-04-08,9.9783
2020-04-09,8.8937
2020-04-10,6.61605
2020-04-11,4.88069
2020-04-12,10.19522
2020-04-13,7.80911
2020-04-14,7.70065
2020-04-15,6.83297
2020-04-16,6.61605
2020-04-17,8.45986
2020-04-18,5.85683
2020-04-19,6.61605
2020-04-20,7.15835
2020-04-21,6.50759
2020-04-22,8.02603
2020-04-23,7.37527
2020-04-24,5.74837
2020-04-25,4.22993
2020-04-26,4.12147
2020-04-27,4.98915
2020-04-28,6.18221
2020-04-29,4.88069
2020-04-30,4.22993
2020-05-01,3.79609
2020-05-02,3.36225
2020-05-03,5.42299
2020-05-04,6.29067
2020-05-05,4.98915
2020-05-06,5.20607
2020-05-07,5.85683
2020-05-08,5.74837
2020-05-09,4.33839
2020-05-10,4.33839
2020-05-11,5.85683
2020-05-12,6.07375
2020-05-13,4.88069
2020-05-14,3.47071
2020-05-15,5.96529
2020-05-16,5.53145
2020-05-17,5.63991
2020-05-18,5.20607
2020-05-19,5.74837
2020-05-20,6.18221
2020-05-21,5.09761
2020-05-22,4.88069
2020-05-23,3.90455
2020-05-24,4.66377
2020-05-25,4.12147
2020-05-26,4.44685
2020-05-27,3.90455
2020-05-28,3.36225
2020-05-29,4.33839
2020-05-30,3.03687
2020-05-31,2.16919
2020-06-01,4.55531
2020-06-02,4.01301
2020-06-03,5.09761
2020-06-04,5.74837
2020-06-05,4.22993
2020-06-06,5.63991
2020-06-07,4.33839
2020-06-08,5.42299
2020-06-09,5.42299
2020-06-10,5.63991
2020-06-11,8.3514
2020-06-12,8.24295
2020-06-13,4.01301
2020-06-14,4.77223
2020-06-15,3.57917
2020-06-16,5.09761
2020-06-17,3.36225
2020-06-18,3.14533
2020-06-19,3.03687
