date,미국배당주
2020-03-20,57.45375
2020-03-21,56.90968
2020-03-22,42.00217
2020-03-23,48.42219
2020-03-24,56.14798
2020-03-25,64.20021
2020-03-26,68.33514
2020-03-27,67.46463
2020-03-28,58.43307
2020-03-29,46.68117
2020-03-30,48.31338
2020-03-31,61.69749
2020-04-01,58.54189
2020-04-02,51.46898
2020-04-03,49.61915
2020-04-04,45.70184
2020-04-05,43.19912
2020-04-06,50.92491
2020-04-07,60.60935
2020-04-08,57.56256
2020-04-09,60.71817
2020-04-10,58.21545
2020-04-11,40.04352
2020-04-12,45.26659
2020-04-13,41.67573
2020-04-14,61.47986
2020-04-15,76.38737
2020-04-16,57.12731
2020-04-17,56.58324
2020-04-18,48.85745
2020-04-19,43.85201
2020-04-20,43.74319
2020-04-21,53.42763
2020-04-22,55.05984
2020-04-23,44.61371
2020-04-24,47.00761
2020-04-25,73.77584
2020-04-26,64.96191
2020-04-27,67.89989
2020-04-28,62.13275
2020-04-29,81.93688
2020-04-30,68.44396
2020-05-01,53.53645
2020-05-02,47.6605
2020-05-03,39.71708
2020-05-04,47.98694
2020-05-05,49.72796
2020-05-06,53.53645
2020-05-07,47.87812
2020-05-08,42.54624
2020-05-09,37.10554
2020-05-10,34.16757
2020-05-11,43.09031
2020-05-12,51.25136
2020-05-13,44.28726
2020-05-14,40.58759
2020-05-15,40.80522
2020-05-16,31.66485
2020-05-17,30.46789
2020-05-18,44.61371
2020-05-19,70.62023
2020-05-20,60.39173
2020-05-21,47.11643
2020-05-22,39.82589
2020-05-23,37.64961
2020-05-24,31.88248
2020-05-25,37.64961
2020-05-26,52.44831
2020-05-27,54.51577
2020-05-28,51.14254
2020-05-29,38.84657
2020-05-30,32.64417
2020-05-31,29.92383
2020-06-01,40.58759
2020-06-02,49.2927
2020-06-03,52.44831
2020-06-04,57.889
2020-06-05,58.6507
2020-06-06,46.02829
2020-06-07,37.64961
2020-06-08,50.92491
2020-06-09,71.81719
2020-06-10,59.84766
2020-06-11,49.94559
2020-06-12,43.41675
2020-06-13,37.75843
2020-06-14,39.71708
2020-06-15,33.6235
2020-06-16,46.1371
2020-06-17,42.43743
2020-06-18,45.91947
2020-06-19,38.73775
2020-06-20,30.79434
2020-06-21,31.01196
2020-06-22,31.88248
2020-06-23,40.04352
2020-06-24,40.26115
2020-06-25,42.32861
2020-06-26,39.93471
2020-06-27,31.88248
2020-06-28,20.67464
2020-06-29,29.48857
2020-06-30,40.6964
2020-07-01,40.6964
2020-07-02,41.13166
2020-07-03,39.49945
2020-07-04,29.7062
2020-07-05,31.88248
2020-07-06,47.44287
2020-07-07,51.25136
2020-07-08,47.33405
2020-07-09,45.81066
2020-07-10,41.78454
2020-07-11,34.3852
2020-07-12,36.01741
2020-07-13,41.02285
2020-07-14,42.76387
2020-07-15,46.02829
2020-07-16,50.48966
2020-07-17,35.36452
2020-07-18,28.61806
2020-07-19,30.46789
2020-07-20,36.45266
2020-07-21,44.06964
2020-07-22,43.19912
2020-07-23,41.56692
2020-07-24,36.56147
2020-07-25,31.77366
2020-07-26,32.97062
2020-07-27,35.14689
2020-07-28,44.50489
2020-07-29,47.6605
2020-07-30,37.32317
2020-07-31,38.62894
2020-08-01,33.51468
2020-08-02,25.35364
2020-08-03,33.07943
2020-08-04,42.76387
2020-08-05,48.63982
2020-08-06,50.38084
2020-08-07,40.58759
2020-08-08,32.8618
2020-08-09,27.52992
2020-08-10,40.58759
2020-08-11,50.8161
2020-08-12,47.87812
2020-08-13,44.61371
2020-08-14,37.10554
2020-08-15,33.18824
2020-08-16,23.61262
2020-08-17,25.46245
2020-08-18,40.15233
2020-08-19,45.91947
2020-08-20,35.47334
2020-08-21,42.9815
2020-08-22,33.18824
2020-08-23,30.14145
2020-08-24,43.63438
2020-08-25,59.73884
2020-08-26,67.79107
2020-08-27,57.12731
2020-08-28,49.94559
2020-08-29,46.78998
2020-08-30,39.93471
2020-08-31,49.40152
2020-09-01,56.58324
2020-09-02,65.39717
2020-09-03,60.50054
2020-09-04,48.20457
2020-09-05,48.53101
2020-09-06,40.91403
2020-09-07,40.47878
2020-09-08,46.1371
2020-09-09,57.23612
2020-09-10,58.6507
2020-09-11,54.40696
2020-09-12,41.34929
2020-09-13,29.7062
2020-09-14,38.41131
2020-09-15,55.60391
2020-09-16,52.99238
2020-09-17,47.11643
2020-09-18,47.87812
2020-09-19,36.23503
2020-09-20,28.9445
2020-09-21,34.16757
2020-09-22,41.4581
2020-09-23,39.39064
2020-09-24,35.90859
2020-09-25,35.47334
2020-09-26,28.29162
2020-09-27,21.43634
2020-09-28,30.79434
2020-09-29,38.95538
2020-09-30,37.10554
2020-10-01,33.29706
2020-10-02,33.07943
2020-10-03,33.84113
2020-10-04,28.83569
2020-10-05,40.04352
2020-10-06,48.85745
2020-10-07,39.93471
2020-10-08,36.34385
2020-10-09,36.34385
2020-10-10,32.64417
2020-10-11,27.4211
2020-10-12,35.47334
2020-10-13,39.17301
2020-10-14,41.02285
2020-10-15,31.22959
2020-10-16,29.7062
2020-10-17,21.98041
2020-10-18,32.31773
2020-10-19,46.02829
2020-10-20,45.70184
2020-10-21,45.70184
2020-10-22,31.77366
2020-10-23,35.14689
2020-10-24,23.83025
2020-10-25,23.06855
2020-10-26,27.20348
2020-10-27,30.14145
2020-10-28,32.20892
2020-10-29,28.29162
2020-10-30,25.46245
2020-10-31,17.73667
2020-11-01,15.88683
2020-11-02,19.91294
2020-11-03,26.11534
2020-11-04,26.55059
2020-11-05,32.97062
2020-11-06,31.12078
2020-11-07,25.7889
2020-11-08,19.15125
2020-11-09,31.55603
2020-11-10,41.24047
2020-11-11,41.67573
2020-11-12,36.56147
2020-11-13,31.33841
2020-11-14,29.16213
2020-11-15,21.65397
2020-11-16,49.07508
2020-11-17,55.27747
2020-11-18,53.10119
2020-11-19,44.28726
2020-11-20,45.26659
2020-11-21,32.97062
2020-11-22,23.83025
2020-11-23,35.14689
2020-11-24,44.17845
2020-11-25,55.16866
2020-11-26,48.53101
2020-11-27,31.88248
2020-11-28,31.12078
2020-11-29,32.53536
2020-11-30,34.3852
2020-12-01,43.63438
2020-12-02,47.98694
