date,미국실시간증시
2020-03-20,81.76291
2020-03-21,47.92299
2020-03-22,7.90273
2020-03-23,58.66261
2020-03-24,99.89868
2020-03-25,89.56433
2020-03-26,81.86423
2020-03-27,75.37993
2020-03-28,41.74265
2020-03-29,8.61195
2020-03-30,37.2847
2020-03-31,64.33637
2020-04-01,69.40222
2020-04-02,74.97467
2020-04-03,52.27963
2020-04-04,28.77406
2020-04-05,7.7001
2020-04-06,28.06484
2020-04-07,55.82573
2020-04-08,60.08105
2020-04-09,63.52583
2020-04-10,58.86524
2020-04-11,22.79635
2020-04-12,8.9159
2020-04-13,25.02532
2020-04-14,47.01114
2020-04-15,35.05572
2020-04-16,38.19655
2020-04-17,44.47821
2020-04-18,23.40425
2020-04-19,7.90273
2020-04-20,20.77001
2020-04-21,50.75987
2020-04-22,63.01925
2020-04-23,46.90982
2020-04-24,43.16109
2020-04-25,23.20162
2020-04-26,5.16717
2020-04-27,18.84498
2020-04-28,40.12158
2020-04-29,44.07294
2020-04-30,32.01621
2020-05-01,28.26747
2020-05-02,16.31205
2020-05-03,6.28166
2020-05-04,18.13576
2020-05-05,34.9544
2020-05-06,40.42553
2020-05-07,44.27558
2020-05-08,36.37284
2020-05-09,23.80952
2020-05-10,4.86322
2020-05-11,17.02127
2020-05-12,35.05572
2020-05-13,40.62816
2020-05-14,48.42958
2020-05-15,39.71631
2020-05-16,22.69503
2020-05-17,5.26849
2020-05-18,17.93313
2020-05-19,50.96251
2020-05-20,52.98885
2020-05-21,47.72036
2020-05-22,42.6545
2020-05-23,25.32928
2020-05-24,6.07902
2020-05-25,19.35157
2020-05-26,39.61499
2020-05-27,49.7467
2020-05-28,42.85714
2020-05-29,36.37284
2020-05-30,20.97264
2020-05-31,4.7619
2020-06-01,15.60283
2020-06-02,39.1084
2020-06-03,38.60182
2020-06-04,36.47416
2020-06-05,36.87943
2020-06-06,20.46605
2020-06-07,4.35663
2020-06-08,16.81864
2020-06-09,41.94528
2020-06-10,37.2847
2020-06-11,36.37284
2020-06-12,48.63221
2020-06-13,32.92806
2020-06-14,5.3698
2020-06-15,29.38196
2020-06-16,52.27963
2020-06-17,49.34143
2020-06-18,44.17426
2020-06-19,34.14387
2020-06-20,20.36474
2020-06-21,4.86322
2020-06-22,13.98176
2020-06-23,36.67679
2020-06-24,37.2847
2020-06-25,43.87031
2020-06-26,41.54002
2020-06-27,26.95035
2020-06-28,4.25531
2020-06-29,23.60688
2020-06-30,45.99797
2020-07-01,43.66767
2020-07-02,43.05977
2020-07-03,37.48733
2020-07-04,14.08308
2020-07-05,4.05268
2020-07-06,20.36474
2020-07-07,40.93211
2020-07-08,41.54002
2020-07-09,40.42553
2020-07-10,32.82674
2020-07-11,20.87132
2020-07-12,5.16717
2020-07-13,15.29888
2020-07-14,42.55319
2020-07-15,36.77811
2020-07-16,36.37284
2020-07-17,33.33333
2020-07-18,16.0081
2020-07-19,3.64741
2020-07-20,12.76595
2020-07-21,30.8004
2020-07-22,30.49645
2020-07-23,33.33333
2020-07-24,30.1925
2020-07-25,17.32522
2020-07-26,3.54609
2020-07-27,14.79229
2020-07-28,28.16616
2020-07-29,37.79128
2020-07-30,34.9544
2020-07-31,34.44782
2020-08-01,13.47517
2020-08-02,4.154
2020-08-03,16.0081
2020-08-04,26.34245
2020-08-05,27.2543
2020-08-06,29.98986
2020-08-07,26.44376
2020-08-08,14.89361
2020-08-09,5.3698
2020-08-10,11.04356
2020-08-11,25.43059
2020-08-12,33.43465
2020-08-13,26.44376
2020-08-14,22.59371
2020-08-15,13.67781
2020-08-16,3.34346
2020-08-17,12.86727
2020-08-18,27.8622
2020-08-19,29.17933
2020-08-20,32.62411
2020-08-21,28.67274
2020-08-22,15.29888
2020-08-23,4.86322
2020-08-24,14.89361
2020-08-25,28.36879
2020-08-26,31.10435
2020-08-27,30.49645
2020-08-28,21.98581
2020-08-29,12.05673
2020-08-30,3.54609
2020-08-31,14.99493
2020-09-01,32.32016
2020-09-02,32.32016
2020-09-03,30.09118
2020-09-04,55.72441
2020-09-05,37.2847
2020-09-06,5.26849
2020-09-07,13.67781
2020-09-08,41.4387
2020-09-09,54.10334
2020-09-10,42.0466
2020-09-11,41.13475
2020-09-12,23.7082
2020-09-13,3.54609
2020-09-14,16.616
2020-09-15,34.65045
2020-09-16,36.17021
2020-09-17,38.90577
2020-09-18,37.08206
2020-09-19,19.35157
2020-09-20,4.96453
2020-09-21,22.99898
2020-09-22,46.09929
2020-09-23,36.98074
2020-09-24,50.45592
2020-09-25,40.32421
2020-09-26,22.08713
2020-09-27,3.64741
2020-09-28,17.22391
2020-09-29,26.13981
2020-09-30,22.89766
2020-10-01,19.35157
2020-10-02,33.83991
2020-10-03,26.74772
2020-10-04,9.32117
2020-10-05,19.75683
2020-10-06,33.33333
2020-10-07,39.31104
2020-10-08,28.16616
2020-10-09,23.80952
2020-10-10,13.98176
2020-10-11,3.54609
2020-10-12,14.48834
2020-10-13,37.18338
2020-10-14,36.77811
2020-10-15,42.95845
2020-10-16,36.77811
2020-10-17,20.06079
2020-10-18,4.35663
2020-10-19,15.60283
2020-10-20,34.75177
2020-10-21,34.75177
2020-10-22,34.04255
2020-10-23,28.16616
2020-10-24,17.52786
2020-10-25,5.87639
2020-10-26,14.99493
2020-10-27,37.79128
2020-10-28,41.13475
2020-10-29,44.37689
2020-10-30,32.42147
2020-10-31,24.11347
2020-11-01,6.88956
2020-11-02,20.66869
2020-11-03,35.86626
2020-11-04,40.93211
2020-11-05,39.1084
2020-11-06,33.02938
2020-11-07,22.4924
2020-11-08,4.05268
2020-11-09,21.78318
2020-11-10,45.5927
2020-11-11,42.24924
2020-11-12,37.8926
2020-11-13,33.83991
2020-11-14,19.75683
2020-11-15,5.16717
2020-11-16,19.65552
2020-11-17,37.18338
2020-11-18,37.48733
2020-11-19,37.68996
2020-11-20,30.09118
2020-11-21,20.06079
2020-11-22,4.25531
2020-11-23,13.27254
2020-11-24,34.75177
2020-11-25,35.76494
2020-11-26,31.71225
2020-11-27,26.84903
2020-11-28,14.69098
2020-11-29,3.03951
2020-11-30,13.37386
2020-12-01,31.30699
2020-12-02,30.59777
2020-12-03,28.97669
2020-12-04,22.89766
2020-12-05,15.60283
2020-12-06,2.53292
2020-12-07,12.86727
2020-12-08,32.11752
2020-12-09,29.38196
2020-12-10,33.43465
2020-12-11,27.05167
2020-12-12,15.50151
2020-12-13,4.7619
2020-12-14,10.94224
2020-12-15,30.49645
2020-12-16,28.77406
2020-12-17,28.47011
2020-12-18,26.95035
2020-12-19,14.38703
2020-12-20,3.74873
2020-12-21,18.33839
2020-12-22,38.60182
2020-12-23,37.8926
2020-12-24,27.76089
2020-12-25,15.60283
2020-12-26,5.47112
2020-12-27,3.24214
2020-12-28,15.60283
2020-12-29,30.29381
2020-12-30,28.57142
2020-12-31,19.75683
2021-01-01,7.80141
2021-01-02,3.03951
2021-01-03,2.63424
2021-01-04,14.69098
2021-01-05,39.61499
2021-01-06,33.33333
2021-01-07,35.05572
2021-01-08,35.25835
2021-01-09,23.60688
2021-01-10,5.26849
2021-01-11,21.47922
2021-01-12,43.16109
2021-01-13,35.86626
2021-01-14,31.81357
2021-01-15,30.39513
2021-01-16,16.91995
2021-01-17,4.05268
2021-01-18,15.4002
2021-01-19,32.92806
2021-01-20,39.31104
2021-01-21,33.94123
2021-01-22,34.3465
2021-01-23,18.64235
2021-01-24,3.85005
2021-01-25,18.9463
2021-01-26,38.80445
2021-01-27,43.87031
2021-01-28,70.61803
2021-01-29,64.539
2021-01-30,30.69908
2021-01-31,6.99088
2021-02-01,25.93718
2021-02-02,41.13475
2021-02-03,37.08206
2021-02-04,41.23606
2021-02-05,37.48733
2021-02-06,21.68186
2021-02-07,5.97771
2021-02-08,13.98176
2021-02-09,34.24518
2021-02-10,32.42147
2021-02-11,24.3161
2021-02-12,18.74366
2021-02-13,14.69098
2021-02-14,5.06585
2021-02-15,10.84093
2021-02-16,32.32016
2021-02-17,33.63728
2021-02-18,37.68996
2021-02-19,33.23201
2021-02-20,16.71732
2021-02-21,4.05268
2021-02-22,16.41337
2021-02-23,40.22289
2021-02-24,46.90982
2021-02-25,46.50455
2021-02-26,50.96251
2021-02-27,31.30699
2021-02-28,6.58561
2021-03-01,18.03444
2021-03-02,38.70314
2021-03-03,45.18743
2021-03-04,48.83485
2021-03-05,51.67173
2021-03-06,34.24518
2021-03-07,6.99088
2021-03-08,24.21479
2021-03-09,48.5309
2021-03-10,47.51773
2021-03-11,52.48226
2021-03-12,49.1388
2021-03-13,28.26747
2021-03-14,8.10536
2021-03-15,17.02127
2021-03-16,41.13475
2021-03-17,48.02431
2021-03-18,51.97568
2021-03-19,45.5927
2021-03-20,25.73454
2021-03-21,6.88956
2021-03-22,19.5542
2021-03-23,42.14792
2021-03-24,42.0466
2021-03-25,42.85714
2021-03-26,38.80445
2021-03-27,21.07396
2021-03-28,6.68693
2021-03-29,21.88449
2021-03-30,37.48733
2021-03-31,36.77811
2021-04-01,32.21884
2021-04-02,31.91489
2021-04-03,19.75683
2021-04-04,5.77507
2021-04-05,14.99493
2021-04-06,32.42147
2021-04-07,36.17021
2021-04-08,34.75177
2021-04-09,28.57142
2021-04-10,17.32522
2021-04-11,4.55927
2021-04-12,15.29888
2021-04-13,30.8004
2021-04-14,28.57142
2021-04-15,30.8004
2021-04-16,26.84903
2021-04-17,15.80547
2021-04-18,4.96453
2021-04-19,13.57649
2021-04-20,30.59777
2021-04-21,36.98074
2021-04-22,34.75177
2021-04-23,31.10435
2021-04-24,17.22391
2021-04-25,4.45795
2021-04-26,10.73961
2021-04-27,31.61094
2021-04-28,30.59777
2021-04-29,30.09118
2021-04-30,30.8004
2021-05-01,15.50151
2021-05-02,3.74873
2021-05-03,12.15805
2021-05-04,28.77406
2021-05-05,32.52279
2021-05-06,34.04255
2021-05-07,26.6464
2021-05-08,14.18439
2021-05-09,3.64741
2021-05-10,12.56332
2021-05-11,44.57953
2021-05-12,46.70719
2021-05-13,52.17831
2021-05-14,39.51367
2021-05-15,24.82269
2021-05-16,4.86322
2021-05-17,16.91995
2021-05-18,34.04255
2021-05-19,25.53191
2021-05-20,33.53596
2021-05-21,33.13069
2021-05-22,17.62917
2021-05-23,4.86322
2021-05-24,11.55015
2021-05-25,31.50962
2021-05-26,34.65045
2021-05-27,31.81357
2021-05-28,29.68591
2021-05-29,16.0081
2021-05-30,2.83687
2021-05-31,8.308
2021-06-01,24.21479
2021-06-02,29.48328
2021-06-03,31.71225
2021-06-04,33.33333
2021-06-05,19.5542
2021-06-06,3.95136
2021-06-07,13.17122
2021-06-08,33.7386
2021-06-09,31.20567
2021-06-10,30.39513
2021-06-11,26.95035
2021-06-12,15.19756
2021-06-13,3.64741
2021-06-14,9.32117
2021-06-15,24.62006
2021-06-16,27.15298
2021-06-17,29.78723
2021-06-18,28.87537
2021-06-19,21.47922
2021-06-20,2.12765
2021-06-21,14.58966
2021-06-22,33.53596
2021-06-23,30.49645
2021-06-24,30.29381
2021-06-25,27.35562
2021-06-26,18.43971
2021-06-27,3.44478
2021-06-28,8.9159
2021-06-29,24.41742
2021-06-30,28.36879
2021-07-01,24.51874
2021-07-02,25.73454
2021-07-03,14.18439
2021-07-04,4.45795
2021-07-05,8.00405
2021-07-06,20.1621
2021-07-07,28.26747
2021-07-08,33.94123
2021-07-09,31.4083
2021-07-10,19.5542
2021-07-11,3.64741
2021-07-12,11.04356
2021-07-13,27.45694
2021-07-14,31.4083
