date,미국주식추천
2020-03-20,15.78947
2020-03-21,10.52631
2020-03-22,8.51258
2020-03-23,10.11441
2020-03-24,14.96567
2020-03-25,18.03203
2020-03-26,17.84897
2020-03-27,19.77116
2020-03-28,14.508
2020-03-29,8.78718
2020-03-30,12.44851
2020-03-31,18.4897
2020-04-01,14.00457
2020-04-02,16.79633
2020-04-03,15.1945
2020-04-04,11.25858
2020-04-05,9.70251
2020-04-06,19.67963
2020-04-07,28.14645
2020-04-08,30.06864
2020-04-09,28.64988
2020-04-10,20.54919
2020-04-11,11.07551
2020-04-12,10.57208
2020-04-13,15.83524
2020-04-14,24.94279
2020-04-15,31.16704
2020-04-16,24.66819
2020-04-17,26.04118
2020-04-18,23.79862
2020-04-19,15.4691
2020-04-20,20.36613
2020-04-21,21.14416
2020-04-22,21.69336
2020-04-23,22.88329
2020-04-24,19.08466
2020-04-25,19.26773
2020-04-26,12.03661
2020-04-27,17.62013
2020-04-28,22.97482
2020-04-29,24.30205
2020-04-30,33.63844
2020-05-01,21.28146
2020-05-02,12.95194
2020-05-03,9.24485
2020-05-04,14.7826
2020-05-05,19.63386
2020-05-06,18.94736
2020-05-07,16.61327
2020-05-08,19.77116
2020-05-09,19.1762
2020-05-10,9.74828
2020-05-11,15.24027
2020-05-12,18.7643
2020-05-13,14.14187
2020-05-14,13.59267
2020-05-15,14.73684
2020-05-16,10.52631
2020-05-17,8.10068
2020-05-18,15.65217
2020-05-19,22.74599
2020-05-20,20.82379
2020-05-21,19.81693
2020-05-22,16.7048
2020-05-23,11.80778
2020-05-24,8.32951
2020-05-25,12.90617
2020-05-26,17.20823
2020-05-27,19.54233
2020-05-28,19.35926
2020-05-29,15.0572
2020-05-30,10.43478
2020-05-31,8.87871
2020-06-01,14.14187
2020-06-02,19.7254
2020-06-03,22.70022
2020-06-04,28.92448
2020-06-05,34.0961
2020-06-06,26.68192
2020-06-07,15.7437
2020-06-08,30.11441
2020-06-09,45.58352
2020-06-10,35.24027
2020-06-11,25.53775
2020-06-12,21.51029
2020-06-13,12.72311
2020-06-14,9.15331
2020-06-15,10.84668
2020-06-16,21.23569
2020-06-17,19.40503
2020-06-18,17.34553
2020-06-19,16.75057
2020-06-20,11.62471
2020-06-21,8.32951
2020-06-22,12.90617
2020-06-23,16.47597
2020-06-24,18.16933
2020-06-25,15.0572
2020-06-26,12.67734
2020-06-27,8.83295
2020-06-28,6.77345
2020-06-29,10.70938
2020-06-30,12.90617
2020-07-01,14.59954
2020-07-02,15.01144
2020-07-03,14.27917
2020-07-04,7.18535
2020-07-05,7.18535
2020-07-06,12.99771
2020-07-07,18.4897
2020-07-08,19.7254
2020-07-09,21.37299
2020-07-10,13.63844
2020-07-11,12.72311
2020-07-12,9.83981
2020-07-13,18.85583
2020-07-14,16.61327
2020-07-15,18.30663
2020-07-16,15.10297
2020-07-17,12.99771
2020-07-18,11.16704
2020-07-19,7.00228
2020-07-20,10.93821
2020-07-21,16.47597
2020-07-22,17.43707
2020-07-23,19.22196
2020-07-24,13.59267
2020-07-25,9.29061
2020-07-26,6.86498
2020-07-27,13.04347
2020-07-28,18.7643
2020-07-29,16.24713
2020-07-30,15.0572
2020-07-31,15.4691
2020-08-01,11.76201
2020-08-02,8.46681
2020-08-03,15.01144
2020-08-04,22.65446
2020-08-05,23.56979
2020-08-06,21.69336
2020-08-07,20.59496
2020-08-08,11.21281
2020-08-09,8.78718
2020-08-10,19.13043
2020-08-11,24.16475
2020-08-12,21.51029
2020-08-13,24.30205
2020-08-14,21.28146
2020-08-15,14.508
2020-08-16,9.74828
2020-08-17,10.75514
2020-08-18,20.13729
2020-08-19,22.56292
2020-08-20,20.27459
2020-08-21,28.46681
2020-08-22,20.82379
2020-08-23,11.67048
2020-08-24,21.18993
2020-08-25,25.35469
2020-08-26,30.16018
2020-08-27,31.76201
2020-08-28,31.25858
2020-08-29,22.05949
2020-08-30,17.254
2020-08-31,24.02745
2020-09-01,42.97482
2020-09-02,50.52631
2020-09-03,41.64759
2020-09-04,27.64302
2020-09-05,19.26773
2020-09-06,9.10755
2020-09-07,14.73684
2020-09-08,16.33867
2020-09-09,22.19679
2020-09-10,20.27459
2020-09-11,17.57437
2020-09-12,11.44164
2020-09-13,6.63615
2020-09-14,15.10297
2020-09-15,31.67048
2020-09-16,27.04805
2020-09-17,22.65446
2020-09-18,18.7643
2020-09-19,11.39588
2020-09-20,8.55835
2020-09-21,15.0572
2020-09-22,14.18764
2020-09-23,15.51487
2020-09-24,15.1945
2020-09-25,13.50114
2020-09-26,8.10068
2020-09-27,6.95652
2020-09-28,15.78947
2020-09-29,22.42562
2020-09-30,19.67963
