date,미수금
2020-03-20,56.76975
2020-03-21,16.6323
2020-03-22,14.7079
2020-03-23,66.5292
2020-03-24,56.90721
2020-03-25,63.50515
2020-03-26,65.49828
2020-03-27,58.14432
2020-03-28,19.0378
2020-03-29,16.6323
2020-03-30,67.0103
2020-03-31,71.95876
2020-04-01,60.89347
2020-04-02,61.58075
2020-04-03,56.21993
2020-04-04,15.25773
2020-04-05,12.43986
2020-04-06,53.33333
2020-04-07,51.20274
2020-04-08,51.47766
2020-04-09,53.47079
2020-04-10,51.68384
2020-04-11,13.47079
2020-04-12,16.01374
2020-04-13,52.23367
2020-04-14,52.57731
2020-04-15,20.54982
2020-04-16,52.85223
2020-04-17,51.68384
2020-04-18,12.23367
2020-04-19,15.87628
2020-04-20,52.09621
2020-04-21,50.17182
2020-04-22,51.68384
2020-04-23,51.75257
2020-04-24,46.5292
2020-04-25,13.12714
2020-04-26,13.53951
2020-04-27,44.94845
2020-04-28,48.24742
2020-04-29,42.95532
2020-04-30,16.90721
2020-05-01,16.1512
2020-05-02,11.61512
2020-05-03,12.7835
2020-05-04,46.39175
2020-05-05,20.13745
2020-05-06,50.79037
2020-05-07,52.43986
2020-05-08,41.16838
2020-05-09,15.46391
2020-05-10,11.89003
2020-05-11,49.8969
2020-05-12,45.29209
2020-05-13,47.14776
2020-05-14,42.26804
2020-05-15,42.47422
2020-05-16,12.71477
2020-05-17,11.61512
2020-05-18,38.96907
2020-05-19,41.03092
2020-05-20,41.85567
2020-05-21,42.81786
2020-05-22,38.21305
2020-05-23,10.378
2020-05-24,11.3402
2020-05-25,40.27491
2020-05-26,44.74226
2020-05-27,43.71134
2020-05-28,40.96219
2020-05-29,38.21305
2020-05-30,12.02749
2020-05-31,12.02749
2020-06-01,46.59793
2020-06-02,40.54982
2020-06-03,39.58762
2020-06-04,46.5292
2020-06-05,42.68041
2020-06-06,14.57044
2020-06-07,11.47766
2020-06-08,48.38487
2020-06-09,46.5292
2020-06-10,47.69759
2020-06-11,45.22336
2020-06-12,42.81786
2020-06-13,15.53264
2020-06-14,13.47079
2020-06-15,48.79725
2020-06-16,47.21649
2020-06-17,47.90378
2020-06-18,41.64948
2020-06-19,40.06872
2020-06-20,14.98281
2020-06-21,14.91408
2020-06-22,44.87972
2020-06-23,43.16151
2020-06-24,44.12371
2020-06-25,47.0103
2020-06-26,33.19587
2020-06-27,11.40893
2020-06-28,11.40893
2020-06-29,42.95532
2020-06-30,43.02405
2020-07-01,44.05498
2020-07-02,41.16838
2020-07-03,36.97594
2020-07-04,9.34707
2020-07-05,9.96563
2020-07-06,35.53264
2020-07-07,41.09965
2020-07-08,38.41924
2020-07-09,39.0378
2020-07-10,39.86254
2020-07-11,11.89003
2020-07-12,10.92783
2020-07-13,42.33676
2020-07-14,43.91752
2020-07-15,41.78694
2020-07-16,41.85567
2020-07-17,38.5567
2020-07-18,11.06529
2020-07-19,9.48453
2020-07-20,37.5945
2020-07-21,40.0
2020-07-22,43.98625
2020-07-23,39.72508
2020-07-24,34.77663
2020-07-25,10.51546
2020-07-26,9.62199
2020-07-27,42.95532
2020-07-28,42.47422
2020-07-29,37.25085
2020-07-30,37.38831
2020-07-31,37.25085
2020-08-01,12.02749
2020-08-02,10.65292
2020-08-03,38.00687
2020-08-04,41.23711
2020-08-05,40.48109
2020-08-06,38.5567
2020-08-07,37.45704
2020-08-08,11.75257
2020-08-09,12.92096
2020-08-10,43.23024
2020-08-11,47.0103
2020-08-12,45.97938
2020-08-13,44.32989
2020-08-14,40.68728
2020-08-15,12.02749
2020-08-16,11.54639
2020-08-17,14.02061
2020-08-18,41.78694
2020-08-19,42.47422
2020-08-20,46.94158
2020-08-21,37.45704
2020-08-22,12.85223
2020-08-23,9.14089
2020-08-24,47.35395
2020-08-25,46.11683
2020-08-26,43.84879
2020-08-27,45.97938
2020-08-28,41.09965
2020-08-29,9.27835
2020-08-30,9.75945
2020-08-31,53.05841
2020-09-01,56.49484
2020-09-02,59.31271
2020-09-03,55.12027
2020-09-04,49.75945
2020-09-05,11.3402
2020-09-06,12.50859
2020-09-07,51.75257
2020-09-08,53.05841
2020-09-09,55.32646
2020-09-10,57.45704
2020-09-11,49.48453
2020-09-12,13.67697
2020-09-13,12.16494
2020-09-14,47.42268
2020-09-15,49.00343
2020-09-16,48.10996
2020-09-17,47.14776
2020-09-18,44.12371
2020-09-19,13.7457
2020-09-20,14.43298
2020-09-21,48.17869
2020-09-22,44.12371
2020-09-23,41.85567
2020-09-24,46.39175
2020-09-25,39.38144
2020-09-26,14.43298
2020-09-27,13.81443
