date,박물관
2020-03-20,10.92964
2020-03-21,11.74623
2020-03-22,12.26968
2020-03-23,11.3484
2020-03-24,11.15996
2020-03-25,10.11306
2020-03-26,9.61055
2020-03-27,10.92964
2020-03-28,10.55276
2020-03-29,11.85092
2020-03-30,10.67839
2020-03-31,11.0134
2020-04-01,11.24371
2020-04-02,9.67336
2020-04-03,10.55276
2020-04-04,10.95058
2020-04-05,11.13902
2020-04-06,10.32244
2020-04-07,9.42211
2020-04-08,10.48994
2020-04-09,10.28056
2020-04-10,9.8618
2020-04-11,9.75711
2020-04-12,12.29061
2020-04-13,10.63651
2020-04-14,11.24371
2020-04-15,11.57872
2020-04-16,12.01842
2020-04-17,12.3953
2020-04-18,12.70938
2020-04-19,17.92294
2020-04-20,14.11222
2020-04-21,13.44221
2020-04-22,14.94974
2020-04-23,13.00251
2020-04-24,14.92881
2020-04-25,15.76633
2020-04-26,17.37855
2020-04-27,14.00753
2020-04-28,14.3216
2020-04-29,15.87102
2020-04-30,20.56113
2020-05-01,30.86264
2020-05-02,25.69095
2020-05-03,25.14656
2020-05-04,28.49664
2020-05-05,38.8819
2020-05-06,21.00083
2020-05-07,16.12227
2020-05-08,16.01758
2020-05-09,23.05276
2020-05-10,20.268
2020-05-11,13.40033
2020-05-12,13.75628
2020-05-13,14.97068
2020-05-14,13.60971
2020-05-15,14.7613
2020-05-16,17.54606
2020-05-17,17.92294
2020-05-18,16.05946
2020-05-19,14.69849
2020-05-20,14.09128
2020-05-21,14.7613
2020-05-22,15.09631
2020-05-23,18.19514
2020-05-24,22.08961
2020-05-25,13.33752
2020-05-26,14.09128
2020-05-27,13.14907
2020-05-28,26.42378
2020-05-29,20.72864
2020-05-30,15.97571
2020-05-31,15.91289
2020-06-01,11.74623
2020-06-02,13.19095
2020-06-03,14.3216
2020-06-04,11.68341
2020-06-05,14.44723
2020-06-06,18.96984
2020-06-07,17.98576
2020-06-08,14.67755
2020-06-09,13.42127
2020-06-10,13.08626
2020-06-11,14.78224
2020-06-12,16.5201
2020-06-13,18.84422
2020-06-14,21.08458
2020-06-15,14.17504
2020-06-16,13.56783
2020-06-17,14.44723
2020-06-18,13.58877
2020-06-19,14.42629
2020-06-20,17.79731
2020-06-21,21.06365
2020-06-22,15.51507
2020-06-23,14.86599
2020-06-24,16.58291
2020-06-25,14.48911
2020-06-26,16.14321
2020-06-27,21.23115
2020-06-28,22.86432
2020-06-29,14.51005
2020-06-30,13.94472
2020-07-01,14.07035
2020-07-02,14.63567
2020-07-03,16.6876
2020-07-04,19.6608
2020-07-05,19.95393
2020-07-06,16.0804
2020-07-07,15.85008
2020-07-08,14.02847
2020-07-09,16.14321
2020-07-10,16.58291
2020-07-11,23.65996
2020-07-12,25.48157
2020-07-13,16.66666
2020-07-14,15.66164
2020-07-15,14.61474
2020-07-16,14.55192
2020-07-17,17.81825
2020-07-18,24.2881
2020-07-19,39.53098
2020-07-20,41.01758
2020-07-21,25.67001
2020-07-22,22.52931
2020-07-23,24.22529
2020-07-24,25.04187
2020-07-25,33.91959
2020-07-26,32.83082
2020-07-27,26.23534
2020-07-28,25.73283
2020-07-29,30.42294
2020-07-30,30.69514
2020-07-31,33.31239
2020-08-01,48.01088
2020-08-02,48.82747
2020-08-03,40.85008
2020-08-04,43.1742
2020-08-05,40.15912
2020-08-06,35.61557
2020-08-07,36.32747
2020-08-08,44.53517
2020-08-09,41.6876
2020-08-10,30.067
