date,박셀바이오주가
2020-04-23,0.01208
2020-06-03,0.02658
2020-08-04,0.01933
2020-08-12,0.03625
2020-08-20,0.0145
2020-09-02,0.07493
2020-09-03,0.25621
2020-09-04,0.14261
2020-09-05,0.06284
2020-09-06,0.09426
2020-09-07,0.18853
2020-09-08,0.1136
2020-09-09,0.03867
2020-09-10,0.04109
2020-09-11,0.01692
2020-09-16,0.029
2020-09-17,0.02658
2020-09-18,0.029
2020-09-19,0.02658
2020-09-20,0.03384
2020-09-21,0.18128
2020-09-22,1.92163
2020-09-23,4.06564
2020-09-24,3.04561
2020-09-25,2.34222
2020-09-26,0.2127
2020-09-27,0.23929
2020-09-28,2.18268
2020-09-29,1.97239
2020-09-30,0.13777
2020-10-01,0.09185
2020-10-02,0.10393
2020-10-03,0.10393
2020-10-04,0.07734
2020-10-05,1.46721
2020-10-06,1.21582
2020-10-07,1.26658
2020-10-08,0.90884
2020-10-09,0.14019
2020-10-10,0.13536
2020-10-11,0.11602
2020-10-12,0.98861
2020-10-13,1.52522
2020-10-14,1.03937
2020-10-15,0.8605
2020-10-16,0.69613
2020-10-17,0.09426
2020-10-18,0.08701
2020-10-19,0.75173
2020-10-20,1.10705
2020-10-21,0.83633
2020-10-22,1.03454
2020-10-23,0.875
2020-10-24,0.13536
2020-10-25,0.08218
2020-10-26,2.80147
2020-10-27,4.21793
2020-10-28,4.05356
2020-10-29,4.26869
2020-10-30,13.56989
2020-10-31,2.3688
2020-11-01,1.90955
2020-11-02,17.66454
2020-11-03,25.47436
2020-11-04,31.86289
2020-11-05,14.93074
2020-11-06,37.62297
2020-11-07,5.15578
2020-11-08,4.01247
2020-11-09,26.78929
2020-11-10,24.4374
2020-11-11,21.20325
2020-11-12,17.94735
2020-11-13,16.66142
2020-11-14,3.27282
2020-11-15,3.29941
2020-11-16,21.30477
2020-11-17,35.92129
2020-11-18,17.81441
2020-11-19,47.54054
2020-11-20,32.84184
2020-11-21,4.03906
2020-11-22,3.2704
2020-11-23,23.46571
2020-11-24,20.12037
2020-11-25,20.61589
2020-11-26,20.68598
2020-11-27,16.59133
2020-11-28,2.11984
2020-11-29,1.68233
2020-11-30,14.27811
2020-12-01,23.78477
2020-12-02,19.03749
2020-12-03,16.94907
2020-12-04,28.00512
2020-12-05,3.79976
2020-12-06,3.65473
2020-12-07,19.64661
2020-12-08,18.80544
2020-12-09,22.84208
2020-12-10,18.2229
2020-12-11,16.43421
2020-12-12,2.7628
2020-12-13,2.41231
2020-12-14,31.11599
2020-12-15,28.82212
2020-12-16,22.68013
2020-12-17,20.82376
2020-12-18,27.42259
2020-12-19,5.41683
2020-12-20,4.38954
2020-12-21,38.63334
2020-12-22,39.33431
2020-12-23,31.80247
2020-12-24,29.60769
2020-12-25,5.60295
2020-12-26,5.20896
2020-12-27,5.90993
2020-12-28,30.87428
2020-12-29,56.56377
2020-12-30,74.08571
2020-12-31,15.1072
2021-01-01,8.27632
2021-01-02,7.90892
2021-01-03,7.83157
2021-01-04,75.79463
2021-01-05,93.50027
2021-01-06,41.57985
2021-01-07,84.20391
2021-01-08,73.34606
2021-01-09,12.53051
2021-01-10,9.84022
2021-01-11,69.71791
2021-01-12,50.31785
2021-01-13,53.33204
2021-01-14,62.97406
2021-01-15,52.76884
2021-01-16,7.09675
2021-01-17,5.47968
2021-01-18,40.43653
2021-01-19,41.61369
2021-01-20,47.82577
2021-01-21,47.84269
2021-01-22,51.46116
2021-01-23,7.36022
2021-01-24,6.06463
2021-01-25,48.45181
2021-01-26,48.9014
2021-01-27,42.06569
2021-01-28,43.82538
2021-01-29,44.69797
2021-01-30,6.04771
2021-01-31,5.26455
2021-02-01,42.30257
2021-02-02,40.21899
2021-02-03,33.85704
2021-02-04,30.12738
2021-02-05,32.40192
2021-02-06,5.55703
2021-02-07,4.4403
2021-02-08,33.9078
2021-02-09,29.1581
2021-02-10,28.01237
2021-02-11,3.88194
2021-02-12,3.17613
2021-02-13,3.08428
2021-02-14,3.09395
2021-02-15,30.71716
2021-02-16,28.43779
2021-02-17,31.91124
2021-02-18,30.66882
2021-02-19,27.90602
2021-02-20,4.00763
2021-02-21,3.326
2021-02-22,26.66602
2021-02-23,27.06968
2021-02-24,58.90116
2021-02-25,91.12421
2021-02-26,64.86669
2021-02-27,9.23593
2021-02-28,6.19032
2021-03-01,7.14993
2021-03-02,62.6985
2021-03-03,48.2246
2021-03-04,45.20074
2021-03-05,36.91474
2021-03-06,5.00108
2021-03-07,4.172
2021-03-08,34.31147
2021-03-09,34.87467
2021-03-10,31.59942
2021-03-11,29.57869
2021-03-12,39.80566
2021-03-13,6.1444
2021-03-14,4.91407
2021-03-15,37.92511
2021-03-16,36.7117
2021-03-17,34.62812
2021-03-18,30.3836
2021-03-19,33.15849
2021-03-20,6.08638
2021-03-21,5.1026
2021-03-22,45.68659
2021-03-23,34.76831
2021-03-24,30.72683
2021-03-25,43.66827
2021-03-26,30.74375
2021-03-27,4.19617
2021-03-28,3.68615
2021-03-29,29.91709
2021-03-30,25.2399
2021-03-31,23.67117
2021-04-01,23.27475
2021-04-02,21.71811
2021-04-03,3.21964
2021-04-04,2.69754
2021-04-05,22.86384
2021-04-06,22.52302
2021-04-07,25.12387
2021-04-08,22.99195
2021-04-09,21.77128
2021-04-10,3.2414
2021-04-11,2.51867
2021-04-12,19.81097
2021-04-13,23.19499
2021-04-14,20.70049
2021-04-15,20.61589
2021-04-16,18.60965
2021-04-17,3.13021
2021-04-18,2.55976
2021-04-19,18.86828
2021-04-20,18.54922
2021-04-21,19.88591
2021-04-22,17.92076
2021-04-23,18.88279
2021-04-24,2.62744
2021-04-25,1.9313
2021-04-26,18.90696
2021-04-27,24.4374
2021-04-28,22.39733
2021-04-29,19.72154
2021-04-30,18.33893
2021-05-01,2.62744
2021-05-02,2.1005
2021-05-03,20.10587
2021-05-04,19.31546
2021-05-05,3.14954
2021-05-06,27.96886
2021-05-07,20.38142
2021-05-08,2.19235
2021-05-09,1.82253
2021-05-10,19.43873
2021-05-11,20.61105
2021-05-12,17.67905
2021-05-13,16.28677
2021-05-14,16.3907
2021-05-15,2.20202
2021-05-16,1.80077
2021-05-17,16.84029
2021-05-18,16.71218
2021-05-19,2.48241
2021-05-20,16.81371
2021-05-21,20.05269
2021-05-22,2.00865
2021-05-23,1.86604
2021-05-24,15.8541
2021-05-25,18.3776
2021-05-26,17.60411
2021-05-27,31.81697
2021-05-28,21.48123
2021-05-29,2.64194
2021-05-30,2.22136
2021-05-31,24.49541
2021-06-01,23.28926
2021-06-02,17.23912
2021-06-03,17.84099
2021-06-04,15.90486
2021-06-05,1.89988
2021-06-06,1.91921
2021-06-07,15.87343
2021-06-08,17.16177
2021-06-09,14.33854
2021-06-10,17.1376
2021-06-11,17.38899
2021-06-12,2.13917
2021-06-13,1.89504
2021-06-14,23.62282
2021-06-15,22.41425
2021-06-16,19.81339
2021-06-17,17.93043
2021-06-18,17.9401
2021-06-19,2.17301
2021-06-20,1.86362
2021-06-21,14.83164
2021-06-22,14.57784
2021-06-23,14.39414
2021-06-24,16.03055
2021-06-25,13.82127
2021-06-26,2.07149
2021-06-27,1.63882
2021-06-28,16.23117
2021-06-29,13.22907
2021-06-30,14.11133
2021-07-01,13.66657
2021-07-02,12.39273
2021-07-03,1.60498
2021-07-04,1.41645
2021-07-05,13.53363
2021-07-06,12.94626
2021-07-07,12.43624
2021-07-08,12.56677
2021-07-09,11.52981
2021-07-10,1.47204
2021-07-11,1.44545
2021-07-12,12.07367
2021-07-13,13.51188
2021-07-14,10.72248
2021-07-15,11.03913
2021-07-16,11.04638
2021-07-17,1.78144
2021-07-18,1.53489
2021-07-19,50.51364
2021-07-20,28.26859
2021-07-21,22.86384
2021-07-22,17.90867
2021-07-23,14.8679
2021-07-24,2.18268
2021-07-25,2.04732
2021-07-26,15.33199
2021-07-27,13.52396
2021-07-28,12.3734
2021-07-29,12.95593
2021-07-30,13.56505
2021-07-31,1.79836
2021-08-01,1.24483
2021-08-02,12.11234
2021-08-03,11.71593
2021-08-04,12.15102
2021-08-05,13.09371
2021-08-06,12.43624
2021-08-07,1.55664
2021-08-08,1.3391
2021-08-09,12.61995
2021-08-10,13.47562
2021-08-11,13.31367
2021-08-12,13.03086
2021-08-13,15.00084
2021-08-14,1.84912
2021-08-15,1.46721
2021-08-16,2.1851
2021-08-17,13.70525
2021-08-18,15.08302
2021-08-19,18.6169
2021-08-20,14.36996
2021-08-21,1.80319
2021-08-22,1.31009
2021-08-23,13.44178
2021-08-24,16.49222
2021-08-25,20.97604
2021-08-26,14.58267
2021-08-27,15.65105
2021-08-28,2.16093
2021-08-29,1.78627
2021-08-30,19.60552
2021-08-31,17.97152
2021-09-01,16.48256
2021-09-02,16.41487
2021-09-03,16.42213
2021-09-04,1.92163
2021-09-05,1.5228
2021-09-06,13.44178
2021-09-07,12.13168
2021-09-08,11.55398
2021-09-09,11.8948
2021-09-10,11.62408
2021-09-11,1.47687
2021-09-12,1.16506
2021-09-13,9.99734
2021-09-14,11.5008
2021-09-15,11.98424
2021-09-16,12.10268
2021-09-17,16.50673
2021-09-18,1.46237
2021-09-19,1.06596
2021-09-20,0.95235
2021-09-21,0.79766
2021-09-22,1.23999
2021-09-23,13.63757
2021-09-24,11.46696
2021-09-25,1.55181
2021-09-26,1.07079
2021-09-27,11.74494
2021-09-28,11.94073
2021-09-29,12.31055
2021-09-30,11.15999
2021-10-01,11.08264
2021-10-02,1.38986
2021-10-03,0.97894
2021-10-04,1.63399
2021-10-05,13.45145
2021-10-06,13.48529
2021-10-07,11.81745
2021-10-08,10.57262
2021-10-09,1.08771
2021-10-10,0.96444
2021-10-11,1.18198
2021-10-12,9.95624
2021-10-13,9.87648
2021-10-14,10.84576
2021-10-15,11.23975
2021-10-16,1.15781
2021-10-17,0.97894
2021-10-18,8.44552
2021-10-19,8.67757
2021-10-20,8.84919
2021-10-21,11.50322
2021-10-22,8.55913
2021-10-23,1.02003
2021-10-24,0.82424
2021-10-25,8.29324
2021-10-26,14.00739
2021-10-27,9.52357
2021-10-28,8.84919
2021-10-29,7.99835
2021-10-30,1.00553
2021-10-31,0.70097
2021-11-01,8.88061
2021-11-02,10.05535
2021-11-03,8.87819
2021-11-04,9.19001
2021-11-05,8.19172
2021-11-06,1.00311
2021-11-07,0.98136
2021-11-08,9.67102
2021-11-09,8.8371
2021-11-10,8.19656
2021-11-11,8.0902
2021-11-12,8.63648
2021-11-13,1.41403
2021-11-14,0.9306
2021-11-15,9.26494
2021-11-16,7.921
2021-11-17,7.51734
2021-11-18,7.54151
2021-11-19,7.42307
2021-11-20,1.06112
2021-11-21,0.81941
2021-11-22,8.36334
2021-11-23,8.46728
2021-11-24,8.37059
2021-11-25,8.08295
2021-11-26,8.59781
2021-11-27,1.2835
2021-11-28,1.0998
2021-11-29,9.46073
2021-11-30,10.06985
2021-12-01,8.37784
2021-12-02,9.98283
2021-12-03,8.95796
2021-12-04,1.40919
2021-12-05,1.26417
2021-12-06,8.89028
2021-12-07,16.91523
2021-12-08,11.87305
2021-12-09,27.7634
2021-12-10,31.02898
2021-12-11,3.47103
2021-12-12,2.61777
2021-12-13,18.89729
2021-12-14,17.1376
2021-12-15,22.6898
2021-12-16,45.76635
2021-12-17,31.88465
2021-12-18,3.88194
2021-12-19,2.84257
2021-12-20,19.88107
2021-12-21,18.11655
2021-12-22,18.76676
2021-12-23,15.80092
2021-12-24,15.23289
2021-12-25,2.40264
2021-12-26,2.00623
2021-12-27,14.7277
2021-12-28,12.5571
2021-12-29,12.10751
2021-12-30,11.10439
2021-12-31,3.61122
2022-01-01,1.23999
2022-01-02,1.67992
2022-01-03,11.30743
2022-01-04,10.49044
2022-01-05,10.49044
2022-01-06,11.03913
2022-01-07,11.77878
2022-01-08,1.85153
2022-01-09,1.59048
2022-01-10,10.81192
2022-01-11,10.77324
2022-01-12,10.93036
2022-01-13,10.0626
2022-01-14,10.2463
2022-01-15,1.90955
2022-01-16,1.54939
2022-01-17,9.99975
2022-01-18,10.05051
2022-01-19,10.72732
2022-01-20,10.4711
2022-01-21,9.95624
2022-01-22,1.72101
2022-01-23,1.42128
2022-01-24,10.06018
2022-01-25,10.63546
2022-01-26,9.58642
2022-01-27,9.94658
2022-01-28,10.95453
2022-01-29,1.72101
2022-01-30,1.04904
2022-01-31,0.90401
2022-02-01,0.97894
2022-02-02,1.19407
2022-02-03,12.2187
2022-02-04,9.94658
2022-02-05,1.37052
2022-02-06,0.95719
2022-02-07,8.82985
2022-02-08,8.78393
2022-02-09,8.10712
2022-02-10,8.19656
2022-02-11,7.27562
2022-02-12,1.12639
2022-02-13,0.88226
2022-02-14,7.82915
2022-02-15,7.16685
2022-02-16,8.66307
2022-02-17,8.17239
2022-02-18,11.32435
2022-02-19,1.38986
2022-02-20,0.99103
2022-02-21,8.0757
2022-02-22,7.92825
2022-02-23,18.22049
2022-02-24,16.207
2022-02-25,10.9642
2022-02-26,1.30042
2022-02-27,0.85083
2022-02-28,8.44311
