date,반도체대장주
2020-03-20,10.4551
2020-03-21,7.62607
2020-03-22,8.36408
2020-03-23,8.73308
2020-03-24,12.05412
2020-03-25,22.50922
2020-03-26,13.28413
2020-03-27,14.39114
2020-03-28,7.99507
2020-03-29,6.02706
2020-03-30,5.90405
2020-03-31,7.74907
2020-04-01,7.87207
2020-04-02,6.39606
2020-04-03,4.79704
2020-04-04,4.79704
2020-04-05,4.30504
2020-04-06,7.99507
2020-04-07,15.49815
2020-04-08,8.97908
2020-04-09,9.84009
2020-04-10,7.87207
2020-04-11,4.79704
2020-04-12,3.56703
2020-04-13,3.93603
2020-04-14,6.51906
2020-04-15,5.28905
2020-04-16,5.28905
2020-04-17,9.34809
2020-04-18,4.55104
2020-04-19,4.18204
2020-04-20,5.04305
2020-04-21,5.53505
2020-04-22,8.97908
2020-04-23,6.64206
2020-04-24,3.81303
2020-04-25,2.33702
2020-04-26,1.47601
2020-04-27,5.78105
2020-04-28,2.58302
2020-04-29,5.78105
2020-04-30,3.93603
2020-05-01,4.67404
2020-05-02,1.59901
2020-05-03,2.33702
2020-05-04,2.82902
2020-05-05,2.46002
2020-05-06,4.05904
2020-05-07,7.01107
2020-05-08,8.73308
2020-05-09,3.32103
2020-05-10,5.78105
2020-05-11,5.16605
2020-05-12,4.05904
2020-05-13,5.41205
2020-05-14,3.81303
2020-05-15,4.05904
2020-05-16,3.07503
2020-05-17,3.56703
2020-05-18,4.92004
2020-05-19,7.01107
2020-05-20,8.36408
2020-05-21,9.22509
2020-05-22,6.51906
2020-05-23,3.69003
2020-05-24,8.85608
2020-05-25,5.65805
2020-05-26,7.50307
2020-05-27,7.62607
2020-05-28,5.65805
2020-05-29,3.44403
2020-05-30,2.95202
2020-05-31,4.55104
2020-06-01,8.73308
2020-06-02,9.84009
2020-06-03,9.84009
2020-06-04,8.24108
2020-06-05,5.53505
2020-06-06,4.67404
2020-06-07,3.69003
2020-06-08,2.21402
2020-06-09,2.82902
2020-06-10,5.65805
2020-06-11,4.05904
2020-06-12,3.69003
2020-06-13,2.33702
2020-06-14,2.46002
2020-06-15,5.04305
2020-06-16,5.78105
2020-06-17,5.04305
2020-06-18,4.92004
2020-06-19,4.30504
2020-06-20,3.44403
2020-06-21,3.81303
2020-06-22,4.05904
2020-06-23,4.30504
2020-06-24,6.76506
2020-06-25,5.65805
2020-06-26,5.78105
2020-06-27,2.95202
2020-06-28,3.56703
2020-06-29,1.72201
2020-06-30,5.53505
2020-07-01,4.05904
2020-07-02,4.79704
2020-07-03,2.70602
2020-07-04,0.984
2020-07-05,1.35301
2020-07-06,5.65805
2020-07-07,5.28905
2020-07-08,5.65805
2020-07-09,3.93603
2020-07-10,4.42804
2020-07-11,1.23001
2020-07-12,4.05904
2020-07-13,2.58302
2020-07-14,4.30504
2020-07-15,5.41205
2020-07-16,5.41205
2020-07-17,5.04305
2020-07-18,4.18204
2020-07-19,4.05904
2020-07-20,3.07503
2020-07-21,7.13407
2020-07-22,7.62607
2020-07-23,6.39606
2020-07-24,6.39606
2020-07-25,4.05904
2020-07-26,4.79704
2020-07-27,13.65313
2020-07-28,13.53013
2020-07-29,10.5781
2020-07-30,13.89913
2020-07-31,9.34809
2020-08-01,6.64206
2020-08-02,5.65805
2020-08-03,5.28905
2020-08-04,4.42804
2020-08-05,6.27306
2020-08-06,7.87207
2020-08-07,5.78105
2020-08-08,5.65805
2020-08-09,5.16605
2020-08-10,7.13407
2020-08-11,15.37515
2020-08-12,9.22509
2020-08-13,7.13407
2020-08-14,5.28905
2020-08-15,1.35301
2020-08-16,2.70602
2020-08-17,1.59901
2020-08-18,4.42804
2020-08-19,4.55104
2020-08-20,3.44403
2020-08-21,4.55104
2020-08-22,1.72201
2020-08-23,0.615
2020-08-24,2.82902
2020-08-25,1.23001
2020-08-26,3.44403
2020-08-27,5.41205
2020-08-28,4.67404
2020-08-29,3.44403
2020-08-30,5.53505
2020-08-31,4.18204
2020-09-01,3.32103
2020-09-02,4.67404
2020-09-03,9.34809
2020-09-04,5.65805
2020-09-05,4.79704
2020-09-06,3.44403
2020-09-07,7.25707
2020-09-08,7.50307
2020-09-09,5.90405
2020-09-10,6.76506
2020-09-11,7.62607
2020-09-12,4.79704
2020-09-13,3.19803
2020-09-14,7.87207
2020-09-15,20.6642
2020-09-16,10.9471
2020-09-17,5.16605
2020-09-18,3.44403
2020-09-19,2.46002
2020-09-20,2.58302
2020-09-21,1.23001
2020-09-22,2.58302
2020-09-23,5.28905
2020-09-24,5.65805
2020-09-25,5.16605
2020-09-26,3.56703
2020-09-27,2.82902
2020-09-28,7.01107
2020-09-29,8.24108
2020-09-30,2.09102
2020-10-01,3.93603
2020-10-02,2.95202
2020-10-03,0.861
2020-10-04,6.76506
2020-10-05,9.10209
2020-10-06,7.25707
2020-10-07,6.27306
2020-10-08,4.79704
2020-10-09,6.02706
2020-10-10,2.09102
2020-10-11,3.69003
2020-10-12,11.68511
2020-10-13,18.81918
2020-10-14,4.30504
2020-10-15,3.19803
2020-10-16,2.82902
2020-10-17,2.58302
2020-10-18,0.738
2020-10-19,2.70602
2020-10-20,3.69003
2020-10-21,2.82902
2020-10-22,2.21402
2020-10-23,3.44403
2020-10-24,2.09102
2020-10-25,1.35301
2020-10-26,3.69003
2020-10-27,7.38007
2020-10-28,7.62607
2020-10-29,6.27306
2020-10-30,6.39606
2020-10-31,2.82902
2020-11-01,5.28905
2020-11-02,4.67404
2020-11-03,3.69003
2020-11-04,6.76506
2020-11-05,6.39606
2020-11-06,7.01107
2020-11-07,4.30504
2020-11-08,3.81303
2020-11-09,5.78105
2020-11-10,7.13407
2020-11-11,8.61008
2020-11-12,8.85608
2020-11-13,6.02706
2020-11-14,5.16605
2020-11-15,4.67404
2020-11-16,15.49815
2020-11-17,8.85608
2020-11-18,10.0861
2020-11-19,7.87207
2020-11-20,7.38007
2020-11-21,6.15006
2020-11-22,5.65805
2020-11-23,11.31611
2020-11-24,12.91512
2020-11-25,13.89913
2020-11-26,15.62115
2020-11-27,11.43911
2020-11-28,6.27306
2020-11-29,4.79704
2020-11-30,7.87207
2020-12-01,7.99507
2020-12-02,18.94218
2020-12-03,16.72816
2020-12-04,13.03813
2020-12-05,8.48708
2020-12-06,10.8241
2020-12-07,16.48216
2020-12-08,14.51414
2020-12-09,18.20418
2020-12-10,15.74415
2020-12-11,12.42312
2020-12-12,5.78105
2020-12-13,8.36408
2020-12-14,10.9471
2020-12-15,15.25215
2020-12-16,15.49815
2020-12-17,21.40221
2020-12-18,19.92619
2020-12-19,10.7011
2020-12-20,12.79212
2020-12-21,16.48216
2020-12-22,13.53013
2020-12-23,21.15621
2020-12-24,14.14514
2020-12-25,16.11316
2020-12-26,25.33825
2020-12-27,20.7872
2020-12-28,50.9225
2020-12-29,41.32841
2020-12-30,43.05043
2020-12-31,41.94341
2021-01-01,55.10455
2021-01-02,53.75153
2021-01-03,57.19557
2021-01-04,67.28167
2021-01-05,100.0
2021-01-06,99.01599
2021-01-07,85.23985
2021-01-08,91.02091
2021-01-09,61.25461
2021-01-10,55.96555
2021-01-11,56.70356
2021-01-12,52.64452
2021-01-13,40.3444
2021-01-14,39.48339
2021-01-15,37.26937
2021-01-16,20.9102
2021-01-17,33.57933
2021-01-18,50.0615
2021-01-19,40.8364
2021-01-20,49.56949
2021-01-21,62.36162
2021-01-22,61.50061
2021-01-23,41.69741
2021-01-24,36.90036
2021-01-25,43.54243
2021-01-26,44.40344
2021-01-27,33.94833
2021-01-28,20.0492
2021-01-29,16.97416
2021-01-30,9.34809
2021-01-31,15.12915
2021-02-01,12.42312
2021-02-02,13.89913
2021-02-03,14.63714
2021-02-04,11.31611
2021-02-05,12.42312
2021-02-06,6.51906
2021-02-07,8.24108
2021-02-08,10.9471
2021-02-09,11.19311
2021-02-10,9.10209
2021-02-11,8.24108
2021-02-12,8.73308
2021-02-13,7.01107
2021-02-14,13.28413
2021-02-15,27.79827
2021-02-16,24.60024
2021-02-17,16.97416
2021-02-18,11.93111
2021-02-19,12.17712
2021-02-20,6.15006
2021-02-21,8.24108
2021-02-22,8.24108
2021-02-23,9.47109
2021-02-24,12.79212
2021-02-25,16.11316
2021-02-26,23.24723
2021-02-27,12.30012
2021-02-28,12.54612
2021-03-01,13.53013
2021-03-02,18.32718
2021-03-03,8.85608
2021-03-04,8.24108
2021-03-05,8.24108
2021-03-06,4.92004
2021-03-07,5.78105
2021-03-08,5.28905
2021-03-09,12.91512
2021-03-10,17.34317
2021-03-11,15.25215
2021-03-12,15.12915
2021-03-13,10.0861
2021-03-14,9.84009
2021-03-15,17.71217
2021-03-16,16.35916
2021-03-17,12.66912
2021-03-18,25.46125
2021-03-19,29.15129
2021-03-20,16.85116
2021-03-21,40.0984
2021-03-22,35.79335
2021-03-23,23.61623
2021-03-24,34.19434
2021-03-25,22.63222
2021-03-26,37.51537
2021-03-27,19.68019
2021-03-28,20.1722
