date,배당
2020-03-20,13.20547
2020-03-21,7.83561
2020-03-22,8.24657
2020-03-23,14.41095
2020-03-24,13.9452
2020-03-25,14.08219
2020-03-26,14.13698
2020-03-27,13.20547
2020-03-28,7.61643
2020-03-29,8.35616
2020-03-30,11.9178
2020-03-31,14.35616
2020-04-01,11.58904
2020-04-02,11.53424
2020-04-03,11.15068
2020-04-04,9.78082
2020-04-05,12.0
2020-04-06,12.02739
2020-04-07,12.10958
2020-04-08,10.54794
2020-04-09,11.23287
2020-04-10,10.65753
2020-04-11,6.52054
2020-04-12,7.12328
2020-04-13,9.64383
2020-04-14,10.73972
2020-04-15,100.0
2020-04-16,11.9726
2020-04-17,11.26027
2020-04-18,6.46575
2020-04-19,7.78082
2020-04-20,10.43835
2020-04-21,10.02739
2020-04-22,11.36986
2020-04-23,11.86301
2020-04-24,11.69863
2020-04-25,7.45205
2020-04-26,7.36986
2020-04-27,9.42465
2020-04-28,8.87671
2020-04-29,9.23287
2020-04-30,6.84931
2020-05-01,5.9452
2020-05-02,5.34246
2020-05-03,5.36986
2020-05-04,8.16438
2020-05-05,5.9726
2020-05-06,8.73972
2020-05-07,8.54794
2020-05-08,8.05479
2020-05-09,4.9863
2020-05-10,5.31506
2020-05-11,8.63013
2020-05-12,8.08219
2020-05-13,8.63013
2020-05-14,7.9178
2020-05-15,7.31506
2020-05-16,5.45205
2020-05-17,5.17808
2020-05-18,8.32876
2020-05-19,11.20547
2020-05-20,9.47945
2020-05-21,8.68493
2020-05-22,6.9589
2020-05-23,5.23287
2020-05-24,5.61643
2020-05-25,7.58904
2020-05-26,9.67123
2020-05-27,8.10958
2020-05-28,8.24657
2020-05-29,7.23287
2020-05-30,4.76712
2020-05-31,4.82191
2020-06-01,7.64383
2020-06-02,11.47945
2020-06-03,10.68493
2020-06-04,8.71232
2020-06-05,7.15068
2020-06-06,5.64383
2020-06-07,5.89041
2020-06-08,8.9863
2020-06-09,8.71232
2020-06-10,9.15068
2020-06-11,8.9863
2020-06-12,9.89041
2020-06-13,5.9178
2020-06-14,5.89041
2020-06-15,7.80821
2020-06-16,8.54794
2020-06-17,8.43835
2020-06-18,8.0
2020-06-19,7.89041
2020-06-20,6.49315
2020-06-21,6.43835
2020-06-22,9.04109
2020-06-23,8.05479
2020-06-24,8.9863
2020-06-25,9.39726
2020-06-26,9.15068
2020-06-27,4.65753
2020-06-28,4.49315
2020-06-29,8.10958
2020-06-30,8.0
2020-07-01,6.9589
2020-07-02,7.53424
2020-07-03,6.87671
2020-07-04,5.01369
2020-07-05,3.9452
2020-07-06,6.57534
2020-07-07,7.61643
2020-07-08,6.35616
2020-07-09,7.45205
2020-07-10,6.19178
2020-07-11,4.46575
2020-07-12,4.02739
2020-07-13,6.08219
2020-07-14,5.61643
2020-07-15,7.23287
2020-07-16,7.15068
2020-07-17,7.42465
2020-07-18,4.10958
2020-07-19,4.9041
2020-07-20,6.38356
2020-07-21,7.01369
2020-07-22,8.13698
2020-07-23,7.26027
2020-07-24,6.43835
2020-07-25,3.75342
2020-07-26,4.68493
2020-07-27,8.05479
2020-07-28,8.10958
2020-07-29,7.06849
2020-07-30,8.41095
2020-07-31,6.71232
2020-08-01,4.46575
2020-08-02,5.06849
2020-08-03,6.35616
2020-08-04,7.26027
2020-08-05,7.42465
2020-08-06,6.9315
2020-08-07,7.47945
2020-08-08,4.08219
2020-08-09,4.35616
2020-08-10,7.75342
2020-08-11,9.67123
2020-08-12,9.83561
2020-08-13,9.39726
2020-08-14,8.24657
2020-08-15,5.31506
2020-08-16,5.26027
2020-08-17,5.34246
2020-08-18,8.02739
2020-08-19,9.09589
2020-08-20,8.32876
2020-08-21,7.50684
2020-08-22,5.31506
2020-08-23,5.28767
2020-08-24,6.82191
2020-08-25,9.28767
2020-08-26,9.9178
2020-08-27,8.52054
2020-08-28,7.09589
2020-08-29,5.12328
2020-08-30,5.53424
2020-08-31,8.87671
2020-09-01,9.9726
2020-09-02,9.75342
2020-09-03,9.89041
2020-09-04,9.45205
2020-09-05,5.45205
2020-09-06,6.24657
2020-09-07,9.83561
2020-09-08,10.21917
2020-09-09,10.32876
2020-09-10,11.36986
2020-09-11,9.9452
2020-09-12,6.0
2020-09-13,5.72602
2020-09-14,9.42465
2020-09-15,10.46575
2020-09-16,9.9452
2020-09-17,9.64383
2020-09-18,10.73972
2020-09-19,7.17808
2020-09-20,7.28767
2020-09-21,9.64383
2020-09-22,11.31506
2020-09-23,10.19178
2020-09-24,9.80821
2020-09-25,8.82191
2020-09-26,5.53424
2020-09-27,5.39726
2020-09-28,8.41095
2020-09-29,8.02739
2020-09-30,6.0
2020-10-01,4.52054
2020-10-02,4.9315
2020-10-03,5.45205
2020-10-04,6.82191
2020-10-05,10.43835
2020-10-06,10.08219
2020-10-07,10.52054
2020-10-08,9.23287
2020-10-09,5.83561
2020-10-10,7.04109
2020-10-11,6.54794
2020-10-12,12.05479
2020-10-13,12.13698
2020-10-14,12.71232
2020-10-15,11.06849
2020-10-16,9.83561
2020-10-17,6.49315
2020-10-18,7.47945
2020-10-19,10.54794
2020-10-20,10.0
2020-10-21,11.23287
2020-10-22,10.32876
2020-10-23,12.60273
2020-10-24,6.13698
2020-10-25,6.41095
2020-10-26,12.68493
2020-10-27,12.24657
2020-10-28,10.87671
2020-10-29,8.35616
2020-10-30,8.43835
2020-10-31,5.01369
2020-11-01,5.06849
2020-11-02,7.9178
2020-11-03,8.19178
