date,법인
2020-03-20,32.02764
2020-03-21,19.06682
2020-03-22,21.71658
2020-03-23,33.75576
2020-03-24,37.21198
2020-03-25,38.53686
2020-03-26,64.91935
2020-03-27,42.91474
2020-03-28,26.72811
2020-03-29,25.51843
2020-03-30,37.03917
2020-03-31,33.17972
2020-04-01,35.19585
2020-04-02,34.56221
2020-04-03,32.66129
2020-04-04,19.23963
2020-04-05,19.75806
2020-04-06,31.50921
2020-04-07,35.42626
2020-04-08,35.65668
2020-04-09,33.81336
2020-04-10,31.10599
2020-04-11,17.10829
2020-04-12,19.81566
2020-04-13,34.447
2020-04-14,31.85483
2020-04-15,21.48617
2020-04-16,34.5046
2020-04-17,31.79723
2020-04-18,20.21889
2020-04-19,21.77419
2020-04-20,36.86635
2020-04-21,52.41935
2020-04-22,69.12442
2020-04-23,61.0599
2020-04-24,50.0576
2020-04-25,24.65437
2020-04-26,23.5599
2020-04-27,36.57834
2020-04-28,33.52534
2020-04-29,33.87096
2020-04-30,22.06221
2020-05-01,25.17281
2020-05-02,17.68433
2020-05-03,21.02534
2020-05-04,27.70737
2020-05-05,26.44009
2020-05-06,37.15437
2020-05-07,35.42626
2020-05-08,30.93317
2020-05-09,20.50691
2020-05-10,21.08294
2020-05-11,47.63824
2020-05-12,42.91474
2020-05-13,35.36866
2020-05-14,34.5046
2020-05-15,32.14285
2020-05-16,20.56451
2020-05-17,20.56451
2020-05-18,37.32718
2020-05-19,34.61981
2020-05-20,32.31566
2020-05-21,32.20046
2020-05-22,28.45622
2020-05-23,18.54838
2020-05-24,21.37096
2020-05-25,31.68202
2020-05-26,34.10138
2020-05-27,32.60368
2020-05-28,29.49308
2020-05-29,30.18433
2020-05-30,16.87788
2020-05-31,20.04608
2020-06-01,31.22119
2020-06-02,31.22119
2020-06-03,31.68202
2020-06-04,32.20046
2020-06-05,28.97465
2020-06-06,18.02995
2020-06-07,18.54838
2020-06-08,40.14976
2020-06-09,41.41705
2020-06-10,43.49078
2020-06-11,40.7258
2020-06-12,31.79723
2020-06-13,21.65898
2020-06-14,21.77419
2020-06-15,32.25806
2020-06-16,37.32718
2020-06-17,72.23502
2020-06-18,53.1682
2020-06-19,41.76267
2020-06-20,27.18894
2020-06-21,29.89631
2020-06-22,38.47926
2020-06-23,36.29032
2020-06-24,35.82949
2020-06-25,35.59907
2020-06-26,31.50921
2020-06-27,23.21428
2020-06-28,22.46543
2020-06-29,36.0599
2020-06-30,34.56221
2020-07-01,31.85483
2020-07-02,32.20046
2020-07-03,27.76497
2020-07-04,16.24423
2020-07-05,17.68433
2020-07-06,30.52995
2020-07-07,30.87557
2020-07-08,30.99078
2020-07-09,31.68202
2020-07-10,30.47235
2020-07-11,16.30184
2020-07-12,29.55069
2020-07-13,30.47235
2020-07-14,31.68202
2020-07-15,30.29953
2020-07-16,30.70276
2020-07-17,32.25806
2020-07-18,19.41244
2020-07-19,18.894
2020-07-20,30.41474
2020-07-21,32.66129
2020-07-22,29.66589
2020-07-23,31.3364
2020-07-24,28.05299
2020-07-25,16.87788
2020-07-26,16.87788
2020-07-27,28.85944
2020-07-28,38.82488
2020-07-29,35.13824
2020-07-30,28.57142
2020-07-31,23.84792
2020-08-01,14.80414
2020-08-02,15.14976
2020-08-03,27.07373
2020-08-04,26.15207
2020-08-05,27.82258
2020-08-06,26.15207
2020-08-07,25.40322
2020-08-08,15.38018
2020-08-09,14.86175
2020-08-10,26.38248
2020-08-11,26.90092
2020-08-12,28.05299
2020-08-13,27.47695
2020-08-14,23.09907
2020-08-15,15.84101
2020-08-16,13.82488
2020-08-17,18.54838
2020-08-18,27.07373
2020-08-19,26.84331
2020-08-20,26.09447
2020-08-21,35.71428
2020-08-22,20.4493
2020-08-23,16.99308
2020-08-24,28.28341
2020-08-25,30.01152
2020-08-26,27.93778
2020-08-27,28.34101
2020-08-28,23.5599
2020-08-29,15.84101
2020-08-30,14.40092
2020-08-31,30.24193
2020-09-01,30.70276
2020-09-02,31.50921
2020-09-03,31.85483
2020-09-04,27.59216
2020-09-05,16.82027
2020-09-06,16.41705
2020-09-07,30.01152
2020-09-08,33.17972
2020-09-09,31.85483
2020-09-10,32.60368
2020-09-11,28.62903
2020-09-12,19.47004
2020-09-13,20.56451
2020-09-14,34.10138
2020-09-15,37.09677
2020-09-16,35.82949
2020-09-17,34.15898
2020-09-18,30.81797
2020-09-19,19.12442
2020-09-20,17.74193
2020-09-21,28.62903
2020-09-22,33.29493
2020-09-23,32.77649
2020-09-24,33.23732
2020-09-25,27.30414
2020-09-26,20.04608
2020-09-27,21.31336
2020-09-28,28.74423
2020-09-29,27.24654
2020-09-30,15.7258
2020-10-01,17.97235
2020-10-02,14.68894
2020-10-03,15.20737
2020-10-04,17.51152
