date,법인세
2020-03-20,29.88378
2020-03-21,14.0011
2020-03-22,16.38074
2020-03-23,42.46448
2020-03-24,38.79358
2020-03-25,36.11879
2020-03-26,35.01199
2020-03-27,32.52167
2020-03-28,12.52536
2020-03-29,10.68068
2020-03-30,42.33536
2020-03-31,42.3907
2020-04-01,20.0332
2020-04-02,14.55451
2020-04-03,12.69138
2020-04-04,6.47482
2020-04-05,6.5855
2020-04-06,14.22246
2020-04-07,14.16712
2020-04-08,14.038
2020-04-09,15.34772
2020-04-10,13.4108
2020-04-11,6.62239
2020-04-12,6.64084
2020-04-13,13.76129
2020-04-14,13.02342
2020-04-15,9.29717
2020-04-16,14.55451
2020-04-17,12.91274
2020-04-18,5.66316
2020-04-19,5.66316
2020-04-20,12.74672
2020-04-21,14.97878
2020-04-22,15.67976
2020-04-23,16.14093
2020-04-24,12.32244
2020-04-25,6.40103
2020-04-26,6.30879
2020-04-27,13.171
2020-04-28,13.26323
2020-04-29,10.49621
2020-04-30,6.34569
2020-05-01,5.97675
2020-05-02,5.47869
2020-05-03,5.23888
2020-05-04,11.19719
2020-05-05,6.25345
2020-05-06,10.38553
2020-05-07,12.10108
2020-05-08,9.27873
2020-05-09,6.40103
2020-05-10,6.12433
2020-05-11,10.90204
2020-05-12,11.62147
2020-05-13,11.04962
2020-05-14,10.62534
2020-05-15,9.48164
2020-05-16,4.66703
2020-05-17,4.99907
2020-05-18,10.16417
2020-05-19,10.60689
2020-05-20,11.34477
2020-05-21,11.28942
2020-05-22,8.41173
2020-05-23,4.86995
2020-05-24,5.4418
2020-05-25,11.49234
2020-05-26,11.52923
2020-05-27,10.86515
2020-05-28,10.31175
2020-05-29,9.24183
2020-05-30,5.10975
2020-05-31,5.38646
2020-06-01,9.4263
2020-06-02,9.53698
2020-06-03,10.07194
2020-06-04,9.99815
2020-06-05,8.26415
2020-06-06,4.92529
2020-06-07,5.42335
2020-06-08,10.33019
2020-06-09,10.99428
2020-06-10,11.51079
2020-06-11,10.36709
2020-06-12,9.61077
2020-06-13,5.22043
2020-06-14,5.81073
2020-06-15,10.93894
2020-06-16,10.99428
2020-06-17,15.66131
2020-06-18,11.78749
2020-06-19,10.44087
2020-06-20,5.77384
2020-06-21,6.51171
2020-06-22,9.9797
2020-06-23,10.42243
2020-06-24,11.49234
2020-06-25,12.35934
2020-06-26,10.07194
2020-06-27,5.90296
2020-06-28,4.99907
2020-06-29,11.82438
2020-06-30,11.91662
2020-07-01,10.10883
2020-07-02,10.2933
2020-07-03,8.41173
2020-07-04,4.03984
2020-07-05,4.33499
2020-07-06,10.27485
2020-07-07,9.20494
2020-07-08,10.16417
2020-07-09,10.66223
2020-07-10,10.03504
2020-07-11,4.13207
2020-07-12,4.75926
2020-07-13,9.1127
2020-07-14,9.94281
2020-07-15,9.51853
2020-07-16,9.24183
2020-07-17,8.37483
2020-07-18,4.72237
2020-07-19,4.03984
2020-07-20,10.14572
2020-07-21,9.92436
2020-07-22,13.28168
2020-07-23,11.67681
2020-07-24,9.33407
2020-07-25,3.76314
2020-07-26,4.48256
2020-07-27,9.44475
2020-07-28,9.86902
2020-07-29,9.99815
2020-07-30,9.38941
2020-07-31,8.17192
2020-08-01,3.83693
2020-08-02,4.00295
2020-08-03,9.22339
2020-08-04,11.06806
2020-08-05,10.25641
2020-08-06,10.49621
2020-08-07,10.21951
2020-08-08,3.94761
2020-08-09,4.5748
2020-08-10,15.51374
2020-08-11,13.42925
2020-08-12,13.4108
2020-08-13,13.30012
2020-08-14,10.20106
2020-08-15,4.05829
2020-08-16,3.32042
2020-08-17,5.7185
2020-08-18,12.50691
2020-08-19,12.28555
2020-08-20,13.39236
2020-08-21,11.19719
2020-08-22,3.9845
2020-08-23,3.87382
2020-08-24,13.1341
2020-08-25,13.7244
2020-08-26,12.65449
2020-08-27,12.19332
2020-08-28,10.90204
2020-08-29,4.27965
2020-08-30,4.59324
2020-08-31,14.97878
2020-09-01,12.35934
2020-09-02,12.35934
2020-09-03,12.76517
2020-09-04,9.99815
2020-09-05,5.6816
2020-09-06,4.79616
2020-09-07,12.54381
2020-09-08,11.67681
2020-09-09,10.77292
2020-09-10,11.03117
2020-09-11,9.20494
2020-09-12,4.77771
2020-09-13,4.18741
2020-09-14,9.7399
2020-09-15,10.66223
2020-09-16,9.27873
2020-09-17,8.57775
2020-09-18,8.43017
2020-09-19,4.27965
2020-09-20,4.07673
2020-09-21,8.74377
2020-09-22,9.26028
2020-09-23,9.79524
2020-09-24,9.13115
2020-09-25,7.95056
2020-09-26,3.74469
2020-09-27,5.33111
2020-09-28,8.81756
2020-09-29,7.80298
2020-09-30,4.07673
2020-10-01,3.59712
2020-10-02,3.59712
2020-10-03,4.74082
2020-10-04,4.68548
2020-10-05,10.49621
2020-10-06,10.97583
2020-10-07,9.92436
2020-10-08,9.13115
2020-10-09,6.40103
2020-10-10,5.05441
2020-10-11,5.27577
2020-10-12,10.57
2020-10-13,11.04962
2020-10-14,10.79136
2020-10-15,9.55543
2020-10-16,9.1127
2020-10-17,4.94373
2020-10-18,4.13207
2020-10-19,10.8467
2020-10-20,11.36321
2020-10-21,10.90204
2020-10-22,11.19719
2020-10-23,9.24183
2020-10-24,4.29809
2020-10-25,5.64471
2020-10-26,12.37779
2020-10-27,11.9904
2020-10-28,11.65836
2020-10-29,10.51466
2020-10-30,8.63309
2020-10-31,4.50101
2020-11-01,4.5379
2020-11-02,11.19719
2020-11-03,12.04574
2020-11-04,12.37779
2020-11-05,13.85353
2020-11-06,10.2933
2020-11-07,5.57092
2020-11-08,5.73694
2020-11-09,11.08651
2020-11-10,12.47002
2020-11-11,10.05349
2020-11-12,10.55155
2020-11-13,9.05736
2020-11-14,4.59324
2020-11-15,5.01752
2020-11-16,11.10496
2020-11-17,12.35934
2020-11-18,11.60302
2020-11-19,9.81368
2020-11-20,8.72532
2020-11-21,5.22043
2020-11-22,4.07673
2020-11-23,10.44087
2020-11-24,9.50009
2020-11-25,9.03892
2020-11-26,9.62921
2020-11-27,8.81756
2020-11-28,4.79616
2020-11-29,4.90684
2020-11-30,10.58845
2020-12-01,10.71757
2020-12-02,9.66611
