date,법정상속인
2020-03-20,49.25373
2020-03-21,29.85074
2020-03-22,38.0597
2020-03-23,49.25373
2020-03-24,67.91044
2020-03-25,79.10447
2020-03-26,60.44776
2020-03-27,60.44776
2020-03-28,27.61194
2020-03-29,28.3582
2020-03-30,64.1791
2020-03-31,63.43283
2020-04-01,41.04477
2020-04-02,59.70149
2020-04-03,55.22388
2020-04-04,19.40298
2020-04-05,29.10447
2020-04-06,61.19402
2020-04-07,54.47761
2020-04-08,68.65671
2020-04-09,64.92537
2020-04-10,53.73134
2020-04-11,17.16417
2020-04-12,26.86567
2020-04-13,71.64179
2020-04-14,42.53731
2020-04-15,31.34328
2020-04-16,46.26865
2020-04-17,58.20895
2020-04-18,31.34328
2020-04-19,62.68656
2020-04-20,64.92537
2020-04-21,64.1791
2020-04-22,70.14925
2020-04-23,74.62686
2020-04-24,55.97014
2020-04-25,20.14925
2020-04-26,20.14925
2020-04-27,70.14925
2020-04-28,66.41791
2020-04-29,46.26865
2020-04-30,20.14925
2020-05-01,27.61194
2020-05-02,20.89552
2020-05-03,15.67164
2020-05-04,56.71641
2020-05-05,27.61194
2020-05-06,57.46268
2020-05-07,50.74626
2020-05-08,45.52238
2020-05-09,21.64179
2020-05-10,41.04477
2020-05-11,50.0
2020-05-12,63.43283
2020-05-13,59.70149
2020-05-14,56.71641
2020-05-15,51.49253
2020-05-16,34.32835
2020-05-17,37.31343
2020-05-18,61.19402
2020-05-19,50.74626
2020-05-20,46.26865
2020-05-21,66.41791
2020-05-22,45.52238
2020-05-23,41.79104
2020-05-24,16.41791
2020-05-25,50.74626
2020-05-26,50.0
2020-05-27,49.25373
2020-05-28,47.01492
2020-05-29,57.46268
2020-05-30,36.56716
2020-05-31,44.77611
2020-06-01,61.19402
2020-06-02,64.1791
2020-06-03,44.77611
2020-06-04,65.67164
2020-06-05,52.2388
2020-06-06,20.14925
2020-06-07,23.88059
2020-06-08,58.20895
2020-06-09,55.97014
2020-06-10,59.70149
2020-06-11,48.50746
2020-06-12,53.73134
2020-06-13,18.65671
2020-06-14,18.65671
2020-06-15,47.01492
2020-06-16,61.19402
2020-06-17,56.71641
2020-06-18,58.20895
2020-06-19,64.92537
