date,베트남환율
2020-03-20,17.13257
2020-03-21,9.10596
2020-03-22,7.62226
2020-03-23,16.12964
2020-03-24,14.11423
2020-03-25,14.35303
2020-03-26,13.45835
2020-03-27,13.59844
2020-03-28,8.26222
2020-03-29,6.98229
2020-03-30,12.15613
2020-03-31,12.17205
2020-04-01,15.90359
2020-04-02,10.7393
2020-04-03,10.94307
2020-04-04,6.44103
2020-04-05,5.89658
2020-04-06,10.56737
2020-04-07,10.54508
2020-04-08,10.37315
2020-04-09,10.56737
2020-04-10,10.25216
2020-04-11,6.32322
2020-04-12,5.72147
2020-04-13,9.98471
2020-04-14,9.33838
2020-04-15,7.48217
2020-04-16,9.43071
2020-04-17,9.18874
2020-04-18,5.5368
2020-04-19,5.26617
2020-04-20,9.08685
2020-04-21,9.51349
2020-04-22,8.70478
2020-04-23,9.04546
2020-04-24,8.84806
2020-04-25,6.65753
2020-04-26,5.60685
2020-04-27,9.75229
2020-04-28,9.27152
2020-04-29,9.26197
2020-04-30,6.67345
2020-05-01,6.45695
2020-05-02,5.6355
2020-05-03,6.25318
2020-05-04,9.71408
2020-05-05,7.63499
2020-05-06,9.71726
2020-05-07,9.13779
2020-05-08,9.78094
2020-05-09,5.82335
2020-05-10,5.31393
2020-05-11,9.40843
2020-05-12,9.03273
2020-05-13,8.85443
2020-05-14,8.35455
2020-05-15,8.1667
2020-05-16,5.33303
2020-05-17,5.25025
2020-05-18,8.82259
2020-05-19,9.33201
2020-05-20,9.03909
2020-05-21,8.97542
2020-05-22,8.21446
2020-05-23,5.79788
2020-05-24,5.5177
2020-05-25,9.82552
2020-05-26,9.65677
2020-05-27,9.67587
2020-05-28,8.57106
2020-05-29,9.22058
2020-05-30,6.29139
2020-05-31,5.7947
2020-06-01,10.31265
2020-06-02,10.42409
2020-06-03,11.17868
2020-06-04,9.32883
2020-06-05,10.45275
2020-06-06,6.71803
2020-06-07,5.65461
2020-06-08,10.89212
2020-06-09,11.67855
2020-06-10,12.50318
2020-06-11,11.00356
2020-06-12,9.20147
2020-06-13,6.24681
2020-06-14,6.05896
2020-06-15,10.29992
2020-06-16,9.91148
2020-06-17,10.3031
2020-06-18,9.18555
2020-06-19,7.8897
2020-06-20,5.37124
2020-06-21,4.54342
2020-06-22,8.88945
2020-06-23,8.10939
2020-06-24,9.04228
2020-06-25,8.4055
2020-06-26,8.68886
2020-06-27,5.23433
2020-06-28,5.35213
2020-06-29,8.91492
2020-06-30,9.27789
2020-07-01,8.55832
2020-07-02,8.04253
2020-07-03,7.4949
2020-07-04,5.88385
2020-07-05,5.0624
2020-07-06,8.78438
2020-07-07,9.29062
2020-07-08,8.18581
2020-07-09,9.05501
2020-07-10,8.55832
2020-07-11,5.5368
2020-07-12,4.91594
2020-07-13,8.17944
2020-07-14,8.05527
2020-07-15,8.10939
2020-07-16,7.81329
2020-07-17,7.47898
2020-07-18,4.93504
2020-07-19,5.4572
2020-07-20,7.70504
2020-07-21,8.07755
2020-07-22,8.78757
2020-07-23,7.68593
2020-07-24,8.17944
2020-07-25,5.52088
2020-07-26,5.4572
2020-07-27,8.32908
2020-07-28,10.34449
2020-07-29,8.51057
2020-07-30,8.71434
2020-07-31,8.83851
2020-08-01,5.87111
2020-08-02,5.17065
2020-08-03,8.58061
2020-08-04,8.1476
2020-08-05,8.96905
2020-08-06,9.6313
2020-08-07,8.51057
2020-08-08,6.43785
2020-08-09,5.40944
2020-08-10,10.01018
2020-08-11,8.89263
2020-08-12,8.09029
2020-08-13,7.94065
2020-08-14,7.53311
2020-08-15,5.67689
2020-08-16,5.11334
2020-08-17,6.88359
2020-08-18,7.60952
2020-08-19,8.14123
2020-08-20,8.79075
2020-08-21,7.48853
2020-08-22,8.05845
2020-08-23,5.2598
2020-08-24,7.88334
2020-08-25,8.29088
2020-08-26,8.16989
2020-08-27,8.29724
2020-08-28,7.53311
2020-08-29,5.76604
2020-08-30,5.79788
2020-08-31,9.23013
2020-09-01,9.00089
2020-09-02,7.56495
2020-09-03,7.86423
2020-09-04,8.07755
2020-09-05,5.51133
2020-09-06,4.98917
2020-09-07,8.23357
2020-09-08,8.28769
2020-09-09,8.1476
2020-09-10,8.345
2020-09-11,7.20835
2020-09-12,4.98917
2020-09-13,4.6071
2020-09-14,8.05845
2020-09-15,8.56151
2020-09-16,9.45618
2020-09-17,8.73344
2020-09-18,12.5382
2020-09-19,7.52674
2020-09-20,5.98255
2020-09-21,11.61805
2020-09-22,9.65995
2020-09-23,10.09615
2020-09-24,9.48484
2020-09-25,10.75522
2020-09-26,7.32297
2020-09-27,6.13219
2020-09-28,8.94358
2020-09-29,8.40868
2020-09-30,7.48217
2020-10-01,6.22771
2020-10-02,6.46013
2020-10-03,6.01439
2020-10-04,6.00165
2020-10-05,10.44638
2020-10-06,11.18504
2020-10-07,10.42409
2020-10-08,11.83774
2020-10-09,10.20122
2020-10-10,7.37073
2020-10-11,6.05896
2020-10-12,12.28031
2020-10-13,10.29355
2020-10-14,10.16301
2020-10-15,10.25853
2020-10-16,9.35112
2020-10-17,5.85201
2020-10-18,5.15473
2020-10-19,9.8478
2020-10-20,10.284
2020-10-21,12.17205
