date,병원예약어플
2020-03-20,7.09876
2020-03-21,7.09876
2020-03-22,4.62962
2020-03-23,10.03086
2020-03-24,6.94444
2020-03-25,6.94444
2020-03-26,7.87037
2020-03-27,6.01851
2020-03-28,2.93209
2020-03-29,3.7037
2020-03-30,7.4074
2020-03-31,8.33333
2020-04-01,3.39506
2020-04-02,3.7037
2020-04-03,2.46913
2020-04-04,2.31481
2020-04-05,1.23456
2020-04-06,4.32098
2020-04-07,3.39506
2020-04-08,3.24074
2020-04-09,2.31481
2020-04-10,4.01234
2020-04-11,2.93209
2020-04-12,3.54938
2020-04-13,7.56172
2020-04-14,7.87037
2020-04-15,5.40123
2020-04-16,5.86419
2020-04-17,6.94444
2020-04-18,4.78395
2020-04-19,5.24691
2020-04-20,9.25925
2020-04-21,4.93827
2020-04-22,6.94444
2020-04-23,7.71604
2020-04-24,6.94444
2020-04-25,7.4074
2020-04-26,3.7037
2020-04-27,12.03703
2020-04-28,5.70987
2020-04-29,6.48148
2020-04-30,4.93827
2020-05-01,10.64814
2020-05-02,4.16666
2020-05-03,4.78395
2020-05-04,9.25925
2020-05-05,4.78395
2020-05-06,13.42592
2020-05-07,9.5679
2020-05-08,7.71604
2020-05-09,7.71604
2020-05-10,5.55555
2020-05-11,11.41975
2020-05-12,8.33333
2020-05-13,10.03086
2020-05-14,10.64814
2020-05-15,9.41358
2020-05-16,9.10493
2020-05-17,7.25308
2020-05-18,12.5
2020-05-19,8.48765
2020-05-20,8.48765
2020-05-21,12.5
2020-05-22,10.95679
2020-05-23,8.33333
2020-05-24,6.79012
2020-05-25,11.88271
2020-05-26,10.18518
2020-05-27,7.4074
2020-05-28,9.87654
2020-05-29,12.03703
2020-05-30,10.49382
2020-05-31,2.31481
2020-06-01,8.79629
2020-06-02,3.08641
2020-06-03,3.7037
2020-06-04,7.4074
2020-06-05,9.41358
2020-06-06,6.6358
2020-06-07,6.48148
2020-06-08,13.11728
2020-06-09,10.80246
2020-06-10,9.41358
2020-06-11,10.80246
2020-06-12,7.56172
2020-06-13,5.70987
2020-06-14,4.16666
2020-06-15,9.87654
2020-06-16,6.94444
2020-06-17,7.71604
2020-06-18,4.78395
2020-06-19,5.09259
2020-06-20,4.78395
2020-06-21,5.09259
2020-06-22,6.79012
2020-06-23,5.55555
2020-06-24,4.32098
2020-06-25,4.4753
2020-06-26,5.55555
2020-06-27,3.54938
2020-06-28,3.08641
2020-06-29,7.56172
2020-06-30,11.88271
2020-07-01,7.56172
2020-07-02,6.6358
2020-07-03,6.17283
2020-07-04,6.32716
2020-07-05,3.54938
2020-07-06,12.03703
2020-07-07,13.2716
2020-07-08,7.87037
2020-07-09,10.64814
2020-07-10,7.71604
2020-07-11,6.48148
2020-07-12,7.25308
2020-07-13,9.25925
2020-07-14,12.19135
2020-07-15,9.72222
2020-07-16,10.18518
2020-07-17,9.87654
2020-07-18,7.87037
2020-07-19,6.01851
2020-07-20,11.41975
2020-07-21,7.87037
2020-07-22,8.02469
2020-07-23,10.18518
2020-07-24,10.80246
2020-07-25,8.02469
2020-07-26,7.09876
2020-07-27,14.96913
2020-07-28,9.72222
2020-07-29,9.10493
2020-07-30,11.11111
2020-07-31,10.18518
2020-08-01,9.5679
2020-08-02,7.56172
2020-08-03,11.88271
2020-08-04,9.87654
2020-08-05,8.48765
2020-08-06,7.87037
2020-08-07,8.17901
2020-08-08,5.09259
2020-08-09,5.24691
2020-08-10,9.41358
2020-08-11,7.71604
2020-08-12,7.71604
2020-08-13,9.41358
2020-08-14,8.64197
2020-08-15,5.70987
2020-08-16,6.01851
2020-08-17,13.11728
2020-08-18,12.96296
2020-08-19,7.87037
2020-08-20,1.69753
2020-08-21,3.7037
2020-08-22,4.4753
2020-08-23,3.85802
2020-08-24,7.71604
2020-08-25,5.70987
2020-08-26,6.32716
2020-08-27,5.86419
2020-08-28,3.54938
2020-08-29,3.08641
2020-08-30,3.54938
2020-08-31,5.55555
2020-09-01,5.40123
2020-09-02,4.93827
2020-09-03,6.17283
2020-09-04,6.17283
2020-09-05,5.09259
2020-09-06,3.85802
2020-09-07,13.11728
2020-09-08,15.74074
2020-09-09,10.64814
2020-09-10,12.34567
2020-09-11,14.81481
2020-09-12,10.64814
2020-09-13,6.32716
2020-09-14,15.89506
2020-09-15,13.58024
2020-09-16,13.58024
2020-09-17,16.51234
2020-09-18,7.56172
2020-09-19,6.17283
2020-09-20,7.87037
2020-09-21,31.6358
2020-09-22,12.5
2020-09-23,10.03086
2020-09-24,10.95679
2020-09-25,21.29629
2020-09-26,20.98765
2020-09-27,9.25925
2020-09-28,26.85185
2020-09-29,16.9753
2020-09-30,6.01851
2020-10-01,4.78395
2020-10-02,8.79629
2020-10-03,8.48765
2020-10-04,9.72222
2020-10-05,25.7716
2020-10-06,21.14197
2020-10-07,17.90123
2020-10-08,16.9753
2020-10-09,14.81481
2020-10-10,15.43209
2020-10-11,7.4074
2020-10-12,20.67901
2020-10-13,24.53703
2020-10-14,23.91975
2020-10-15,17.74691
2020-10-16,21.29629
2020-10-17,14.35185
2020-10-18,5.40123
2020-10-19,16.82098
2020-10-20,9.87654
2020-10-21,8.95061
2020-10-22,10.64814
2020-10-23,7.56172
2020-10-24,6.79012
2020-10-25,6.48148
2020-10-26,10.3395
2020-10-27,15.27777
2020-10-28,18.98148
2020-10-29,14.19753
2020-10-30,15.74074
2020-10-31,11.57407
2020-11-01,10.95679
2020-11-02,17.59259
2020-11-03,16.35802
2020-11-04,14.96913
2020-11-05,12.80864
2020-11-06,9.72222
2020-11-07,11.88271
2020-11-08,8.17901
2020-11-09,19.44444
2020-11-10,12.5
2020-11-11,12.5
2020-11-12,13.58024
2020-11-13,10.3395
2020-11-14,11.72839
2020-11-15,8.33333
2020-11-16,15.27777
2020-11-17,12.19135
2020-11-18,10.3395
2020-11-19,10.80246
2020-11-20,9.5679
2020-11-21,8.79629
2020-11-22,6.94444
2020-11-23,12.80864
2020-11-24,9.10493
2020-11-25,8.33333
2020-11-26,6.6358
2020-11-27,11.41975
2020-11-28,6.6358
2020-11-29,5.86419
2020-11-30,12.65432
2020-12-01,10.3395
2020-12-02,8.17901
2020-12-03,7.71604
2020-12-04,9.72222
2020-12-05,9.25925
2020-12-06,4.93827
2020-12-07,10.18518
2020-12-08,9.10493
2020-12-09,6.48148
2020-12-10,9.72222
2020-12-11,9.25925
2020-12-12,5.70987
2020-12-13,5.24691
2020-12-14,6.94444
2020-12-15,7.71604
2020-12-16,5.86419
2020-12-17,8.17901
2020-12-18,8.64197
2020-12-19,5.70987
2020-12-20,4.78395
2020-12-21,8.02469
2020-12-22,6.32716
2020-12-23,4.62962
2020-12-24,4.78395
2020-12-25,4.16666
2020-12-26,5.55555
2020-12-27,6.32716
2020-12-28,9.87654
2020-12-29,9.10493
2020-12-30,8.33333
2020-12-31,8.02469
2021-01-01,4.4753
2021-01-02,7.4074
2021-01-03,6.32716
