date,보험조회
2020-03-20,38.76852
2020-03-21,20.75256
2020-03-22,20.06841
2020-03-23,38.76852
2020-03-24,41.3911
2020-03-25,44.46978
2020-03-26,46.97833
2020-03-27,39.79475
2020-03-28,22.12086
2020-03-29,18.70011
2020-03-30,40.13683
2020-03-31,42.18928
2020-04-01,34.43557
2020-04-02,38.08437
2020-04-03,32.49714
2020-04-04,21.20866
2020-04-05,18.12998
2020-04-06,35.57582
2020-04-07,36.48802
2020-04-08,40.70695
2020-04-09,38.1984
2020-04-10,32.26909
2020-04-11,15.62143
2020-04-12,18.01596
2020-04-13,34.43557
2020-04-14,36.48802
2020-04-15,17.67388
2020-04-16,29.98859
2020-04-17,32.26909
2020-04-18,14.25313
2020-04-19,17.44583
2020-04-20,35.0057
2020-04-21,37.62827
2020-04-22,35.9179
2020-04-23,32.26909
2020-04-24,32.04104
2020-04-25,17.67388
2020-04-26,16.07753
2020-04-27,42.41733
2020-04-28,36.374
2020-04-29,31.58494
2020-04-30,19.61231
2020-05-01,20.52451
2020-05-02,18.24401
2020-05-03,17.10376
2020-05-04,36.03192
2020-05-05,23.37514
2020-05-06,41.61915
2020-05-07,35.0057
2020-05-08,36.60205
2020-05-09,20.63854
2020-05-10,15.73546
2020-05-11,36.94412
2020-05-12,41.3911
2020-05-13,36.48802
2020-05-14,32.95324
2020-05-15,32.38312
2020-05-16,17.33181
2020-05-17,15.27936
2020-05-18,43.2155
2020-05-19,34.5496
2020-05-20,36.8301
2020-05-21,34.66362
2020-05-22,28.62029
2020-05-23,18.01596
2020-05-24,15.73546
2020-05-25,40.4789
2020-05-26,38.54047
2020-05-27,30.44469
2020-05-28,31.24287
2020-05-29,29.07639
2020-05-30,12.42873
2020-05-31,14.70923
2020-06-01,32.49714
2020-06-02,28.96237
2020-06-03,33.18129
2020-06-04,29.98859
2020-06-05,25.42759
2020-06-06,13.2269
2020-06-07,12.54275
2020-06-08,28.62029
2020-06-09,25.19954
2020-06-10,32.15507
2020-06-11,24.97149
2020-06-12,22.80501
2020-06-13,12.7708
2020-06-14,14.48118
2020-06-15,33.6374
2020-06-16,26.56784
2020-06-17,31.12884
2020-06-18,28.96237
2020-06-19,25.31356
2020-06-20,14.02508
2020-06-21,9.46408
2020-06-22,27.93614
2020-06-23,28.16419
2020-06-24,29.53249
2020-06-25,27.36602
2020-06-26,25.54161
2020-06-27,14.48118
2020-06-28,12.20068
2020-06-29,32.15507
2020-06-30,32.38312
2020-07-01,27.93614
2020-07-02,29.19042
2020-07-03,24.51539
2020-07-04,11.74458
2020-07-05,12.88483
2020-07-06,32.61117
2020-07-07,29.98859
2020-07-08,31.24287
2020-07-09,27.82212
2020-07-10,25.88369
2020-07-11,13.11288
2020-07-12,14.82326
2020-07-13,32.15507
2020-07-14,29.30444
2020-07-15,31.35689
2020-07-16,29.30444
2020-07-17,25.54161
2020-07-18,12.65678
2020-07-19,12.08665
2020-07-20,31.58494
2020-07-21,34.0935
2020-07-22,29.53249
2020-07-23,30.44469
2020-07-24,27.36602
2020-07-25,15.62143
2020-07-26,14.82326
2020-07-27,33.75142
2020-07-28,30.90079
2020-07-29,30.78677
2020-07-30,34.5496
2020-07-31,20.63854
2020-08-01,14.48118
2020-08-02,13.91106
2020-08-03,30.10262
2020-08-04,31.01482
2020-08-05,26.90992
2020-08-06,26.11174
2020-08-07,28.73432
2020-08-08,14.82326
2020-08-09,14.59521
2020-08-10,34.43557
2020-08-11,32.04104
2020-08-12,32.38312
2020-08-13,30.21664
2020-08-14,29.87457
2020-08-15,15.39338
2020-08-16,13.45496
2020-08-17,18.92816
2020-08-18,34.20752
2020-08-19,34.32155
2020-08-20,35.23375
2020-08-21,31.69897
2020-08-22,20.75256
2020-08-23,20.06841
2020-08-24,34.77765
2020-08-25,35.9179
2020-08-26,32.15507
2020-08-27,36.60205
2020-08-28,28.50627
2020-08-29,16.19156
2020-08-30,16.87571
2020-08-31,37.62827
2020-09-01,33.6374
2020-09-02,32.04104
2020-09-03,27.93614
2020-09-04,22.80501
2020-09-05,18.70011
2020-09-06,15.96351
2020-09-07,33.18129
2020-09-08,28.05017
2020-09-09,29.76054
2020-09-10,32.61117
2020-09-11,32.95324
2020-09-12,15.16533
2020-09-13,15.73546
2020-09-14,29.98859
2020-09-15,30.10262
2020-09-16,29.76054
2020-09-17,26.56784
2020-09-18,23.71721
2020-09-19,16.07753
2020-09-20,13.56898
2020-09-21,35.4618
2020-09-22,37.2862
2020-09-23,37.40022
2020-09-24,35.4618
2020-09-25,32.95324
2020-09-26,16.64766
2020-09-27,13.11288
2020-09-28,37.51425
2020-09-29,28.96237
2020-09-30,14.82326
2020-10-01,15.73546
2020-10-02,14.48118
2020-10-03,13.34093
2020-10-04,13.91106
2020-10-05,45.26795
2020-10-06,40.25085
2020-10-07,40.0228
2020-10-08,36.8301
2020-10-09,16.87571
2020-10-10,15.27936
2020-10-11,15.50741
2020-10-12,42.3033
2020-10-13,38.88255
2020-10-14,34.89167
2020-10-15,34.43557
2020-10-16,31.01482
2020-10-17,16.76168
2020-10-18,13.45496
2020-10-19,34.32155
