date,부가가치세
2020-03-20,30.66229
2020-03-21,12.08727
2020-03-22,10.46534
2020-03-23,23.22842
2020-03-24,23.53736
2020-03-25,22.99671
2020-03-26,23.09326
2020-03-27,21.27823
2020-03-28,10.65842
2020-03-29,10.00193
2020-03-30,25.27514
2020-03-31,24.17455
2020-04-01,24.03938
2020-04-02,35.74049
2020-04-03,40.43251
2020-04-04,15.87178
2020-04-05,13.28441
2020-04-06,37.49758
2020-04-07,37.15002
2020-04-08,45.54933
2020-04-09,42.8268
2020-04-10,36.03012
2020-04-11,15.40837
2020-04-12,14.23054
2020-04-13,41.41726
2020-04-14,36.66731
2020-04-15,15.75593
2020-04-16,31.89804
2020-04-17,34.19579
2020-04-18,15.92971
2020-04-19,14.17262
2020-04-20,35.5474
2020-04-21,37.55551
2020-04-22,37.82583
2020-04-23,38.36648
2020-04-24,34.0027
2020-04-25,14.75188
2020-04-26,13.99884
2020-04-27,40.23942
2020-04-28,27.12878
2020-04-29,24.21316
2020-04-30,12.1452
2020-05-01,13.90229
2020-05-02,10.05985
2020-05-03,11.0446
2020-05-04,23.98146
2020-05-05,12.41552
2020-05-06,23.47943
2020-05-07,23.32496
2020-05-08,22.37883
2020-05-09,11.41146
2020-05-10,10.81289
2020-05-11,22.66846
2020-05-12,23.26703
2020-05-13,23.55667
2020-05-14,23.88491
2020-05-15,30.56574
2020-05-16,12.41552
2020-05-17,10.19501
2020-05-18,24.34832
2020-05-19,23.92353
2020-05-20,22.5333
2020-05-21,21.70303
2020-05-22,19.57906
2020-05-23,10.40741
2020-05-24,11.9328
2020-05-25,24.79243
2020-05-26,25.06275
2020-05-27,23.05464
2020-05-28,21.87681
2020-05-29,20.9886
2020-05-30,10.42672
2020-05-31,10.09847
2020-06-01,22.59123
2020-06-02,21.12376
2020-06-03,18.80671
2020-06-04,17.82197
2020-06-05,17.08824
2020-06-06,9.51921
2020-06-07,9.63506
2020-06-08,18.07298
2020-06-09,20.11971
2020-06-10,21.8575
2020-06-11,19.36667
2020-06-12,15.75593
2020-06-13,10.07916
2020-06-14,9.82815
2020-06-15,20.7569
2020-06-16,20.39003
2020-06-17,19.90731
2020-06-18,17.6675
2020-06-19,19.50183
2020-06-20,9.92469
2020-06-21,8.47653
2020-06-22,21.70303
2020-06-23,21.50994
2020-06-24,21.201
2020-06-25,23.34427
2020-06-26,19.27012
2020-06-27,9.03649
2020-06-28,9.63506
2020-06-29,30.10233
2020-06-30,30.72021
2020-07-01,35.39293
2020-07-02,30.60436
2020-07-03,37.18864
2020-07-04,13.59335
2020-07-05,12.1452
2020-07-06,35.41224
2020-07-07,36.72523
2020-07-08,31.72427
2020-07-09,35.9915
2020-07-10,31.26086
2020-07-11,13.59335
2020-07-12,13.11063
2020-07-13,37.92237
2020-07-14,42.8268
2020-07-15,48.67735
2020-07-16,46.64993
2020-07-17,41.24348
2020-07-18,20.06178
2020-07-19,19.59837
2020-07-20,54.87545
2020-07-21,53.33075
2020-07-22,69.9942
2020-07-23,65.74628
2020-07-24,63.96987
2020-07-25,23.86561
2020-07-26,26.89708
2020-07-27,62.2707
2020-07-28,28.09422
2020-07-29,22.35952
2020-07-30,19.38598
2020-07-31,18.07298
2020-08-01,7.20216
2020-08-02,6.4105
2020-08-03,16.25796
2020-08-04,14.84842
2020-08-05,15.81386
2020-08-06,15.38907
2020-08-07,14.09538
2020-08-08,7.02838
2020-08-09,6.56497
2020-08-10,27.59219
2020-08-11,21.16238
2020-08-12,22.34022
2020-08-13,20.1004
2020-08-14,15.54354
2020-08-15,8.05174
2020-08-16,7.68488
2020-08-17,9.84746
2020-08-18,18.28538
2020-08-19,17.91851
2020-08-20,19.17358
2020-08-21,17.24271
2020-08-22,8.34137
2020-08-23,7.33732
2020-08-24,21.06584
2020-08-25,19.48252
2020-08-26,18.07298
2020-08-27,18.22745
2020-08-28,16.18072
2020-08-29,7.78142
2020-08-30,7.72349
2020-08-31,20.35141
2020-09-01,17.51303
2020-09-02,16.47036
2020-09-03,16.66344
2020-09-04,14.07607
2020-09-05,6.89322
2020-09-06,7.76211
2020-09-07,17.76404
2020-09-08,18.15022
2020-09-09,17.18478
2020-09-10,20.44796
2020-09-11,18.86464
2020-09-12,8.37999
2020-09-13,8.3993
2020-09-14,18.42054
2020-09-15,20.33211
2020-09-16,20.94999
2020-09-17,17.84128
2020-09-18,14.61672
2020-09-19,8.66962
2020-09-20,20.39003
2020-09-21,17.74473
2020-09-22,18.65224
2020-09-23,17.72542
2020-09-24,19.75284
2020-09-25,16.75999
2020-09-26,8.95925
2020-09-27,7.91658
2020-09-28,18.96118
2020-09-29,15.35045
2020-09-30,6.48773
2020-10-01,5.15543
2020-10-02,13.55474
2020-10-03,9.86676
2020-10-04,9.90538
2020-10-05,24.34832
2020-10-06,23.55667
2020-10-07,24.83104
2020-10-08,30.58505
2020-10-09,13.22649
2020-10-10,11.00598
2020-10-11,10.77428
2020-10-12,37.40104
2020-10-13,36.03012
2020-10-14,31.78219
2020-10-15,26.99362
2020-10-16,22.70708
2020-10-17,12.01004
2020-10-18,11.19907
2020-10-19,31.51187
2020-10-20,33.5586
2020-10-21,29.581
2020-10-22,28.4804
2020-10-23,26.54952
2020-10-24,10.73566
2020-10-25,12.95616
2020-10-26,32.41938
2020-10-27,20.42865
2020-10-28,18.26607
2020-10-29,17.39718
2020-10-30,15.85248
2020-10-31,8.97856
2020-11-01,7.76211
2020-11-02,18.42054
2020-11-03,21.39409
2020-11-04,16.83722
2020-11-05,19.30874
2020-11-06,15.0222
2020-11-07,8.51515
2020-11-08,7.7428
2020-11-09,17.49372
2020-11-10,18.36261
2020-11-11,18.92257
2020-11-12,17.12685
2020-11-13,15.33114
2020-11-14,6.77737
2020-11-15,7.72349
2020-11-16,19.4439
2020-11-17,19.48252
2020-11-18,17.57095
2020-11-19,16.3545
2020-11-20,15.21529
2020-11-21,7.64626
2020-11-22,7.49179
2020-11-23,18.51708
2020-11-24,18.47847
2020-11-25,17.72542
2020-11-26,19.57906
2020-11-27,17.47441
2020-11-28,9.65437
2020-11-29,8.86271
2020-11-30,21.93473
2020-12-01,19.2122
2020-12-02,18.42054
2020-12-03,20.23556
2020-12-04,16.48966
2020-12-05,9.82815
2020-12-06,9.90538
2020-12-07,19.28943
2020-12-08,20.62174
2020-12-09,18.45916
2020-12-10,20.08109
2020-12-11,15.58215
2020-12-12,8.55377
2020-12-13,9.22958
2020-12-14,19.19289
2020-12-15,19.98455
2020-12-16,20.79552
2020-12-17,20.71828
2020-12-18,16.75999
2020-12-19,8.57308
2020-12-20,9.22958
2020-12-21,19.57906
2020-12-22,17.68681
2020-12-23,18.78741
2020-12-24,13.4775
2020-12-25,6.54566
2020-12-26,6.98976
2020-12-27,8.1869
2020-12-28,20.15833
2020-12-29,29.05966
2020-12-30,24.36763
2020-12-31,16.06487
2021-01-01,10.1757
2021-01-02,11.62386
2021-01-03,14.17262
2021-01-04,36.60938
2021-01-05,36.45491
2021-01-06,41.49449
2021-01-07,47.94361
2021-01-08,41.35933
2021-01-09,19.6563
2021-01-10,19.30874
2021-01-11,44.46804
2021-01-12,40.25873
2021-01-13,45.7038
2021-01-14,43.03919
2021-01-15,43.11643
2021-01-16,22.12782
2021-01-17,19.84939
2021-01-18,53.44661
2021-01-19,54.12241
2021-01-20,54.50859
2021-01-21,51.38057
2021-01-22,49.4497
2021-01-23,24.63796
2021-01-24,25.60339
2021-01-25,67.3296
2021-01-26,40.39389
2021-01-27,45.29832
2021-01-28,40.95385
2021-01-29,30.4692
2021-01-30,15.56284
2021-01-31,13.90229
2021-02-01,26.95501
2021-02-02,27.09017
2021-02-03,24.58003
2021-02-04,29.19482
2021-02-05,22.43676
2021-02-06,11.06391
2021-02-07,10.96736
2021-02-08,24.75381
2021-02-09,21.95404
2021-02-10,19.6563
2021-02-11,9.11372
2021-02-12,9.2875
2021-02-13,8.16759
2021-02-14,12.10658
2021-02-15,28.28731
2021-02-16,32.40007
2021-02-17,29.71616
2021-02-18,28.46109
2021-02-19,27.74666
2021-02-20,13.18787
2021-02-21,14.96427
2021-02-22,36.93763
2021-02-23,38.46302
2021-02-24,41.70689
2021-02-25,44.97007
2021-02-26,19.32805
2021-02-27,9.11372
2021-02-28,14.28847
2021-03-01,14.19192
2021-03-02,21.23962
2021-03-03,20.58312
2021-03-04,17.14616
2021-03-05,15.25391
2021-03-06,8.72755
2021-03-07,9.46128
2021-03-08,39.89187
2021-03-09,27.74666
2021-03-10,24.13593
2021-03-11,21.10446
2021-03-12,17.62888
2021-03-13,10.81289
2021-03-14,9.44197
2021-03-15,20.85344
2021-03-16,21.00791
2021-03-17,21.87681
2021-03-18,22.61054
2021-03-19,19.28943
2021-03-20,10.27225
2021-03-21,9.4999
2021-03-22,19.09635
2021-03-23,21.47132
2021-03-24,20.35141
2021-03-25,20.77621
2021-03-26,17.80266
2021-03-27,8.86271
2021-03-28,8.82409
2021-03-29,26.25989
2021-03-30,26.02819
2021-03-31,21.97335
2021-04-01,21.23962
2021-04-02,19.19289
2021-04-03,9.30681
2021-04-04,9.07511
2021-04-05,21.29754
2021-04-06,20.73759
2021-04-07,32.34215
2021-04-08,37.28519
2021-04-09,30.97122
2021-04-10,14.24985
2021-04-11,11.9328
2021-04-12,36.18459
2021-04-13,32.80556
2021-04-14,27.72736
2021-04-15,31.64703
2021-04-16,25.64201
2021-04-17,12.99478
2021-04-18,11.33423
2021-04-19,31.76288
2021-04-20,30.43058
2021-04-21,32.59316
2021-04-22,27.76597
2021-04-23,25.87372
2021-04-24,11.9328
2021-04-25,12.35759
2021-04-26,32.65109
2021-04-27,22.9774
2021-04-28,22.34022
2021-04-29,20.00386
2021-04-30,18.84533
2021-05-01,9.24888
2021-05-02,8.68893
2021-05-03,18.45916
2021-05-04,16.97238
2021-05-05,9.30681
2021-05-06,18.24676
2021-05-07,16.87584
2021-05-08,8.30276
2021-05-09,13.63197
2021-05-10,22.35952
2021-05-11,20.71828
2021-05-12,20.1004
2021-05-13,18.53639
2021-05-14,18.1116
2021-05-15,8.59239
2021-05-16,7.78142
2021-05-17,21.58717
2021-05-18,19.69492
2021-05-19,10.42672
2021-05-20,20.64105
2021-05-21,18.90326
2021-05-22,9.67368
2021-05-23,8.66962
2021-05-24,21.4134
2021-05-25,22.14713
2021-05-26,20.13902
2021-05-27,21.47132
2021-05-28,19.67561
2021-05-29,8.57308
2021-05-30,9.46128
2021-05-31,21.56787
2021-06-01,17.30063
2021-06-02,16.31589
2021-06-03,17.12685
2021-06-04,15.33114
2021-06-05,8.10967
2021-06-06,8.90133
2021-06-07,18.59432
2021-06-08,17.16547
2021-06-09,19.50183
2021-06-10,20.1004
2021-06-11,15.04151
2021-06-12,8.59239
2021-06-13,8.78547
2021-06-14,15.81386
2021-06-15,18.324
2021-06-16,16.95307
2021-06-17,17.04962
2021-06-18,15.25391
2021-06-19,8.49584
2021-06-20,7.87796
2021-06-21,17.8992
2021-06-22,17.35856
2021-06-23,16.48966
2021-06-24,18.94188
2021-06-25,15.27321
2021-06-26,6.97045
2021-06-27,8.57308
2021-06-28,19.28943
2021-06-29,19.50183
2021-06-30,21.25893
2021-07-01,44.62251
2021-07-02,28.07491
2021-07-03,11.87487
2021-07-04,11.64317
2021-07-05,29.05966
2021-07-06,27.84321
2021-07-07,26.83915
2021-07-08,30.16026
2021-07-09,28.69279
2021-07-10,12.02934
2021-07-11,11.85557
2021-07-12,38.15408
2021-07-13,39.15813
2021-07-14,38.55956
2021-07-15,41.41726
2021-07-16,34.63989
2021-07-17,20.44796
2021-07-18,21.14307
2021-07-19,53.67831
2021-07-20,55.74435
2021-07-21,54.74029
2021-07-22,59.25854
2021-07-23,60.03089
2021-07-24,25.58408
2021-07-25,28.77003
2021-07-26,60.20467
2021-07-27,26.35643
2021-07-28,20.04247
2021-07-29,16.64413
2021-07-30,14.15331
2021-07-31,8.01312
2021-08-01,6.95114
2021-08-02,14.82911
2021-08-03,13.49681
2021-08-04,13.57404
2021-08-05,13.43888
2021-08-06,11.68179
2021-08-07,6.14018
2021-08-08,5.86985
2021-08-09,22.34022
2021-08-10,18.94188
2021-08-11,15.79455
2021-08-12,16.31589
2021-08-13,13.76713
2021-08-14,6.70013
2021-08-15,5.98571
2021-08-16,7.35663
2021-08-17,16.1228
2021-08-18,16.25796
2021-08-19,14.40432
2021-08-20,13.86368
2021-08-21,6.44912
2021-08-22,7.10561
2021-08-23,14.46225
2021-08-24,15.52423
2021-08-25,16.7986
2021-08-26,20.25487
2021-08-27,15.08013
2021-08-28,6.6229
2021-08-29,6.71944
2021-08-30,17.84128
2021-08-31,17.26201
2021-09-01,15.15736
2021-09-02,15.15736
2021-09-03,13.67059
2021-09-04,6.93184
2021-09-05,6.8546
2021-09-06,14.67464
2021-09-07,14.71326
2021-09-08,17.37787
2021-09-09,15.73662
2021-09-10,14.88704
2021-09-11,7.7428
2021-09-12,7.62695
2021-09-13,17.03031
2021-09-14,18.88395
2021-09-15,16.97238
2021-09-16,15.83317
2021-09-17,12.80169
2021-09-18,6.68082
2021-09-19,6.08225
2021-09-20,4.09345
2021-09-21,4.61479
2021-09-22,6.27534
2021-09-23,17.04962
2021-09-24,16.45105
2021-09-25,7.54972
2021-09-26,8.34137
2021-09-27,18.82602
2021-09-28,19.36667
2021-09-29,19.63699
2021-09-30,28.94381
2021-10-01,19.79146
2021-10-02,12.18381
2021-10-03,9.42266
2021-10-04,10.65842
2021-10-05,23.98146
2021-10-06,21.29754
2021-10-07,20.64105
2021-10-08,23.53736
2021-10-09,10.92875
2021-10-10,8.24483
2021-10-11,13.43888
2021-10-12,38.59818
2021-10-13,32.30353
2021-10-14,27.45703
2021-10-15,21.66441
2021-10-16,10.69704
2021-10-17,9.13303
2021-10-18,27.59219
2021-10-19,25.56478
2021-10-20,26.10542
2021-10-21,25.27514
2021-10-22,23.53736
2021-10-23,9.40335
2021-10-24,10.8322
2021-10-25,33.59721
2021-10-26,21.08515
2021-10-27,18.98049
2021-10-28,16.85653
2021-10-29,15.29252
2021-10-30,7.89727
2021-10-31,8.05174
2021-11-01,14.86773
2021-11-02,16.70206
2021-11-03,15.31183
2021-11-04,17.04962
2021-11-05,13.94091
2021-11-06,7.20216
2021-11-07,7.20216
2021-11-08,16.64413
2021-11-09,17.16547
2021-11-10,17.8992
2021-11-11,16.7986
2021-11-12,13.65128
2021-11-13,7.10561
2021-11-14,6.58428
2021-11-15,16.08418
2021-11-16,16.81791
2021-11-17,15.85248
2021-11-18,17.2234
2021-11-19,12.33828
2021-11-20,6.70013
2021-11-21,7.78142
2021-11-22,15.9104
2021-11-23,17.87989
2021-11-24,17.64819
2021-11-25,18.20814
2021-11-26,14.88704
2021-11-27,7.5111
2021-11-28,6.39119
2021-11-29,17.47441
2021-11-30,20.77621
2021-12-01,18.63294
2021-12-02,18.1116
2021-12-03,15.50492
2021-12-04,7.9552
2021-12-05,7.89727
2021-12-06,17.70612
2021-12-07,18.47847
2021-12-08,18.5557
2021-12-09,19.84939
2021-12-10,18.16953
2021-12-11,8.86271
2021-12-12,8.43792
2021-12-13,18.26607
2021-12-14,20.04247
2021-12-15,18.07298
2021-12-16,16.87584
2021-12-17,15.56284
2021-12-18,7.62695
2021-12-19,7.64626
2021-12-20,16.83722
2021-12-21,16.39312
2021-12-22,15.75593
2021-12-23,16.04556
2021-12-24,12.74377
2021-12-25,5.5223
2021-12-26,7.10561
2021-12-27,15.17667
2021-12-28,16.99169
2021-12-29,17.31994
2021-12-30,16.91446
2021-12-31,15.50492
2022-01-01,9.34543
2022-01-02,12.60861
2022-01-03,48.36841
2022-01-04,64.60706
2022-01-05,44.41011
2022-01-06,45.54933
2022-01-07,34.0027
2022-01-08,15.52423
2022-01-09,16.5669
2022-01-10,40.6256
2022-01-11,37.78721
2022-01-12,50.80131
2022-01-13,45.2597
2022-01-14,39.04228
2022-01-15,25.89302
2022-01-16,25.31376
2022-01-17,56.65186
2022-01-18,62.6955
2022-01-19,59.89573
2022-01-20,67.75439
2022-01-21,61.13149
2022-01-22,31.28016
2022-01-23,38.05754
2022-01-24,90.82834
2022-01-25,83.47171
2022-01-26,32.30353
2022-01-27,21.87681
2022-01-28,16.3545
2022-01-29,8.72755
2022-01-30,6.6422
2022-01-31,6.58428
2022-02-01,5.13612
2022-02-02,7.78142
2022-02-03,16.62483
2022-02-04,16.10349
2022-02-05,8.28345
2022-02-06,7.99382
2022-02-07,39.48638
2022-02-08,24.44487
2022-02-09,20.44796
2022-02-10,24.83104
2022-02-11,17.2234
2022-02-12,9.19096
2022-02-13,8.8434
2022-02-14,18.92257
2022-02-15,18.90326
2022-02-16,16.18072
2022-02-17,16.3545
2022-02-18,14.63603
2022-02-19,7.54972
2022-02-20,7.62695
2022-02-21,16.29658
2022-02-22,18.82602
2022-02-23,23.6339
2022-02-24,22.0892
2022-02-25,19.28943
2022-02-26,7.83935
2022-02-27,6.58428
2022-02-28,20.83413
2022-03-01,9.88607
2022-03-02,17.37787
2022-03-03,15.77524
2022-03-04,14.48156
2022-03-05,8.16759
2022-03-06,6.70013
2022-03-07,14.75188
2022-03-08,14.5781
2022-03-09,7.12492
2022-03-10,16.41243
2022-03-11,15.87178
2022-03-12,7.87796
2022-03-13,7.26008
2022-03-14,16.47036
