date,부담부증여
2020-03-20,34.27419
2020-03-21,19.45564
2020-03-22,13.60887
2020-03-23,20.81653
2020-03-24,20.96774
2020-03-25,75.20161
2020-03-26,34.72782
2020-03-27,21.52217
2020-03-28,19.45564
2020-03-29,17.13709
2020-03-30,21.06854
2020-03-31,16.28024
2020-04-01,18.49798
2020-04-02,20.56451
2020-04-03,17.64112
2020-04-04,13.60887
2020-04-05,10.78629
2020-04-06,20.3629
2020-04-07,21.21975
2020-04-08,32.20766
2020-04-09,36.13911
2020-04-10,34.92943
2020-04-11,23.13508
2020-04-12,17.43951
2020-04-13,28.78024
2020-04-14,26.31048
2020-04-15,21.27016
2020-04-16,26.20967
2020-04-17,33.31653
2020-04-18,19.45564
2020-04-19,18.29637
2020-04-20,33.61895
2020-04-21,34.27419
2020-04-22,28.78024
2020-04-23,26.7137
2020-04-24,28.2258
2020-04-25,14.86895
2020-04-26,14.36491
2020-04-27,22.37903
2020-04-28,24.04233
2020-04-29,21.77419
2020-04-30,14.31451
2020-05-01,15.6754
2020-05-02,12.34879
2020-05-03,19.15322
2020-05-04,24.64717
2020-05-05,18.49798
2020-05-06,29.7883
2020-05-07,39.66733
2020-05-08,23.73991
2020-05-09,18.64919
2020-05-10,17.13709
2020-05-11,27.82258
2020-05-12,28.125
2020-05-13,24.29435
2020-05-14,25.50403
2020-05-15,21.82459
2020-05-16,16.28024
2020-05-17,17.2379
2020-05-18,28.07459
2020-05-19,26.86491
2020-05-20,25.0
2020-05-21,25.70564
2020-05-22,19.50604
2020-05-23,14.1129
2020-05-24,15.07056
2020-05-25,23.5383
2020-05-26,22.22782
2020-05-27,20.51411
2020-05-28,19.85887
2020-05-29,16.73387
2020-05-30,13.45766
2020-05-31,13.65927
2020-06-01,23.94153
2020-06-02,21.42137
2020-06-03,22.0262
2020-06-04,20.86693
2020-06-05,17.74193
2020-06-06,14.31451
2020-06-07,13.96169
2020-06-08,23.5887
2020-06-09,30.34274
2020-06-10,29.93951
2020-06-11,24.09274
2020-06-12,22.58064
2020-06-13,17.79233
2020-06-14,15.57459
2020-06-15,28.32661
2020-06-16,29.53629
2020-06-17,31.04838
2020-06-18,29.63709
2020-06-19,27.06653
2020-06-20,29.38508
2020-06-21,22.17741
2020-06-22,39.96975
2020-06-23,40.22177
2020-06-24,34.4758
2020-06-25,28.52822
2020-06-26,25.50403
2020-06-27,15.32258
2020-06-28,20.51411
2020-06-29,30.44354
2020-06-30,31.55241
2020-07-01,26.46169
2020-07-02,26.15927
2020-07-03,27.26814
2020-07-04,17.99395
2020-07-05,20.3125
2020-07-06,28.72983
2020-07-07,39.31451
2020-07-08,41.68346
2020-07-09,43.54838
2020-07-10,57.66129
2020-07-11,57.15725
2020-07-12,100.0
2020-07-13,88.50806
2020-07-14,77.06653
2020-07-15,56.70362
2020-07-16,47.88306
2020-07-17,43.75
2020-07-18,26.96572
2020-07-19,26.6129
2020-07-20,43.59879
2020-07-21,37.34879
2020-07-22,34.57661
2020-07-23,35.68548
2020-07-24,38.15524
2020-07-25,27.62096
2020-07-26,24.79838
2020-07-27,39.26411
2020-07-28,37.6512
2020-07-29,38.50806
2020-07-30,37.90322
2020-07-31,27.06653
2020-08-01,18.09475
2020-08-02,18.29637
2020-08-03,32.45967
2020-08-04,27.41935
2020-08-05,31.04838
2020-08-06,26.20967
2020-08-07,22.68145
2020-08-08,15.97782
2020-08-09,17.64112
2020-08-10,26.46169
2020-08-11,24.04233
2020-08-12,23.73991
2020-08-13,21.77419
2020-08-14,22.32862
2020-08-15,12.24798
2020-08-16,12.44959
2020-08-17,16.78427
2020-08-18,20.76612
2020-08-19,22.17741
2020-08-20,22.88306
2020-08-21,20.71572
2020-08-22,15.47379
2020-08-23,16.68346
2020-08-24,22.12701
2020-08-25,20.71572
2020-08-26,22.93346
2020-08-27,23.18548
2020-08-28,19.60685
2020-08-29,14.86895
2020-08-30,13.20564
2020-08-31,20.66532
2020-09-01,21.37096
2020-09-02,20.4637
2020-09-03,22.37903
2020-09-04,20.3629
2020-09-05,12.80241
2020-09-06,14.01209
2020-09-07,21.57258
2020-09-08,21.37096
2020-09-09,18.64919
2020-09-10,18.34677
2020-09-11,17.54032
2020-09-12,12.95362
2020-09-13,12.80241
2020-09-14,21.9758
2020-09-15,36.74395
2020-09-16,30.39314
2020-09-17,23.08467
2020-09-18,20.01008
2020-09-19,13.76008
2020-09-20,14.86895
2020-09-21,21.72379
2020-09-22,23.28629
2020-09-23,19.75806
2020-09-24,18.59879
2020-09-25,15.17137
2020-09-26,11.64314
2020-09-27,12.29838
2020-09-28,17.84274
2020-09-29,15.07056
2020-09-30,12.14717
2020-10-01,11.74395
2020-10-02,14.51612
2020-10-03,14.96975
2020-10-04,15.17137
2020-10-05,23.5383
2020-10-06,24.59677
2020-10-07,23.73991
2020-10-08,21.52217
2020-10-09,13.40725
2020-10-10,14.66733
2020-10-11,17.54032
2020-10-12,23.99193
2020-10-13,26.6129
2020-10-14,26.15927
2020-10-15,24.34475
2020-10-16,23.73991
2020-10-17,19.65725
2020-10-18,18.24596
2020-10-19,29.13306
2020-10-20,29.28427
2020-10-21,36.94556
2020-10-22,23.5887
2020-10-23,30.34274
2020-10-24,22.27822
2020-10-25,20.61491
2020-10-26,31.50201
2020-10-27,37.39919
2020-10-28,34.4254
2020-10-29,32.10685
2020-10-30,26.6129
2020-10-31,16.07862
2020-11-01,19.55645
2020-11-02,30.79637
2020-11-03,28.52822
2020-11-04,25.20161
2020-11-05,26.81451
2020-11-06,26.36088
2020-11-07,17.38911
2020-11-08,20.06048
2020-11-09,29.48588
2020-11-10,26.31048
2020-11-11,27.57056
2020-11-12,25.95766
2020-11-13,24.39516
2020-11-14,15.97782
2020-11-15,18.49798
2020-11-16,32.20766
2020-11-17,33.87096
2020-11-18,28.52822
2020-11-19,35.08064
2020-11-20,27.36895
2020-11-21,23.08467
2020-11-22,19.25403
2020-11-23,34.5262
2020-11-24,34.97983
2020-11-25,47.22782
2020-11-26,49.54637
2020-11-27,33.36693
2020-11-28,24.14314
2020-11-29,21.01814
2020-11-30,33.16532
2020-12-01,34.67741
2020-12-02,42.48991
2020-12-03,34.02217
2020-12-04,27.67137
2020-12-05,19.45564
2020-12-06,23.79032
2020-12-07,39.0625
2020-12-08,34.17338
2020-12-09,30.59475
2020-12-10,30.99798
2020-12-11,29.58669
2020-12-12,19.50604
2020-12-13,19.05241
2020-12-14,34.17338
2020-12-15,30.74596
2020-12-16,29.48588
2020-12-17,30.79637
2020-12-18,27.72177
2020-12-19,19.90927
2020-12-20,20.4133
2020-12-21,34.72782
2020-12-22,29.8387
2020-12-23,29.33467
2020-12-24,26.20967
2020-12-25,18.49798
2020-12-26,17.08669
2020-12-27,19.40524
2020-12-28,32.71169
2020-12-29,34.27419
2020-12-30,36.99596
2020-12-31,21.62298
2021-01-01,15.07056
2021-01-02,20.66532
2021-01-03,19.20362
2021-01-04,29.88911
2021-01-05,27.72177
2021-01-06,24.59677
2021-01-07,24.04233
2021-01-08,19.50604
2021-01-09,17.1875
2021-01-10,19.35483
2021-01-11,23.68951
2021-01-12,27.36895
2021-01-13,25.25201
2021-01-14,45.66532
2021-01-15,30.34274
2021-01-16,22.73185
2021-01-17,20.71572
2021-01-18,27.41935
2021-01-19,34.22379
2021-01-20,35.83669
2021-01-21,29.63709
2021-01-22,23.4879
2021-01-23,19.65725
2021-01-24,21.16935
2021-01-25,30.34274
2021-01-26,28.72983
2021-01-27,27.72177
2021-01-28,34.5262
2021-01-29,26.6633
2021-01-30,22.63104
2021-01-31,21.47177
2021-02-01,34.97983
2021-02-02,43.59879
2021-02-03,30.54435
2021-02-04,24.64717
2021-02-05,21.9254
2021-02-06,25.80645
2021-02-07,29.8387
2021-02-08,32.9637
2021-02-09,26.31048
2021-02-10,24.49596
2021-02-11,14.71774
2021-02-12,15.12096
2021-02-13,22.27822
2021-02-14,25.80645
2021-02-15,36.89516
2021-02-16,32.30846
2021-02-17,28.72983
2021-02-18,27.92338
2021-02-19,25.0504
2021-02-20,17.99395
2021-02-21,16.48185
2021-02-22,26.96572
2021-02-23,27.41935
2021-02-24,22.88306
2021-02-25,23.89112
2021-02-26,20.66532
2021-02-27,14.1129
2021-02-28,14.0625
2021-03-01,18.29637
2021-03-02,23.33669
2021-03-03,22.73185
2021-03-04,24.79838
2021-03-05,20.3629
2021-03-06,15.27217
2021-03-07,14.96975
2021-03-08,28.2762
2021-03-09,23.84072
2021-03-10,21.62298
2021-03-11,23.5887
2021-03-12,19.95967
2021-03-13,15.32258
2021-03-14,16.22983
2021-03-15,25.20161
2021-03-16,33.41733
2021-03-17,33.16532
2021-03-18,29.6875
2021-03-19,27.92338
2021-03-20,19.05241
2021-03-21,19.00201
2021-03-22,31.19959
2021-03-23,27.46975
2021-03-24,21.42137
2021-03-25,25.80645
2021-03-26,21.72379
2021-03-27,18.09475
2021-03-28,17.59072
2021-03-29,26.00806
2021-03-30,24.49596
2021-03-31,21.27016
2021-04-01,18.75
2021-04-02,18.29637
2021-04-03,13.35685
2021-04-04,12.6512
2021-04-05,26.10887
2021-04-06,22.58064
2021-04-07,23.08467
2021-04-08,21.32056
2021-04-09,20.06048
2021-04-10,13.30645
2021-04-11,13.55846
2021-04-12,24.09274
2021-04-13,23.94153
2021-04-14,23.28629
2021-04-15,36.29032
2021-04-16,21.67338
2021-04-17,13.60887
2021-04-18,14.51612
2021-04-19,27.57056
2021-04-20,27.52016
2021-04-21,26.7137
2021-04-22,22.93346
2021-04-23,19.70766
2021-04-24,12.44959
2021-04-25,15.27217
2021-04-26,26.7137
2021-04-27,25.30241
2021-04-28,24.79838
2021-04-29,22.12701
2021-04-30,16.73387
2021-05-01,11.34072
2021-05-02,11.59274
2021-05-03,20.56451
2021-05-04,23.68951
2021-05-05,14.91935
2021-05-06,21.11895
2021-05-07,20.61491
2021-05-08,13.86088
2021-05-09,12.85282
2021-05-10,24.54637
2021-05-11,25.20161
2021-05-12,20.86693
2021-05-13,22.07661
2021-05-14,19.00201
2021-05-15,14.36491
2021-05-16,12.19758
2021-05-17,25.45362
2021-05-18,19.95967
2021-05-19,15.42338
2021-05-20,25.55443
2021-05-21,22.37903
2021-05-22,13.45766
2021-05-23,13.20564
2021-05-24,27.31854
2021-05-25,27.52016
2021-05-26,20.81653
2021-05-27,20.76612
2021-05-28,16.83467
2021-05-29,11.44153
2021-05-30,14.26411
2021-05-31,24.74798
2021-06-01,24.74798
2021-06-02,23.63911
2021-06-03,22.07661
2021-06-04,20.01008
2021-06-05,16.07862
2021-06-06,15.27217
2021-06-07,23.5887
2021-06-08,24.39516
2021-06-09,21.9758
2021-06-10,20.3629
2021-06-11,21.21975
2021-06-12,13.40725
2021-06-13,13.91129
2021-06-14,23.68951
2021-06-15,22.68145
2021-06-16,18.95161
2021-06-17,19.20362
2021-06-18,17.43951
2021-06-19,15.82661
2021-06-20,17.03629
2021-06-21,22.93346
2021-06-22,19.80846
2021-06-23,20.06048
2021-06-24,18.24596
2021-06-25,17.59072
2021-06-26,11.34072
2021-06-27,23.84072
2021-06-28,29.13306
2021-06-29,19.70766
2021-06-30,17.38911
2021-07-01,16.63306
2021-07-02,15.12096
2021-07-03,11.74395
2021-07-04,14.76814
2021-07-05,21.11895
2021-07-06,20.96774
2021-07-07,20.21169
2021-07-08,19.45564
2021-07-09,18.44758
2021-07-10,13.00403
2021-07-11,12.90322
2021-07-12,20.06048
2021-07-13,20.66532
2021-07-14,19.20362
2021-07-15,21.32056
2021-07-16,17.89314
2021-07-17,12.04637
2021-07-18,13.50806
2021-07-19,21.21975
2021-07-20,22.58064
2021-07-21,20.76612
2021-07-22,22.0262
2021-07-23,17.99395
2021-07-24,18.04435
2021-07-25,23.63911
2021-07-26,24.24395
2021-07-27,22.12701
2021-07-28,21.875
2021-07-29,18.75
2021-07-30,19.05241
2021-07-31,12.80241
2021-08-01,13.86088
2021-08-02,23.28629
2021-08-03,23.84072
2021-08-04,23.33669
2021-08-05,22.68145
2021-08-06,19.95967
2021-08-07,17.13709
2021-08-08,15.37298
2021-08-09,24.84879
2021-08-10,22.22782
2021-08-11,26.6633
2021-08-12,21.21975
2021-08-13,21.32056
2021-08-14,16.68346
2021-08-15,16.28024
2021-08-16,17.59072
2021-08-17,26.41129
2021-08-18,24.14314
2021-08-19,26.00806
2021-08-20,20.66532
2021-08-21,16.78427
2021-08-22,16.83467
2021-08-23,25.50403
2021-08-24,25.1008
2021-08-25,22.53024
2021-08-26,22.32862
2021-08-27,20.51411
2021-08-28,13.65927
2021-08-29,15.12096
2021-08-30,21.67338
2021-08-31,21.67338
2021-09-01,19.75806
2021-09-02,19.75806
2021-09-03,18.75
2021-09-04,14.71774
2021-09-05,13.20564
2021-09-06,22.53024
2021-09-07,18.8508
2021-09-08,19.35483
2021-09-09,19.90927
2021-09-10,17.13709
2021-09-11,12.24798
2021-09-12,12.04637
2021-09-13,17.74193
2021-09-14,21.16935
2021-09-15,18.49798
2021-09-16,20.16129
2021-09-17,17.13709
2021-09-18,13.35685
2021-09-19,12.80241
2021-09-20,11.54233
2021-09-21,10.83669
2021-09-22,15.57459
2021-09-23,27.77217
2021-09-24,23.94153
2021-09-25,17.89314
2021-09-26,16.22983
2021-09-27,24.94959
2021-09-28,24.24395
2021-09-29,26.96572
2021-09-30,20.26209
2021-10-01,20.71572
2021-10-02,13.25604
2021-10-03,14.76814
2021-10-04,19.70766
2021-10-05,25.30241
2021-10-06,23.4375
2021-10-07,23.08467
2021-10-08,20.3629
2021-10-09,15.12096
2021-10-10,15.6754
2021-10-11,18.59879
2021-10-12,24.09274
2021-10-13,24.09274
2021-10-14,25.1008
2021-10-15,20.61491
2021-10-16,12.6008
2021-10-17,12.95362
2021-10-18,21.01814
2021-10-19,22.32862
2021-10-20,20.3629
2021-10-21,22.37903
2021-10-22,18.24596
2021-10-23,14.2137
2021-10-24,13.45766
2021-10-25,20.91733
2021-10-26,23.38709
2021-10-27,19.50604
2021-10-28,19.95967
2021-10-29,19.00201
2021-10-30,12.70161
2021-10-31,11.84475
2021-11-01,19.05241
2021-11-02,18.59879
2021-11-03,16.88508
2021-11-04,15.37298
2021-11-05,15.37298
2021-11-06,10.68548
