date,부동산등기
2020-03-20,52.5
2020-03-21,28.75
2020-03-22,26.5625
2020-03-23,59.0625
2020-03-24,60.9375
2020-03-25,57.1875
2020-03-26,64.375
2020-03-27,46.5625
2020-03-28,26.25
2020-03-29,25.0
2020-03-30,62.1875
2020-03-31,57.1875
2020-04-01,60.3125
2020-04-02,62.1875
2020-04-03,44.375
2020-04-04,25.3125
2020-04-05,20.3125
2020-04-06,53.75
2020-04-07,60.3125
2020-04-08,60.3125
2020-04-09,53.125
2020-04-10,45.3125
2020-04-11,22.1875
2020-04-12,25.9375
2020-04-13,56.25
2020-04-14,47.8125
2020-04-15,26.5625
2020-04-16,51.875
2020-04-17,52.1875
2020-04-18,23.125
2020-04-19,28.4375
2020-04-20,64.375
2020-04-21,56.875
2020-04-22,55.625
2020-04-23,52.5
2020-04-24,43.4375
2020-04-25,22.1875
2020-04-26,24.375
2020-04-27,63.4375
2020-04-28,64.6875
2020-04-29,52.1875
2020-04-30,29.375
2020-05-01,34.375
2020-05-02,22.1875
2020-05-03,25.3125
2020-05-04,50.9375
2020-05-05,24.6875
2020-05-06,55.0
2020-05-07,64.6875
2020-05-08,50.3125
2020-05-09,25.625
2020-05-10,21.875
2020-05-11,63.75
2020-05-12,60.0
2020-05-13,55.625
2020-05-14,54.375
2020-05-15,45.625
2020-05-16,27.5
2020-05-17,24.6875
2020-05-18,59.0625
2020-05-19,50.625
2020-05-20,60.3125
2020-05-21,54.6875
2020-05-22,50.0
2020-05-23,25.0
2020-05-24,30.3125
2020-05-25,70.0
2020-05-26,60.9375
2020-05-27,53.75
2020-05-28,63.125
2020-05-29,47.8125
2020-05-30,22.8125
2020-05-31,22.5
2020-06-01,56.5625
2020-06-02,48.75
2020-06-03,50.0
2020-06-04,55.3125
2020-06-05,47.5
2020-06-06,23.125
2020-06-07,23.4375
2020-06-08,61.5625
2020-06-09,61.5625
2020-06-10,55.0
2020-06-11,53.75
2020-06-12,42.5
2020-06-13,29.0625
2020-06-14,25.3125
2020-06-15,66.875
2020-06-16,65.3125
2020-06-17,69.6875
2020-06-18,64.6875
2020-06-19,61.875
2020-06-20,30.3125
2020-06-21,35.9375
2020-06-22,69.375
2020-06-23,64.375
2020-06-24,62.8125
2020-06-25,64.375
2020-06-26,59.6875
2020-06-27,34.0625
2020-06-28,29.0625
2020-06-29,76.875
2020-06-30,76.875
2020-07-01,62.5
2020-07-02,68.125
2020-07-03,64.6875
2020-07-04,23.4375
2020-07-05,25.625
2020-07-06,72.5
2020-07-07,67.8125
2020-07-08,61.875
2020-07-09,58.75
2020-07-10,65.9375
2020-07-11,37.5
2020-07-12,28.125
2020-07-13,71.5625
2020-07-14,76.25
2020-07-15,67.1875
2020-07-16,68.125
2020-07-17,63.125
2020-07-18,30.9375
2020-07-19,30.3125
2020-07-20,68.4375
2020-07-21,67.8125
2020-07-22,73.4375
2020-07-23,60.0
2020-07-24,51.5625
2020-07-25,24.0625
2020-07-26,28.4375
2020-07-27,61.5625
2020-07-28,67.1875
2020-07-29,68.125
2020-07-30,62.8125
2020-07-31,57.1875
2020-08-01,25.9375
2020-08-02,20.9375
2020-08-03,58.75
2020-08-04,77.8125
2020-08-05,50.625
2020-08-06,60.9375
2020-08-07,50.0
2020-08-08,29.6875
2020-08-09,26.5625
2020-08-10,64.0625
2020-08-11,66.5625
2020-08-12,57.1875
2020-08-13,54.375
2020-08-14,51.5625
2020-08-15,23.4375
2020-08-16,19.0625
2020-08-17,39.0625
2020-08-18,57.8125
2020-08-19,51.5625
2020-08-20,54.6875
2020-08-21,55.625
2020-08-22,24.6875
2020-08-23,23.4375
2020-08-24,61.25
2020-08-25,60.625
2020-08-26,50.0
2020-08-27,55.0
2020-08-28,43.75
2020-08-29,24.6875
2020-08-30,21.5625
2020-08-31,60.3125
2020-09-01,59.0625
2020-09-02,63.4375
2020-09-03,53.125
2020-09-04,49.0625
2020-09-05,23.4375
2020-09-06,19.6875
2020-09-07,61.875
2020-09-08,59.375
2020-09-09,58.4375
2020-09-10,53.75
2020-09-11,43.4375
2020-09-12,29.6875
2020-09-13,29.0625
2020-09-14,60.3125
2020-09-15,64.6875
2020-09-16,58.125
2020-09-17,44.0625
2020-09-18,56.875
2020-09-19,30.0
2020-09-20,25.3125
2020-09-21,63.75
2020-09-22,67.1875
2020-09-23,62.1875
2020-09-24,57.1875
2020-09-25,62.1875
2020-09-26,25.0
2020-09-27,17.1875
2020-09-28,47.5
2020-09-29,42.8125
2020-09-30,14.6875
2020-10-01,11.875
2020-10-02,16.5625
2020-10-03,15.625
2020-10-04,17.1875
2020-10-05,70.625
2020-10-06,66.5625
2020-10-07,61.875
2020-10-08,54.6875
2020-10-09,25.625
2020-10-10,20.0
2020-10-11,26.25
2020-10-12,61.5625
2020-10-13,66.5625
2020-10-14,55.0
2020-10-15,62.5
2020-10-16,50.3125
2020-10-17,25.625
2020-10-18,24.0625
2020-10-19,62.5
2020-10-20,65.625
2020-10-21,66.5625
2020-10-22,56.5625
2020-10-23,52.1875
2020-10-24,20.625
2020-10-25,27.1875
2020-10-26,67.5
2020-10-27,62.5
2020-10-28,61.25
2020-10-29,52.1875
2020-10-30,58.125
2020-10-31,32.8125
2020-11-01,25.3125
2020-11-02,61.5625
2020-11-03,55.625
2020-11-04,50.9375
2020-11-05,48.125
2020-11-06,51.5625
2020-11-07,26.875
2020-11-08,24.0625
2020-11-09,64.375
2020-11-10,66.25
2020-11-11,60.9375
2020-11-12,65.3125
2020-11-13,45.9375
2020-11-14,31.25
2020-11-15,32.5
2020-11-16,66.5625
2020-11-17,68.75
2020-11-18,71.875
2020-11-19,67.8125
2020-11-20,62.8125
2020-11-21,35.0
2020-11-22,36.25
2020-11-23,70.3125
2020-11-24,59.375
2020-11-25,65.3125
2020-11-26,67.5
2020-11-27,59.6875
2020-11-28,27.5
2020-11-29,20.3125
2020-11-30,70.0
2020-12-01,64.0625
2020-12-02,70.0
2020-12-03,61.25
2020-12-04,58.4375
2020-12-05,35.3125
2020-12-06,26.25
2020-12-07,69.375
2020-12-08,64.0625
2020-12-09,60.3125
2020-12-10,57.8125
2020-12-11,61.5625
2020-12-12,29.375
2020-12-13,30.9375
2020-12-14,71.875
2020-12-15,72.5
2020-12-16,63.75
2020-12-17,77.1875
2020-12-18,58.125
2020-12-19,31.25
2020-12-20,28.125
2020-12-21,69.6875
2020-12-22,75.0
2020-12-23,74.0625
2020-12-24,50.3125
2020-12-25,25.0
2020-12-26,29.375
2020-12-27,41.25
2020-12-28,82.1875
2020-12-29,70.3125
2020-12-30,60.9375
2020-12-31,48.4375
2021-01-01,17.8125
2021-01-02,26.25
2021-01-03,35.0
2021-01-04,75.0
2021-01-05,71.875
2021-01-06,64.0625
2021-01-07,65.625
2021-01-08,53.4375
2021-01-09,26.875
2021-01-10,29.375
2021-01-11,69.6875
2021-01-12,61.5625
2021-01-13,66.5625
2021-01-14,70.625
2021-01-15,75.9375
2021-01-16,35.0
2021-01-17,30.3125
2021-01-18,78.125
2021-01-19,76.875
2021-01-20,73.4375
2021-01-21,71.875
2021-01-22,68.75
2021-01-23,34.0625
2021-01-24,30.0
2021-01-25,76.875
2021-01-26,71.25
2021-01-27,68.125
2021-01-28,60.625
2021-01-29,71.5625
2021-01-30,32.1875
