date,부동산수수료
2020-03-20,18.75542
2020-03-21,16.23733
2020-03-22,10.767
2020-03-23,21.59189
2020-03-24,19.47901
2020-03-25,19.88422
2020-03-26,18.69753
2020-03-27,19.91316
2020-03-28,15.83212
2020-03-29,9.75397
2020-03-30,19.88422
2020-03-31,20.8683
2020-04-01,17.22141
2020-04-02,18.63965
2020-04-03,18.81331
2020-04-04,14.79015
2020-04-05,9.4356
2020-04-06,20.63675
2020-04-07,22.28654
2020-04-08,19.16063
2020-04-09,21.07091
2020-04-10,18.52387
2020-04-11,18.90014
2020-04-12,11.31693
2020-04-13,21.44717
2020-04-14,17.945
2020-04-15,15.83212
2020-04-16,19.76845
2020-04-17,19.85528
2020-04-18,17.80028
2020-04-19,11.98263
2020-04-20,21.3314
2020-04-21,21.12879
2020-04-22,20.98408
2020-04-23,19.7395
2020-04-24,19.36324
2020-04-25,16.29522
2020-04-26,11.92474
2020-04-27,22.28654
2020-04-28,22.60492
2020-04-29,21.91027
2020-04-30,14.67438
2020-05-01,17.22141
2020-05-02,12.93777
2020-05-03,9.4356
2020-05-04,18.75542
2020-05-05,15.19536
2020-05-06,22.28654
2020-05-07,18.17655
2020-05-08,16.03473
2020-05-09,15.74529
2020-05-10,11.20115
2020-05-11,17.65557
2020-05-12,17.88712
2020-05-13,16.90303
2020-05-14,17.04775
2020-05-15,19.59479
2020-05-16,17.19247
2020-05-17,11.40376
2020-05-18,19.79739
2020-05-19,20.31837
2020-05-20,19.7395
2020-05-21,18.52387
2020-05-22,20.83936
2020-05-23,18.55282
2020-05-24,11.60636
2020-05-25,21.62083
2020-05-26,20.0
2020-05-27,20.02894
2020-05-28,21.44717
2020-05-29,20.43415
2020-05-30,18.58176
2020-05-31,12.18523
2020-06-01,21.7945
2020-06-02,21.3314
2020-06-03,21.534
2020-06-04,20.02894
2020-06-05,22.34442
2020-06-06,19.71056
2020-06-07,15.31114
2020-06-08,23.24167
2020-06-09,23.64688
2020-06-10,26.2518
2020-06-11,22.6628
2020-06-12,22.72069
2020-06-13,22.6628
2020-06-14,14.52966
2020-06-15,26.97539
2020-06-16,26.57018
2020-06-17,23.70477
2020-06-18,23.67583
2020-06-19,23.76266
2020-06-20,20.83936
2020-06-21,15.34008
2020-06-22,23.21273
2020-06-23,24.39942
2020-06-24,23.50217
2020-06-25,23.03907
2020-06-26,24.42836
2020-06-27,21.09985
2020-06-28,12.73516
2020-06-29,26.80173
2020-06-30,25.20984
2020-07-01,22.63386
2020-07-02,23.24167
2020-07-03,22.40231
2020-07-04,19.36324
2020-07-05,13.25615
2020-07-06,25.87554
2020-07-07,25.09406
2020-07-08,25.90448
2020-07-09,22.86541
2020-07-10,22.25759
2020-07-11,20.28943
2020-07-12,13.37192
2020-07-13,23.24167
