date,부동산정보
2020-03-20,39.82683
2020-03-21,37.22943
2020-03-22,32.90043
2020-03-23,65.36796
2020-03-24,44.58874
2020-03-25,53.24675
2020-03-26,61.90476
2020-03-27,61.03896
2020-03-28,36.36363
2020-03-29,33.33333
2020-03-30,59.74025
2020-03-31,54.11255
2020-04-01,56.27705
2020-04-02,62.77056
2020-04-03,54.54545
2020-04-04,27.70562
2020-04-05,27.70562
2020-04-06,55.41125
2020-04-07,42.85714
2020-04-08,44.58874
2020-04-09,50.64935
2020-04-10,41.12554
2020-04-11,29.87012
2020-04-12,37.66233
2020-04-13,52.38095
2020-04-14,41.55844
2020-04-15,35.06493
2020-04-16,43.72294
2020-04-17,53.67965
2020-04-18,29.00432
2020-04-19,37.66233
2020-04-20,47.61904
2020-04-21,48.48484
2020-04-22,54.97835
2020-04-23,50.64935
2020-04-24,41.55844
2020-04-25,23.37662
2020-04-26,24.24242
2020-04-27,51.08225
2020-04-28,43.29004
2020-04-29,41.99134
2020-04-30,39.82683
2020-05-01,39.82683
2020-05-02,32.46753
2020-05-03,30.30303
2020-05-04,45.88744
2020-05-05,35.06493
2020-05-06,48.05194
2020-05-07,37.66233
2020-05-08,41.99134
2020-05-09,30.73593
2020-05-10,23.37662
2020-05-11,63.63636
2020-05-12,45.02164
2020-05-13,54.11255
2020-05-14,52.81385
2020-05-15,51.51515
2020-05-16,43.72294
2020-05-17,35.93073
2020-05-18,61.47186
2020-05-19,46.75324
2020-05-20,60.17316
2020-05-21,39.39393
2020-05-22,45.45454
2020-05-23,36.79653
2020-05-24,47.61904
2020-05-25,45.45454
2020-05-26,68.83116
2020-05-27,58.44155
2020-05-28,49.78354
2020-05-29,46.32034
2020-05-30,35.93073
2020-05-31,42.42424
2020-06-01,58.00865
2020-06-02,48.48484
2020-06-03,54.11255
2020-06-04,55.84415
2020-06-05,48.91774
2020-06-06,22.07792
2020-06-07,29.00432
2020-06-08,48.91774
2020-06-09,53.24675
2020-06-10,45.02164
2020-06-11,56.27705
2020-06-12,42.42424
2020-06-13,39.39393
2020-06-14,39.82683
2020-06-15,66.23376
2020-06-16,51.08225
2020-06-17,68.39826
2020-06-18,52.38095
2020-06-19,44.58874
2020-06-20,34.19913
2020-06-21,51.08225
2020-06-22,61.47186
2020-06-23,54.97835
2020-06-24,58.00865
2020-06-25,52.81385
2020-06-26,54.97835
2020-06-27,34.63203
2020-06-28,35.49783
2020-06-29,61.90476
2020-06-30,53.24675
2020-07-01,68.39826
2020-07-02,65.80086
2020-07-03,64.50216
