date,부자되는법
2020-03-20,37.85714
2020-03-21,36.19047
2020-03-22,38.80952
2020-03-23,34.04761
2020-03-24,28.80952
2020-03-25,32.61904
2020-03-26,34.28571
2020-03-27,34.5238
2020-03-28,32.14285
2020-03-29,40.23809
2020-03-30,43.57142
2020-03-31,30.95238
2020-04-01,26.42857
2020-04-02,39.28571
2020-04-03,30.47619
2020-04-04,32.38095
2020-04-05,32.14285
2020-04-06,36.90476
2020-04-07,31.42857
2020-04-08,37.85714
2020-04-09,38.09523
2020-04-10,28.80952
2020-04-11,29.04761
2020-04-12,33.57142
2020-04-13,40.0
2020-04-14,29.5238
2020-04-15,36.90476
2020-04-16,32.85714
2020-04-17,36.66666
2020-04-18,31.66666
2020-04-19,29.5238
2020-04-20,37.85714
2020-04-21,32.14285
2020-04-22,33.09523
2020-04-23,29.7619
2020-04-24,27.14285
2020-04-25,21.19047
2020-04-26,36.66666
2020-04-27,35.71428
2020-04-28,36.19047
2020-04-29,26.19047
2020-04-30,25.95238
2020-05-01,29.28571
2020-05-02,24.7619
2020-05-03,40.95238
2020-05-04,34.7619
2020-05-05,39.28571
2020-05-06,31.90476
2020-05-07,26.42857
2020-05-08,25.95238
2020-05-09,29.7619
2020-05-10,34.7619
2020-05-11,28.33333
2020-05-12,31.19047
2020-05-13,31.19047
2020-05-14,33.57142
2020-05-15,30.71428
2020-05-16,22.61904
2020-05-17,36.90476
2020-05-18,38.33333
2020-05-19,30.71428
2020-05-20,30.95238
2020-05-21,30.95238
2020-05-22,30.47619
2020-05-23,30.23809
2020-05-24,37.14285
2020-05-25,36.19047
2020-05-26,43.33333
2020-05-27,34.04761
2020-05-28,34.04761
2020-05-29,23.57142
2020-05-30,23.09523
2020-05-31,29.28571
2020-06-01,33.80952
2020-06-02,33.33333
2020-06-03,27.14285
2020-06-04,31.90476
2020-06-05,24.7619
2020-06-06,25.47619
2020-06-07,32.14285
2020-06-08,30.0
2020-06-09,28.09523
2020-06-10,23.09523
2020-06-11,25.95238
2020-06-12,23.33333
2020-06-13,23.09523
2020-06-14,29.04761
2020-06-15,36.90476
2020-06-16,27.85714
2020-06-17,25.71428
2020-06-18,24.5238
2020-06-19,25.47619
2020-06-20,27.61904
2020-06-21,29.5238
2020-06-22,32.38095
2020-06-23,28.33333
2020-06-24,26.90476
2020-06-25,27.85714
2020-06-26,29.7619
2020-06-27,25.71428
2020-06-28,29.28571
2020-06-29,38.80952
2020-06-30,29.04761
2020-07-01,25.71428
2020-07-02,28.33333
2020-07-03,22.85714
2020-07-04,25.0
2020-07-05,38.57142
2020-07-06,37.38095
2020-07-07,31.42857
2020-07-08,25.95238
2020-07-09,25.23809
2020-07-10,22.14285
2020-07-11,19.28571
2020-07-12,29.5238
2020-07-13,24.5238
2020-07-14,25.23809
2020-07-15,22.14285
2020-07-16,23.33333
2020-07-17,25.0
2020-07-18,23.09523
2020-07-19,31.90476
2020-07-20,33.57142
2020-07-21,33.80952
2020-07-22,35.95238
2020-07-23,34.5238
2020-07-24,33.09523
2020-07-25,25.0
2020-07-26,37.61904
2020-07-27,41.19047
2020-07-28,33.09523
2020-07-29,30.23809
2020-07-30,27.85714
2020-07-31,27.61904
2020-08-01,27.85714
2020-08-02,25.47619
2020-08-03,25.95238
2020-08-04,28.09523
2020-08-05,24.28571
2020-08-06,27.14285
2020-08-07,22.14285
2020-08-08,25.47619
2020-08-09,28.09523
2020-08-10,25.95238
2020-08-11,31.19047
2020-08-12,34.28571
2020-08-13,27.61904
2020-08-14,24.04761
2020-08-15,20.0
2020-08-16,22.38095
2020-08-17,22.61904
2020-08-18,23.57142
2020-08-19,23.33333
2020-08-20,21.42857
2020-08-21,27.85714
2020-08-22,20.47619
2020-08-23,32.85714
2020-08-24,27.61904
2020-08-25,29.5238
2020-08-26,33.09523
2020-08-27,27.38095
2020-08-28,30.23809
2020-08-29,23.09523
2020-08-30,39.5238
2020-08-31,40.23809
2020-09-01,33.09523
2020-09-02,39.5238
2020-09-03,33.09523
2020-09-04,30.47619
2020-09-05,34.5238
2020-09-06,35.0
2020-09-07,39.5238
2020-09-08,44.28571
2020-09-09,34.28571
2020-09-10,32.38095
2020-09-11,27.61904
2020-09-12,26.66666
2020-09-13,36.90476
2020-09-14,31.66666
2020-09-15,31.19047
2020-09-16,35.71428
2020-09-17,34.7619
2020-09-18,20.71428
2020-09-19,22.14285
2020-09-20,27.85714
2020-09-21,29.28571
2020-09-22,31.19047
2020-09-23,31.42857
2020-09-24,26.66666
2020-09-25,22.14285
2020-09-26,25.71428
2020-09-27,21.90476
2020-09-28,25.0
2020-09-29,23.09523
2020-09-30,21.66666
2020-10-01,24.28571
