date,분양권양도소득세
2020-03-20,19.61424
2020-03-21,17.35905
2020-03-22,15.66765
2020-03-23,19.79228
2020-03-24,22.61127
2020-03-25,18.69436
2020-03-26,18.48664
2020-03-27,16.46884
2020-03-28,14.45103
2020-03-29,11.95845
2020-03-30,17.53709
2020-03-31,18.60534
2020-04-01,19.94065
2020-04-02,19.67359
2020-04-03,17.38872
2020-04-04,15.19287
2020-04-05,13.38278
2020-04-06,18.66468
2020-04-07,21.03857
2020-04-08,21.18694
2020-04-09,17.98219
2020-04-10,16.2908
2020-04-11,13.97626
2020-04-12,12.84866
2020-04-13,18.96142
2020-04-14,17.92284
2020-04-15,14.98516
2020-04-16,17.83382
2020-04-17,17.98219
2020-04-18,15.13353
2020-04-19,16.64688
2020-04-20,19.3175
2020-04-21,21.98813
2020-04-22,21.51335
2020-04-23,20.41543
2020-04-24,18.13056
2020-04-25,16.94362
2020-04-26,16.32047
2020-04-27,20.56379
2020-04-28,20.8902
2020-04-29,20.11869
2020-04-30,16.40949
2020-05-01,16.58753
2020-05-02,13.70919
2020-05-03,14.48071
2020-05-04,19.76261
2020-05-05,19.49554
2020-05-06,22.87833
2020-05-07,21.69139
2020-05-08,18.72403
2020-05-09,17.44807
2020-05-10,14.00593
2020-05-11,28.57566
2020-05-12,27.62611
2020-05-13,22.99703
2020-05-14,22.0178
2020-05-15,20.26706
2020-05-16,19.82195
2020-05-17,17.59643
2020-05-18,25.01483
2020-05-19,26.23145
2020-05-20,25.78635
2020-05-21,23.23442
2020-05-22,21.92878
2020-05-23,17.56676
2020-05-24,19.82195
2020-05-25,24.00593
2020-05-26,26.85459
2020-05-27,24.56973
2020-05-28,22.10682
2020-05-29,20.29673
2020-05-30,17.47774
2020-05-31,14.62908
2020-06-01,21.75074
2020-06-02,24.48071
2020-06-03,23.82789
2020-06-04,26.76557
2020-06-05,22.04747
2020-06-06,19.67359
2020-06-07,20.05934
2020-06-08,26.64688
2020-06-09,29.16913
2020-06-10,28.84272
2020-06-11,30.68249
2020-06-12,26.32047
2020-06-13,22.13649
2020-06-14,23.41246
2020-06-15,31.09792
2020-06-16,30.41543
2020-06-17,41.51335
2020-06-18,43.73887
2020-06-19,33.97626
2020-06-20,27.89317
2020-06-21,24.86646
2020-06-22,35.90504
2020-06-23,32.99703
2020-06-24,31.454
2020-06-25,30.20771
2020-06-26,29.16913
2020-06-27,22.84866
2020-06-28,21.92878
2020-06-29,30.05934
2020-06-30,32.0178
2020-07-01,25.28189
2020-07-02,25.45994
2020-07-03,21.33531
2020-07-04,20.47477
2020-07-05,21.75074
2020-07-06,30.05934
2020-07-07,39.4362
2020-07-08,49.25816
2020-07-09,38.84272
2020-07-10,100.0
2020-07-11,60.83086
2020-07-12,52.4629
2020-07-13,54.80712
2020-07-14,61.39465
2020-07-15,48.99109
2020-07-16,36.08308
2020-07-17,37.24035
2020-07-18,27.06231
2020-07-19,60.62314
2020-07-20,45.69732
2020-07-21,35.57863
2020-07-22,45.63798
2020-07-23,33.56083
2020-07-24,24.74777
2020-07-25,18.8724
2020-07-26,17.24035
2020-07-27,24.68842
2020-07-28,26.40949
2020-07-29,32.84866
2020-07-30,28.01186
2020-07-31,25.37091
2020-08-01,18.16023
2020-08-02,15.13353
2020-08-03,21.54302
2020-08-04,29.28783
2020-08-05,25.51928
2020-08-06,24.21364
2020-08-07,19.61424
2020-08-08,16.61721
2020-08-09,16.55786
2020-08-10,25.727
2020-08-11,32.34421
2020-08-12,28.60534
2020-08-13,24.68842
2020-08-14,20.62314
2020-08-15,14.06528
2020-08-16,12.93768
2020-08-17,16.35014
2020-08-18,24.1543
2020-08-19,27.24035
2020-08-20,24.42136
2020-08-21,22.52225
2020-08-22,15.75667
2020-08-23,14.77744
2020-08-24,20.53412
2020-08-25,21.69139
2020-08-26,20.05934
2020-08-27,19.55489
2020-08-28,17.44807
2020-08-29,15.93471
2020-08-30,13.50148
2020-08-31,20.47477
2020-09-01,20.23738
2020-09-02,19.67359
2020-09-03,15.99406
2020-09-04,17.00296
2020-09-05,15.25222
2020-09-06,14.45103
2020-09-07,19.58456
2020-09-08,22.93768
2020-09-09,22.43323
2020-09-10,20.77151
2020-09-11,19.08011
2020-09-12,15.37091
2020-09-13,15.37091
2020-09-14,27.65578
2020-09-15,25.96439
2020-09-16,23.88724
2020-09-17,26.61721
2020-09-18,21.21661
2020-09-19,17.71513
2020-09-20,16.46884
2020-09-21,22.40356
2020-09-22,21.09792
2020-09-23,19.97032
2020-09-24,21.69139
2020-09-25,20.94955
2020-09-26,14.06528
2020-09-27,11.36498
2020-09-28,16.37982
2020-09-29,12.25519
2020-09-30,8.69436
2020-10-01,7.44807
2020-10-02,7.41839
2020-10-03,13.08605
2020-10-04,11.66172
2020-10-05,19.46587
2020-10-06,19.76261
2020-10-07,20.94955
2020-10-08,25.87537
2020-10-09,16.26112
2020-10-10,15.22255
2020-10-11,15.6083
2020-10-12,22.96735
2020-10-13,22.40356
2020-10-14,17.89317
2020-10-15,20.80118
2020-10-16,18.84272
2020-10-17,15.34124
2020-10-18,14.80712
2020-10-19,21.12759
2020-10-20,21.39465
2020-10-21,21.78041
2020-10-22,19.4362
2020-10-23,18.18991
2020-10-24,15.22255
2020-10-25,16.52818
2020-10-26,23.56083
2020-10-27,23.76854
2020-10-28,24.45103
2020-10-29,22.13649
2020-10-30,20.35608
2020-10-31,16.11275
2020-11-01,17.21068
2020-11-02,22.5816
2020-11-03,23.56083
2020-11-04,27.27002
2020-11-05,24.21364
2020-11-06,21.78041
2020-11-07,21.18694
2020-11-08,16.7359
2020-11-09,23.53115
2020-11-10,24.09495
2020-11-11,27.8635
2020-11-12,26.88427
2020-11-13,24.42136
2020-11-14,21.83976
2020-11-15,19.97032
2020-11-16,26.32047
2020-11-17,29.61424
2020-11-18,29.76261
2020-11-19,31.95845
2020-11-20,30.91988
2020-11-21,23.44213
2020-11-22,23.67952
2020-11-23,32.04747
2020-11-24,30.71216
2020-11-25,29.10979
2020-11-26,26.67655
2020-11-27,28.93175
2020-11-28,22.78931
2020-11-29,21.86943
2020-11-30,29.10979
2020-12-01,27.8635
2020-12-02,29.67359
2020-12-03,28.16023
2020-12-04,27.62611
2020-12-05,23.5905
2020-12-06,23.35311
2020-12-07,28.63501
2020-12-08,31.09792
2020-12-09,31.48367
2020-12-10,36.97329
2020-12-11,32.4629
2020-12-12,25.25222
2020-12-13,22.55192
2020-12-14,31.60237
2020-12-15,36.85459
2020-12-16,35.66765
2020-12-17,44.56973
2020-12-18,35.51928
2020-12-19,29.22848
2020-12-20,24.33234
2020-12-21,32.34421
2020-12-22,30.59347
2020-12-23,28.3086
2020-12-24,20.65281
2020-12-25,17.21068
2020-12-26,20.20771
2020-12-27,18.8724
2020-12-28,29.73293
2020-12-29,28.51632
2020-12-30,23.56083
2020-12-31,19.08011
2021-01-01,14.42136
2021-01-02,16.58753
2021-01-03,16.14243
2021-01-04,23.08605
2021-01-05,21.63204
2021-01-06,25.66765
2021-01-07,24.54005
2021-01-08,19.08011
2021-01-09,17.98219
2021-01-10,17.44807
2021-01-11,21.78041
2021-01-12,21.5727
2021-01-13,22.81899
2021-01-14,21.36498
2021-01-15,18.04154
2021-01-16,16.40949
2021-01-17,16.40949
2021-01-18,22.07715
2021-01-19,23.88724
2021-01-20,22.67062
2021-01-21,24.65875
2021-01-22,20.17804
2021-01-23,17.77448
2021-01-24,17.38872
2021-01-25,23.20474
2021-01-26,22.13649
2021-01-27,19.08011
2021-01-28,19.40652
2021-01-29,15.63798
2021-01-30,13.62017
2021-01-31,14.92581
2021-02-01,18.16023
2021-02-02,19.3175
2021-02-03,16.52818
2021-02-04,14.54005
2021-02-05,17.181
2021-02-06,14.06528
2021-02-07,13.97626
2021-02-08,16.94362
2021-02-09,17.09198
2021-02-10,14.65875
2021-02-11,8.90207
2021-02-12,9.64391
2021-02-13,10.29673
2021-02-14,12.49258
2021-02-15,18.66468
2021-02-16,22.13649
2021-02-17,20.94955
2021-02-18,18.24925
2021-02-19,16.61721
2021-02-20,15.96439
2021-02-21,13.91691
2021-02-22,21.75074
2021-02-23,21.18694
2021-02-24,19.52522
2021-02-25,16.94362
2021-02-26,15.01483
2021-02-27,14.56973
2021-02-28,15.01483
2021-03-01,15.45994
2021-03-02,16.76557
2021-03-03,18.27893
2021-03-04,17.12166
2021-03-05,15.87537
2021-03-06,14.7181
2021-03-07,14.77744
2021-03-08,19.05044
2021-03-09,17.8635
2021-03-10,16.91394
2021-03-11,17.32937
2021-03-12,16.37982
2021-03-13,13.44213
2021-03-14,14.18397
2021-03-15,18.18991
2021-03-16,18.63501
2021-03-17,20.20771
2021-03-18,20.29673
2021-03-19,16.23145
2021-03-20,15.99406
2021-03-21,14.42136
2021-03-22,23.76854
2021-03-23,22.31454
2021-03-24,18.7537
2021-03-25,20.29673
2021-03-26,18.81305
2021-03-27,14.77744
2021-03-28,15.99406
2021-03-29,21.24629
2021-03-30,21.78041
2021-03-31,16.82492
2021-04-01,17.24035
2021-04-02,15.81602
2021-04-03,12.4629
2021-04-04,12.04747
2021-04-05,18.57566
2021-04-06,19.46587
2021-04-07,17.56676
2021-04-08,15.37091
2021-04-09,15.31157
2021-04-10,12.13649
2021-04-11,11.36498
2021-04-12,18.93175
2021-04-13,22.28486
2021-04-14,17.71513
2021-04-15,19.76261
2021-04-16,19.08011
2021-04-17,15.48961
2021-04-18,12.84866
2021-04-19,22.07715
2021-04-20,24.21364
2021-04-21,19.82195
2021-04-22,17.7448
2021-04-23,16.79525
2021-04-24,14.95548
2021-04-25,15.96439
2021-04-26,21.21661
2021-04-27,25.87537
2021-04-28,20.62314
2021-04-29,18.7537
2021-04-30,19.28783
2021-05-01,13.23442
2021-05-02,12.78931
2021-05-03,16.49851
2021-05-04,18.39762
2021-05-05,14.54005
2021-05-06,19.4362
2021-05-07,17.83382
2021-05-08,13.62017
2021-05-09,13.44213
2021-05-10,26.67655
2021-05-11,21.51335
2021-05-12,19.02077
2021-05-13,17.65578
2021-05-14,17.03264
2021-05-15,13.35311
2021-05-16,11.51335
2021-05-17,18.93175
2021-05-18,18.78338
2021-05-19,15.87537
2021-05-20,22.4629
2021-05-21,20.68249
2021-05-22,15.22255
2021-05-23,14.21364
2021-05-24,19.91097
2021-05-25,22.84866
2021-05-26,24.77744
2021-05-27,23.64985
2021-05-28,22.07715
2021-05-29,17.92284
2021-05-30,18.48664
2021-05-31,25.99406
2021-06-01,25.727
2021-06-02,22.13649
2021-06-03,20.02967
2021-06-04,15.99406
2021-06-05,14.24332
2021-06-06,12.25519
2021-06-07,18.63501
2021-06-08,25.10385
2021-06-09,19.05044
2021-06-10,16.08308
2021-06-11,14.45103
2021-06-12,12.0178
2021-06-13,13.0267
2021-06-14,17.65578
2021-06-15,18.27893
2021-06-16,20.4451
2021-06-17,20.47477
2021-06-18,17.47774
2021-06-19,12.75964
2021-06-20,12.55192
2021-06-21,17.12166
2021-06-22,18.24925
2021-06-23,18.16023
2021-06-24,15.87537
2021-06-25,12.61127
2021-06-26,10.53412
2021-06-27,9.25816
2021-06-28,16.32047
2021-06-29,14.06528
2021-06-30,16.2908
2021-07-01,14.27299
2021-07-02,12.31454
2021-07-03,11.03857
2021-07-04,10.77151
2021-07-05,16.2908
2021-07-06,16.43916
2021-07-07,15.1632
2021-07-08,15.22255
2021-07-09,13.79821
2021-07-10,11.98813
2021-07-11,10.68249
2021-07-12,16.43916
2021-07-13,21.98813
2021-07-14,16.67655
2021-07-15,15.90504
2021-07-16,14.5994
2021-07-17,13.08605
2021-07-18,11.78041
2021-07-19,17.24035
