date,블랙록
2020-03-20,2.72895
2020-03-21,2.49768
2020-03-22,2.79833
2020-03-23,3.07585
2020-03-24,3.00647
2020-03-25,3.30712
2020-03-26,4.32469
2020-03-27,3.35337
2020-03-28,2.47456
2020-03-29,2.75208
2020-03-30,2.75208
2020-03-31,21.73913
2020-04-01,10.26827
2020-04-02,5.64292
2020-04-03,5.34227
2020-04-04,4.90286
2020-04-05,3.79278
2020-04-06,4.55596
2020-04-07,6.10545
2020-04-08,4.44033
2020-04-09,4.71785
2020-04-10,5.82793
2020-04-11,3.60777
2020-04-12,3.83903
2020-04-13,3.51526
2020-04-14,6.89176
2020-04-15,4.25531
2020-04-16,3.56151
2020-04-17,5.52728
2020-04-18,2.70582
2020-04-19,2.0814
2020-04-20,3.56151
2020-04-21,3.81591
2020-04-22,3.05272
2020-04-23,3.21461
2020-04-24,2.86771
2020-04-25,1.66512
2020-04-26,2.49768
2020-04-27,2.12765
2020-04-28,2.15078
2020-04-29,1.85013
2020-04-30,1.68825
2020-05-01,1.45698
2020-05-02,1.41073
2020-05-03,1.66512
2020-05-04,1.78075
2020-05-05,1.71137
2020-05-06,2.01202
2020-05-07,3.35337
2020-05-08,2.54394
2020-05-09,1.52636
2020-05-10,1.17946
2020-05-11,2.31267
2020-05-12,9.25069
2020-05-13,12.14153
2020-05-14,10.82331
2020-05-15,3.65402
2020-05-16,2.72895
2020-05-17,2.59019
2020-05-18,2.61332
2020-05-19,3.0296
2020-05-20,2.54394
2020-05-21,2.89084
2020-05-22,3.3765
2020-05-23,3.07585
2020-05-24,1.71137
2020-05-25,2.84458
2020-05-26,2.19703
2020-05-27,2.70582
2020-05-28,2.65957
2020-05-29,1.85013
2020-05-30,1.57261
2020-05-31,1.36447
2020-06-01,2.6827
2020-06-02,3.65402
2020-06-03,3.09898
2020-06-04,2.98334
2020-06-05,41.11933
2020-06-06,10.43015
2020-06-07,6.33672
2020-06-08,5.55041
2020-06-09,4.39407
2020-06-10,3.26086
2020-06-11,3.30712
2020-06-12,3.65402
2020-06-13,1.85013
2020-06-14,1.78075
2020-06-15,1.94264
2020-06-16,2.4283
2020-06-17,3.88529
2020-06-18,15.12488
2020-06-19,7.26179
2020-06-20,20.16651
2020-06-21,7.30804
2020-06-22,6.49861
2020-06-23,3.33024
2020-06-24,4.55596
2020-06-25,2.84458
2020-06-26,2.84458
2020-06-27,2.22016
2020-06-28,4.64847
2020-06-29,5.50416
2020-06-30,4.0703
2020-07-01,2.6827
2020-07-02,2.63644
2020-07-03,3.23774
2020-07-04,5.92044
2020-07-05,4.46345
2020-07-06,4.00092
2020-07-07,4.57909
2020-07-08,3.70027
2020-07-09,3.81591
2020-07-10,3.35337
2020-07-11,3.21461
2020-07-12,4.37095
2020-07-13,3.28399
2020-07-14,3.67715
2020-07-15,3.1221
2020-07-16,3.7234
2020-07-17,3.79278
2020-07-18,4.16281
2020-07-19,2.3358
2020-07-20,11.28584
2020-07-21,5.52728
2020-07-22,3.49213
2020-07-23,3.79278
2020-07-24,2.7752
2020-07-25,2.15078
2020-07-26,2.35892
2020-07-27,3.70027
2020-07-28,2.75208
2020-07-29,2.89084
2020-07-30,4.13968
2020-07-31,3.1221
2020-08-01,2.03515
2020-08-02,2.01202
2020-08-03,2.70582
2020-08-04,2.52081
2020-08-05,2.75208
2020-08-06,3.3765
2020-08-07,2.63644
2020-08-08,1.68825
2020-08-09,1.89639
2020-08-10,3.26086
2020-08-11,15.21739
2020-08-12,15.63367
2020-08-13,7.07678
2020-08-14,3.44588
2020-08-15,3.14523
2020-08-16,2.05827
2020-08-17,3.26086
2020-08-18,2.6827
2020-08-19,2.40518
2020-08-20,2.54394
2020-08-21,3.33024
2020-08-22,2.22016
2020-08-23,1.61887
2020-08-24,2.75208
2020-08-25,2.54394
2020-08-26,2.72895
2020-08-27,2.89084
2020-08-28,2.70582
2020-08-29,2.31267
2020-08-30,1.85013
2020-08-31,3.79278
2020-09-01,3.56151
2020-09-02,4.50971
2020-09-03,4.53283
2020-09-04,4.11655
2020-09-05,2.89084
2020-09-06,2.10453
2020-09-07,3.23774
2020-09-08,4.78723
2020-09-09,4.62534
2020-09-10,3.53839
2020-09-11,4.46345
2020-09-12,2.6827
2020-09-13,2.26641
2020-09-14,3.28399
2020-09-15,2.65957
2020-09-16,4.11655
2020-09-17,4.46345
2020-09-18,4.18593
2020-09-19,3.07585
2020-09-20,3.86216
2020-09-21,3.53839
2020-09-22,12.7197
2020-09-23,5.89731
2020-09-24,4.97224
2020-09-25,2.7752
2020-09-26,2.17391
2020-09-27,3.14523
2020-09-28,3.90841
2020-09-29,2.52081
2020-09-30,2.10453
2020-10-01,1.71137
2020-10-02,2.03515
2020-10-03,2.01202
2020-10-04,2.26641
2020-10-05,2.6827
2020-10-06,2.89084
2020-10-07,3.0296
2020-10-08,2.3358
2020-10-09,1.89639
2020-10-10,2.61332
2020-10-11,2.49768
2020-10-12,3.42275
2020-10-13,5.20351
2020-10-14,26.41073
2020-10-15,6.08233
2020-10-16,3.79278
2020-10-17,2.49768
2020-10-18,4.34782
2020-10-19,5.111
2020-10-20,3.79278
2020-10-21,3.56151
2020-10-22,2.7752
2020-10-23,5.0185
2020-10-24,1.94264
2020-10-25,4.55596
2020-10-26,4.04717
2020-10-27,3.63089
2020-10-28,2.86771
2020-10-29,3.39962
2020-10-30,2.61332
2020-10-31,1.54949
2020-11-01,1.52636
2020-11-02,1.36447
2020-11-03,5.89731
2020-11-04,3.19148
2020-11-05,3.83903
2020-11-06,4.55596
2020-11-07,2.40518
2020-11-08,2.22016
2020-11-09,2.93709
2020-11-10,3.51526
2020-11-11,3.67715
2020-11-12,3.05272
2020-11-13,2.59019
2020-11-14,1.82701
2020-11-15,3.07585
2020-11-16,3.14523
2020-11-17,5.04162
2020-11-18,3.09898
