date,블록체인기술
2020-03-20,17.10037
2020-03-21,7.43494
2020-03-22,17.47211
2020-03-23,28.62453
2020-03-24,24.90706
2020-03-25,25.27881
2020-03-26,19.7026
2020-03-27,17.84386
2020-03-28,15.61338
2020-03-29,23.04832
2020-03-30,25.65055
2020-03-31,23.04832
2020-04-01,19.33085
2020-04-02,27.13754
2020-04-03,21.93308
2020-04-04,9.29368
2020-04-05,14.12639
2020-04-06,20.07434
2020-04-07,20.44609
2020-04-08,18.58736
2020-04-09,17.84386
2020-04-10,12.26765
2020-04-11,6.69144
2020-04-12,14.12639
2020-04-13,23.42007
2020-04-14,18.9591
2020-04-15,16.72862
2020-04-16,27.13754
2020-04-17,23.79182
2020-04-18,13.38289
2020-04-19,14.49814
2020-04-20,28.25278
2020-04-21,32.342
2020-04-22,57.24907
2020-04-23,26.0223
2020-04-24,24.16356
2020-04-25,11.15241
2020-04-26,16.35687
2020-04-27,22.67657
2020-04-28,24.90706
2020-04-29,30.11152
2020-04-30,10.03717
2020-05-01,17.47211
2020-05-02,7.43494
2020-05-03,11.52416
2020-05-04,15.24163
2020-05-05,14.49814
2020-05-06,31.22676
2020-05-07,28.99628
2020-05-08,27.50929
2020-05-09,17.10037
2020-05-10,21.18959
2020-05-11,21.18959
2020-05-12,20.44609
2020-05-13,22.30483
2020-05-14,25.65055
2020-05-15,26.0223
2020-05-16,15.24163
2020-05-17,21.18959
2020-05-18,35.68773
2020-05-19,37.17472
2020-05-20,37.54646
2020-05-21,39.03345
2020-05-22,36.43122
2020-05-23,20.07434
2020-05-24,16.35687
2020-05-25,44.23791
2020-05-26,36.80297
2020-05-27,25.27881
2020-05-28,37.54646
2020-05-29,22.67657
2020-05-30,19.7026
2020-05-31,20.07434
2020-06-01,27.88104
2020-06-02,23.42007
2020-06-03,26.76579
2020-06-04,34.94423
2020-06-05,49.07063
2020-06-06,21.18959
2020-06-07,20.81784
2020-06-08,31.97026
2020-06-09,33.45724
2020-06-10,33.45724
2020-06-11,32.71375
2020-06-12,26.76579
2020-06-13,21.18959
2020-06-14,19.33085
2020-06-15,29.73977
2020-06-16,27.88104
2020-06-17,31.97026
2020-06-18,34.57249
2020-06-19,31.59851
2020-06-20,14.49814
2020-06-21,22.67657
2020-06-22,30.11152
2020-06-23,41.26394
2020-06-24,50.55762
2020-06-25,43.12267
2020-06-26,33.82899
2020-06-27,29.36802
2020-06-28,30.11152
2020-06-29,24.53531
2020-06-30,32.342
2020-07-01,31.22676
2020-07-02,30.48327
2020-07-03,31.97026
2020-07-04,11.89591
2020-07-05,26.39405
2020-07-06,23.79182
2020-07-07,25.27881
2020-07-08,26.39405
2020-07-09,23.04832
2020-07-10,12.26765
2020-07-11,7.80669
2020-07-12,16.35687
2020-07-13,21.18959
2020-07-14,18.58736
2020-07-15,18.21561
2020-07-16,14.12639
2020-07-17,19.33085
2020-07-18,10.03717
2020-07-19,14.86988
2020-07-20,23.04832
2020-07-21,15.61338
2020-07-22,17.10037
2020-07-23,14.49814
2020-07-24,14.86988
2020-07-25,11.15241
2020-07-26,17.84386
2020-07-27,21.93308
2020-07-28,16.35687
2020-07-29,22.30483
2020-07-30,23.79182
2020-07-31,11.15241
2020-08-01,5.20446
2020-08-02,5.94795
2020-08-03,13.75464
2020-08-04,15.24163
2020-08-05,14.86988
2020-08-06,14.12639
2020-08-07,9.66542
2020-08-08,7.06319
2020-08-09,12.26765
2020-08-10,29.36802
2020-08-11,14.86988
2020-08-12,21.56133
2020-08-13,17.84386
2020-08-14,16.72862
2020-08-15,7.80669
2020-08-16,6.3197
2020-08-17,13.01115
2020-08-18,13.75464
2020-08-19,13.38289
2020-08-20,15.61338
2020-08-21,22.67657
2020-08-22,11.52416
2020-08-23,10.78066
2020-08-24,19.7026
2020-08-25,14.86988
2020-08-26,21.18959
2020-08-27,21.93308
2020-08-28,17.10037
2020-08-29,13.75464
2020-08-30,12.6394
2020-08-31,30.48327
2020-09-01,30.85501
2020-09-02,22.67657
2020-09-03,28.99628
2020-09-04,15.98513
2020-09-05,11.52416
2020-09-06,15.61338
2020-09-07,24.53531
2020-09-08,19.7026
2020-09-09,28.62453
2020-09-10,30.11152
2020-09-11,17.10037
2020-09-12,12.6394
2020-09-13,18.58736
2020-09-14,25.27881
2020-09-15,23.04832
2020-09-16,24.16356
2020-09-17,23.79182
2020-09-18,19.7026
2020-09-19,14.86988
2020-09-20,21.93308
2020-09-21,24.16356
2020-09-22,26.39405
2020-09-23,24.16356
2020-09-24,22.67657
2020-09-25,17.84386
2020-09-26,17.10037
2020-09-27,20.81784
2020-09-28,27.50929
2020-09-29,17.84386
2020-09-30,5.20446
2020-10-01,5.94795
2020-10-02,8.92193
2020-10-03,14.12639
2020-10-04,20.44609
2020-10-05,28.99628
2020-10-06,29.36802
2020-10-07,27.13754
2020-10-08,27.50929
2020-10-09,11.89591
2020-10-10,15.61338
2020-10-11,22.67657
2020-10-12,27.88104
2020-10-13,31.59851
2020-10-14,30.48327
2020-10-15,28.25278
2020-10-16,21.93308
2020-10-17,12.6394
2020-10-18,12.6394
2020-10-19,34.57249
2020-10-20,29.36802
2020-10-21,23.79182
2020-10-22,22.30483
2020-10-23,27.50929
2020-10-24,16.72862
2020-10-25,17.84386
2020-10-26,33.82899
2020-10-27,23.42007
2020-10-28,42.75092
2020-10-29,29.36802
2020-10-30,29.73977
2020-10-31,13.01115
2020-11-01,15.24163
2020-11-02,20.07434
2020-11-03,21.18959
2020-11-04,23.04832
2020-11-05,30.85501
2020-11-06,30.85501
2020-11-07,21.56133
2020-11-08,24.90706
2020-11-09,28.25278
2020-11-10,36.80297
2020-11-11,36.80297
2020-11-12,39.4052
2020-11-13,32.71375
2020-11-14,20.81784
2020-11-15,28.62453
2020-11-16,31.22676
2020-11-17,27.13754
2020-11-18,27.88104
2020-11-19,30.11152
2020-11-20,29.36802
2020-11-21,17.84386
2020-11-22,19.7026
2020-11-23,30.48327
2020-11-24,33.82899
2020-11-25,28.25278
2020-11-26,21.93308
2020-11-27,28.62453
2020-11-28,13.38289
2020-11-29,21.18959
2020-11-30,38.28996
2020-12-01,30.11152
2020-12-02,24.16356
2020-12-03,21.56133
2020-12-04,33.82899
