date,비갱신건강보험
2020-03-20,3.2967
2020-03-21,7.14285
2020-03-22,7.14285
2020-03-23,4.94505
2020-03-24,10.98901
2020-03-25,13.18681
2020-03-26,8.24175
2020-03-27,10.43956
2020-03-30,7.6923
2020-03-31,5.4945
2020-04-01,2.74725
2020-04-02,7.6923
2020-04-06,2.74725
2020-04-07,3.2967
2020-04-09,5.4945
2020-04-10,4.94505
2020-04-13,2.74725
2020-04-15,5.4945
2020-04-16,2.74725
2020-04-17,3.84615
2020-04-20,6.04395
2020-04-21,9.34065
2020-04-22,6.5934
2020-04-23,5.4945
2020-04-27,7.6923
2020-04-28,3.84615
2020-04-29,3.84615
2020-04-30,4.3956
2020-05-02,3.84615
2020-05-03,3.84615
2020-05-04,7.14285
2020-05-05,4.3956
2020-05-06,6.5934
2020-05-07,5.4945
2020-05-08,6.5934
2020-05-09,6.5934
2020-05-10,6.04395
2020-05-11,8.7912
2020-05-12,17.03296
2020-05-13,5.4945
2020-05-14,2.74725
2020-05-15,5.4945
2020-05-17,6.5934
2020-05-18,4.94505
2020-05-19,7.14285
2020-05-20,4.3956
2020-05-21,3.84615
2020-05-23,8.7912
2020-05-24,3.84615
2020-05-25,4.3956
2020-05-26,4.3956
2020-05-27,4.94505
2020-05-28,7.14285
2020-05-29,2.74725
2020-05-30,8.7912
2020-05-31,4.3956
2020-06-01,11.53846
2020-06-02,3.2967
2020-06-03,9.8901
2020-06-05,7.14285
2020-06-06,6.04395
2020-06-09,7.14285
2020-06-10,13.18681
2020-06-11,17.03296
2020-06-12,5.4945
2020-06-13,6.04395
2020-06-14,4.3956
2020-06-15,5.4945
2020-06-16,15.93406
2020-06-17,7.6923
2020-06-18,9.34065
2020-06-19,5.4945
2020-06-20,8.7912
2020-06-21,3.2967
2020-06-22,5.4945
2020-06-23,7.6923
2020-06-24,9.8901
2020-06-25,9.8901
2020-06-27,7.14285
2020-06-28,3.2967
2020-06-29,7.14285
2020-06-30,5.4945
2020-07-01,3.84615
2020-07-02,7.6923
2020-07-03,5.4945
2020-07-06,7.6923
2020-07-07,3.2967
2020-07-08,8.7912
2020-07-09,3.2967
2020-07-11,12.63736
2020-07-13,20.87912
2020-07-14,13.18681
2020-07-15,13.18681
2020-07-16,24.17582
2020-07-17,9.8901
2020-07-20,18.68131
2020-07-21,6.04395
2020-07-22,5.4945
2020-07-23,4.3956
2020-07-24,2.74725
2020-07-25,8.24175
2020-07-27,13.73626
