date,비과세보험
2020-03-20,34.69387
2020-03-23,61.22448
2020-03-24,36.73469
2020-03-25,44.89795
2020-03-26,30.61224
2020-03-27,16.32653
2020-03-28,16.32653
2020-03-30,36.73469
2020-03-31,26.53061
2020-04-01,24.48979
2020-04-02,26.53061
2020-04-03,18.36734
2020-04-05,14.28571
2020-04-06,22.44897
2020-04-07,22.44897
2020-04-08,30.61224
2020-04-09,42.85714
2020-04-10,28.57142
2020-04-11,12.24489
2020-04-12,10.20408
2020-04-13,12.24489
2020-04-14,36.73469
2020-04-16,28.57142
2020-04-17,16.32653
2020-04-18,20.40816
2020-04-20,24.48979
2020-04-21,22.44897
2020-04-22,12.24489
2020-04-23,30.61224
2020-04-24,32.65306
2020-04-25,24.48979
2020-04-27,38.77551
2020-04-28,55.10204
2020-04-29,26.53061
2020-04-30,24.48979
2020-05-02,10.20408
2020-05-03,12.24489
2020-05-04,16.32653
2020-05-06,26.53061
2020-05-07,10.20408
2020-05-08,30.61224
2020-05-09,12.24489
2020-05-11,20.40816
2020-05-12,20.40816
2020-05-13,20.40816
2020-05-14,44.89795
2020-05-15,36.73469
2020-05-16,10.20408
2020-05-17,14.28571
2020-05-18,32.65306
2020-05-19,34.69387
2020-05-20,24.48979
2020-05-21,24.48979
2020-05-22,14.28571
2020-05-23,12.24489
2020-05-25,12.24489
2020-05-26,24.48979
2020-05-28,38.77551
2020-05-29,14.28571
2020-06-02,18.36734
2020-06-03,16.32653
2020-06-04,10.20408
2020-06-05,38.77551
2020-06-08,12.24489
2020-06-09,18.36734
2020-06-10,26.53061
2020-06-11,30.61224
2020-06-15,12.24489
2020-06-16,22.44897
2020-06-17,24.48979
2020-06-18,44.89795
2020-06-19,30.61224
2020-06-20,18.36734
2020-06-21,10.20408
2020-06-22,26.53061
2020-06-23,10.20408
2020-06-24,32.65306
2020-06-25,12.24489
2020-06-26,20.40816
2020-06-29,32.65306
2020-06-30,18.36734
2020-07-01,10.20408
2020-07-02,34.69387
2020-07-03,10.20408
2020-07-04,14.28571
2020-07-06,12.24489
2020-07-07,28.57142
