date,비트코인전망
2020-03-20,8.35547
2020-03-21,4.8831
2020-03-22,4.52709
2020-03-23,5.91126
2020-03-24,5.4543
2020-03-25,5.10626
2020-03-26,4.50584
2020-03-27,4.18172
2020-03-28,5.01859
2020-03-29,4.0967
2020-03-30,5.23379
2020-03-31,4.92561
2020-04-01,4.31987
2020-04-02,4.42348
2020-04-03,4.54038
2020-04-04,3.11902
2020-04-05,3.27311
2020-04-06,5.13549
2020-04-07,6.29914
2020-04-08,4.96014
2020-04-09,4.44208
2020-04-10,5.42773
2020-04-11,3.79649
2020-04-12,3.51487
2020-04-13,5.01062
2020-04-14,3.40329
2020-04-15,3.11902
2020-04-16,4.35972
2020-04-17,3.73007
2020-04-18,2.93836
2020-04-19,3.59192
2020-04-20,3.9373
2020-04-21,4.0781
2020-04-22,3.63974
2020-04-23,4.11264
2020-04-24,5.9086
2020-04-25,4.01434
2020-04-26,4.00106
2020-04-27,5.03188
2020-04-28,4.25345
2020-04-29,6.0069
2020-04-30,9.18969
2020-05-01,5.21253
2020-05-02,4.28533
2020-05-03,4.7476
2020-05-04,5.27895
2020-05-05,4.53506
2020-05-06,5.24176
2020-05-07,5.69075
2020-05-08,6.69234
2020-05-09,5.15143
2020-05-10,7.55579
2020-05-11,7.3459
2020-05-12,6.28852
2020-05-13,4.25345
2020-05-14,5.64824
2020-05-15,4.66259
2020-05-16,3.39001
2020-05-17,3.17747
2020-05-18,4.52178
2020-05-19,4.0781
2020-05-20,3.57332
2020-05-21,4.32784
2020-05-22,4.41285
2020-05-23,3.16684
2020-05-24,3.23326
2020-05-25,5.3746
2020-05-26,4.21094
2020-05-27,3.87088
2020-05-28,3.99574
2020-05-29,3.7221
2020-05-30,3.15887
2020-05-31,3.17747
2020-06-01,3.57598
2020-06-02,6.23273
2020-06-03,4.69978
2020-06-04,3.47236
2020-06-05,3.3475
2020-06-06,2.46014
2020-06-07,2.79489
2020-06-08,3.22263
2020-06-09,3.034
2020-06-10,2.88522
2020-06-11,3.00478
2020-06-12,3.81774
