date,사업자금대출
2020-03-20,47.16157
2020-03-21,20.96069
2020-03-22,29.69432
2020-03-23,47.59825
2020-03-24,57.20524
2020-03-25,48.47161
2020-03-26,40.17467
2020-03-27,41.48471
2020-03-28,30.131
2020-03-29,36.68122
2020-03-30,60.262
2020-03-31,45.85152
2020-04-01,51.52838
2020-04-02,33.18777
2020-04-03,38.42794
2020-04-04,24.45414
2020-04-05,21.39737
2020-04-06,42.79475
2020-04-07,44.97816
2020-04-08,43.66812
2020-04-09,44.97816
2020-04-10,33.18777
2020-04-11,18.77729
2020-04-12,20.52401
2020-04-13,49.78165
2020-04-14,39.73799
2020-04-15,36.24454
2020-04-16,51.0917
2020-04-17,59.38864
2020-04-18,26.63755
2020-04-19,23.58078
2020-04-20,54.58515
2020-04-21,41.04803
2020-04-22,44.54148
2020-04-23,48.90829
2020-04-24,36.68122
2020-04-25,16.59388
2020-04-26,34.49781
2020-04-27,53.2751
2020-04-28,42.79475
2020-04-29,38.42794
2020-04-30,26.63755
2020-05-01,29.69432
2020-05-02,24.45414
2020-05-03,34.49781
2020-05-04,44.97816
2020-05-05,31.00436
2020-05-06,64.62882
2020-05-07,44.97816
2020-05-08,38.42794
2020-05-09,36.24454
2020-05-10,40.17467
2020-05-11,53.2751
2020-05-12,41.48471
2020-05-13,55.45851
2020-05-14,34.93449
2020-05-15,42.79475
2020-05-16,23.58078
2020-05-17,26.20087
2020-05-18,61.13537
2020-05-19,53.2751
2020-05-20,49.34497
2020-05-21,30.131
2020-05-22,41.04803
2020-05-23,22.27074
2020-05-24,24.01746
2020-05-25,40.61135
2020-05-26,37.99126
2020-05-27,43.66812
2020-05-28,38.86462
2020-05-29,37.99126
2020-05-30,16.59388
2020-05-31,19.65065
2020-06-01,48.90829
2020-06-02,41.04803
2020-06-03,40.17467
2020-06-04,40.61135
2020-06-05,42.35807
2020-06-06,25.76419
2020-06-07,22.27074
2020-06-08,48.47161
2020-06-09,44.97816
2020-06-10,49.78165
2020-06-11,49.34497
2020-06-12,49.34497
2020-06-13,22.27074
2020-06-14,25.32751
2020-06-15,51.52838
2020-06-16,55.45851
2020-06-17,52.40174
2020-06-18,44.1048
2020-06-19,42.79475
2020-06-20,28.82096
2020-06-21,31.00436
2020-06-22,60.69868
2020-06-23,48.90829
2020-06-24,45.85152
2020-06-25,43.23144
2020-06-26,42.35807
2020-06-27,17.90393
2020-06-28,33.18777
2020-06-29,54.58515
2020-06-30,63.31877
2020-07-01,50.21834
2020-07-02,62.00873
