date,사업자등록증
2020-03-20,29.69237
2020-03-21,11.59161
2020-03-22,11.59161
2020-03-23,36.95942
2020-03-24,37.67275
2020-03-25,36.06776
2020-03-26,34.68568
2020-03-27,29.82612
2020-03-28,9.67454
2020-03-29,10.8337
2020-03-30,35.4436
2020-03-31,36.06776
2020-04-01,39.72358
2020-04-02,36.73651
2020-04-03,32.36736
2020-04-04,11.68078
2020-04-05,11.6362
2020-04-06,48.37271
2020-04-07,40.39233
2020-04-08,41.10566
2020-04-09,33.43736
2020-04-10,35.13152
2020-04-11,12.61703
2020-04-12,12.83994
2020-04-13,49.13062
2020-04-14,40.43691
2020-04-15,17.38742
2020-04-16,39.81275
2020-04-17,33.30361
2020-04-18,13.41952
2020-04-19,13.86535
2020-04-20,44.98439
2020-04-21,39.23316
2020-04-22,42.71065
2020-04-23,38.20775
2020-04-24,33.48194
2020-04-25,10.47703
2020-04-26,12.48328
2020-04-27,42.88898
2020-04-28,40.34774
2020-04-29,31.4757
2020-04-30,12.97369
2020-05-01,15.29201
2020-05-02,9.27329
2020-05-03,13.19661
2020-05-04,34.59652
2020-05-05,14.71243
2020-05-06,45.02897
2020-05-07,39.50066
2020-05-08,32.01069
2020-05-09,13.01827
2020-05-10,12.61703
2020-05-11,38.074
2020-05-12,38.074
2020-05-13,38.609
2020-05-14,33.25902
2020-05-15,31.78778
2020-05-16,10.20954
2020-05-17,12.03744
2020-05-18,38.43067
2020-05-19,32.27819
2020-05-20,34.06152
2020-05-21,33.8386
2020-05-22,29.82612
2020-05-23,10.07579
2020-05-24,10.92287
2020-05-25,40.52608
2020-05-26,36.95942
2020-05-27,34.19527
2020-05-28,36.11234
2020-05-29,33.57111
2020-05-30,11.99286
2020-05-31,10.5662
2020-06-01,41.50691
2020-06-02,40.43691
2020-06-03,35.62193
2020-06-04,32.67944
2020-06-05,31.87695
2020-06-06,11.6362
2020-06-07,13.50869
2020-06-08,41.19482
2020-06-09,33.70485
2020-06-10,34.3736
2020-06-11,33.03611
2020-06-12,30.09362
2020-06-13,10.12037
2020-06-14,12.97369
2020-06-15,39.05483
2020-06-16,36.87026
2020-06-17,34.01694
2020-06-18,33.03611
2020-06-19,30.98528
2020-06-20,10.92287
2020-06-21,11.6362
2020-06-22,37.49442
2020-06-23,31.96611
2020-06-24,35.93401
2020-06-25,32.59028
2020-06-26,30.00445
2020-06-27,11.14578
2020-06-28,10.74453
2020-06-29,36.46901
2020-06-30,34.77485
2020-07-01,34.50735
2020-07-02,32.50111
2020-07-03,27.2403
2020-07-04,10.43245
2020-07-05,11.19037
2020-07-06,39.144
2020-07-07,39.9465
2020-07-08,35.66651
2020-07-09,32.59028
2020-07-10,30.36112
2020-07-11,9.71912
2020-07-12,11.45786
2020-07-13,39.45608
2020-07-14,35.4436
2020-07-15,32.14444
2020-07-16,35.26526
2020-07-17,29.24654
2020-07-18,10.61078
2020-07-19,12.88452
2020-07-20,39.23316
2020-07-21,32.14444
2020-07-22,32.67944
2020-07-23,30.80695
2020-07-24,26.7053
2020-07-25,9.98662
2020-07-26,11.45786
2020-07-27,36.20151
2020-07-28,35.53276
2020-07-29,30.04904
2020-07-30,31.34195
2020-07-31,22.60365
2020-08-01,10.96745
2020-08-02,9.7637
2020-08-03,32.05528
2020-08-04,32.85777
2020-08-05,31.52028
2020-08-06,30.6732
2020-08-07,28.44404
2020-08-08,9.45162
2020-08-09,9.40704
2020-08-10,36.82567
2020-08-11,32.63486
2020-08-12,33.52652
2020-08-13,31.11903
2020-08-14,25.32322
2020-08-15,8.78288
2020-08-16,8.06954
2020-08-17,15.15827
2020-08-18,33.79402
2020-08-19,29.33571
2020-08-20,32.32278
2020-08-21,27.10655
2020-08-22,9.94204
2020-08-23,10.52162
2020-08-24,37.62817
2020-08-25,34.73027
2020-08-26,30.00445
2020-08-27,34.1061
2020-08-28,28.97904
2020-08-29,12.39411
2020-08-30,13.06286
2020-08-31,35.9786
2020-09-01,32.94694
2020-09-02,33.88319
2020-09-03,33.66027
2020-09-04,26.88363
2020-09-05,10.61078
2020-09-06,12.30494
2020-09-07,34.77485
2020-09-08,34.1061
2020-09-09,35.48818
2020-09-10,34.95318
2020-09-11,30.58403
2020-09-12,10.87828
2020-09-13,12.12661
2020-09-14,37.13776
2020-09-15,38.11859
2020-09-16,35.57735
2020-09-17,31.29736
2020-09-18,28.08738
2020-09-19,9.7637
2020-09-20,11.27953
2020-09-21,32.67944
2020-09-22,33.08069
2020-09-23,37.18234
2020-09-24,42.17565
2020-09-25,33.57111
2020-09-26,11.9037
2020-09-27,11.94828
2020-09-28,34.19527
2020-09-29,27.99821
2020-09-30,8.06954
2020-10-01,5.52831
2020-10-02,6.91038
2020-10-03,8.06954
2020-10-04,10.38787
2020-10-05,38.43067
2020-10-06,35.4436
2020-10-07,32.45653
2020-10-08,31.02987
2020-10-09,10.69995
2020-10-10,9.62995
2020-10-11,10.5662
2020-10-12,41.32857
2020-10-13,39.90191
2020-10-14,36.24609
2020-10-15,35.62193
2020-10-16,29.51404
2020-10-17,10.5662
2020-10-18,12.66161
2020-10-19,40.03566
2020-10-20,37.31609
2020-10-21,35.84485
2020-10-22,37.44984
2020-10-23,32.36736
2020-10-24,11.19037
2020-10-25,12.97369
2020-10-26,44.18189
2020-10-27,43.24565
2020-10-28,37.89567
2020-10-29,37.09317
2020-10-30,34.86402
2020-10-31,10.34329
2020-11-01,12.30494
2020-11-02,44.80606
2020-11-03,39.76816
2020-11-04,37.94025
2020-11-05,36.11234
2020-11-06,33.74944
2020-11-07,11.50245
2020-11-08,11.94828
2020-11-09,38.83192
2020-11-10,39.58983
2020-11-11,34.81943
2020-11-12,33.52652
2020-11-13,31.02987
2020-11-14,10.0312
2020-11-15,11.59161
2020-11-16,40.25858
2020-11-17,37.67275
2020-11-18,40.25858
2020-11-19,35.57735
2020-11-20,29.38029
2020-11-21,9.7637
2020-11-22,11.1012
2020-11-23,41.28399
2020-11-24,34.32902
2020-11-25,33.88319
2020-11-26,36.91484
2020-11-27,27.99821
2020-11-28,10.25412
2020-11-29,12.92911
2020-11-30,40.34774
2020-12-01,38.47525
2020-12-02,35.39901
2020-12-03,34.50735
2020-12-04,27.46321
2020-12-05,11.32411
2020-12-06,12.43869
2020-12-07,43.6469
2020-12-08,40.34774
2020-12-09,37.85109
2020-12-10,35.66651
2020-12-11,32.45653
2020-12-12,10.47703
2020-12-13,11.1012
2020-12-14,41.01649
2020-12-15,34.99777
2020-12-16,32.99152
2020-12-17,30.53945
2020-12-18,30.71778
2020-12-19,10.12037
2020-12-20,11.41328
2020-12-21,37.36067
2020-12-22,33.39277
2020-12-23,33.74944
2020-12-24,28.08738
2020-12-25,9.80829
2020-12-26,9.22871
2020-12-27,12.08203
2020-12-28,42.71065
2020-12-29,38.69817
2020-12-30,33.21444
2020-12-31,20.50824
2021-01-01,9.54079
2021-01-02,12.39411
2021-01-03,13.24119
2021-01-04,45.96522
2021-01-05,42.62148
2021-01-06,40.43691
2021-01-07,38.51983
2021-01-08,32.54569
2021-01-09,11.99286
2021-01-10,13.95452
2021-01-11,51.40436
2021-01-12,40.03566
2021-01-13,39.679
2021-01-14,38.609
2021-01-15,36.55818
2021-01-16,13.15202
2021-01-17,14.13285
2021-01-18,46.76772
2021-01-19,40.48149
2021-01-20,39.85733
2021-01-21,38.56442
2021-01-22,35.08693
2021-01-23,12.88452
2021-01-24,13.33036
2021-01-25,45.20731
2021-01-26,41.64065
2021-01-27,40.08024
2021-01-28,39.32233
2021-01-29,35.1761
2021-01-30,11.14578
2021-01-31,13.24119
2021-02-01,48.77396
2021-02-02,45.69772
2021-02-03,43.60231
2021-02-04,39.09942
2021-02-05,37.71734
2021-02-06,12.66161
2021-02-07,11.45786
2021-02-08,43.3794
2021-02-09,38.8765
2021-02-10,25.76905
2021-02-11,8.78288
2021-02-12,7.89121
2021-02-13,7.1333
2021-02-14,11.9037
2021-02-15,47.52563
2021-02-16,43.20106
2021-02-17,40.92732
2021-02-18,38.11859
2021-02-19,37.22692
2021-02-20,13.10744
2021-02-21,13.64244
2021-02-22,40.74899
2021-02-23,38.43067
2021-02-24,39.63441
2021-02-25,39.90191
2021-02-26,31.78778
2021-02-27,9.71912
2021-02-28,10.8337
2021-03-01,15.73785
2021-03-02,46.05439
2021-03-03,42.66607
2021-03-04,36.73651
2021-03-05,31.34195
2021-03-06,11.81453
2021-03-07,12.39411
2021-03-08,43.33481
2021-03-09,40.57066
2021-03-10,38.8765
2021-03-11,38.609
2021-03-12,29.20196
2021-03-13,10.87828
2021-03-14,13.82077
2021-03-15,48.23896
2021-03-16,41.81899
2021-03-17,40.12483
2021-03-18,35.22068
2021-03-19,34.77485
2021-03-20,11.41328
2021-03-21,12.52786
2021-03-22,48.50646
2021-03-23,44.89522
2021-03-24,38.38609
2021-03-25,42.13107
2021-03-26,34.55193
2021-03-27,9.67454
2021-03-28,9.45162
2021-03-29,42.22024
2021-03-30,43.78065
2021-03-31,34.28444
2021-04-01,37.27151
2021-04-02,32.23361
2021-04-03,10.61078
2021-04-04,11.01203
2021-04-05,37.22692
2021-04-06,37.67275
2021-04-07,34.6411
2021-04-08,31.92153
2021-04-09,33.34819
2021-04-10,10.25412
2021-04-11,10.96745
2021-04-12,40.48149
2021-04-13,39.58983
2021-04-14,40.21399
2021-04-15,37.18234
2021-04-16,28.75613
