date,사업자등록증발급
2020-03-20,35.97705
2020-03-21,9.17988
2020-03-22,10.59736
2020-03-23,46.94566
2020-03-24,41.71447
2020-03-25,46.00067
2020-03-26,42.18697
2020-03-27,34.76206
2020-03-28,8.63989
2020-03-29,8.94363
2020-03-30,44.75194
2020-03-31,42.49071
2020-04-01,45.32568
2020-04-02,47.6544
2020-04-03,38.23827
2020-04-04,10.22612
2020-04-05,10.86736
2020-04-06,57.44178
2020-04-07,53.45933
2020-04-08,52.98683
2020-04-09,45.56193
2020-04-10,43.6382
2020-04-11,9.01113
2020-04-12,13.12858
2020-04-13,59.80425
2020-04-14,46.67566
2020-04-15,14.37732
2020-04-16,51.90685
2020-04-17,42.25447
2020-04-18,12.48734
2020-04-19,14.41106
2020-04-20,57.50928
2020-04-21,49.94937
2020-04-22,53.83057
2020-04-23,52.44684
2020-04-24,38.30577
2020-04-25,8.70739
2020-04-26,9.78737
2020-04-27,54.94431
2020-04-28,49.88187
2020-04-29,42.45696
2020-04-30,11.4411
2020-05-01,21.59973
2020-05-02,8.84238
2020-05-03,10.86736
2020-05-04,48.26189
2020-05-05,17.38103
2020-05-06,57.88052
2020-05-07,45.08943
2020-05-08,31.4546
2020-05-09,9.07863
2020-05-10,11.10361
2020-05-11,39.92575
2020-05-12,37.22578
2020-05-13,36.14579
2020-05-14,34.52581
2020-05-15,27.87715
2020-05-16,8.36989
2020-05-17,10.09112
2020-05-18,40.87073
2020-05-19,33.71582
2020-05-20,33.14208
2020-05-21,34.39082
2020-05-22,29.63212
2020-05-23,7.59365
2020-05-24,9.14613
2020-05-25,36.75329
2020-05-26,33.34458
2020-05-27,31.18461
2020-05-28,27.3034
2020-05-29,27.26965
2020-05-30,7.7624
2020-05-31,8.30239
2020-06-01,44.85318
2020-06-02,38.71076
2020-06-03,36.51704
2020-06-04,33.47958
2020-06-05,30.74586
2020-06-06,11.60985
2020-06-07,11.10361
2020-06-08,40.90448
2020-06-09,34.59331
2020-06-10,31.01586
2020-06-11,32.02834
2020-06-12,28.14714
2020-06-13,8.43739
2020-06-14,11.27235
2020-06-15,35.2683
2020-06-16,32.46709
2020-06-17,33.68207
2020-06-18,30.77961
2020-06-19,25.98717
2020-06-20,7.86365
2020-06-21,9.07863
2020-06-22,36.28079
2020-06-23,32.97333
2020-06-24,28.51839
2020-06-25,28.18089
2020-06-26,25.34593
2020-06-27,7.15491
2020-06-28,7.8974
2020-06-29,36.55079
2020-06-30,34.28957
2020-07-01,34.39082
2020-07-02,34.25582
2020-07-03,24.94093
2020-07-04,6.98616
2020-07-05,9.51738
2020-07-06,38.67701
2020-07-07,33.68207
2020-07-08,27.06716
2020-07-09,29.63212
2020-07-10,27.3709
2020-07-11,6.95241
2020-07-12,8.03239
2020-07-13,35.06581
2020-07-14,31.75835
2020-07-15,32.23084
2020-07-16,30.64461
2020-07-17,27.80965
2020-07-18,7.39115
2020-07-19,9.78737
2020-07-20,36.17954
2020-07-21,28.48464
2020-07-22,27.74215
2020-07-23,26.62841
2020-07-24,23.59095
2020-07-25,7.72865
2020-07-26,6.58116
2020-07-27,28.75464
2020-07-28,29.05838
2020-07-29,24.16469
2020-07-30,25.00843
2020-07-31,23.25345
2020-08-01,6.71616
2020-08-02,6.17617
2020-08-03,28.78839
2020-08-04,27.26965
2020-08-05,28.04589
2020-08-06,26.66216
2020-08-07,23.9622
2020-08-08,6.10867
2020-08-09,6.10867
2020-08-10,31.9271
2020-08-11,27.60715
2020-08-12,27.8434
2020-08-13,28.85588
2020-08-14,22.44346
2020-08-15,6.54741
2020-08-16,5.77117
2020-08-17,10.76611
2020-08-18,28.07964
2020-08-19,28.48464
2020-08-20,28.55214
2020-08-21,22.10597
2020-08-22,6.17617
2020-08-23,7.2224
2020-08-24,33.10833
2020-08-25,30.00337
2020-08-26,27.3709
2020-08-27,24.50219
2020-08-28,22.64596
2020-08-29,6.64866
2020-08-30,7.01991
2020-08-31,31.21835
2020-09-01,29.86837
2020-09-02,29.96962
2020-09-03,26.32467
2020-09-04,21.90347
2020-09-05,5.36618
2020-09-06,7.2899
2020-09-07,28.34964
2020-09-08,26.76341
2020-09-09,26.99966
2020-09-10,25.61592
2020-09-11,23.6922
2020-09-12,7.08741
2020-09-13,6.98616
2020-09-14,28.04589
2020-09-15,28.82213
2020-09-16,26.59466
2020-09-17,26.62841
2020-09-18,21.83597
2020-09-19,5.87242
2020-09-20,7.18866
2020-09-21,28.24839
2020-09-22,28.18089
2020-09-23,28.51839
2020-09-24,34.49206
2020-09-25,29.36213
2020-09-26,8.77489
2020-09-27,7.93115
2020-09-28,32.77084
2020-09-29,23.38845
2020-09-30,5.12993
2020-10-01,3.4087
2020-10-02,4.31994
2020-10-03,5.06243
2020-10-04,7.5599
2020-10-05,36.88828
2020-10-06,35.97705
2020-10-07,36.07829
2020-10-08,30.00337
2020-10-09,6.98616
2020-10-10,5.73742
2020-10-11,7.8974
2020-10-12,38.27202
2020-10-13,35.6733
2020-10-14,37.76577
2020-10-15,31.75835
2020-10-16,30.88086
2020-10-17,7.15491
2020-10-18,8.53864
2020-10-19,37.56328
2020-10-20,36.82078
2020-10-21,33.14208
2020-10-22,30.03712
2020-10-23,27.20215
2020-10-24,7.25615
2020-10-25,7.93115
2020-10-26,41.91697
2020-10-27,36.98953
2020-10-28,34.05332
2020-10-29,36.38204
2020-10-30,27.3709
2020-10-31,6.71616
2020-11-01,9.31488
2020-11-02,41.95072
2020-11-03,41.68072
2020-11-04,33.91832
2020-11-05,32.33209
2020-11-06,28.58589
2020-11-07,7.7624
2020-11-08,8.43739
2020-11-09,33.14208
2020-11-10,30.40836
2020-11-11,31.55585
2020-11-12,32.06209
2020-11-13,29.26088
2020-11-14,8.16739
2020-11-15,8.60614
2020-11-16,35.8758
2020-11-17,32.56834
2020-11-18,31.04961
2020-11-19,32.36584
2020-11-20,27.2359
2020-11-21,6.17617
2020-11-22,7.9649
2020-11-23,32.83833
2020-11-24,27.80965
2020-11-25,28.82213
2020-11-26,29.26088
2020-11-27,24.23219
2020-11-28,5.73742
2020-11-29,7.9649
2020-11-30,31.75835
2020-12-01,30.47586
2020-12-02,31.08336
2020-12-03,29.26088
2020-12-04,23.32095
2020-12-05,6.85116
2020-12-06,7.6949
2020-12-07,34.89706
2020-12-08,31.75835
2020-12-09,34.59331
2020-12-10,28.92338
2020-12-11,25.75092
2020-12-12,7.2224
2020-12-13,8.47114
2020-12-14,31.82585
2020-12-15,31.7921
2020-12-16,29.73337
2020-12-17,28.24839
2020-12-18,23.9622
2020-12-19,6.54741
2020-12-20,6.00742
2020-12-21,29.39588
2020-12-22,26.32467
2020-12-23,26.62841
2020-12-24,24.09719
2020-12-25,5.50118
2020-12-26,5.50118
2020-12-27,8.30239
2020-12-28,35.3358
2020-12-29,35.63955
2020-12-30,29.66587
2020-12-31,20.92473
2021-01-01,6.34492
2021-01-02,6.20992
2021-01-03,10.05737
2021-01-04,41.57948
2021-01-05,38.44076
2021-01-06,36.41579
2021-01-07,33.00708
2021-01-08,26.76341
2021-01-09,9.14613
2021-01-10,10.79986
2021-01-11,46.37192
2021-01-12,36.85453
2021-01-13,34.79581
2021-01-14,38.94701
2021-01-15,33.20958
2021-01-16,8.16739
2021-01-17,10.09112
2021-01-18,45.42693
2021-01-19,39.18326
2021-01-20,36.95578
2021-01-21,31.11711
2021-01-22,29.29463
2021-01-23,9.07863
2021-01-24,9.38238
2021-01-25,44.38069
2021-01-26,37.49578
2021-01-27,36.55079
2021-01-28,37.19203
2021-01-29,30.74586
2021-01-30,7.6949
2021-01-31,9.82112
2021-02-01,46.57441
2021-02-02,42.59196
2021-02-03,37.63077
2021-02-04,39.5545
2021-02-05,34.55956
2021-02-06,8.23489
2021-02-07,9.95612
2021-02-08,38.81201
2021-02-09,34.62706
2021-02-10,25.04218
2021-02-11,5.63617
2021-02-12,5.12993
2021-02-13,5.39993
2021-02-14,9.58488
2021-02-15,47.89065
2021-02-16,44.38069
2021-02-17,42.52446
2021-02-18,38.03577
2021-02-19,32.16334
2021-02-20,8.26864
2021-02-21,8.97738
2021-02-22,43.09821
2021-02-23,34.93081
2021-02-24,34.66081
2021-02-25,37.76577
2021-02-26,27.87715
2021-02-27,6.95241
2021-02-28,6.47991
2021-03-01,10.86736
2021-03-02,44.21194
2021-03-03,39.85825
2021-03-04,36.41579
2021-03-05,30.37462
2021-03-06,7.9649
2021-03-07,8.26864
2021-03-08,36.44954
2021-03-09,34.45831
2021-03-10,31.7921
2021-03-11,33.00708
2021-03-12,26.69591
2021-03-13,6.34492
2021-03-14,8.36989
2021-03-15,38.40701
2021-03-16,38.81201
2021-03-17,34.32332
2021-03-18,30.40836
2021-03-19,34.99831
2021-03-20,13.80357
2021-03-21,14.27607
2021-03-22,54.23557
2021-03-23,48.49814
2021-03-24,46.57441
2021-03-25,51.6706
2021-03-26,37.42828
2021-03-27,7.9649
2021-03-28,8.09989
2021-03-29,36.48329
2021-03-30,32.77084
2021-03-31,31.62335
2021-04-01,33.04083
2021-04-02,26.52716
2021-04-03,6.44616
2021-04-04,8.13364
2021-04-05,35.4708
2021-04-06,37.05703
2021-04-07,30.91461
2021-04-08,31.89335
2021-04-09,25.88592
2021-04-10,6.51366
2021-04-11,7.18866
2021-04-12,34.72831
2021-04-13,35.13331
2021-04-14,35.06581
2021-04-15,32.50084
2021-04-16,24.90718
2021-04-17,5.93992
2021-04-18,6.04117
2021-04-19,36.85453
2021-04-20,34.39082
2021-04-21,33.20958
2021-04-22,29.83462
2021-04-23,24.46844
2021-04-24,5.06243
2021-04-25,7.18866
2021-04-26,44.51569
2021-04-27,59.6355
2021-04-28,42.72696
2021-04-29,38.20452
2021-04-30,32.26459
2021-05-01,9.51738
2021-05-02,10.59736
2021-05-03,42.08572
2021-05-04,37.22578
2021-05-05,10.09112
2021-05-06,40.83698
2021-05-07,29.49713
2021-05-08,7.32365
2021-05-09,9.85487
2021-05-10,41.44448
2021-05-11,37.90077
2021-05-12,35.16706
2021-05-13,34.79581
2021-05-14,31.08336
2021-05-15,6.95241
2021-05-16,8.80863
2021-05-17,37.46203
2021-05-18,29.63212
2021-05-19,9.55113
2021-05-20,35.8758
2021-05-21,27.47215
2021-05-22,5.97367
2021-05-23,7.25615
2021-05-24,38.57576
2021-05-25,36.07829
2021-05-26,31.75835
2021-05-27,30.27337
2021-05-28,27.13466
2021-05-29,5.93992
2021-05-30,7.7624
2021-05-31,34.49206
