date,삼부토건주가
2020-03-20,0.32016
2020-03-21,0.03103
2020-03-22,0.03103
2020-03-23,0.30546
2020-03-24,0.31362
2020-03-25,0.31362
2020-03-26,0.33813
2020-03-27,0.26952
2020-03-28,0.049
2020-03-29,0.03757
2020-03-30,0.32342
2020-03-31,0.34466
2020-04-01,0.45574
2020-04-02,0.42307
2020-04-03,0.4443
2020-04-04,0.06697
2020-04-05,0.06207
2020-04-06,0.51617
2020-04-07,0.52271
2020-04-08,0.45574
2020-04-09,0.4737
2020-04-10,0.49821
2020-04-11,0.10127
2020-04-12,0.09147
2020-04-13,0.81183
2020-04-14,0.69096
2020-04-15,0.13394
2020-04-16,0.71709
2020-04-17,0.8298
2020-04-18,0.12251
2020-04-19,0.0882
2020-04-20,1.21694
2020-04-21,1.69391
2020-04-22,1.72168
2020-04-23,1.34435
2020-04-24,1.31985
2020-04-25,0.14374
2020-04-26,0.11434
2020-04-27,1.04052
2020-04-28,1.10259
2020-04-29,0.97028
2020-04-30,0.12904
2020-05-01,0.18131
2020-05-02,0.13067
2020-05-03,0.14374
2020-05-04,1.12546
2020-05-05,0.17478
2020-05-06,1.03235
2020-05-07,0.87717
2020-05-08,0.95068
2020-05-09,0.11761
2020-05-10,0.11434
2020-05-11,0.82
2020-05-12,0.66972
2020-05-13,0.73669
2020-05-14,0.63379
2020-05-15,0.60602
2020-05-16,0.18621
2020-05-17,0.098
2020-05-18,0.64195
2020-05-19,0.76773
2020-05-20,0.76283
2020-05-21,0.59295
2020-05-22,0.55211
2020-05-23,0.06533
2020-05-24,0.07023
2020-05-25,0.52598
2020-05-26,0.64685
2020-05-27,0.57825
2020-05-28,0.53088
2020-05-29,0.45084
2020-05-30,0.06533
2020-05-31,0.07677
2020-06-01,0.50964
2020-06-02,0.57335
2020-06-03,0.65012
2020-06-04,0.55374
2020-06-05,0.54721
2020-06-06,0.11597
2020-06-07,0.08984
2020-06-08,0.51291
2020-06-09,0.40836
2020-06-10,0.40836
2020-06-11,0.42143
2020-06-12,0.41163
2020-06-13,0.0686
2020-06-14,0.07023
2020-06-15,0.44757
2020-06-16,0.4394
2020-06-17,0.39856
2020-06-18,0.4149
2020-06-19,0.4737
2020-06-20,0.12087
2020-06-21,0.06533
2020-06-22,0.60602
2020-06-23,0.4639
2020-06-24,0.51944
2020-06-25,0.48187
2020-06-26,0.52598
2020-06-27,0.0882
2020-06-28,0.10617
2020-06-29,0.52434
2020-06-30,0.51127
2020-07-01,0.52924
2020-07-02,0.53904
2020-07-03,0.57008
2020-07-04,0.11924
2020-07-05,0.09474
2020-07-06,1.14996
2020-07-07,0.93761
2020-07-08,0.81183
2020-07-09,0.58805
2020-07-10,0.63869
2020-07-11,0.17641
2020-07-12,0.15191
2020-07-13,1.01439
2020-07-14,0.81837
2020-07-15,0.74976
2020-07-16,0.91311
2020-07-17,0.80693
2020-07-18,0.12251
2020-07-19,0.11271
2020-07-20,0.57988
2020-07-21,0.66155
2020-07-22,0.55701
2020-07-23,0.53251
2020-07-24,0.55538
2020-07-25,0.12087
2020-07-26,0.12577
2020-07-27,0.53741
2020-07-28,0.59948
2020-07-29,0.54721
2020-07-30,0.53904
2020-07-31,0.67952
2020-08-01,0.13557
2020-08-02,0.15681
2020-08-03,0.91801
2020-08-04,0.94251
2020-08-05,1.5322
2020-08-06,1.64491
2020-08-07,1.63511
2020-08-08,0.33486
2020-08-09,0.25482
2020-08-10,1.71188
2020-08-11,2.54169
2020-08-12,2.13659
2020-08-13,1.75925
2020-08-14,1.69391
2020-08-15,0.21235
2020-08-16,0.16171
2020-08-17,0.29892
2020-08-18,1.30841
2020-08-19,1.38029
2020-08-20,1.11566
2020-08-21,1.18263
2020-08-22,0.17151
2020-08-23,0.11271
2020-08-24,1.06339
2020-08-25,1.16793
2020-08-26,1.07156
2020-08-27,1.00459
2020-08-28,0.98988
2020-08-29,0.098
2020-08-30,0.11271
2020-08-31,1.11076
2020-09-01,1.75272
2020-09-02,2.16599
2020-09-03,1.54527
2020-09-04,1.65634
2020-09-05,0.19765
2020-09-06,0.12414
2020-09-07,2.03858
2020-09-08,2.07615
2020-09-09,2.14802
2020-09-10,4.20457
2020-09-11,7.82273
2020-09-12,0.71709
2020-09-13,0.4443
2020-09-14,4.55904
2020-09-15,5.42478
2020-09-16,4.95761
2020-09-17,3.83377
2020-09-18,3.36986
2020-09-19,0.4345
2020-09-20,0.26625
2020-09-21,2.83245
2020-09-22,2.3081
2020-09-23,2.47962
2020-09-24,2.89452
2020-09-25,2.57273
2020-09-26,0.31526
2020-09-27,0.20908
2020-09-28,2.21989
2020-09-29,2.90596
2020-09-30,0.35283
2020-10-01,0.21071
2020-10-02,0.23358
2020-10-03,0.17968
2020-10-04,0.21561
2020-10-05,3.24572
2020-10-06,3.51198
2020-10-07,3.36006
2020-10-08,3.80927
2020-10-09,0.56845
2020-10-10,0.29892
2020-10-11,0.30546
2020-10-12,3.21795
2020-10-13,2.91576
2020-10-14,4.62928
2020-10-15,4.81713
2020-10-16,4.73545
2020-10-17,0.58151
2020-10-18,0.41163
2020-10-19,5.09972
2020-10-20,4.61458
2020-10-21,6.71523
2020-10-22,7.17751
2020-10-23,9.81067
2020-10-24,1.82949
2020-10-25,1.36395
2020-10-26,16.58472
2020-10-27,14.02995
2020-10-28,11.87703
2020-10-29,12.28213
2020-10-30,10.451
2020-10-31,1.51586
2020-11-01,1.33945
2020-11-02,8.92696
2020-11-03,9.89235
2020-11-04,9.63426
2020-11-05,8.32911
2020-11-06,10.37423
2020-11-07,1.5763
2020-11-08,1.36885
2020-11-09,10.8316
2020-11-10,13.4027
2020-11-11,12.53042
2020-11-12,13.36349
2020-11-13,12.715
2020-11-14,1.9226
2020-11-15,1.71352
2020-11-16,17.44556
2020-11-17,23.05003
2020-11-18,19.32079
2020-11-19,18.2721
2020-11-20,15.35797
2020-11-21,2.37181
2020-11-22,1.89483
2020-11-23,15.56542
2020-11-24,16.0522
2020-11-25,14.32725
2020-11-26,13.61178
2020-11-27,11.75452
2020-11-28,1.80336
2020-11-29,1.4881
2020-11-30,12.40954
2020-12-01,12.69377
2020-12-02,11.08969
2020-12-03,11.60914
2020-12-04,16.00483
2020-12-05,2.76384
2020-12-06,2.40938
2020-12-07,13.87314
2020-12-08,14.01689
2020-12-09,17.53867
