date,삼성주가
2020-03-20,0.95829
2020-03-21,0.50561
2020-03-22,0.38444
2020-03-23,0.94356
2020-03-24,0.81909
2020-03-25,0.72423
2020-03-26,0.61166
2020-03-27,0.48783
2020-03-28,0.28925
2020-03-29,0.24613
2020-03-30,0.39916
2020-03-31,0.31516
2020-04-01,0.29818
2020-04-02,0.25892
2020-04-03,0.20091
2020-04-04,0.11763
2020-04-05,0.11256
2020-04-06,0.20034
2020-04-07,0.24355
2020-04-08,0.19004
2020-04-09,0.16011
2020-04-10,0.15995
2020-04-11,0.09333
2020-04-12,0.08448
2020-04-13,0.1371
2020-04-14,0.11803
2020-04-15,0.07643
2020-04-16,0.1062
2020-04-17,0.15191
2020-04-18,0.07812
2020-04-19,0.07346
2020-04-20,0.11731
2020-04-21,0.16132
2020-04-22,0.14651
2020-04-23,0.11425
2020-04-24,0.09301
2020-04-25,0.05503
2020-04-26,0.05752
2020-04-27,0.0877
2020-04-28,0.0885
2020-04-29,0.0951
2020-04-30,0.05527
2020-05-01,0.05551
2020-05-02,0.0502
2020-05-03,0.04747
2020-05-04,0.08408
2020-05-05,0.05342
2020-05-06,0.18192
2020-05-07,0.13147
2020-05-08,0.07547
2020-05-09,0.05157
2020-05-10,0.0527
2020-05-11,0.0873
2020-05-12,0.09003
2020-05-13,0.08528
2020-05-14,0.08778
2020-05-15,0.07796
2020-05-16,0.0432
2020-05-17,0.04586
2020-05-18,0.07748
2020-05-19,0.09687
2020-05-20,0.08376
2020-05-21,0.08464
2020-05-22,0.07836
2020-05-23,0.05342
2020-05-24,0.05157
2020-05-25,0.09993
2020-05-26,0.1029
2020-05-27,0.0844
2020-05-28,0.0778
2020-05-29,0.0663
2020-05-30,0.04924
2020-05-31,0.04192
2020-06-01,0.07684
2020-06-02,0.07659
2020-06-03,0.12841
2020-06-04,0.14571
2020-06-05,0.10089
2020-06-06,0.05938
2020-06-07,0.08673
2020-06-08,0.17733
2020-06-09,0.14965
2020-06-10,0.09888
2020-06-11,0.09663
2020-06-12,0.10805
2020-06-13,0.05382
2020-06-14,0.05503
2020-06-15,0.11731
2020-06-16,0.098
2020-06-17,0.0889
2020-06-18,0.06807
2020-06-19,0.06734
2020-06-20,0.0395
2020-06-21,0.03339
2020-06-22,0.06605
2020-06-23,0.063
2020-06-24,0.0704
2020-06-25,0.06292
2020-06-26,0.06034
2020-06-27,0.04232
2020-06-28,0.04063
2020-06-29,0.06686
2020-06-30,0.05592
2020-07-01,0.05173
2020-07-02,0.05873
2020-07-03,0.05061
2020-07-04,0.03065
2020-07-05,0.04546
2020-07-06,0.0741
2020-07-07,0.098
2020-07-08,0.07257
2020-07-09,0.06959
2020-07-10,0.06227
2020-07-11,0.04481
2020-07-12,0.04538
2020-07-13,0.06686
2020-07-14,0.06452
2020-07-15,0.07153
2020-07-16,0.06042
2020-07-17,0.05672
2020-07-18,0.03516
2020-07-19,0.03741
2020-07-20,0.05712
2020-07-21,0.06984
2020-07-22,0.06895
2020-07-23,0.07088
2020-07-24,0.06219
2020-07-25,0.04175
2020-07-26,0.06428
2020-07-27,0.08021
2020-07-28,0.1025
2020-07-29,0.09647
2020-07-30,0.09076
2020-07-31,0.07901
2020-08-01,0.05551
2020-08-02,0.05246
2020-08-03,0.08874
2020-08-04,0.08231
2020-08-05,0.09204
2020-08-06,0.09623
2020-08-07,0.09341
2020-08-08,0.06107
2020-08-09,0.06348
2020-08-10,0.09397
2020-08-11,0.09719
2020-08-12,0.09751
2020-08-13,0.09293
2020-08-14,0.08512
2020-08-15,0.05584
2020-08-16,0.0572
2020-08-17,0.06774
2020-08-18,0.0984
2020-08-19,0.09711
2020-08-20,0.13042
2020-08-21,0.09759
2020-08-22,0.06766
2020-08-23,0.06613
2020-08-24,0.09116
2020-08-25,0.08722
2020-08-26,0.08705
2020-08-27,0.09993
2020-08-28,0.09317
2020-08-29,0.05994
2020-08-30,0.08504
2020-08-31,0.12342
2020-09-01,0.17162
2020-09-02,0.12994
2020-09-03,0.12463
2020-09-04,0.1268
2020-09-05,0.07289
2020-09-06,0.06847
2020-09-07,0.13163
2020-09-08,0.12439
2020-09-09,0.14442
2020-09-10,0.12704
2020-09-11,0.10854
2020-09-12,0.07474
2020-09-13,0.07153
2020-09-14,0.1202
2020-09-15,0.14048
2020-09-16,0.12101
2020-09-17,0.11618
2020-09-18,0.08971
2020-09-19,0.06147
2020-09-20,0.0568
2020-09-21,0.0852
2020-09-22,0.09244
2020-09-23,0.08955
2020-09-24,0.10242
2020-09-25,0.07981
2020-09-26,0.05455
2020-09-27,0.05294
2020-09-28,0.07338
2020-09-29,0.06742
2020-09-30,0.05455
2020-10-01,0.06042
2020-10-02,0.05471
2020-10-03,0.0531
2020-10-04,0.05938
2020-10-05,0.08553
2020-10-06,0.07796
2020-10-07,0.07756
2020-10-08,0.098
2020-10-09,0.05769
2020-10-10,0.0494
2020-10-11,0.04795
2020-10-12,0.07909
2020-10-13,0.09639
2020-10-14,0.09293
2020-10-15,0.11047
2020-10-16,0.09607
2020-10-17,0.06702
2020-10-18,0.06428
2020-10-19,0.0922
2020-10-20,0.08754
2020-10-21,0.08303
2020-10-22,0.0803
2020-10-23,0.07338
2020-10-24,0.04578
2020-10-25,16.90169
2020-10-26,1.91288
2020-10-27,0.38645
2020-10-28,0.2413
2020-10-29,0.22851
2020-10-30,0.17983
2020-10-31,0.10677
2020-11-01,0.09936
2020-11-02,0.14024
2020-11-03,0.10033
2020-11-04,0.09397
2020-11-05,0.09945
2020-11-06,0.08287
2020-11-07,0.05342
2020-11-08,0.05238
2020-11-09,0.09261
2020-11-10,0.09896
2020-11-11,0.08778
2020-11-12,0.09285
2020-11-13,0.10379
2020-11-14,0.063
2020-11-15,0.0601
2020-11-16,0.18039
2020-11-17,0.17033
2020-11-18,0.13316
2020-11-19,0.10274
2020-11-20,0.09148
2020-11-21,0.08311
2020-11-22,0.07378
2020-11-23,0.15231
2020-11-24,0.1585
2020-11-25,0.18972
2020-11-26,0.15319
2020-11-27,0.12656
2020-11-28,0.10773
2020-11-29,0.10701
2020-11-30,0.14748
2020-12-01,0.14973
2020-12-02,0.15697
2020-12-03,0.17942
2020-12-04,0.20831
2020-12-05,0.11176
2020-12-06,0.11634
2020-12-07,0.18554
2020-12-08,0.18634
2020-12-09,0.17186
2020-12-10,0.16904
2020-12-11,0.14209
2020-12-12,0.09422
2020-12-13,0.08995
2020-12-14,0.15778
2020-12-15,0.14265
2020-12-16,0.12535
2020-12-17,0.13203
2020-12-18,0.12962
2020-12-19,0.091
2020-12-20,0.09108
2020-12-21,0.15609
2020-12-22,0.16373
2020-12-23,0.18996
2020-12-24,0.21306
2020-12-25,0.11489
2020-12-26,0.10154
2020-12-27,0.11618
2020-12-28,0.23132
2020-12-29,0.22464
2020-12-30,0.40037
2020-12-31,0.25031
2021-01-01,0.15915
2021-01-02,0.14289
2021-01-03,0.1548
2021-01-04,0.35958
2021-01-05,0.34646
2021-01-06,0.3492
2021-01-07,0.28732
2021-01-08,0.51881
2021-01-09,0.31355
2021-01-10,0.2512
2021-01-11,0.70894
2021-01-12,0.63958
2021-01-13,0.47866
2021-01-14,0.43634
2021-01-15,0.44133
2021-01-16,0.22673
2021-01-17,0.20678
2021-01-18,49.39404
2021-01-19,100.0
2021-01-20,5.06696
2021-01-21,3.73308
2021-01-22,2.67895
2021-01-23,0.63089
2021-01-24,0.45042
2021-01-25,1.98409
2021-01-26,2.26168
2021-01-27,2.00839
2021-01-28,2.36853
2021-01-29,2.32275
2021-01-30,0.57328
2021-01-31,0.37768
2021-02-01,1.62226
2021-02-02,1.46882
2021-02-03,1.40195
2021-02-04,1.39101
2021-02-05,1.28271
2021-02-06,0.30575
2021-02-07,0.20034
2021-02-08,1.06015
2021-02-09,0.94783
2021-02-10,0.88378
2021-02-11,0.23687
2021-02-12,0.21724
2021-02-13,0.21233
2021-02-14,0.1923
2021-02-15,1.01582
2021-02-16,0.9603
2021-02-17,0.96424
2021-02-18,0.9389
2021-02-19,0.92683
2021-02-20,0.23245
2021-02-21,0.18908
2021-02-22,0.81177
2021-02-23,0.85997
2021-02-24,0.85417
2021-02-25,0.92852
2021-02-26,0.86616
2021-02-27,0.21169
2021-02-28,0.20332
2021-03-01,0.1931
2021-03-02,0.75528
2021-03-03,0.67893
2021-03-04,0.6778
2021-03-05,0.68464
2021-03-06,0.18803
2021-03-07,0.14941
2021-03-08,0.67498
2021-03-09,0.71562
2021-03-10,0.68247
2021-03-11,0.67997
2021-03-12,0.6288
2021-03-13,0.20324
2021-03-14,0.18385
2021-03-15,0.61271
2021-03-16,0.61319
2021-03-17,0.5703
2021-03-18,0.57465
2021-03-19,0.52895
2021-03-20,0.15529
2021-03-21,0.13091
2021-03-22,0.51036
2021-03-23,0.50054
2021-03-24,0.50465
2021-03-25,0.50851
2021-03-26,0.47979
2021-03-27,0.12801
2021-03-28,0.11047
2021-03-29,0.4711
2021-03-30,0.46345
2021-03-31,0.44881
2021-04-01,0.46402
2021-04-02,0.58535
2021-04-03,0.16204
2021-04-04,0.12165
2021-04-05,0.56475
2021-04-06,0.62059
2021-04-07,0.62606
2021-04-08,0.54102
2021-04-09,0.49089
2021-04-10,0.12801
2021-04-11,0.10604
2021-04-12,0.48373
2021-04-13,0.53144
2021-04-14,0.50843
2021-04-15,0.50449
2021-04-16,0.49789
2021-04-17,0.14338
2021-04-18,0.11095
2021-04-19,0.44873
2021-04-20,0.45058
2021-04-21,0.47922
2021-04-22,0.43795
2021-04-23,0.44052
2021-04-24,0.12857
2021-04-25,0.09953
2021-04-26,0.45146
2021-04-27,0.4373
2021-04-28,0.47021
2021-04-29,0.48091
2021-04-30,0.42153
2021-05-01,0.11739
2021-05-02,0.1087
2021-05-03,0.46249
2021-05-04,0.42741
2021-05-05,0.14957
2021-05-06,0.42322
2021-05-07,0.38726
2021-05-08,0.10387
2021-05-09,0.09043
2021-05-10,0.43964
2021-05-11,0.47705
2021-05-12,0.62244
2021-05-13,0.78232
2021-05-14,0.65841
2021-05-15,0.14732
2021-05-16,0.12109
2021-05-17,0.55638
2021-05-18,0.4962
2021-05-19,0.17073
2021-05-20,0.50006
2021-05-21,0.49885
2021-05-22,0.13316
2021-05-23,0.12463
2021-05-24,0.47633
2021-05-25,0.47061
2021-05-26,0.42427
2021-05-27,0.46176
2021-05-28,0.44929
2021-05-29,0.12037
2021-05-30,0.0889
2021-05-31,0.42386
2021-06-01,0.43014
2021-06-02,0.4501
2021-06-03,0.60973
2021-06-04,0.46659
2021-06-05,0.10588
2021-06-06,0.09599
2021-06-07,0.44929
2021-06-08,0.41646
2021-06-09,0.39353
2021-06-10,0.39506
2021-06-11,0.38846
2021-06-12,0.08955
2021-06-13,0.0745
2021-06-14,0.40206
2021-06-15,0.41051
2021-06-16,0.43111
2021-06-17,0.40407
2021-06-18,0.38589
2021-06-19,0.09824
2021-06-20,0.08762
2021-06-21,0.455
2021-06-22,0.42547
2021-06-23,0.45066
2021-06-24,0.4966
2021-06-25,0.48027
2021-06-26,0.10669
2021-06-27,0.07756
2021-06-28,0.39168
2021-06-29,0.37406
2021-06-30,0.37953
2021-07-01,0.37977
2021-07-02,0.3496
2021-07-03,0.08271
2021-07-04,0.06742
2021-07-05,0.36263
2021-07-06,0.36843
2021-07-07,0.41783
2021-07-08,0.38017
2021-07-09,0.43368
2021-07-10,0.10548
2021-07-11,0.07965
2021-07-12,0.36529
2021-07-13,0.34847
2021-07-14,0.36119
2021-07-15,0.36352
2021-07-16,0.34083
2021-07-17,0.08384
2021-07-18,0.06541
2021-07-19,0.34654
2021-07-20,0.37414
2021-07-21,0.392
2021-07-22,0.41767
2021-07-23,0.35668
2021-07-24,0.09936
2021-07-25,0.07547
2021-07-26,0.34944
2021-07-27,0.35169
2021-07-28,0.35169
2021-07-29,0.38581
2021-07-30,0.34236
2021-07-31,0.09872
2021-08-01,0.07265
2021-08-02,0.31991
2021-08-03,0.4715
2021-08-04,0.56668
2021-08-05,0.49773
2021-08-06,0.42909
2021-08-07,0.09848
2021-08-08,0.08923
2021-08-09,0.58036
2021-08-10,0.66629
2021-08-11,0.62164
2021-08-12,0.84621
2021-08-13,1.2601
2021-08-14,0.26495
2021-08-15,0.16486
2021-08-16,0.27686
2021-08-17,0.79133
2021-08-18,0.74668
2021-08-19,0.75472
2021-08-20,0.73219
2021-08-21,0.19141
2021-08-22,0.15834
2021-08-23,0.68231
2021-08-24,0.79777
2021-08-25,0.80815
2021-08-26,0.67064
2021-08-27,0.58197
2021-08-28,0.14853
2021-08-29,0.11803
2021-08-30,0.54102
2021-08-31,0.60136
2021-09-01,0.59911
2021-09-02,0.53442
2021-09-03,0.50384
2021-09-04,0.13195
2021-09-05,0.10371
2021-09-06,0.51503
2021-09-07,0.50167
2021-09-08,0.49636
2021-09-09,0.55397
2021-09-10,0.47222
2021-09-11,0.11184
2021-09-12,0.09751
2021-09-13,0.47005
2021-09-14,0.53812
2021-09-15,0.49894
2021-09-16,0.46072
2021-09-17,0.45508
2021-09-18,0.1198
2021-09-19,0.08376
2021-09-20,0.08899
2021-09-21,0.11248
2021-09-22,0.10765
2021-09-23,0.50851
2021-09-24,0.44881
2021-09-25,0.11868
2021-09-26,0.09277
2021-09-27,0.43569
2021-09-28,0.42451
2021-09-29,0.56451
2021-09-30,0.46949
2021-10-01,0.48638
2021-10-02,0.12262
2021-10-03,0.09285
2021-10-04,0.15577
2021-10-05,0.62019
2021-10-06,0.5794
2021-10-07,0.54464
2021-10-08,0.52838
2021-10-09,0.14088
2021-10-10,0.11063
2021-10-11,0.15464
2021-10-12,0.76027
2021-10-13,0.72278
2021-10-14,0.64409
2021-10-15,0.58487
2021-10-16,0.1515
2021-10-17,0.10797
2021-10-18,0.46756
2021-10-19,0.45846
2021-10-20,0.44374
2021-10-21,0.44543
2021-10-22,0.39973
