date,삼성증권고객센터
2020-03-20,3.54438
2020-03-22,0.27264
2020-03-23,4.21084
2020-03-24,3.4232
2020-03-25,3.75643
2020-03-26,3.81702
2020-03-27,3.96849
2020-03-28,0.72705
2020-03-29,0.39382
2020-03-30,3.24144
2020-03-31,2.39321
2020-04-01,2.78703
2020-04-02,1.9388
2020-04-03,3.63526
2020-04-04,0.4847
2020-04-05,0.18176
2020-04-06,3.69584
2020-04-07,3.36261
2020-04-08,2.57497
2020-04-09,1.99939
2020-04-10,1.9691
2020-04-11,0.15146
2020-04-13,1.81763
2020-04-14,1.9388
2020-04-15,0.24235
2020-04-16,1.9691
2020-04-17,2.12056
2020-04-20,2.33262
2020-04-21,2.24174
2020-04-22,2.63556
2020-04-23,1.48439
2020-04-24,2.18115
2020-04-27,1.4541
2020-04-28,1.21175
2020-04-29,1.57528
2020-05-04,2.36292
2020-05-05,0.24235
2020-05-06,1.81763
2020-05-07,1.4541
2020-05-08,1.24204
2020-05-09,0.30293
2020-05-10,0.15146
2020-05-11,1.36322
2020-05-12,1.15116
2020-05-13,1.09057
2020-05-14,1.39351
2020-05-15,1.69645
2020-05-16,0.21205
2020-05-18,1.48439
2020-05-19,1.72674
2020-05-20,1.33292
2020-05-21,1.84792
2020-05-22,1.84792
2020-05-24,0.18176
2020-05-25,1.72674
2020-05-26,1.63586
2020-05-27,1.75704
2020-05-28,1.84792
2020-05-29,1.84792
2020-05-30,0.15146
2020-06-01,1.66616
2020-06-02,1.69645
2020-06-03,1.9691
2020-06-04,1.99939
2020-06-05,3.12026
2020-06-07,0.27264
2020-06-08,2.78703
2020-06-09,2.39321
2020-06-10,2.02968
2020-06-11,1.87821
2020-06-12,1.69645
2020-06-13,0.33323
2020-06-14,0.18176
2020-06-15,2.02968
2020-06-16,1.54498
2020-06-17,1.81763
2020-06-18,1.63586
2020-06-19,2.4235
2020-06-20,0.15146
2020-06-21,0.18176
2020-06-22,2.84762
2020-06-23,2.02968
2020-06-24,2.78703
2020-06-25,2.21145
2020-06-26,2.33262
2020-06-29,2.15086
2020-06-30,1.81763
2020-07-01,1.30263
2020-07-02,1.57528
2020-07-03,2.36292
2020-07-04,0.24235
2020-07-05,0.21205
2020-07-06,2.24174
2020-07-07,1.87821
2020-07-08,1.9691
2020-07-09,2.18115
2020-07-10,1.60557
2020-07-11,0.24235
2020-07-13,2.09027
2020-07-14,1.51469
2020-07-15,1.39351
2020-07-16,2.9385
2020-07-17,3.39291
2020-07-18,0.27264
2020-07-20,2.12056
2020-07-21,1.12087
2020-07-22,1.9388
2020-07-23,1.87821
2020-07-24,1.75704
2020-07-26,0.18176
2020-07-27,1.9691
2020-07-28,1.36322
2020-07-29,1.81763
2020-07-30,1.9388
2020-07-31,1.75704
