date,삼화전자주가
2020-03-20,0.48982
2020-03-22,0.03767
2020-03-23,0.35525
2020-03-24,0.30143
2020-03-25,0.46829
2020-03-26,0.43061
2020-03-27,0.39293
2020-03-30,0.33372
2020-03-31,0.51674
2020-04-01,0.44138
2020-04-02,0.36064
2020-04-03,0.37678
2020-04-06,0.43599
2020-04-07,0.44138
2020-04-08,0.64592
2020-04-09,0.55441
2020-04-10,0.43599
2020-04-12,0.02691
2020-04-13,0.41985
2020-04-14,0.41985
2020-04-15,0.05382
2020-04-16,0.38755
2020-04-17,0.57056
2020-04-18,0.0592
2020-04-19,0.03767
2020-04-20,0.69436
2020-04-21,0.52212
2020-04-22,0.57595
2020-04-23,0.47906
2020-04-24,0.44138
2020-04-25,0.03767
2020-04-27,0.41985
2020-04-28,0.27451
2020-04-29,0.36602
2020-05-01,0.06997
2020-05-03,0.02691
2020-05-04,0.39832
2020-05-05,0.02691
2020-05-06,0.33372
2020-05-07,0.42523
2020-05-08,0.29604
2020-05-11,0.38755
2020-05-12,0.37678
2020-05-13,0.40908
2020-05-14,0.25837
2020-05-15,0.33372
2020-05-17,0.02691
2020-05-18,0.4037
2020-05-19,0.72666
2020-05-20,0.60286
2020-05-21,0.50059
2020-05-22,0.44138
2020-05-24,0.06459
2020-05-25,0.59209
2020-05-26,0.45214
2020-05-27,0.59748
2020-05-28,0.5598
2020-05-29,0.42523
2020-05-30,0.02691
2020-05-31,0.04306
2020-06-01,0.48982
2020-06-02,0.41446
2020-06-03,0.40908
2020-06-04,0.34987
2020-06-05,0.37678
2020-06-06,0.03767
2020-06-07,0.03229
2020-06-08,0.34987
2020-06-09,0.25298
2020-06-10,0.29066
2020-06-11,0.28528
2020-06-12,0.28528
2020-06-13,0.03767
2020-06-15,0.34987
2020-06-16,0.34449
2020-06-17,0.4037
2020-06-18,0.2799
2020-06-19,0.27451
2020-06-20,0.03767
2020-06-22,0.34987
2020-06-23,0.3714
2020-06-24,0.39832
2020-06-25,0.32834
2020-06-26,0.41446
2020-06-29,0.30143
2020-06-30,0.44676
2020-07-01,0.41985
2020-07-02,0.33372
2020-07-03,0.30681
2020-07-04,0.08074
2020-07-05,0.04844
2020-07-06,0.45753
2020-07-07,0.29604
2020-07-08,0.38755
2020-07-09,0.33372
2020-07-10,0.22069
2020-07-12,0.04306
2020-07-13,0.39832
2020-07-14,0.14533
2020-07-15,0.54365
2020-07-16,0.37678
2020-07-17,0.43599
2020-07-18,0.06459
2020-07-19,0.02691
2020-07-20,0.31219
2020-07-21,0.2476
2020-07-22,0.48982
2020-07-23,0.2799
2020-07-24,0.30681
2020-07-25,0.03767
2020-07-26,0.0592
2020-07-27,0.30143
2020-07-28,0.33911
2020-07-29,0.35525
2020-07-30,0.44138
2020-07-31,0.2153
2020-08-01,0.02691
2020-08-03,0.24222
2020-08-04,0.2799
2020-08-05,0.17762
2020-08-06,0.23145
2020-08-07,0.17762
2020-08-10,0.19916
2020-08-11,0.20992
