date,상속세세율
2020-03-20,1.76035
2020-03-21,1.71597
2020-03-22,1.96252
2020-03-23,1.77514
2020-03-24,1.77021
2020-03-25,1.9428
2020-03-26,2.00197
2020-03-27,2.19921
2020-03-28,2.03155
2020-03-29,1.87869
2020-03-30,2.03648
2020-03-31,1.83431
2020-04-01,1.81952
2020-04-02,1.68639
2020-04-03,1.74063
2020-04-04,1.66173
2020-04-05,1.96252
2020-04-06,1.95759
2020-04-07,2.06607
2020-04-08,1.98717
2020-04-09,1.92307
2020-04-10,1.73076
2020-04-11,1.77514
2020-04-12,1.77021
2020-04-13,2.071
2020-04-14,2.0069
2020-04-15,1.62721
2020-04-16,2.08579
2020-04-17,2.19921
2020-04-18,1.88856
2020-04-19,1.785
2020-04-20,2.06114
2020-04-21,2.59861
2020-04-22,2.26824
2020-04-23,2.31755
2020-04-24,2.15976
2020-04-25,1.62228
2020-04-26,1.52859
2020-04-27,2.04142
2020-04-28,1.92307
2020-04-29,1.90828
2020-04-30,1.7357
2020-05-01,1.99211
2020-05-02,1.77514
2020-05-03,1.80966
2020-05-04,2.08086
2020-05-05,2.06607
2020-05-06,3.41715
2020-05-07,4.86686
2020-05-08,3.57001
2020-05-09,2.28303
2020-05-10,2.65285
2020-05-11,3.51084
2020-05-12,2.63313
2020-05-13,2.68737
2020-05-14,2.67751
2020-05-15,2.92406
2020-05-16,2.24358
2020-05-17,2.41124
2020-05-18,3.30867
2020-05-19,2.78599
2020-05-20,2.84516
2020-05-21,3.5996
2020-05-22,2.71696
2020-05-23,2.30276
2020-05-24,2.23865
2020-05-25,2.68737
2020-05-26,2.94378
2020-05-27,2.57889
2020-05-28,2.31262
2020-05-29,2.5
2020-05-30,2.02169
2020-05-31,2.12524
2020-06-01,2.75641
2020-06-02,2.44082
2020-06-03,2.88954
2020-06-04,3.95956
2020-06-05,3.60453
2020-06-06,2.82051
2020-06-07,2.6923
2020-06-08,4.49211
2020-06-09,4.62524
2020-06-10,3.98915
2020-06-11,2.99309
2020-06-12,3.06706
2020-06-13,2.93392
2020-06-14,3.18047
2020-06-15,3.92011
2020-06-16,3.60453
2020-06-17,3.96449
2020-06-18,3.81656
2020-06-19,3.3136
2020-06-20,2.85502
2020-06-21,2.98323
2020-06-22,3.56015
2020-06-23,3.92504
2020-06-24,3.8067
2020-06-25,3.78698
2020-06-26,3.80177
2020-06-27,3.70808
2020-06-28,3.25443
2020-06-29,4.23076
2020-06-30,3.90532
2020-07-01,3.62919
2020-07-02,3.62426
2020-07-03,3.51084
2020-07-04,3.00295
2020-07-05,3.30867
2020-07-06,4.11242
2020-07-07,4.39842
2020-07-08,4.37869
2020-07-09,4.39349
2020-07-10,4.72386
2020-07-11,4.31459
2020-07-12,4.52169
2020-07-13,5.3994
2020-07-14,5.08382
2020-07-15,4.35404
2020-07-16,4.31459
2020-07-17,4.46745
2020-07-18,3.70808
2020-07-19,3.8067
2020-07-20,4.91617
2020-07-21,4.27514
2020-07-22,4.43786
2020-07-23,4.26528
2020-07-24,3.75739
2020-07-25,3.68343
2020-07-26,3.50591
2020-07-27,4.49704
2020-07-28,4.83727
2020-07-29,6.25246
2020-07-30,6.55325
2020-07-31,5.56213
2020-08-01,4.34911
2020-08-02,3.68836
2020-08-03,3.53057
2020-08-04,4.41814
2020-08-05,4.55621
2020-08-06,3.81163
2020-08-07,3.87573
2020-08-08,3.42209
2020-08-09,3.19526
2020-08-10,3.99408
2020-08-11,3.79191
2020-08-12,3.8856
2020-08-13,3.59467
2020-08-14,3.29388
2020-08-15,2.84023
2020-08-16,3.09664
2020-08-17,3.25936
2020-08-18,3.47633
2020-08-19,3.30374
2020-08-20,3.3136
2020-08-21,3.03254
2020-08-22,3.0424
2020-08-23,2.77613
2020-08-24,3.15088
2020-08-25,3.30867
2020-08-26,3.1213
2020-08-27,3.42702
2020-08-28,3.26429
2020-08-29,2.78599
2020-08-30,2.39644
2020-08-31,3.43195
2020-09-01,3.33333
2020-09-02,3.42702
2020-09-03,3.2495
2020-09-04,3.01775
2020-09-05,2.7712
2020-09-06,2.4211
2020-09-07,3.21499
2020-09-08,3.29881
2020-09-09,3.17554
2020-09-10,3.05226
2020-09-11,3.13116
2020-09-12,2.75641
2020-09-13,2.71203
2020-09-14,3.60946
2020-09-15,3.78205
2020-09-16,3.66863
2020-09-17,3.57495
2020-09-18,3.83136
2020-09-19,2.95364
2020-09-20,2.85502
2020-09-21,3.93984
2020-09-22,3.41222
2020-09-23,3.65877
2020-09-24,3.29388
2020-09-25,2.70216
2020-09-26,2.33727
2020-09-27,2.51972
2020-09-28,3.24457
2020-09-29,3.84615
2020-09-30,3.83136
2020-10-01,4.34911
2020-10-02,3.66863
2020-10-03,4.83234
2020-10-04,4.25049
2020-10-05,4.43293
2020-10-06,4.70907
2020-10-07,4.0779
2020-10-08,4.00887
2020-10-09,3.27909
2020-10-10,3.15581
2020-10-11,3.25443
2020-10-12,4.30966
2020-10-13,3.93491
2020-10-14,4.23076
2020-10-15,4.51183
2020-10-16,3.98915
2020-10-17,3.30374
2020-10-18,3.17061
2020-10-19,3.95956
2020-10-20,4.26528
2020-10-21,4.39349
2020-10-22,3.92011
2020-10-23,3.81163
2020-10-24,2.97337
2020-10-25,52.69723
2020-10-26,100.0
2020-10-27,38.08185
2020-10-28,25.85305
2020-10-29,17.02169
2020-10-30,13.37278
2020-10-31,10.35996
2020-11-01,9.61045
2020-11-02,10.21203
2020-11-03,9.06311
2020-11-04,7.08086
2020-11-05,7.10552
2020-11-06,6.39053
2020-11-07,6.0355
2020-11-08,6.15384
2020-11-09,6.77021
2020-11-10,5.88757
2020-11-11,5.42899
2020-11-12,5.34023
2020-11-13,4.58086
2020-11-14,3.70315
2020-11-15,4.857
2020-11-16,5.6065
2020-11-17,5.61143
2020-11-18,4.714
2020-11-19,4.38856
2020-11-20,3.97928
2020-11-21,4.85207
2020-11-22,3.98422
2020-11-23,4.75838
2020-11-24,4.04339
2020-11-25,4.21597
2020-11-26,4.50197
2020-11-27,3.85108
2020-11-28,3.1854
2020-11-29,3.66863
2020-11-30,3.85108
2020-12-01,3.78698
2020-12-02,3.8856
2020-12-03,3.69329
2020-12-04,3.06213
2020-12-05,3.1065
2020-12-06,3.16074
2020-12-07,4.24556
2020-12-08,4.04339
2020-12-09,3.68343
2020-12-10,4.45759
2020-12-11,3.87573
2020-12-12,3.45167
2020-12-13,2.93885
2020-12-14,3.84122
2020-12-15,3.08185
2020-12-16,3.66863
2020-12-17,3.5996
2020-12-18,3.18047
2020-12-19,3.14102
2020-12-20,3.16568
2020-12-21,4.12228
2020-12-22,10.93195
2020-12-23,8.85108
2020-12-24,4.88658
2020-12-25,4.59072
2020-12-26,4.67948
2020-12-27,3.95463
2020-12-28,4.60552
2020-12-29,4.81262
2020-12-30,4.69921
2020-12-31,4.34911
2021-01-01,3.82149
2021-01-02,4.15187
2021-01-03,3.63412
2021-01-04,4.17652
2021-01-05,3.77218
2021-01-06,4.52169
2021-01-07,3.62426
2021-01-08,3.58481
2021-01-09,3.17554
2021-01-10,3.91025
2021-01-11,4.02859
2021-01-12,3.88067
2021-01-13,3.92998
2021-01-14,3.93491
2021-01-15,3.95956
2021-01-16,3.77712
2021-01-17,3.55522
2021-01-18,4.32445
2021-01-19,4.31952
2021-01-20,3.81163
2021-01-21,3.97928
2021-01-22,3.78205
2021-01-23,3.5355
2021-01-24,3.6637
2021-01-25,4.25542
2021-01-26,3.97435
2021-01-27,4.12721
2021-01-28,3.93491
2021-01-29,3.61932
2021-01-30,3.26923
2021-01-31,3.2495
2021-02-01,3.95463
2021-02-02,4.08777
2021-02-03,3.76725
2021-02-04,3.17554
2021-02-05,3.28402
2021-02-06,3.40236
2021-02-07,3.19526
2021-02-08,3.80177
2021-02-09,3.48126
2021-02-10,3.3284
2021-02-11,3.76232
2021-02-12,4.49704
2021-02-13,4.30966
2021-02-14,4.39842
2021-02-15,4.82248
2021-02-16,4.46745
2021-02-17,4.32445
2021-02-18,4.75838
2021-02-19,3.77218
2021-02-20,3.95956
2021-02-21,3.3925
2021-02-22,4.23076
