date,상속세신고기한
2020-03-20,20.94861
2020-03-21,12.64822
2020-03-22,11.8577
2020-03-23,20.94861
2020-03-24,30.43478
2020-03-25,21.73913
2020-03-26,22.52964
2020-03-27,30.03952
2020-03-28,15.81027
2020-03-29,14.6245
2020-03-30,37.5494
2020-03-31,28.06324
2020-04-01,30.03952
2020-04-02,28.45849
2020-04-03,18.18181
2020-04-04,14.22924
2020-04-05,21.34387
2020-04-06,30.43478
2020-04-07,34.38735
2020-04-08,37.15415
2020-04-09,25.69169
2020-04-10,24.90118
2020-04-11,13.43873
2020-04-12,9.88142
2020-04-13,39.13043
2020-04-14,32.41106
2020-04-15,18.57707
2020-04-16,28.45849
2020-04-17,31.62055
2020-04-18,19.76284
2020-04-19,28.45849
2020-04-20,52.17391
2020-04-21,58.49802
2020-04-22,44.26877
2020-04-23,43.083
2020-04-24,48.22134
2020-04-25,25.29644
2020-04-26,32.41106
2020-04-27,53.35968
2020-04-28,63.2411
2020-04-29,56.12648
2020-04-30,36.75889
2020-05-01,35.96837
2020-05-02,31.62055
2020-05-03,36.75889
2020-05-04,59.68379
2020-05-05,45.05928
2020-05-06,64.03162
2020-05-07,83.3992
2020-05-08,66.0079
2020-05-09,40.3162
2020-05-10,40.71146
2020-05-11,72.72727
2020-05-12,52.96442
2020-05-13,60.07905
2020-05-14,69.16996
2020-05-15,64.42687
2020-05-16,37.5494
2020-05-17,30.83003
2020-05-18,83.3992
2020-05-19,66.0079
2020-05-20,69.16996
2020-05-21,67.58893
2020-05-22,52.17391
2020-05-23,38.73517
2020-05-24,45.8498
2020-05-25,64.42687
2020-05-26,66.0079
2020-05-27,62.05533
2020-05-28,45.8498
2020-05-29,42.29249
2020-05-30,35.57312
2020-05-31,35.17786
2020-06-01,58.10276
2020-06-02,58.10276
2020-06-03,54.15019
2020-06-04,50.98814
2020-06-05,60.4743
2020-06-06,36.36363
2020-06-07,30.43478
2020-06-08,56.12648
2020-06-09,56.12648
2020-06-10,64.42687
