date,상속세율
2020-03-20,6.14992
2020-03-21,4.94905
2020-03-22,5.45851
2020-03-23,5.45851
2020-03-24,5.20378
2020-03-25,6.00436
2020-03-26,7.53275
2020-03-27,6.2227
2020-03-28,4.25764
2020-03-29,4.91266
2020-03-30,6.80494
2020-03-31,5.89519
2020-04-01,6.29548
2020-04-02,6.98689
2020-04-03,5.56768
2020-04-04,4.87627
2020-04-05,4.91266
2020-04-06,5.131
2020-04-07,6.18631
2020-04-08,7.05967
2020-04-09,5.8588
2020-04-10,6.5866
2020-04-11,5.131
2020-04-12,4.25764
2020-04-13,6.04075
2020-04-14,5.96797
2020-04-15,5.34934
2020-04-16,7.24163
2020-04-17,5.27656
2020-04-18,5.09461
2020-04-19,5.16739
2020-04-20,6.65938
2020-04-21,7.89665
2020-04-22,6.5866
2020-04-23,8.29694
2020-04-24,6.9505
2020-04-25,4.94905
2020-04-26,5.60407
2020-04-27,7.78748
2020-04-28,6.87772
2020-04-29,5.38573
2020-04-30,5.56768
2020-05-01,4.7671
2020-05-02,4.51237
2020-05-03,5.02183
2020-05-04,6.69577
2020-05-05,4.62154
2020-05-06,9.38864
2020-05-07,9.57059
2020-05-08,5.20378
2020-05-09,3.82096
2020-05-10,3.74818
2020-05-11,5.4949
2020-05-12,4.25764
2020-05-13,5.93158
2020-05-14,4.94905
2020-05-15,5.27656
2020-05-16,3.09315
2020-05-17,4.0393
2020-05-18,6.40465
2020-05-19,5.71324
2020-05-20,5.09461
2020-05-21,6.18631
2020-05-22,7.78748
2020-05-23,5.8588
2020-05-24,5.05822
2020-05-25,7.38719
2020-05-26,8.66084
2020-05-27,8.87918
2020-05-28,7.05967
2020-05-29,6.00436
2020-05-30,5.05822
2020-05-31,5.05822
2020-06-01,6.73216
2020-06-02,6.07714
2020-06-03,7.05967
2020-06-04,8.00582
2020-06-05,6.73216
2020-06-06,5.20378
2020-06-07,4.69432
2020-06-08,10.44395
2020-06-09,9.64337
2020-06-10,9.13391
2020-06-11,8.77001
2020-06-12,7.42358
2020-06-13,7.56914
2020-06-14,5.89519
2020-06-15,8.0786
2020-06-16,7.56914
2020-06-17,8.58806
2020-06-18,7.96943
2020-06-19,7.93304
2020-06-20,6.73216
2020-06-21,6.51382
2020-06-22,7.78748
2020-06-23,9.93449
2020-06-24,8.69723
2020-06-25,9.8981
2020-06-26,9.24308
2020-06-27,6.73216
2020-06-28,6.33187
2020-06-29,8.8064
2020-06-30,8.33333
2020-07-01,8.8064
2020-07-02,7.56914
2020-07-03,8.51528
2020-07-04,6.76855
2020-07-05,6.51382
2020-07-06,8.11499
2020-07-07,9.02474
2020-07-08,9.57059
2020-07-09,9.42503
2020-07-10,9.38864
2020-07-11,9.06113
2020-07-12,9.06113
2020-07-13,12.37263
2020-07-14,11.53566
2020-07-15,9.75254
2020-07-16,9.64337
2020-07-17,8.55167
2020-07-18,7.27802
2020-07-19,8.22416
2020-07-20,11.09898
2020-07-21,9.09752
2020-07-22,9.93449
2020-07-23,10.18922
2020-07-24,8.51528
2020-07-25,8.36972
2020-07-26,7.3508
2020-07-27,9.71615
2020-07-28,10.44395
2020-07-29,12.4818
2020-07-30,15.02911
2020-07-31,10.18922
2020-08-01,7.27802
2020-08-02,7.45997
2020-08-03,9.38864
2020-08-04,9.49781
2020-08-05,9.49781
2020-08-06,7.86026
2020-08-07,7.78748
2020-08-08,7.05967
2020-08-09,6.18631
2020-08-10,8.55167
2020-08-11,8.51528
2020-08-12,8.73362
2020-08-13,9.27947
2020-08-14,8.36972
2020-08-15,6.98689
2020-08-16,6.98689
2020-08-17,5.60407
2020-08-18,7.02328
2020-08-19,7.27802
2020-08-20,9.20669
2020-08-21,8.66084
2020-08-22,5.96797
2020-08-23,6.73216
2020-08-24,8.00582
2020-08-25,8.4425
2020-08-26,7.38719
2020-08-27,7.93304
2020-08-28,8.18777
2020-08-29,5.27656
2020-08-30,5.82241
2020-08-31,7.31441
2020-09-01,8.18777
2020-09-02,7.09606
2020-09-03,7.16885
2020-09-04,6.29548
2020-09-05,4.94905
2020-09-06,4.80349
2020-09-07,7.67831
2020-09-08,7.27802
2020-09-09,7.82387
2020-09-10,7.24163
2020-09-11,6.98689
2020-09-12,5.42212
2020-09-13,4.73071
2020-09-14,7.53275
2020-09-15,7.86026
2020-09-16,9.06113
2020-09-17,9.27947
2020-09-18,7.27802
