date,상속인
2020-03-20,37.36842
2020-03-21,17.89473
2020-03-22,24.73684
2020-03-23,36.8421
2020-03-24,43.15789
2020-03-25,40.0
2020-03-26,46.8421
2020-03-27,36.8421
2020-03-28,19.47368
2020-03-29,20.52631
2020-03-30,35.26315
2020-03-31,41.57894
2020-04-01,32.63157
2020-04-02,36.31578
2020-04-03,41.57894
2020-04-04,24.73684
2020-04-05,25.26315
2020-04-06,45.78947
2020-04-07,44.21052
2020-04-08,40.0
2020-04-09,42.10526
2020-04-10,37.36842
2020-04-11,15.78947
2020-04-12,27.89473
2020-04-13,52.10526
2020-04-14,41.57894
2020-04-15,33.15789
2020-04-16,38.42105
2020-04-17,44.21052
2020-04-18,28.94736
2020-04-19,33.15789
2020-04-20,54.73684
2020-04-21,48.94736
2020-04-22,50.52631
2020-04-23,45.26315
2020-04-24,43.68421
2020-04-25,33.68421
2020-04-26,18.42105
2020-04-27,61.05263
2020-04-28,45.26315
2020-04-29,46.8421
2020-04-30,21.57894
2020-05-01,29.47368
2020-05-02,23.68421
2020-05-03,32.63157
2020-05-04,44.73684
2020-05-05,30.52631
2020-05-06,48.94736
2020-05-07,48.42105
2020-05-08,45.78947
2020-05-09,25.78947
2020-05-10,25.78947
2020-05-11,46.31578
2020-05-12,46.31578
2020-05-13,50.0
2020-05-14,42.10526
2020-05-15,48.42105
2020-05-16,27.36842
2020-05-17,32.63157
2020-05-18,54.21052
2020-05-19,50.0
2020-05-20,53.15789
2020-05-21,50.52631
2020-05-22,35.78947
2020-05-23,28.42105
2020-05-24,25.78947
2020-05-25,53.68421
2020-05-26,44.21052
2020-05-27,45.78947
2020-05-28,51.57894
2020-05-29,35.78947
2020-05-30,24.21052
2020-05-31,30.52631
2020-06-01,46.8421
2020-06-02,52.63157
2020-06-03,37.89473
2020-06-04,50.0
2020-06-05,55.26315
2020-06-06,37.89473
2020-06-07,35.78947
2020-06-08,48.42105
2020-06-09,46.8421
2020-06-10,48.94736
2020-06-11,47.89473
2020-06-12,48.94736
2020-06-13,21.57894
2020-06-14,24.21052
2020-06-15,56.31578
2020-06-16,45.26315
2020-06-17,52.63157
2020-06-18,54.21052
2020-06-19,47.89473
2020-06-20,25.26315
2020-06-21,29.47368
2020-06-22,64.21052
2020-06-23,56.31578
2020-06-24,56.31578
2020-06-25,55.78947
2020-06-26,47.89473
2020-06-27,37.36842
2020-06-28,27.89473
2020-06-29,48.42105
2020-06-30,38.94736
2020-07-01,39.47368
2020-07-02,42.10526
2020-07-03,50.0
2020-07-04,23.15789
2020-07-05,25.78947
2020-07-06,41.05263
2020-07-07,45.78947
2020-07-08,45.78947
2020-07-09,52.63157
2020-07-10,33.68421
2020-07-11,27.36842
2020-07-12,26.8421
2020-07-13,47.36842
2020-07-14,55.78947
2020-07-15,47.36842
2020-07-16,43.68421
2020-07-17,41.57894
2020-07-18,16.31578
2020-07-19,31.57894
2020-07-20,46.31578
2020-07-21,50.52631
2020-07-22,53.15789
2020-07-23,51.57894
2020-07-24,40.0
2020-07-25,30.52631
2020-07-26,28.94736
2020-07-27,47.89473
2020-07-28,50.0
2020-07-29,45.78947
2020-07-30,50.52631
2020-07-31,38.94736
2020-08-01,26.8421
2020-08-02,17.36842
2020-08-03,46.8421
2020-08-04,47.36842
2020-08-05,45.26315
2020-08-06,46.8421
2020-08-07,38.42105
2020-08-08,18.94736
2020-08-09,26.8421
2020-08-10,43.15789
2020-08-11,57.36842
2020-08-12,54.21052
2020-08-13,50.0
2020-08-14,43.15789
2020-08-15,22.10526
2020-08-16,19.47368
2020-08-17,32.63157
2020-08-18,45.26315
2020-08-19,45.78947
2020-08-20,41.57894
2020-08-21,52.10526
2020-08-22,27.89473
2020-08-23,17.36842
2020-08-24,43.68421
2020-08-25,48.42105
2020-08-26,40.0
2020-08-27,55.78947
2020-08-28,44.21052
2020-08-29,31.57894
2020-08-30,26.8421
2020-08-31,54.73684
2020-09-01,41.57894
2020-09-02,44.73684
2020-09-03,42.63157
2020-09-04,46.31578
2020-09-05,22.63157
2020-09-06,24.73684
2020-09-07,44.21052
2020-09-08,58.42105
2020-09-09,55.26315
2020-09-10,53.68421
2020-09-11,43.68421
2020-09-12,29.47368
2020-09-13,25.26315
2020-09-14,55.78947
2020-09-15,44.21052
2020-09-16,71.57894
2020-09-17,67.36842
2020-09-18,61.57894
2020-09-19,27.36842
2020-09-20,30.52631
2020-09-21,47.89473
2020-09-22,48.42105
2020-09-23,47.36842
2020-09-24,50.52631
2020-09-25,52.63157
2020-09-26,21.57894
2020-09-27,23.68421
2020-09-28,43.68421
2020-09-29,42.63157
2020-09-30,23.68421
2020-10-01,26.31578
2020-10-02,31.05263
2020-10-03,27.36842
2020-10-04,28.42105
2020-10-05,57.89473
2020-10-06,68.42105
2020-10-07,47.36842
2020-10-08,50.0
2020-10-09,31.05263
2020-10-10,29.47368
2020-10-11,48.94736
2020-10-12,63.68421
2020-10-13,61.05263
2020-10-14,58.42105
2020-10-15,47.36842
2020-10-16,52.10526
2020-10-17,34.21052
2020-10-18,38.94736
2020-10-19,67.36842
2020-10-20,52.10526
2020-10-21,68.42105
2020-10-22,60.0
2020-10-23,52.10526
2020-10-24,35.26315
2020-10-25,51.05263
2020-10-26,84.21052
2020-10-27,75.26315
2020-10-28,51.57894
2020-10-29,64.21052
2020-10-30,51.05263
2020-10-31,29.47368
2020-11-01,28.42105
2020-11-02,54.73684
2020-11-03,43.68421
2020-11-04,60.0
2020-11-05,42.63157
2020-11-06,42.63157
2020-11-07,33.68421
2020-11-08,34.21052
2020-11-09,51.05263
2020-11-10,59.47368
2020-11-11,56.31578
2020-11-12,58.42105
2020-11-13,47.89473
2020-11-14,22.10526
2020-11-15,26.8421
2020-11-16,57.89473
2020-11-17,67.36842
2020-11-18,53.68421
2020-11-19,45.78947
2020-11-20,40.52631
2020-11-21,31.05263
2020-11-22,28.42105
2020-11-23,60.0
2020-11-24,54.73684
2020-11-25,47.36842
2020-11-26,47.36842
2020-11-27,56.31578
2020-11-28,25.78947
2020-11-29,37.36842
2020-11-30,51.05263
2020-12-01,58.42105
2020-12-02,47.36842
2020-12-03,48.94736
2020-12-04,33.68421
2020-12-05,30.0
2020-12-06,27.36842
2020-12-07,49.47368
2020-12-08,56.8421
2020-12-09,60.52631
2020-12-10,57.36842
2020-12-11,45.26315
2020-12-12,29.47368
2020-12-13,22.10526
2020-12-14,50.52631
2020-12-15,56.8421
2020-12-16,46.31578
2020-12-17,41.05263
2020-12-18,43.68421
2020-12-19,18.94736
2020-12-20,25.78947
2020-12-21,53.68421
2020-12-22,36.8421
2020-12-23,41.57894
2020-12-24,32.10526
2020-12-25,14.73684
2020-12-26,21.05263
2020-12-27,25.78947
2020-12-28,35.78947
2020-12-29,37.36842
2020-12-30,37.89473
2020-12-31,34.21052
2021-01-01,23.68421
2021-01-02,24.21052
2021-01-03,24.73684
2021-01-04,46.8421
2021-01-05,53.15789
2021-01-06,53.15789
2021-01-07,54.21052
2021-01-08,61.05263
2021-01-09,32.10526
2021-01-10,29.47368
2021-01-11,58.94736
2021-01-12,50.0
2021-01-13,51.57894
2021-01-14,38.42105
2021-01-15,42.10526
2021-01-16,29.47368
2021-01-17,35.78947
2021-01-18,52.10526
2021-01-19,48.94736
2021-01-20,48.94736
2021-01-21,50.52631
2021-01-22,46.31578
2021-01-23,31.57894
2021-01-24,31.05263
2021-01-25,49.47368
2021-01-26,58.42105
2021-01-27,52.10526
2021-01-28,43.68421
2021-01-29,36.8421
2021-01-30,25.26315
2021-01-31,32.10526
2021-02-01,57.36842
2021-02-02,47.36842
2021-02-03,47.36842
2021-02-04,45.78947
2021-02-05,37.36842
2021-02-06,29.47368
2021-02-07,30.52631
2021-02-08,43.15789
2021-02-09,47.36842
2021-02-10,39.47368
2021-02-11,22.10526
2021-02-12,26.31578
2021-02-13,25.26315
2021-02-14,34.73684
2021-02-15,57.36842
2021-02-16,55.26315
2021-02-17,40.52631
2021-02-18,46.31578
2021-02-19,32.10526
2021-02-20,21.05263
2021-02-21,21.05263
2021-02-22,52.63157
2021-02-23,53.68421
2021-02-24,52.63157
2021-02-25,53.68421
2021-02-26,40.0
2021-02-27,27.36842
2021-02-28,19.47368
2021-03-01,35.26315
2021-03-02,51.05263
2021-03-03,51.05263
2021-03-04,52.63157
2021-03-05,52.10526
2021-03-06,24.73684
2021-03-07,29.47368
2021-03-08,62.10526
2021-03-09,57.36842
2021-03-10,50.0
2021-03-11,45.26315
2021-03-12,53.15789
2021-03-13,32.10526
2021-03-14,32.10526
2021-03-15,50.0
2021-03-16,42.63157
2021-03-17,47.89473
2021-03-18,52.63157
2021-03-19,45.78947
2021-03-20,31.57894
2021-03-21,27.36842
2021-03-22,50.52631
2021-03-23,51.57894
2021-03-24,56.8421
2021-03-25,42.63157
2021-03-26,41.05263
2021-03-27,28.94736
2021-03-28,20.52631
2021-03-29,61.57894
2021-03-30,50.52631
2021-03-31,50.0
2021-04-01,51.05263
2021-04-02,44.21052
2021-04-03,27.89473
2021-04-04,37.89473
2021-04-05,58.42105
2021-04-06,55.78947
2021-04-07,56.8421
2021-04-08,40.0
2021-04-09,51.05263
2021-04-10,28.42105
2021-04-11,47.36842
2021-04-12,63.15789
2021-04-13,64.73684
2021-04-14,62.10526
2021-04-15,57.36842
2021-04-16,47.36842
2021-04-17,34.73684
2021-04-18,28.94736
2021-04-19,58.94736
2021-04-20,57.36842
2021-04-21,53.68421
2021-04-22,54.73684
2021-04-23,57.36842
2021-04-24,30.52631
2021-04-25,29.47368
2021-04-26,48.94736
2021-04-27,48.42105
2021-04-28,51.05263
2021-04-29,43.15789
2021-04-30,44.73684
2021-05-01,28.42105
2021-05-02,31.05263
2021-05-03,56.8421
2021-05-04,50.0
2021-05-05,32.10526
2021-05-06,52.10526
2021-05-07,50.52631
2021-05-08,26.8421
2021-05-09,30.52631
2021-05-10,58.42105
2021-05-11,53.15789
2021-05-12,38.42105
2021-05-13,57.36842
2021-05-14,55.78947
2021-05-15,26.8421
2021-05-16,28.94736
2021-05-17,56.8421
2021-05-18,47.36842
2021-05-19,37.36842
2021-05-20,42.63157
2021-05-21,39.47368
2021-05-22,27.89473
2021-05-23,33.68421
2021-05-24,49.47368
2021-05-25,53.15789
2021-05-26,48.42105
2021-05-27,56.31578
2021-05-28,43.15789
2021-05-29,24.21052
2021-05-30,36.31578
2021-05-31,67.89473
2021-06-01,46.31578
2021-06-02,46.31578
2021-06-03,48.94736
2021-06-04,48.94736
2021-06-05,32.63157
2021-06-06,37.36842
2021-06-07,55.78947
2021-06-08,47.89473
2021-06-09,58.94736
2021-06-10,60.0
2021-06-11,54.73684
2021-06-12,33.15789
2021-06-13,31.05263
2021-06-14,65.26315
2021-06-15,55.26315
2021-06-16,62.10526
2021-06-17,42.10526
2021-06-18,60.52631
2021-06-19,28.94736
2021-06-20,37.89473
2021-06-21,49.47368
2021-06-22,52.63157
2021-06-23,50.0
2021-06-24,47.89473
2021-06-25,43.15789
2021-06-26,26.31578
2021-06-27,23.68421
2021-06-28,55.26315
2021-06-29,52.63157
2021-06-30,37.36842
2021-07-01,52.63157
2021-07-02,46.31578
2021-07-03,31.57894
2021-07-04,26.8421
