date,상속재산분할협의서
2020-03-20,42.56926
2020-03-21,18.89168
2020-03-22,20.15113
2020-03-23,60.95717
2020-03-24,42.31738
2020-03-25,52.64483
2020-03-26,53.4005
2020-03-27,42.06549
2020-03-28,12.84634
2020-03-29,19.14357
2020-03-30,48.6146
2020-03-31,41.56171
2020-04-01,39.79848
2020-04-02,36.27204
2020-04-03,40.30226
2020-04-04,17.12846
2020-04-05,19.39546
2020-04-06,46.3476
2020-04-07,43.82871
2020-04-08,52.64483
2020-04-09,45.84382
2020-04-10,36.52392
2020-04-11,17.12846
2020-04-12,22.92191
2020-04-13,49.87405
2020-04-14,39.04282
2020-04-15,20.40302
2020-04-16,32.99748
2020-04-17,40.55415
2020-04-18,14.35768
2020-04-19,24.68513
2020-04-20,57.17884
2020-04-21,48.36272
2020-04-22,38.28715
2020-04-23,46.09571
2020-04-24,44.83627
2020-04-25,17.63224
2020-04-26,23.1738
2020-04-27,45.59193
2020-04-28,53.90428
2020-04-29,43.32493
2020-04-30,23.67758
2020-05-01,29.72292
2020-05-02,17.63224
2020-05-03,22.92191
2020-05-04,49.37027
2020-05-05,28.21158
2020-05-06,43.32493
2020-05-07,54.65994
2020-05-08,38.79093
2020-05-09,26.95214
2020-05-10,20.65491
2020-05-11,65.49118
2020-05-12,58.43828
2020-05-13,52.89672
2020-05-14,48.36272
2020-05-15,47.60705
2020-05-16,24.93702
2020-05-17,21.66246
2020-05-18,56.42317
2020-05-19,48.86649
2020-05-20,53.14861
2020-05-21,58.69017
2020-05-22,48.6146
2020-05-23,18.89168
2020-05-24,28.96725
2020-05-25,54.40806
2020-05-26,53.14861
2020-05-27,49.37027
2020-05-28,45.59193
2020-05-29,38.28715
2020-05-30,14.10579
2020-05-31,21.66246
2020-06-01,54.65994
2020-06-02,54.40806
2020-06-03,57.43073
2020-06-04,43.57682
2020-06-05,35.26448
2020-06-06,19.39546
2020-06-07,11.08312
2020-06-08,51.63727
2020-06-09,64.73551
2020-06-10,50.37783
2020-06-11,42.56926
2020-06-12,47.60705
2020-06-13,26.19647
2020-06-14,20.40302
2020-06-15,54.65994
2020-06-16,51.38539
2020-06-17,47.60705
2020-06-18,48.6146
2020-06-19,45.59193
2020-06-20,15.11335
2020-06-21,25.69269
2020-06-22,55.16372
2020-06-23,50.37783
2020-06-24,43.32493
2020-06-25,46.3476
2020-06-26,36.02015
2020-06-27,20.65491
2020-06-28,20.9068
2020-06-29,48.86649
2020-06-30,44.83627
2020-07-01,53.4005
2020-07-02,39.54659
2020-07-03,39.29471
2020-07-04,17.12846
2020-07-05,20.9068
2020-07-06,46.09571
2020-07-07,49.11838
2020-07-08,46.3476
2020-07-09,44.58438
2020-07-10,35.01259
2020-07-11,16.37279
2020-07-12,25.94458
2020-07-13,56.67506
2020-07-14,51.88916
2020-07-15,50.12594
2020-07-16,47.35516
2020-07-17,46.85138
2020-07-18,23.67758
2020-07-19,24.18136
2020-07-20,55.16372
2020-07-21,50.88161
2020-07-22,51.1335
2020-07-23,45.84382
2020-07-24,40.05037
2020-07-25,20.65491
2020-07-26,14.35768
2020-07-27,54.15617
2020-07-28,54.91183
2020-07-29,54.40806
2020-07-30,50.62972
2020-07-31,39.29471
2020-08-01,24.18136
2020-08-02,21.66246
2020-08-03,57.17884
2020-08-04,56.67506
2020-08-05,59.44584
2020-08-06,50.88161
2020-08-07,37.27959
2020-08-08,17.12846
2020-08-09,18.13602
2020-08-10,50.88161
2020-08-11,44.33249
2020-08-12,45.84382
2020-08-13,47.35516
2020-08-14,33.50125
2020-08-15,18.89168
2020-08-16,16.37279
2020-08-17,25.18891
2020-08-18,46.85138
2020-08-19,46.85138
2020-08-20,42.56926
2020-08-21,40.05037
2020-08-22,21.91435
2020-08-23,24.43324
2020-08-24,45.08816
2020-08-25,50.12594
2020-08-26,38.03526
2020-08-27,46.09571
2020-08-28,45.84382
2020-08-29,20.40302
2020-08-30,23.67758
2020-08-31,42.82115
2020-09-01,42.31738
2020-09-02,43.07304
2020-09-03,42.31738
2020-09-04,43.07304
2020-09-05,20.9068
2020-09-06,22.41813
2020-09-07,42.56926
2020-09-08,52.89672
2020-09-09,47.60705
2020-09-10,40.80604
2020-09-11,44.0806
2020-09-12,22.41813
2020-09-13,23.42569
2020-09-14,46.09571
2020-09-15,54.91183
2020-09-16,58.18639
2020-09-17,60.95717
2020-09-18,49.37027
2020-09-19,26.19647
2020-09-20,23.42569
2020-09-21,53.65239
2020-09-22,50.62972
2020-09-23,47.60705
2020-09-24,39.54659
2020-09-25,29.97481
2020-09-26,20.40302
2020-09-27,19.64735
2020-09-28,47.35516
2020-09-29,37.0277
2020-09-30,16.87657
2020-10-01,21.66246
2020-10-02,14.10579
2020-10-03,19.14357
2020-10-04,20.40302
2020-10-05,79.59697
2020-10-06,62.97229
2020-10-07,57.68261
2020-10-08,49.87405
2020-10-09,26.44836
2020-10-10,20.15113
2020-10-11,21.41057
2020-10-12,52.89672
2020-10-13,59.69773
2020-10-14,43.07304
2020-10-15,48.11083
2020-10-16,46.85138
2020-10-17,21.66246
2020-10-18,25.4408
2020-10-19,65.99496
2020-10-20,56.17128
2020-10-21,63.47607
2020-10-22,54.65994
2020-10-23,55.16372
2020-10-24,19.39546
2020-10-25,27.95969
2020-10-26,65.99496
2020-10-27,60.95717
2020-10-28,57.9345
2020-10-29,54.65994
2020-10-30,45.59193
2020-10-31,21.91435
2020-11-01,27.20403
2020-11-02,50.12594
2020-11-03,48.86649
2020-11-04,38.03526
2020-11-05,48.6146
2020-11-06,42.31738
2020-11-07,16.1209
2020-11-08,21.91435
2020-11-09,55.91939
2020-11-10,55.91939
2020-11-11,52.39294
2020-11-12,42.82115
2020-11-13,43.57682
2020-11-14,21.91435
2020-11-15,31.23425
2020-11-16,58.69017
2020-11-17,58.18639
2020-11-18,54.65994
2020-11-19,41.30982
2020-11-20,37.78337
2020-11-21,13.35012
2020-11-22,23.67758
2020-11-23,59.94962
2020-11-24,50.37783
2020-11-25,45.34005
2020-11-26,50.88161
2020-11-27,41.56171
2020-11-28,17.88413
2020-11-29,24.68513
2020-11-30,46.3476
2020-12-01,51.1335
2020-12-02,39.54659
2020-12-03,45.34005
2020-12-04,52.14105
2020-12-05,22.92191
2020-12-06,21.66246
2020-12-07,53.90428
2020-12-08,50.37783
2020-12-09,46.09571
2020-12-10,52.64483
2020-12-11,56.42317
2020-12-12,27.95969
2020-12-13,17.88413
2020-12-14,51.38539
2020-12-15,51.1335
2020-12-16,51.1335
2020-12-17,51.88916
2020-12-18,38.53904
2020-12-19,23.92947
2020-12-20,22.16624
2020-12-21,55.41561
2020-12-22,53.90428
2020-12-23,56.92695
2020-12-24,48.86649
2020-12-25,16.87657
2020-12-26,21.66246
2020-12-27,21.66246
2020-12-28,70.27707
2020-12-29,63.47607
2020-12-30,41.30982
2020-12-31,37.53148
2021-01-01,14.60957
2021-01-02,17.12846
2021-01-03,23.1738
2021-01-04,52.39294
2021-01-05,51.88916
2021-01-06,54.40806
2021-01-07,34.7607
2021-01-08,43.82871
2021-01-09,20.15113
2021-01-10,25.69269
2021-01-11,44.83627
2021-01-12,53.14861
2021-01-13,61.71284
2021-01-14,60.95717
2021-01-15,44.0806
2021-01-16,32.24181
2021-01-17,32.24181
2021-01-18,69.77329
2021-01-19,70.78085
2021-01-20,61.20906
2021-01-21,55.91939
2021-01-22,56.67506
2021-01-23,21.41057
2021-01-24,24.68513
2021-01-25,60.95717
2021-01-26,60.20151
2021-01-27,64.73551
2021-01-28,48.11083
2021-01-29,53.4005
2021-01-30,28.21158
2021-01-31,33.24937
2021-02-01,67.75818
2021-02-02,71.53652
2021-02-03,47.60705
2021-02-04,49.62216
2021-02-05,50.12594
2021-02-06,21.41057
2021-02-07,28.46347
2021-02-08,77.07808
2021-02-09,53.90428
2021-02-10,38.79093
2021-02-11,23.1738
2021-02-12,26.19647
2021-02-13,23.42569
2021-02-14,38.28715
2021-02-15,76.82619
2021-02-16,78.58942
2021-02-17,72.29219
2021-02-18,74.3073
2021-02-19,62.97229
2021-02-20,32.24181
2021-02-21,25.69269
2021-02-22,80.60453
2021-02-23,75.56675
2021-02-24,64.9874
2021-02-25,60.70528
2021-02-26,51.38539
2021-02-27,19.39546
2021-02-28,29.47103
2021-03-01,35.76826
2021-03-02,80.85642
2021-03-03,59.69773
2021-03-04,72.0403
2021-03-05,57.9345
2021-03-06,28.71536
2021-03-07,29.21914
2021-03-08,73.04785
2021-03-09,63.97984
2021-03-10,57.17884
2021-03-11,74.3073
2021-03-12,53.90428
2021-03-13,27.45591
2021-03-14,23.92947
2021-03-15,66.24685
2021-03-16,65.74307
2021-03-17,62.46851
2021-03-18,62.21662
2021-03-19,51.88916
2021-03-20,26.19647
2021-03-21,34.25692
2021-03-22,69.26952
2021-03-23,62.46851
2021-03-24,51.63727
2021-03-25,55.41561
2021-03-26,53.4005
2021-03-27,22.67002
2021-03-28,27.45591
2021-03-29,71.28463
2021-03-30,64.48362
2021-03-31,42.31738
2021-04-01,54.40806
2021-04-02,53.14861
2021-04-03,25.18891
2021-04-04,27.20403
2021-04-05,52.39294
2021-04-06,51.88916
2021-04-07,47.10327
2021-04-08,55.41561
2021-04-09,53.90428
2021-04-10,32.99748
2021-04-11,20.9068
2021-04-12,72.0403
2021-04-13,56.42317
2021-04-14,54.15617
2021-04-15,58.94206
2021-04-16,50.37783
2021-04-17,31.73803
2021-04-18,29.47103
2021-04-19,71.03274
2021-04-20,62.97229
2021-04-21,53.4005
2021-04-22,57.17884
2021-04-23,57.68261
2021-04-24,32.4937
2021-04-25,28.46347
2021-04-26,68.01007
2021-04-27,66.75062
2021-04-28,58.94206
2021-04-29,51.38539
2021-04-30,43.07304
2021-05-01,23.1738
2021-05-02,18.3879
2021-05-03,54.40806
2021-05-04,59.94962
2021-05-05,30.98236
2021-05-06,60.4534
2021-05-07,56.92695
2021-05-08,31.73803
2021-05-09,27.95969
2021-05-10,63.47607
2021-05-11,68.51385
2021-05-12,52.89672
2021-05-13,55.6675
2021-05-14,51.63727
2021-05-15,26.95214
2021-05-16,29.72292
2021-05-17,70.27707
2021-05-18,54.91183
2021-05-19,31.98992
2021-05-20,68.01007
2021-05-21,50.12594
2021-05-22,28.46347
2021-05-23,28.96725
2021-05-24,64.73551
2021-05-25,53.90428
2021-05-26,57.9345
2021-05-27,56.92695
2021-05-28,54.15617
2021-05-29,28.21158
2021-05-30,20.65491
2021-05-31,52.39294
2021-06-01,52.64483
2021-06-02,53.14861
2021-06-03,48.6146
2021-06-04,50.12594
2021-06-05,26.95214
2021-06-06,28.71536
2021-06-07,52.39294
2021-06-08,55.91939
2021-06-09,53.4005
2021-06-10,55.41561
2021-06-11,41.05793
2021-06-12,23.42569
2021-06-13,20.15113
2021-06-14,57.9345
2021-06-15,54.15617
2021-06-16,47.35516
2021-06-17,48.86649
2021-06-18,43.82871
2021-06-19,19.64735
2021-06-20,28.21158
2021-06-21,69.01763
2021-06-22,47.60705
2021-06-23,54.91183
2021-06-24,51.38539
2021-06-25,50.37783
2021-06-26,25.4408
2021-06-27,22.16624
2021-06-28,59.19395
2021-06-29,57.43073
2021-06-30,43.82871
2021-07-01,47.85894
2021-07-02,39.54659
2021-07-03,17.12846
2021-07-04,22.67002
2021-07-05,53.14861
2021-07-06,54.65994
2021-07-07,45.34005
2021-07-08,40.05037
2021-07-09,37.78337
2021-07-10,22.67002
2021-07-11,20.15113
2021-07-12,54.40806
2021-07-13,49.62216
2021-07-14,59.44584
2021-07-15,60.4534
2021-07-16,46.59949
2021-07-17,21.41057
2021-07-18,29.97481
2021-07-19,57.17884
2021-07-20,57.68261
2021-07-21,47.35516
2021-07-22,49.11838
2021-07-23,37.53148
2021-07-24,19.39546
2021-07-25,25.4408
2021-07-26,63.97984
2021-07-27,56.42317
2021-07-28,57.17884
2021-07-29,42.31738
2021-07-30,38.53904
2021-07-31,25.18891
2021-08-01,22.41813
2021-08-02,62.21662
2021-08-03,57.17884
2021-08-04,52.14105
2021-08-05,45.84382
2021-08-06,48.86649
2021-08-07,24.68513
2021-08-08,25.4408
2021-08-09,52.39294
2021-08-10,51.38539
2021-08-11,52.14105
2021-08-12,58.94206
2021-08-13,38.79093
2021-08-14,21.41057
2021-08-15,23.67758
2021-08-16,27.20403
2021-08-17,52.39294
2021-08-18,59.44584
2021-08-19,49.11838
2021-08-20,49.11838
2021-08-21,21.41057
2021-08-22,24.18136
2021-08-23,49.62216
2021-08-24,52.89672
2021-08-25,57.43073
2021-08-26,47.60705
2021-08-27,44.83627
2021-08-28,22.92191
2021-08-29,25.18891
2021-08-30,47.35516
2021-08-31,50.62972
2021-09-01,55.91939
2021-09-02,58.69017
2021-09-03,40.05037
2021-09-04,30.2267
2021-09-05,26.19647
2021-09-06,60.95717
2021-09-07,55.91939
2021-09-08,54.15617
2021-09-09,51.38539
2021-09-10,40.80604
2021-09-11,24.18136
2021-09-12,26.44836
2021-09-13,60.95717
2021-09-14,53.4005
2021-09-15,54.40806
2021-09-16,50.62972
2021-09-17,40.55415
2021-09-18,18.89168
2021-09-19,18.3879
2021-09-20,26.95214
2021-09-21,30.47858
2021-09-22,34.50881
2021-09-23,90.6801
2021-09-24,72.54408
2021-09-25,27.20403
2021-09-26,32.4937
2021-09-27,76.07052
2021-09-28,56.92695
2021-09-29,64.23173
2021-09-30,62.46851
2021-10-01,44.58438
2021-10-02,19.89924
2021-10-03,18.3879
2021-10-04,27.95969
2021-10-05,67.50629
2021-10-06,68.26196
2021-10-07,55.6675
2021-10-08,43.82871
2021-10-09,21.66246
2021-10-10,18.13602
2021-10-11,22.92191
2021-10-12,60.20151
2021-10-13,57.17884
2021-10-14,54.15617
2021-10-15,42.82115
2021-10-16,18.89168
2021-10-17,26.19647
2021-10-18,56.67506
2021-10-19,51.38539
2021-10-20,50.12594
2021-10-21,44.58438
2021-10-22,46.3476
2021-10-23,22.16624
2021-10-24,25.94458
2021-10-25,64.23173
2021-10-26,55.16372
2021-10-27,58.94206
2021-10-28,54.40806
2021-10-29,38.28715
2021-10-30,17.88413
2021-10-31,32.24181
2021-11-01,53.4005
2021-11-02,50.37783
2021-11-03,54.65994
2021-11-04,57.9345
2021-11-05,42.31738
2021-11-06,23.1738
2021-11-07,29.72292
2021-11-08,56.42317
2021-11-09,59.94962
2021-11-10,61.46095
2021-11-11,50.12594
2021-11-12,52.39294
2021-11-13,28.46347
2021-11-14,24.43324
2021-11-15,76.32241
2021-11-16,76.07052
2021-11-17,57.17884
2021-11-18,53.90428
2021-11-19,55.6675
2021-11-20,27.95969
2021-11-21,28.71536
2021-11-22,61.96473
2021-11-23,51.63727
2021-11-24,50.62972
2021-11-25,48.86649
2021-11-26,50.62972
2021-11-27,20.15113
2021-11-28,29.97481
2021-11-29,63.72795
2021-11-30,70.02518
2021-12-01,59.19395
2021-12-02,60.4534
2021-12-03,48.86649
2021-12-04,20.9068
2021-12-05,22.92191
2021-12-06,65.23929
2021-12-07,60.95717
