date,상장주식
2020-03-20,6.72579
2020-03-21,4.43458
2020-03-22,3.10421
2020-03-23,6.0606
2020-03-24,5.09977
2020-03-25,5.54323
2020-03-26,8.64745
2020-03-27,7.68662
2020-03-28,3.17812
2020-03-29,4.65631
2020-03-30,5.02586
2020-03-31,7.31707
2020-04-01,6.65188
2020-04-02,5.39541
2020-04-03,5.76496
2020-04-04,2.88248
2020-04-05,4.06504
2020-04-06,6.20842
2020-04-07,4.65631
2020-04-08,5.98669
2020-04-09,5.3215
2020-04-10,3.62158
2020-04-11,2.73466
2020-04-12,3.25203
2020-04-13,4.87804
2020-04-14,3.62158
2020-04-15,3.7694
2020-04-16,4.36067
2020-04-17,5.46932
2020-04-18,3.47376
2020-04-19,2.88248
2020-04-20,5.3215
2020-04-21,5.02586
2020-04-22,7.90835
2020-04-23,5.61714
2020-04-24,4.5824
2020-04-25,2.73466
2020-04-26,3.0303
2020-04-27,5.09977
2020-04-28,4.5824
2020-04-29,4.95195
2020-04-30,2.88248
2020-05-01,2.2912
2020-05-02,3.17812
2020-05-03,3.17812
2020-05-04,2.95639
2020-05-05,2.43902
2020-05-06,3.99113
2020-05-07,4.21286
2020-05-08,2.88248
2020-05-09,3.0303
2020-05-10,2.36511
2020-05-11,4.73022
2020-05-12,4.21286
2020-05-13,3.39985
2020-05-14,3.39985
2020-05-15,2.88248
2020-05-16,3.54767
2020-05-17,2.21729
2020-05-18,2.66075
2020-05-19,4.5824
2020-05-20,7.16925
2020-05-21,7.31707
2020-05-22,6.50406
2020-05-23,3.69549
2020-05-24,3.39985
2020-05-25,6.13451
2020-05-26,6.35624
2020-05-27,6.50406
2020-05-28,6.7997
2020-05-29,6.50406
2020-05-30,2.58684
2020-05-31,3.32594
2020-06-01,4.65631
2020-06-02,5.83887
2020-06-03,6.0606
2020-06-04,5.09977
2020-06-05,5.3215
2020-06-06,2.73466
2020-06-07,1.40428
2020-06-08,4.50849
2020-06-09,6.28233
2020-06-10,5.83887
2020-06-11,5.3215
2020-06-12,3.99113
2020-06-13,2.66075
2020-06-14,3.39985
2020-06-15,5.61714
2020-06-16,7.5388
2020-06-17,8.72135
2020-06-18,6.43015
2020-06-19,4.73022
2020-06-20,2.88248
2020-06-21,4.87804
2020-06-22,7.90835
2020-06-23,8.57354
2020-06-24,7.83444
2020-06-25,9.16481
2020-06-26,8.13008
2020-06-27,2.88248
2020-06-28,3.10421
2020-06-29,4.73022
2020-06-30,5.61714
2020-07-01,8.64745
2020-07-02,13.08203
2020-07-03,11.52993
2020-07-04,4.73022
2020-07-05,5.09977
2020-07-06,9.90391
2020-07-07,7.5388
2020-07-08,6.7997
2020-07-09,6.13451
2020-07-10,5.02586
2020-07-11,3.0303
2020-07-12,2.95639
2020-07-13,6.87361
2020-07-14,7.02143
2020-07-15,9.31263
2020-07-16,10.93865
2020-07-17,7.39098
2020-07-18,3.84331
2020-07-19,3.32594
2020-07-20,5.46932
2020-07-21,5.09977
2020-07-22,7.83444
2020-07-23,7.98226
2020-07-24,5.61714
2020-07-25,3.10421
2020-07-26,3.91722
2020-07-27,5.39541
2020-07-28,4.95195
2020-07-29,5.54323
2020-07-30,5.3215
2020-07-31,5.46932
2020-08-01,2.14338
2020-08-02,2.95639
2020-08-03,5.24759
2020-08-04,6.13451
2020-08-05,7.61271
2020-08-06,6.94752
2020-08-07,7.31707
2020-08-08,4.21286
2020-08-09,3.47376
2020-08-10,8.2779
2020-08-11,5.76496
2020-08-12,7.5388
2020-08-13,6.65188
2020-08-14,6.50406
2020-08-15,3.25203
2020-08-16,2.66075
2020-08-17,3.0303
2020-08-18,7.02143
2020-08-19,5.24759
2020-08-20,5.09977
2020-08-21,6.0606
2020-08-22,2.73466
2020-08-23,3.17812
2020-08-24,5.76496
2020-08-25,7.98226
2020-08-26,8.42572
2020-08-27,6.0606
2020-08-28,6.72579
2020-08-29,5.09977
2020-08-30,2.2912
2020-08-31,8.57354
2020-09-01,10.27346
2020-09-02,10.05173
2020-09-03,9.75609
2020-09-04,6.65188
2020-09-05,3.25203
2020-09-06,3.91722
2020-09-07,7.16925
2020-09-08,7.46489
2020-09-09,9.16481
2020-09-10,12.56467
2020-09-11,8.72135
2020-09-12,4.21286
2020-09-13,3.39985
2020-09-14,11.3082
2020-09-15,6.7997
2020-09-16,8.49963
2020-09-17,6.13451
2020-09-18,4.95195
2020-09-19,3.39985
2020-09-20,2.73466
2020-09-21,5.09977
2020-09-22,5.61714
2020-09-23,5.17368
2020-09-24,5.46932
2020-09-25,2.80857
2020-09-26,2.2912
2020-09-27,2.51293
2020-09-28,4.21286
2020-09-29,3.91722
2020-09-30,1.69992
2020-10-01,2.14338
2020-10-02,2.21729
2020-10-03,2.14338
2020-10-04,3.7694
2020-10-05,6.65188
2020-10-06,5.17368
2020-10-07,5.76496
2020-10-08,4.87804
2020-10-09,3.10421
2020-10-10,2.36511
2020-10-11,3.25203
2020-10-12,4.87804
2020-10-13,4.65631
2020-10-14,6.13451
2020-10-15,9.38654
2020-10-16,6.35624
2020-10-17,3.62158
2020-10-18,3.25203
2020-10-19,5.69105
2020-10-20,5.83887
2020-10-21,5.54323
2020-10-22,4.43458
2020-10-23,4.21286
2020-10-24,2.66075
2020-10-25,3.25203
2020-10-26,2.73466
2020-10-27,4.21286
2020-10-28,6.20842
2020-10-29,4.87804
2020-10-30,4.95195
2020-10-31,1.99556
2020-11-01,1.99556
2020-11-02,4.13895
2020-11-03,4.87804
2020-11-04,5.39541
2020-11-05,6.20842
2020-11-06,7.09534
2020-11-07,2.73466
2020-11-08,2.66075
2020-11-09,5.54323
2020-11-10,3.99113
