date,선물거래소
2020-03-20,21.08108
2020-03-21,14.59459
2020-03-22,3.78378
2020-03-23,14.59459
2020-03-24,9.18918
2020-03-25,11.35135
2020-03-26,14.59459
2020-03-27,7.56756
2020-03-28,8.64864
2020-03-29,12.97297
2020-03-30,14.05405
2020-03-31,10.27027
2020-04-01,14.05405
2020-04-02,15.67567
2020-04-03,9.72972
2020-04-04,8.64864
2020-04-05,4.86486
2020-04-06,16.21621
2020-04-07,18.37837
2020-04-08,16.21621
2020-04-09,16.21621
2020-04-10,7.56756
2020-04-11,3.24324
2020-04-12,3.78378
2020-04-13,10.81081
2020-04-14,10.27027
2020-04-15,8.1081
2020-04-16,2.7027
2020-04-17,3.78378
2020-04-18,3.24324
2020-04-20,9.72972
2020-04-21,19.45945
2020-04-22,16.75675
2020-04-23,21.62162
2020-04-24,11.35135
2020-04-25,5.4054
2020-04-26,4.32432
2020-04-27,12.43243
2020-04-28,15.67567
2020-04-29,10.27027
2020-04-30,5.94594
2020-05-02,3.78378
2020-05-03,2.7027
2020-05-04,4.32432
2020-05-05,3.24324
2020-05-06,7.02702
2020-05-07,7.02702
2020-05-08,8.1081
2020-05-10,4.32432
2020-05-11,2.7027
2020-05-12,8.1081
2020-05-13,7.02702
2020-05-14,8.64864
2020-05-15,9.18918
2020-05-16,7.56756
2020-05-17,3.78378
2020-05-18,3.24324
2020-05-19,9.72972
2020-05-20,9.72972
2020-05-21,10.81081
2020-05-22,3.78378
2020-05-23,2.7027
2020-05-24,2.7027
2020-05-25,2.7027
2020-05-26,4.32432
2020-05-27,2.7027
2020-05-28,9.72972
2020-05-29,6.48648
2020-05-30,2.7027
2020-05-31,7.56756
2020-06-01,7.56756
2020-06-02,6.48648
2020-06-03,10.27027
2020-06-04,16.75675
2020-06-05,8.1081
2020-06-06,3.24324
2020-06-07,8.1081
2020-06-08,6.48648
2020-06-09,6.48648
2020-06-10,8.64864
2020-06-11,6.48648
2020-06-12,9.18918
2020-06-13,8.64864
2020-06-14,3.24324
2020-06-15,10.81081
2020-06-16,9.18918
2020-06-17,9.72972
2020-06-18,3.24324
2020-06-22,9.72972
2020-06-23,2.7027
2020-06-24,7.56756
2020-06-25,4.86486
2020-06-26,2.7027
2020-06-29,6.48648
2020-06-30,4.32432
2020-07-01,7.02702
2020-07-02,9.18918
2020-07-03,3.24324
2020-07-04,5.94594
2020-07-05,3.24324
2020-07-06,7.02702
2020-07-08,4.32432
2020-07-09,3.78378
2020-07-10,3.24324
2020-07-13,5.4054
2020-07-14,3.78378
2020-07-15,2.7027
2020-07-16,6.48648
2020-07-17,7.02702
2020-07-18,2.7027
2020-07-20,2.7027
2020-07-22,3.24324
2020-07-23,6.48648
2020-07-25,2.7027
2020-07-26,3.24324
2020-07-27,7.02702
2020-07-28,8.1081
2020-07-29,5.4054
2020-07-30,3.24324
2020-07-31,8.64864
2020-08-01,3.78378
2020-08-04,4.86486
2020-08-06,8.1081
2020-08-07,3.24324
2020-08-10,3.24324
2020-08-11,5.4054
2020-08-12,5.94594
2020-08-13,3.78378
2020-08-14,4.32432
2020-08-18,2.7027
2020-08-19,12.43243
2020-08-20,9.18918
2020-08-21,5.94594
2020-08-23,2.7027
2020-08-24,3.24324
2020-08-25,2.7027
2020-08-26,3.78378
2020-08-31,2.7027
2020-09-01,7.02702
2020-09-02,6.48648
2020-09-03,4.32432
2020-09-04,5.4054
2020-09-05,3.78378
2020-09-06,7.56756
2020-09-07,4.32432
2020-09-08,7.56756
2020-09-09,3.78378
2020-09-10,6.48648
2020-09-11,3.78378
2020-09-12,2.7027
2020-09-14,5.4054
2020-09-15,5.4054
2020-09-16,5.4054
2020-09-17,4.32432
2020-09-18,3.24324
2020-09-20,2.7027
2020-09-21,2.7027
2020-09-22,2.7027
2020-09-23,6.48648
2020-09-24,12.43243
2020-09-25,5.94594
2020-09-27,4.86486
2020-09-28,7.02702
2020-09-29,2.7027
2020-09-30,2.7027
2020-10-01,4.86486
2020-10-02,3.24324
2020-10-06,2.7027
2020-10-08,3.24324
2020-10-11,3.24324
2020-10-12,3.24324
2020-10-13,5.94594
2020-10-14,2.7027
2020-10-15,2.7027
2020-10-16,7.02702
2020-10-19,2.7027
2020-10-20,3.24324
2020-10-21,5.4054
2020-10-22,2.7027
2020-10-23,3.78378
2020-10-26,2.7027
2020-10-27,8.1081
2020-10-29,6.48648
2020-11-02,3.24324
2020-11-04,2.7027
2020-11-05,5.4054
2020-11-06,10.27027
2020-11-07,3.24324
2020-11-10,7.02702
2020-11-11,5.4054
2020-11-12,3.24324
2020-11-13,9.72972
2020-11-16,7.56756
2020-11-17,5.4054
2020-11-18,5.94594
2020-11-19,15.13513
2020-11-22,3.24324
2020-11-23,3.78378
2020-11-24,7.02702
2020-11-25,11.35135
2020-11-26,2.7027
2020-11-27,2.7027
2020-11-28,2.7027
2020-11-30,3.24324
2020-12-01,9.72972
2020-12-02,2.7027
2020-12-03,3.78378
2020-12-04,7.56756
2020-12-07,3.78378
2020-12-08,2.7027
2020-12-09,3.24324
2020-12-10,7.56756
2020-12-11,3.24324
2020-12-15,11.35135
2020-12-16,9.18918
2020-12-17,7.56756
2020-12-18,5.4054
2020-12-19,7.56756
2020-12-21,8.64864
2020-12-22,4.32432
2020-12-23,3.78378
2020-12-24,2.7027
2020-12-25,2.7027
2020-12-26,4.32432
2020-12-27,6.48648
2020-12-28,8.64864
2020-12-29,3.78378
2020-12-30,5.94594
2020-12-31,8.64864
2021-01-01,3.78378
2021-01-03,4.32432
2021-01-04,8.1081
2021-01-05,11.35135
2021-01-06,10.27027
2021-01-07,4.32432
2021-01-08,8.1081
2021-01-09,7.56756
2021-01-11,10.27027
2021-01-12,8.64864
2021-01-13,17.83783
2021-01-14,11.89189
2021-01-15,12.43243
2021-01-16,12.97297
2021-01-17,8.1081
2021-01-18,9.18918
2021-01-19,13.51351
2021-01-20,11.35135
2021-01-21,9.18918
2021-01-22,15.13513
2021-01-23,9.72972
2021-01-24,8.64864
2021-01-25,14.59459
2021-01-26,11.35135
2021-01-27,14.59459
2021-01-28,9.72972
2021-01-29,14.05405
2021-01-30,9.72972
2021-01-31,4.86486
2021-02-01,18.91891
2021-02-02,17.83783
2021-02-03,16.21621
2021-02-04,9.72972
2021-02-05,11.89189
2021-02-06,10.27027
2021-02-07,5.94594
2021-02-08,17.29729
2021-02-09,12.97297
2021-02-10,14.59459
2021-02-11,7.02702
2021-02-12,4.32432
2021-02-13,12.43243
2021-02-14,8.1081
2021-02-15,11.89189
2021-02-16,13.51351
2021-02-17,11.89189
2021-02-18,24.32432
2021-02-19,15.13513
2021-02-20,12.43243
2021-02-21,10.81081
2021-02-22,6.48648
2021-02-23,100.0
2021-02-24,16.75675
2021-02-25,29.18918
2021-02-26,11.89189
2021-02-27,9.72972
2021-03-01,7.02702
2021-03-02,14.05405
2021-03-03,10.81081
2021-03-04,12.97297
2021-03-05,13.51351
2021-03-06,7.02702
2021-03-07,9.18918
2021-03-08,7.02702
2021-03-09,12.43243
2021-03-10,11.89189
2021-03-11,10.27027
2021-03-12,10.27027
2021-03-13,7.02702
2021-03-14,11.89189
2021-03-15,14.05405
2021-03-16,14.59459
2021-03-17,7.02702
2021-03-18,9.72972
2021-03-19,7.56756
2021-03-20,6.48648
2021-03-21,5.94594
2021-03-22,8.1081
2021-03-23,16.21621
2021-03-24,6.48648
2021-03-25,13.51351
2021-03-26,13.51351
2021-03-27,5.94594
2021-03-28,6.48648
2021-03-29,10.81081
2021-03-30,14.05405
2021-03-31,20.0
2021-04-01,17.29729
2021-04-02,16.75675
2021-04-04,8.1081
2021-04-05,12.97297
2021-04-06,9.18918
2021-04-07,16.21621
2021-04-08,8.64864
2021-04-09,11.89189
2021-04-10,7.56756
2021-04-11,3.24324
2021-04-12,13.51351
2021-04-13,7.56756
2021-04-14,15.13513
2021-04-15,21.08108
2021-04-16,44.32432
2021-04-17,24.32432
2021-04-18,29.72972
2021-04-19,33.51351
2021-04-20,29.18918
2021-04-21,29.72972
2021-04-22,28.1081
2021-04-23,18.91891
2021-04-24,18.37837
2021-04-25,16.75675
2021-04-26,12.43243
2021-04-27,25.4054
2021-04-28,16.75675
2021-04-29,17.83783
2021-04-30,12.97297
2021-05-01,13.51351
2021-05-02,11.89189
2021-05-03,11.89189
2021-05-04,16.21621
2021-05-05,17.29729
2021-05-06,21.08108
2021-05-07,16.75675
2021-05-08,16.75675
2021-05-09,15.67567
2021-05-10,24.86486
2021-05-11,20.54054
2021-05-12,29.18918
2021-05-13,27.02702
2021-05-14,16.75675
2021-05-15,14.05405
2021-05-16,18.37837
2021-05-17,15.67567
2021-05-18,22.16216
2021-05-19,22.16216
2021-05-20,24.32432
2021-05-21,15.67567
2021-05-22,12.97297
2021-05-23,19.45945
2021-05-24,32.43243
2021-05-25,21.08108
2021-05-26,21.08108
2021-05-27,15.13513
2021-05-28,14.05405
2021-05-29,11.35135
2021-05-30,10.27027
2021-05-31,18.37837
2021-06-01,11.89189
2021-06-02,8.64864
2021-06-03,18.37837
2021-06-04,11.35135
2021-06-05,9.18918
2021-06-06,9.72972
2021-06-07,12.97297
2021-06-08,17.29729
2021-06-09,15.13513
2021-06-10,15.13513
2021-06-11,15.13513
2021-06-12,12.43243
2021-06-13,8.1081
2021-06-14,12.97297
2021-06-15,15.13513
2021-06-16,12.43243
2021-06-17,16.75675
2021-06-18,11.89189
2021-06-19,5.4054
2021-06-20,4.32432
2021-06-21,18.37837
2021-06-22,23.78378
2021-06-23,10.27027
2021-06-24,6.48648
2021-06-25,8.1081
2021-06-26,10.27027
2021-06-27,7.56756
2021-06-28,11.35135
2021-06-29,18.91891
2021-06-30,14.59459
2021-07-01,11.89189
2021-07-02,6.48648
2021-07-03,5.94594
2021-07-04,14.05405
2021-07-05,9.72972
2021-07-06,17.29729
2021-07-07,7.02702
2021-07-08,12.97297
2021-07-09,7.56756
2021-07-10,5.94594
2021-07-11,4.32432
2021-07-12,5.94594
2021-07-13,10.81081
2021-07-14,9.72972
2021-07-15,10.27027
2021-07-16,11.35135
2021-07-17,2.7027
2021-07-18,8.1081
2021-07-19,7.56756
2021-07-20,12.97297
2021-07-21,9.18918
2021-07-22,17.83783
2021-07-23,15.13513
2021-07-24,4.86486
2021-07-25,3.24324
2021-07-26,3.78378
2021-07-27,10.27027
2021-07-28,13.51351
2021-07-29,10.27027
2021-07-30,9.18918
2021-07-31,5.4054
2021-08-01,7.02702
2021-08-02,10.27027
2021-08-03,5.94594
2021-08-04,5.94594
2021-08-05,11.35135
2021-08-06,8.64864
2021-08-07,7.56756
2021-08-08,8.1081
2021-08-09,14.05405
2021-08-10,23.24324
2021-08-11,36.75675
2021-08-12,37.83783
2021-08-13,22.7027
2021-08-14,17.29729
2021-08-15,9.72972
2021-08-16,17.83783
2021-08-17,15.13513
2021-08-18,16.75675
2021-08-19,18.91891
2021-08-20,16.21621
2021-08-21,17.29729
2021-08-22,11.89189
2021-08-23,16.21621
2021-08-24,21.62162
2021-08-25,19.45945
2021-08-26,21.62162
2021-08-27,16.21621
2021-08-28,10.81081
2021-08-29,8.1081
2021-08-30,18.91891
2021-08-31,19.45945
2021-09-01,24.86486
2021-09-02,18.37837
2021-09-03,15.67567
2021-09-04,12.97297
2021-09-05,9.72972
2021-09-06,15.67567
2021-09-07,20.0
2021-09-08,22.7027
2021-09-09,16.75675
2021-09-10,21.08108
2021-09-11,11.89189
2021-09-12,10.81081
2021-09-13,11.89189
2021-09-14,14.05405
2021-09-15,18.91891
2021-09-16,17.29729
2021-09-17,18.91891
2021-09-18,14.59459
2021-09-19,8.64864
2021-09-20,8.64864
2021-09-21,12.97297
2021-09-22,16.75675
2021-09-23,25.94594
2021-09-24,24.86486
2021-09-25,17.83783
2021-09-26,16.21621
2021-09-27,15.67567
2021-09-28,17.29729
2021-09-29,22.16216
2021-09-30,16.21621
2021-10-01,19.45945
2021-10-02,14.59459
2021-10-03,12.43243
2021-10-04,14.59459
2021-10-05,23.24324
2021-10-06,25.94594
2021-10-07,24.86486
2021-10-08,20.0
2021-10-09,10.27027
2021-10-10,9.72972
2021-10-11,13.51351
2021-10-12,20.0
2021-10-13,18.91891
2021-10-14,17.83783
2021-10-15,13.51351
2021-10-16,4.32432
2021-10-17,8.1081
2021-10-18,12.97297
2021-10-19,16.21621
2021-10-20,16.21621
2021-10-21,17.29729
2021-10-22,22.7027
2021-10-23,10.27027
2021-10-24,11.35135
2021-10-25,14.05405
2021-10-26,20.0
2021-10-27,20.0
2021-10-28,12.43243
2021-10-29,16.21621
2021-10-30,8.1081
2021-10-31,7.56756
2021-11-01,8.1081
2021-11-02,13.51351
2021-11-03,20.0
2021-11-04,17.83783
2021-11-05,10.81081
2021-11-06,10.27027
2021-11-07,11.35135
2021-11-08,15.67567
2021-11-09,28.1081
2021-11-10,10.81081
2021-11-11,17.83783
2021-11-12,17.29729
2021-11-13,15.13513
2021-11-14,14.59459
2021-11-15,23.24324
2021-11-16,19.45945
2021-11-17,15.67567
2021-11-18,33.51351
2021-11-19,18.91891
2021-11-20,12.43243
2021-11-21,15.13513
2021-11-22,26.48648
2021-11-23,20.0
2021-11-24,20.0
2021-11-25,18.37837
2021-11-26,17.29729
2021-11-27,9.72972
2021-11-28,14.59459
2021-11-29,19.45945
2021-11-30,29.72972
2021-12-01,17.29729
2021-12-02,21.08108
2021-12-03,18.37837
2021-12-04,17.83783
2021-12-05,11.89189
2021-12-06,18.37837
2021-12-07,21.08108
2021-12-08,10.27027
2021-12-09,30.81081
2021-12-10,12.43243
2021-12-11,9.72972
2021-12-12,7.56756
2021-12-13,22.16216
2021-12-14,15.67567
2021-12-15,14.59459
2021-12-16,22.16216
2021-12-17,15.13513
2021-12-18,7.56756
2021-12-19,6.48648
2021-12-20,12.43243
2021-12-21,17.83783
2021-12-22,17.83783
2021-12-23,14.05405
2021-12-24,15.67567
2021-12-25,8.64864
2021-12-26,9.72972
2021-12-27,13.51351
2021-12-28,14.05405
2021-12-29,14.59459
2021-12-30,16.75675
