date,설치미술
2020-03-20,36.8217
2020-03-21,16.27906
2020-03-22,23.25581
2020-03-23,32.94573
2020-03-24,40.31007
2020-03-25,43.02325
2020-03-26,32.94573
2020-03-27,25.58139
2020-03-28,18.60465
2020-03-29,27.90697
2020-03-30,43.41085
2020-03-31,34.49612
2020-04-01,37.2093
2020-04-02,43.79844
2020-04-03,46.89922
2020-04-04,86.4341
2020-04-05,68.60465
2020-04-06,66.66666
2020-04-07,62.4031
2020-04-08,67.05426
2020-04-09,50.77519
2020-04-10,44.96124
2020-04-11,61.24031
2020-04-12,58.91472
2020-04-13,58.52713
2020-04-14,82.55813
2020-04-15,36.04651
2020-04-16,58.13953
2020-04-17,88.37209
2020-04-18,28.29457
2020-04-19,41.47286
2020-04-20,74.031
2020-04-21,65.11627
2020-04-22,39.92248
2020-04-23,48.44961
2020-04-24,44.18604
2020-04-25,18.99224
2020-04-26,26.74418
2020-04-27,61.24031
2020-04-28,56.20155
2020-04-29,35.65891
2020-04-30,30.23255
2020-05-01,29.84496
2020-05-02,25.96899
2020-05-03,27.13178
2020-05-04,45.73643
2020-05-05,24.4186
2020-05-06,34.88372
2020-05-07,35.27131
2020-05-08,40.31007
2020-05-09,30.23255
2020-05-10,27.51937
2020-05-11,47.28682
2020-05-12,39.53488
2020-05-13,38.75968
2020-05-14,48.44961
2020-05-15,50.38759
2020-05-16,27.13178
2020-05-17,27.13178
2020-05-18,43.02325
2020-05-19,59.30232
2020-05-20,57.75193
2020-05-21,41.08527
2020-05-22,40.31007
2020-05-23,21.70542
2020-05-24,36.4341
2020-05-25,81.00775
2020-05-26,100.0
2020-05-27,43.02325
2020-05-28,37.98449
2020-05-29,44.96124
2020-05-30,26.35658
2020-05-31,36.4341
2020-06-01,52.71317
2020-06-02,51.16279
2020-06-03,43.79844
2020-06-04,50.38759
2020-06-05,74.031
2020-06-06,24.8062
2020-06-07,44.57364
2020-06-08,43.79844
2020-06-09,44.96124
2020-06-10,53.48837
2020-06-11,48.06201
2020-06-12,40.31007
2020-06-13,32.17054
2020-06-14,38.37209
2020-06-15,50.0
2020-06-16,41.47286
2020-06-17,38.75968
2020-06-18,27.90697
2020-06-19,53.48837
2020-06-20,23.25581
2020-06-21,28.29457
2020-06-22,49.2248
2020-06-23,36.4341
2020-06-24,44.57364
2020-06-25,48.44961
2020-06-26,33.72093
2020-06-27,24.031
2020-06-28,34.88372
2020-06-29,31.78294
2020-06-30,35.65891
2020-07-01,39.92248
2020-07-02,34.49612
2020-07-03,36.4341
2020-07-04,26.35658
2020-07-05,24.4186
2020-07-06,58.52713
2020-07-07,34.10852
2020-07-08,43.02325
2020-07-09,36.4341
2020-07-10,28.29457
2020-07-11,20.15503
2020-07-12,27.13178
2020-07-13,41.47286
2020-07-14,39.53488
2020-07-15,31.78294
2020-07-16,28.29457
2020-07-17,30.62015
2020-07-18,16.66666
2020-07-19,25.19379
2020-07-20,55.81395
2020-07-21,49.2248
2020-07-22,38.37209
2020-07-23,29.06976
2020-07-24,23.64341
2020-07-25,14.72868
2020-07-26,23.25581
2020-07-27,25.96899
2020-07-28,41.47286
2020-07-29,34.88372
2020-07-30,25.19379
2020-07-31,29.45736
2020-08-01,17.05426
2020-08-02,12.0155
2020-08-03,27.13178
2020-08-04,22.48062
2020-08-05,39.92248
2020-08-06,31.00775
2020-08-07,25.19379
2020-08-08,19.37984
2020-08-09,19.37984
2020-08-10,27.13178
2020-08-11,26.35658
2020-08-12,28.68217
2020-08-13,25.58139
2020-08-14,24.031
2020-08-15,12.4031
2020-08-16,12.4031
2020-08-17,16.27906
2020-08-18,19.37984
2020-08-19,16.66666
2020-08-20,21.31782
2020-08-21,17.44186
2020-08-22,18.99224
2020-08-23,17.05426
2020-08-24,22.48062
2020-08-25,20.93023
2020-08-26,29.84496
2020-08-27,32.94573
2020-08-28,20.93023
2020-08-29,15.89147
2020-08-30,21.31782
2020-08-31,31.00775
2020-09-01,31.78294
2020-09-02,42.24806
2020-09-03,31.78294
2020-09-04,52.32558
2020-09-05,21.31782
2020-09-06,20.54263
2020-09-07,65.89147
2020-09-08,60.07751
2020-09-09,47.28682
2020-09-10,47.67441
2020-09-11,55.03875
2020-09-12,27.13178
2020-09-13,32.55813
2020-09-14,71.31782
2020-09-15,41.08527
2020-09-16,51.93798
2020-09-17,44.96124
2020-09-18,31.78294
2020-09-19,21.70542
2020-09-20,29.06976
2020-09-21,37.59689
2020-09-22,33.33333
2020-09-23,51.55038
2020-09-24,51.55038
2020-09-25,39.53488
2020-09-26,25.19379
2020-09-27,31.78294
2020-09-28,33.72093
2020-09-29,41.47286
2020-09-30,14.72868
2020-10-01,10.85271
2020-10-02,19.76744
2020-10-03,16.66666
2020-10-04,28.29457
2020-10-05,57.36434
2020-10-06,58.52713
2020-10-07,45.73643
2020-10-08,45.34883
2020-10-09,22.48062
2020-10-10,30.23255
2020-10-11,31.39534
2020-10-12,48.8372
2020-10-13,46.12403
2020-10-14,41.86046
2020-10-15,34.10852
2020-10-16,27.13178
2020-10-17,22.09302
2020-10-18,32.94573
2020-10-19,44.57364
2020-10-20,43.79844
2020-10-21,35.27131
2020-10-22,36.8217
2020-10-23,41.08527
2020-10-24,23.64341
2020-10-25,27.51937
2020-10-26,44.18604
2020-10-27,42.63565
2020-10-28,32.94573
2020-10-29,46.89922
2020-10-30,40.69767
2020-10-31,27.13178
2020-11-01,36.04651
2020-11-02,51.16279
2020-11-03,39.92248
2020-11-04,32.17054
2020-11-05,37.98449
2020-11-06,27.90697
2020-11-07,18.21705
2020-11-08,22.48062
2020-11-09,45.73643
2020-11-10,44.18604
2020-11-11,34.49612
2020-11-12,34.88372
2020-11-13,35.65891
2020-11-14,19.76744
2020-11-15,28.68217
2020-11-16,33.33333
2020-11-17,31.00775
2020-11-18,38.75968
2020-11-19,35.65891
2020-11-20,29.84496
2020-11-21,18.60465
2020-11-22,20.54263
2020-11-23,27.13178
2020-11-24,33.33333
2020-11-25,29.45736
2020-11-26,30.23255
2020-11-27,22.48062
2020-11-28,21.70542
2020-11-29,20.15503
2020-11-30,41.08527
2020-12-01,38.37209
2020-12-02,43.41085
2020-12-03,32.17054
2020-12-04,42.63565
2020-12-05,17.82945
2020-12-06,33.33333
2020-12-07,34.88372
2020-12-08,34.49612
2020-12-09,30.23255
2020-12-10,42.63565
2020-12-11,29.84496
2020-12-12,29.45736
2020-12-13,24.8062
2020-12-14,47.67441
2020-12-15,28.68217
2020-12-16,31.78294
2020-12-17,31.00775
2020-12-18,29.06976
2020-12-19,15.50387
2020-12-20,21.31782
2020-12-21,30.23255
2020-12-22,31.39534
2020-12-23,31.00775
2020-12-24,22.48062
2020-12-25,7.75193
2020-12-26,12.0155
2020-12-27,19.76744
2020-12-28,17.44186
2020-12-29,27.51937
2020-12-30,21.31782
2020-12-31,19.76744
2021-01-01,7.36434
2021-01-02,11.6279
2021-01-03,15.89147
2021-01-04,17.82945
2021-01-05,19.76744
2021-01-06,25.19379
2021-01-07,24.8062
2021-01-08,17.82945
2021-01-09,11.24031
2021-01-10,17.05426
2021-01-11,21.31782
2021-01-12,20.93023
2021-01-13,24.8062
2021-01-14,32.55813
2021-01-15,22.48062
2021-01-16,17.05426
2021-01-17,14.72868
2021-01-18,31.39534
2021-01-19,25.96899
2021-01-20,20.93023
