date,성취
2020-03-20,14.65201
2020-03-21,13.46153
2020-03-22,14.10256
2020-03-23,17.49084
2020-03-24,18.86446
2020-03-25,18.40659
2020-03-26,18.04029
2020-03-27,17.12454
2020-03-28,13.09523
2020-03-29,16.94139
2020-03-30,19.04761
2020-03-31,18.04029
2020-04-01,15.93406
2020-04-02,18.58974
2020-04-03,14.92673
2020-04-04,12.27106
2020-04-05,14.83516
2020-04-06,15.47619
2020-04-07,18.68131
2020-04-08,22.52747
2020-04-09,27.74725
2020-04-10,21.06227
2020-04-11,12.63736
2020-04-12,13.82783
2020-04-13,19.32234
2020-04-14,15.93406
2020-04-15,14.28571
2020-04-16,22.25274
2020-04-17,21.06227
2020-04-18,11.81318
2020-04-19,15.75091
2020-04-20,22.34432
2020-04-21,19.04761
2020-04-22,19.96336
2020-04-23,20.87912
2020-04-24,19.50549
2020-04-25,12.45421
2020-04-26,13.82783
2020-04-27,18.68131
2020-04-28,17.21611
2020-04-29,17.49084
2020-04-30,12.17948
2020-05-01,12.54578
2020-05-02,8.97435
2020-05-03,13.00366
2020-05-04,18.68131
2020-05-05,13.27838
2020-05-06,17.21611
2020-05-07,17.30769
2020-05-08,16.94139
2020-05-09,11.72161
2020-05-10,14.74358
2020-05-11,17.49084
2020-05-12,19.87179
2020-05-13,18.68131
2020-05-14,18.13186
2020-05-15,18.31501
2020-05-16,10.16483
2020-05-17,15.65934
2020-05-18,18.31501
2020-05-19,16.75824
2020-05-20,17.67399
2020-05-21,17.30769
2020-05-22,16.66666
2020-05-23,11.90476
2020-05-24,13.27838
2020-05-25,16.11721
2020-05-26,21.24542
2020-05-27,19.32234
2020-05-28,13.09523
2020-05-29,17.67399
2020-05-30,12.27106
2020-05-31,13.91941
2020-06-01,17.30769
2020-06-02,14.56043
2020-06-03,17.39926
2020-06-04,15.10989
2020-06-05,13.64468
2020-06-06,9.98168
2020-06-07,13.64468
2020-06-08,18.22344
2020-06-09,15.01831
2020-06-10,16.57509
2020-06-11,15.93406
2020-06-12,15.38461
2020-06-13,9.24908
2020-06-14,16.30036
2020-06-15,16.02564
2020-06-16,17.21611
2020-06-17,16.84981
2020-06-18,16.75824
