date,솔라나시세
2021-04-25,0.14655
2021-04-26,0.36638
2021-04-28,0.12212
2021-04-29,0.1954
2021-04-30,0.26868
2021-05-03,0.6595
2021-05-04,0.36638
2021-05-09,0.26868
2021-05-14,0.17098
2021-05-16,0.29311
2021-05-17,0.39081
2021-05-18,0.39081
2021-05-19,0.24425
2021-05-21,0.21983
2021-05-23,0.14655
2021-05-25,0.14655
2021-05-26,0.12212
2021-05-27,0.14655
2021-06-05,0.21983
2021-06-06,0.1954
2021-06-07,0.12212
2021-06-09,0.26868
2021-06-10,0.34196
2021-06-11,0.34196
2021-06-12,0.1954
2021-06-13,0.14655
2021-06-14,0.12212
2021-06-16,0.14655
2021-06-18,0.12212
2021-06-19,0.14655
2021-06-20,0.12212
2021-06-21,0.1954
2021-06-22,0.14655
2021-06-27,0.14655
2021-07-01,0.1954
2021-07-07,0.17098
2021-07-08,0.17098
2021-07-10,0.1954
2021-07-15,0.26868
2021-07-19,0.26868
2021-08-16,1.34342
2021-08-17,3.17537
2021-08-18,2.5403
2021-08-19,8.52467
2021-08-20,2.61358
2021-08-21,1.78309
2021-08-22,1.36785
2021-08-23,1.44113
2021-08-24,1.19687
2021-08-25,0.92818
2021-08-26,1.29457
2021-08-27,1.80752
2021-08-28,2.24719
2021-08-29,3.00439
2021-08-30,4.39667
2021-08-31,7.05911
2021-09-01,5.7401
2021-09-02,4.00586
2021-09-03,7.15681
2021-09-04,4.59208
2021-09-05,4.07914
2021-09-06,3.7616
2021-09-07,12.5061
2021-09-08,8.86663
2021-09-09,15.70591
2021-09-10,10.21006
2021-09-11,10.57645
2021-09-12,7.15681
2021-09-13,8.50024
2021-09-14,9.15974
2021-09-15,13.65412
2021-09-16,6.27747
2021-09-17,9.20859
2021-09-18,7.54763
2021-09-19,6.27747
2021-09-20,6.10649
2021-09-21,3.83488
2021-09-22,4.64093
2021-09-23,5.10503
2021-09-24,3.22423
2021-09-25,3.05324
2021-09-26,4.71421
2021-09-27,4.05471
2021-09-28,3.05324
2021-09-29,2.88226
2021-09-30,2.02735
2021-10-01,3.22423
2021-10-02,5.49584
2021-10-03,5.42256
2021-10-04,5.47142
2021-10-05,4.29897
2021-10-06,5.7401
2021-10-07,5.1783
2021-10-08,5.34929
2021-10-09,3.90815
2021-10-10,3.49291
2021-10-11,4.9829
2021-10-12,5.49584
2021-10-13,5.52027
2021-10-14,4.20127
2021-10-15,100.0
2021-10-16,21.93453
2021-10-17,10.60087
2021-10-18,7.32779
2021-10-19,5.1783
2021-10-20,5.66682
2021-10-21,13.87396
2021-10-22,13.21446
2021-10-23,9.18417
2021-10-24,6.03321
2021-10-25,8.81778
2021-10-26,8.15828
2021-10-27,6.47288
2021-10-28,6.54616
2021-10-29,3.68832
2021-10-30,3.24865
2021-10-31,4.29897
2021-11-01,4.90962
2021-11-02,3.90815
2021-11-03,7.30337
2021-11-04,11.70004
2021-11-05,14.70444
2021-11-06,10.69858
2021-11-07,15.14411
2021-11-08,23.42452
2021-11-09,16.70737
2021-11-10,12.43282
2021-11-11,12.18856
2021-11-12,12.35955
2021-11-13,8.81778
2021-11-14,10.01465
2021-11-15,13.19003
2021-11-16,11.08939
2021-11-17,9.52613
2021-11-18,9.89252
2021-11-19,10.5276
2021-11-20,10.08793
2021-11-21,7.93844
2021-11-22,8.50024
2021-11-23,7.88959
2021-11-24,7.71861
2021-11-25,8.32926
2021-11-26,8.23155
2021-11-27,6.91255
2021-11-28,6.22862
2021-11-29,7.20566
2021-11-30,7.40107
2021-12-01,11.57791
2021-12-02,13.11675
2021-12-03,11.11382
2021-12-04,15.11968
2021-12-05,11.82217
2021-12-06,11.48021
2021-12-07,10.16121
2021-12-08,10.21006
2021-12-09,9.404
2021-12-10,8.20713
2021-12-11,8.81778
2021-12-12,8.1827
