date,스캘핑
2020-03-20,5.50665
2020-03-21,3.60286
2020-03-22,4.01228
2020-03-23,5.87512
2020-03-24,5.56806
2020-03-25,5.83418
2020-03-26,6.55066
2020-03-27,9.00716
2020-03-28,6.05936
2020-03-29,6.67349
2020-03-30,8.29068
2020-03-31,7.59467
2020-04-01,7.04196
2020-04-02,7.90174
2020-04-03,8.41351
2020-04-04,5.07676
2020-04-05,4.48311
2020-04-06,6.01842
2020-04-07,5.30194
2020-04-08,5.50665
2020-04-09,6.05936
2020-04-10,4.87205
2020-04-11,3.68474
2020-04-12,3.93039
2020-04-13,4.19651
2020-04-14,4.46264
2020-04-15,3.17297
2020-04-16,3.48004
2020-04-17,3.6438
2020-04-18,2.29273
2020-04-19,3.05015
2020-04-20,3.70522
2020-04-21,4.58546
2020-04-22,3.84851
2020-04-23,5.40429
2020-04-24,4.89252
2020-04-25,3.45957
2020-04-26,3.56192
2020-04-27,4.52405
2020-04-28,3.95087
2020-04-29,3.19344
2020-04-30,2.70214
2020-05-01,2.88638
2020-05-02,2.14943
2020-05-03,2.92732
2020-05-04,2.92732
2020-05-05,2.94779
2020-05-06,3.27533
2020-05-07,3.50051
2020-05-08,3.50051
2020-05-09,3.27533
2020-05-10,2.94779
2020-05-11,3.50051
2020-05-12,4.48311
2020-05-13,3.52098
2020-05-14,4.03275
2020-05-15,3.6438
2020-05-16,2.94779
2020-05-17,2.19037
2020-05-18,4.15557
2020-05-19,4.1351
2020-05-20,4.33981
2020-05-21,4.29887
2020-05-22,4.19651
2020-05-23,2.43602
2020-05-24,2.10849
2020-05-25,3.52098
2020-05-26,3.74616
2020-05-27,3.68474
2020-05-28,4.01228
2020-05-29,3.21392
2020-05-30,2.41555
2020-05-31,1.90378
2020-06-01,3.05015
2020-06-02,3.68474
2020-06-03,3.50051
2020-06-04,3.50051
2020-06-05,4.11463
2020-06-06,2.51791
2020-06-07,2.00614
2020-06-08,4.17604
2020-06-09,3.93039
2020-06-10,3.2958
2020-06-11,4.07369
2020-06-12,4.48311
2020-06-13,2.64073
2020-06-14,1.78096
2020-06-15,2.90685
2020-06-16,2.98874
2020-06-17,2.92732
2020-06-18,3.52098
2020-06-19,3.72569
2020-06-20,1.53531
2020-06-21,1.69907
2020-06-22,3.86898
2020-06-23,3.84851
2020-06-24,4.6264
2020-06-25,4.46264
2020-06-26,3.82804
2020-06-27,2.1699
2020-06-28,2.33367
2020-06-29,3.48004
2020-06-30,3.19344
2020-07-01,3.7871
2020-07-02,3.54145
2020-07-03,3.27533
2020-07-04,2.98874
2020-07-05,2.35414
2020-07-06,2.92732
2020-07-07,3.70522
2020-07-08,3.19344
2020-07-09,3.45957
2020-07-10,3.21392
2020-07-11,4.42169
2020-07-12,4.07369
2020-07-13,3.86898
2020-07-14,3.50051
2020-07-15,3.84851
2020-07-16,3.99181
2020-07-17,3.33674
2020-07-18,2.6612
2020-07-19,2.08802
2020-07-20,3.35721
2020-07-21,3.31627
2020-07-22,4.40122
2020-07-23,3.50051
2020-07-24,3.93039
2020-07-25,2.45649
2020-07-26,2.74309
2020-07-27,4.31934
2020-07-28,4.33981
2020-07-29,4.7697
2020-07-30,4.44216
2020-07-31,4.29887
2020-08-01,2.74309
2020-08-02,2.64073
2020-08-03,2.90685
2020-08-04,4.70829
2020-08-05,5.05629
2020-08-06,4.40122
2020-08-07,4.48311
2020-08-08,2.55885
2020-08-09,3.17297
2020-08-10,4.97441
2020-08-11,5.05629
2020-08-12,4.54452
2020-08-13,4.44216
2020-08-14,4.11463
2020-08-15,2.76356
2020-08-16,2.39508
2020-08-17,2.6612
2020-08-18,4.56499
2020-08-19,4.21699
2020-08-20,4.46264
2020-08-21,4.58546
2020-08-22,2.8045
2020-08-23,2.49744
2020-08-24,3.66427
2020-08-25,4.68781
2020-08-26,5.1177
2020-08-27,4.52405
2020-08-28,5.32241
2020-08-29,3.86898
2020-08-30,3.74616
2020-08-31,5.30194
2020-09-01,6.26407
2020-09-02,6.30501
2020-09-03,6.16171
2020-09-04,5.73183
2020-09-05,4.40122
2020-09-06,3.7871
2020-09-07,5.30194
2020-09-08,6.67349
2020-09-09,5.32241
2020-09-10,6.22313
2020-09-11,5.77277
2020-09-12,3.76663
2020-09-13,3.00921
2020-09-14,5.52712
2020-09-15,6.30501
2020-09-16,5.81371
2020-09-17,5.62947
2020-09-18,4.23746
2020-09-19,2.68167
2020-09-20,2.41555
2020-09-21,4.97441
2020-09-22,4.38075
2020-09-23,4.95394
2020-09-24,5.87512
2020-09-25,5.07676
2020-09-26,3.05015
2020-09-27,1.92425
2020-09-28,3.80757
2020-09-29,3.60286
2020-09-30,2.33367
2020-10-01,1.92425
2020-10-02,2.23132
2020-10-03,2.08802
2020-10-04,1.8219
2020-10-05,3.2958
2020-10-06,3.88945
2020-10-07,4.42169
2020-10-08,4.48311
2020-10-09,2.57932
2020-10-10,2.08802
2020-10-11,1.63766
2020-10-12,3.74616
2020-10-13,3.76663
2020-10-14,3.45957
2020-10-15,3.84851
2020-10-16,3.52098
2020-10-17,2.8045
2020-10-18,2.00614
2020-10-19,2.37461
2020-10-20,2.64073
2020-10-21,4.01228
2020-10-22,3.17297
2020-10-23,3.62333
2020-10-24,2.3132
2020-10-25,2.19037
2020-10-26,3.1525
2020-10-27,3.13203
2020-10-28,3.56192
2020-10-29,3.27533
2020-10-30,3.27533
2020-10-31,2.21084
2020-11-01,2.57932
2020-11-02,3.66427
2020-11-03,3.09109
2020-11-04,3.66427
2020-11-05,3.37768
2020-11-06,3.66427
2020-11-07,2.6612
2020-11-08,2.49744
2020-11-09,4.15557
2020-11-10,4.01228
2020-11-11,4.74923
2020-11-12,4.48311
2020-11-13,4.64687
2020-11-14,3.11156
2020-11-15,2.41555
2020-11-16,4.09416
2020-11-17,4.50358
2020-11-18,4.6264
2020-11-19,5.54759
2020-11-20,4.87205
2020-11-21,3.17297
2020-11-22,2.8045
2020-11-23,4.91299
2020-11-24,5.34288
2020-11-25,5.48618
2020-11-26,5.89559
2020-11-27,5.85465
2020-11-28,3.84851
2020-11-29,3.7871
2020-11-30,6.18219
2020-12-01,6.01842
2020-12-02,5.73183
2020-12-03,5.56806
2020-12-04,6.36642
2020-12-05,4.48311
2020-12-06,3.86898
