date,신세계백화점제휴카드
2020-03-20,22.06896
2020-03-21,6.20689
2020-03-22,13.7931
2020-03-24,7.5862
2020-03-25,4.82758
2020-03-26,5.51724
2020-03-27,6.89655
2020-03-29,4.82758
2020-03-30,8.27586
2020-03-31,10.34482
2020-04-01,4.82758
2020-04-02,13.10344
2020-04-03,11.03448
2020-04-04,11.72413
2020-04-05,22.06896
2020-04-06,11.72413
2020-04-07,16.55172
2020-04-08,11.72413
2020-04-09,4.13793
2020-04-10,10.34482
2020-04-11,9.65517
2020-04-12,12.41379
2020-04-13,11.03448
2020-04-14,4.13793
2020-04-15,8.96551
2020-04-16,8.96551
2020-04-17,9.65517
2020-04-18,13.7931
2020-04-19,12.41379
2020-04-20,5.51724
2020-04-21,5.51724
2020-04-22,3.44827
2020-04-24,4.82758
2020-04-25,7.5862
2020-04-26,14.48275
2020-04-27,17.24137
2020-04-28,6.20689
2020-04-29,8.96551
2020-04-30,13.10344
2020-05-01,7.5862
2020-05-02,10.34482
2020-05-03,15.86206
2020-05-04,7.5862
2020-05-05,11.03448
2020-05-06,8.96551
2020-05-07,6.20689
2020-05-08,6.89655
2020-05-09,11.72413
2020-05-10,8.27586
2020-05-11,5.51724
2020-05-12,8.27586
2020-05-13,3.44827
2020-05-15,6.89655
2020-05-17,6.89655
2020-05-18,6.89655
2020-05-19,11.03448
2020-05-20,12.41379
2020-05-21,9.65517
2020-05-22,8.27586
2020-05-24,4.82758
2020-05-25,4.13793
2020-05-26,10.34482
2020-05-27,6.20689
2020-05-28,4.13793
2020-05-29,6.20689
2020-05-30,8.27586
2020-05-31,3.44827
2020-06-01,3.44827
2020-06-02,6.89655
2020-06-03,3.44827
2020-06-04,5.51724
2020-06-06,8.27586
2020-06-07,9.65517
2020-06-08,8.27586
2020-06-09,6.89655
2020-06-10,12.41379
2020-06-11,8.96551
2020-06-12,11.72413
2020-06-13,13.7931
2020-06-14,7.5862
2020-06-15,11.72413
2020-06-16,11.03448
2020-06-17,6.20689
2020-06-18,4.82758
2020-06-19,6.20689
2020-06-20,10.34482
2020-06-21,8.96551
2020-06-22,17.93103
2020-06-23,6.89655
2020-06-24,7.5862
2020-06-25,10.34482
2020-06-26,8.96551
2020-06-27,7.5862
2020-06-28,11.03448
2020-06-29,13.10344
2020-06-30,11.03448
2020-07-01,6.20689
2020-07-02,5.51724
2020-07-03,15.17241
2020-07-04,4.13793
2020-07-05,4.13793
2020-07-06,6.20689
2020-07-07,5.51724
2020-07-08,9.65517
2020-07-09,10.34482
2020-07-10,9.65517
2020-07-11,6.20689
2020-07-12,13.7931
2020-07-13,11.03448
2020-07-14,4.82758
2020-07-15,8.96551
2020-07-16,5.51724
2020-07-17,8.27586
2020-07-18,9.65517
2020-07-19,6.20689
2020-07-20,5.51724
2020-07-21,4.13793
2020-07-22,9.65517
2020-07-23,4.82758
2020-07-24,6.89655
2020-07-25,4.13793
2020-07-26,15.17241
2020-07-27,9.65517
2020-07-28,3.44827
2020-07-30,4.82758
2020-07-31,3.44827
2020-08-01,9.65517
2020-08-02,11.72413
2020-08-03,8.27586
2020-08-05,3.44827
2020-08-06,7.5862
2020-08-07,8.27586
2020-08-09,8.27586
2020-08-10,16.55172
2020-08-12,6.89655
2020-08-13,4.82758
2020-08-14,4.82758
2020-08-15,3.44827
2020-08-16,10.34482
2020-08-17,10.34482
2020-08-18,7.5862
2020-08-19,8.96551
2020-08-21,4.82758
2020-08-22,3.44827
2020-08-23,5.51724
2020-08-24,11.72413
2020-08-25,8.27586
2020-08-26,12.41379
2020-08-27,3.44827
2020-08-28,6.89655
2020-08-29,8.96551
2020-08-30,4.82758
2020-09-01,4.82758
2020-09-02,4.82758
2020-09-03,4.82758
2020-09-04,6.89655
2020-09-06,7.5862
2020-09-07,13.7931
2020-09-08,14.48275
2020-09-09,9.65517
2020-09-10,9.65517
2020-09-11,4.82758
2020-09-12,6.89655
2020-09-13,10.34482
2020-09-14,17.93103
2020-09-15,6.89655
2020-09-16,11.03448
2020-09-17,7.5862
2020-09-18,8.96551
2020-09-19,6.20689
