date,신혼부부청약
2020-03-20,19.48608
2020-03-21,12.84796
2020-03-22,14.56102
2020-03-23,29.55032
2020-03-24,30.19271
2020-03-25,22.9122
2020-03-26,19.48608
2020-03-27,16.91648
2020-03-28,13.27623
2020-03-29,29.12205
2020-03-30,32.11991
2020-03-31,25.69593
2020-04-01,22.05567
2020-04-02,23.5546
2020-04-03,15.41755
2020-04-04,16.27408
2020-04-05,17.98715
2020-04-06,22.2698
2020-04-07,25.26766
2020-04-08,19.48608
2020-04-09,17.98715
2020-04-10,20.55674
2020-04-11,16.91648
2020-04-12,16.05995
2020-04-13,22.05567
2020-04-14,19.91434
2020-04-15,15.84582
2020-04-16,26.33832
2020-04-17,22.9122
2020-04-18,13.06209
2020-04-19,17.98715
2020-04-20,35.9743
2020-04-21,26.12419
2020-04-22,26.33832
2020-04-23,21.41327
2020-04-24,17.55888
2020-04-25,10.70663
2020-04-26,14.77516
2020-04-27,27.19486
2020-04-28,19.05781
2020-04-29,16.70235
2020-04-30,10.27837
2020-05-01,10.27837
2020-05-02,13.27623
2020-05-03,15.20342
2020-05-04,22.69807
2020-05-05,17.55888
2020-05-06,27.40899
2020-05-07,21.19914
2020-05-08,18.62955
2020-05-09,14.34689
2020-05-10,17.13062
2020-05-11,28.69379
2020-05-12,23.12633
2020-05-13,21.6274
2020-05-14,19.48608
2020-05-15,21.41327
2020-05-16,17.55888
2020-05-17,14.13276
2020-05-18,44.96788
2020-05-19,31.26338
2020-05-20,32.54817
2020-05-21,24.197
2020-05-22,18.20128
2020-05-23,13.70449
2020-05-24,26.33832
2020-05-25,29.97858
2020-05-26,25.91006
2020-05-27,24.8394
2020-05-28,22.69807
2020-05-29,14.77516
2020-05-30,14.98929
2020-05-31,19.27194
2020-06-01,26.98072
2020-06-02,23.98286
2020-06-03,27.83725
2020-06-04,26.55246
2020-06-05,19.48608
2020-06-06,14.34689
2020-06-07,19.05781
2020-06-08,31.90578
2020-06-09,30.83511
2020-06-10,30.40685
2020-06-11,22.48394
2020-06-12,22.2698
2020-06-13,15.41755
2020-06-14,18.84368
2020-06-15,24.8394
2020-06-16,30.62098
2020-06-17,25.05353
2020-06-18,22.48394
2020-06-19,23.34047
2020-06-20,13.91862
2020-06-21,17.13062
2020-06-22,26.98072
2020-06-23,19.91434
2020-06-24,19.91434
2020-06-25,19.70021
2020-06-26,15.41755
2020-06-27,11.56316
2020-06-28,19.91434
2020-06-29,32.54817
2020-06-30,24.62526
2020-07-01,19.91434
2020-07-02,20.34261
2020-07-03,24.8394
2020-07-04,16.27408
2020-07-05,29.97858
2020-07-06,39.40042
2020-07-07,33.61884
2020-07-08,26.33832
2020-07-09,31.26338
2020-07-10,39.40042
2020-07-11,27.40899
2020-07-12,22.48394
2020-07-13,40.68522
2020-07-14,34.47537
2020-07-15,30.19271
2020-07-16,26.55246
2020-07-17,22.9122
2020-07-18,18.41541
2020-07-19,18.84368
2020-07-20,33.40471
2020-07-21,32.54817
2020-07-22,25.91006
2020-07-23,27.83725
2020-07-24,19.70021
2020-07-25,18.41541
2020-07-26,14.34689
2020-07-27,26.33832
2020-07-28,38.97216
2020-07-29,35.76017
2020-07-30,27.83725
2020-07-31,20.77087
2020-08-01,17.98715
2020-08-02,19.48608
2020-08-03,27.40899
2020-08-04,39.40042
2020-08-05,36.6167
2020-08-06,26.98072
2020-08-07,25.26766
2020-08-08,17.55888
2020-08-09,23.76873
2020-08-10,36.40256
2020-08-11,42.61241
2020-08-12,31.26338
2020-08-13,38.97216
2020-08-14,26.12419
2020-08-15,16.91648
2020-08-16,21.41327
2020-08-17,25.69593
2020-08-18,31.90578
2020-08-19,29.76445
2020-08-20,26.33832
2020-08-21,17.13062
2020-08-22,12.4197
2020-08-23,20.77087
2020-08-24,28.47965
2020-08-25,23.12633
2020-08-26,30.40685
2020-08-27,21.84154
2020-08-28,17.98715
2020-08-29,12.20556
2020-08-30,13.49036
2020-08-31,23.76873
2020-09-01,20.98501
2020-09-02,20.12847
2020-09-03,19.27194
2020-09-04,14.34689
2020-09-05,13.27623
2020-09-06,15.20342
2020-09-07,18.41541
2020-09-08,35.3319
2020-09-09,41.32762
2020-09-10,27.19486
2020-09-11,20.98501
2020-09-12,17.34475
2020-09-13,11.56316
2020-09-14,28.26552
2020-09-15,27.19486
2020-09-16,25.69593
2020-09-17,16.27408
2020-09-18,18.62955
2020-09-19,17.98715
2020-09-20,17.98715
2020-09-21,19.70021
2020-09-22,17.98715
2020-09-23,15.84582
2020-09-24,20.34261
2020-09-25,13.49036
2020-09-26,15.20342
2020-09-27,14.56102
2020-09-28,22.69807
2020-09-29,28.47965
2020-09-30,19.48608
2020-10-01,14.56102
2020-10-02,15.84582
2020-10-03,18.41541
2020-10-04,25.69593
2020-10-05,28.47965
2020-10-06,29.33618
2020-10-07,24.62526
2020-10-08,29.97858
2020-10-09,13.27623
2020-10-10,13.49036
2020-10-11,20.98501
2020-10-12,30.62098
2020-10-13,24.8394
2020-10-14,98.50107
2020-10-15,46.68094
2020-10-16,29.12205
2020-10-17,19.91434
2020-10-18,30.40685
2020-10-19,43.46895
2020-10-20,27.83725
2020-10-21,40.47109
2020-10-22,32.54817
2020-10-23,25.26766
2020-10-24,19.05781
2020-10-25,19.91434
2020-10-26,36.6167
2020-10-27,35.9743
2020-10-28,31.26338
2020-10-29,26.98072
2020-10-30,19.70021
2020-10-31,17.77301
2020-11-01,26.12419
2020-11-02,37.68736
2020-11-03,39.40042
2020-11-04,31.47751
2020-11-05,29.12205
2020-11-06,22.48394
2020-11-07,17.55888
2020-11-08,25.05353
2020-11-09,30.62098
2020-11-10,35.3319
2020-11-11,30.19271
2020-11-12,23.5546
2020-11-13,23.5546
2020-11-14,24.62526
2020-11-15,25.48179
2020-11-16,34.47537
2020-11-17,33.19057
2020-11-18,32.33404
2020-11-19,33.19057
2020-11-20,32.54817
2020-11-21,18.84368
2020-11-22,24.41113
2020-11-23,31.26338
2020-11-24,33.19057
2020-11-25,30.40685
2020-11-26,29.97858
2020-11-27,20.55674
2020-11-28,16.70235
2020-11-29,26.55246
2020-11-30,35.9743
2020-12-01,30.19271
2020-12-02,33.19057
2020-12-03,23.98286
2020-12-04,20.34261
2020-12-05,18.41541
2020-12-06,26.12419
2020-12-07,38.11563
2020-12-08,28.47965
2020-12-09,31.04925
2020-12-10,24.8394
2020-12-11,22.69807
2020-12-12,20.77087
2020-12-13,23.5546
2020-12-14,42.18415
2020-12-15,31.47751
2020-12-16,37.04496
2020-12-17,32.76231
2020-12-18,30.19271
2020-12-19,19.91434
2020-12-20,25.69593
2020-12-21,32.33404
2020-12-22,27.62312
2020-12-23,25.48179
2020-12-24,23.76873
2020-12-25,13.91862
2020-12-26,22.9122
2020-12-27,29.55032
2020-12-28,46.89507
2020-12-29,41.97002
2020-12-30,32.33404
2020-12-31,23.12633
2021-01-01,22.05567
2021-01-02,26.12419
2021-01-03,33.19057
2021-01-04,54.81798
2021-01-05,46.25267
2021-01-06,40.04282
2021-01-07,39.61456
2021-01-08,29.55032
2021-01-09,25.69593
2021-01-10,40.25695
2021-01-11,54.60385
2021-01-12,45.18201
2021-01-13,43.46895
2021-01-14,41.54175
2021-01-15,32.76231
2021-01-16,31.90578
2021-01-17,34.6895
2021-01-18,54.17558
2021-01-19,49.0364
2021-01-20,51.82012
2021-01-21,49.46466
2021-01-22,43.68308
2021-01-23,31.47751
2021-01-24,40.89935
2021-01-25,48.17987
2021-01-26,43.89721
2021-01-27,39.18629
2021-01-28,50.10706
2021-01-29,32.33404
2021-01-30,18.62955
2021-01-31,23.98286
2021-02-01,33.83297
2021-02-02,30.62098
2021-02-03,26.76659
2021-02-04,31.26338
2021-02-05,25.69593
2021-02-06,18.84368
2021-02-07,23.12633
2021-02-08,27.62312
2021-02-09,24.8394
2021-02-10,19.70021
2021-02-11,15.20342
2021-02-12,21.84154
