date,실비보험
2020-03-20,12.35875
2020-03-21,8.01212
2020-03-22,7.19319
2020-03-23,14.10685
2020-03-24,14.27221
2020-03-25,15.39036
2020-03-26,14.14228
2020-03-27,12.82333
2020-03-28,8.11449
2020-03-29,6.35851
2020-03-30,14.10685
2020-03-31,14.33914
2020-04-01,10.7957
2020-04-02,11.20516
2020-04-03,10.51222
2020-04-04,6.55143
2020-04-05,6.11047
2020-04-06,11.7288
2020-04-07,12.22489
2020-04-08,12.10677
2020-04-09,11.64219
2020-04-10,10.81144
2020-04-11,6.7601
2020-04-12,6.26008
2020-04-13,12.42568
2020-04-14,11.71699
2020-04-15,6.96484
2020-04-16,11.25634
2020-04-17,10.46104
2020-04-18,6.98058
2020-04-19,6.53962
2020-04-20,12.6501
2020-04-21,12.40993
2020-04-22,12.63435
2020-04-23,12.65797
2020-04-24,11.26816
2020-04-25,7.22863
2020-04-26,5.85062
2020-04-27,13.3391
2020-04-28,14.03204
2020-04-29,11.85479
2020-04-30,6.48057
2020-05-01,7.35068
2020-05-02,5.45297
2020-05-03,6.11441
2020-05-04,11.67762
2020-05-05,7.5751
2020-05-06,12.28001
2020-05-07,12.81546
2020-05-08,13.48872
2020-05-09,7.31918
2020-05-10,6.34276
2020-05-11,12.98082
2020-05-12,13.53202
2020-05-13,12.5438
2020-05-14,12.56348
2020-05-15,12.20126
2020-05-16,7.8822
2020-05-17,6.24434
2020-05-18,14.85097
2020-05-19,14.20528
2020-05-20,12.9257
2020-05-21,13.19343
2020-05-22,12.09496
2020-05-23,7.00814
2020-05-24,6.4097
2020-05-25,15.29587
2020-05-26,14.28796
2020-05-27,13.49659
2020-05-28,11.38233
2020-05-29,10.65396
2020-05-30,8.0948
2020-05-31,6.2719
2020-06-01,13.22886
2020-06-02,12.24063
2020-06-03,12.7879
2020-06-04,11.95716
2020-06-05,11.24453
2020-06-06,6.72467
2020-06-07,6.26402
2020-06-08,12.41781
2020-06-09,12.32331
2020-06-10,11.74061
2020-06-11,11.69731
2020-06-12,10.61852
2020-06-13,6.81916
2020-06-14,5.83487
2020-06-15,13.13831
2020-06-16,12.08315
2020-06-17,11.21697
2020-06-18,11.6225
2020-06-19,10.34292
2020-06-20,6.01598
2020-06-21,5.6892
2020-06-22,12.3745
2020-06-23,11.07917
2020-06-24,10.96893
2020-06-25,11.16185
2020-06-26,10.03189
2020-06-27,6.17347
2020-06-28,5.60651
2020-06-29,12.73672
2020-06-30,12.08315
2020-07-01,10.92956
2020-07-02,11.00437
2020-07-03,10.01614
2020-07-04,6.2404
2020-07-05,5.43722
2020-07-06,12.27607
2020-07-07,12.40206
2020-07-08,12.12252
2020-07-09,10.95318
2020-07-10,10.4886
2020-07-11,5.98055
2020-07-12,5.67345
2020-07-13,12.29969
2020-07-14,12.76821
2020-07-15,11.63825
2020-07-16,10.91381
2020-07-17,10.02401
2020-07-18,6.50419
2020-07-19,7.30737
2020-07-20,12.81152
2020-07-21,12.13827
2020-07-22,12.29182
2020-07-23,12.0044
2020-07-24,10.80751
2020-07-25,6.85853
2020-07-26,5.90574
2020-07-27,13.5399
2020-07-28,12.48474
2020-07-29,12.11071
2020-07-30,11.00043
2020-07-31,9.74054
2020-08-01,6.56325
2020-08-02,5.52383
2020-08-03,10.98468
2020-08-04,11.74061
2020-08-05,11.87054
2020-08-06,11.19729
2020-08-07,10.4886
2020-08-08,6.77979
2020-08-09,5.81912
2020-08-10,13.75644
2020-08-11,13.14618
2020-08-12,12.29575
2020-08-13,11.44139
2020-08-14,10.36261
2020-08-15,5.52777
2020-08-16,4.97657
2020-08-17,8.27985
2020-08-18,11.64219
2020-08-19,11.90991
2020-08-20,11.83117
2020-08-21,11.64219
2020-08-22,7.17744
2020-08-23,6.07897
2020-08-24,14.03598
2020-08-25,13.68951
2020-08-26,12.50836
2020-08-27,11.59888
2020-08-28,10.7642
2020-08-29,7.05933
2020-08-30,6.33095
2020-08-31,12.53198
2020-09-01,12.17764
2020-09-02,11.62644
2020-09-03,11.02011
2020-09-04,10.03976
2020-09-05,6.86641
2020-09-06,6.63805
2020-09-07,12.53592
2020-09-08,12.53198
2020-09-09,12.76821
2020-09-10,11.96503
2020-09-11,11.3784
2020-09-12,7.01996
2020-09-13,5.72069
2020-09-14,14.10685
2020-09-15,14.7053
2020-09-16,13.08712
2020-09-17,11.17366
2020-09-18,10.59884
2020-09-19,7.78377
2020-09-20,5.60258
2020-09-21,13.43753
2020-09-22,13.90212
2020-09-23,13.07925
2020-09-24,11.25634
2020-09-25,10.80751
2020-09-26,6.95696
2020-09-27,5.93724
2020-09-28,11.46895
2020-09-29,9.43344
2020-09-30,4.66947
2020-10-01,5.19705
2020-10-02,5.3191
2020-10-03,5.3506
2020-10-04,6.70892
2020-10-05,16.5597
2020-10-06,14.53206
2020-10-07,13.1698
2020-10-08,11.61069
2020-10-09,6.516
2020-10-10,6.53962
2020-10-11,5.85456
2020-10-12,15.37855
2020-10-13,16.41796
2020-10-14,16.16205
