date,실비보험추천
2020-03-20,27.3942
2020-03-21,16.9265
2020-03-22,17.59465
2020-03-23,35.1893
2020-03-24,27.61692
2020-03-25,36.74832
2020-03-26,32.29398
2020-03-27,30.95768
2020-03-28,14.69933
2020-03-29,13.58574
2020-03-30,33.63028
2020-03-31,27.61692
2020-04-01,24.7216
2020-04-02,22.49443
2020-04-03,23.3853
2020-04-04,12.47216
2020-04-05,11.35857
2020-04-06,27.61692
2020-04-07,34.52115
2020-04-08,31.40311
2020-04-09,21.15812
2020-04-10,24.49888
2020-04-11,13.58574
2020-04-12,14.47661
2020-04-13,25.61247
2020-04-14,30.28953
2020-04-15,16.48106
2020-04-16,26.72605
2020-04-17,24.27616
2020-04-18,9.79955
2020-04-19,9.1314
2020-04-20,24.27616
2020-04-21,30.95768
2020-04-22,32.29398
2020-04-23,27.17149
2020-04-24,24.7216
2020-04-25,15.14476
2020-04-26,13.14031
2020-04-27,21.15812
2020-04-28,30.06681
2020-04-29,25.83518
2020-04-30,15.5902
2020-05-01,13.80846
2020-05-02,9.35412
2020-05-03,16.70378
2020-05-04,25.38975
2020-05-05,16.70378
2020-05-06,30.73496
2020-05-07,24.94432
2020-05-08,34.29844
2020-05-09,13.58574
2020-05-10,16.25835
2020-05-11,26.50334
2020-05-12,27.3942
2020-05-13,27.61692
2020-05-14,27.17149
2020-05-15,28.73051
2020-05-16,13.14031
2020-05-17,15.5902
2020-05-18,25.61247
2020-05-19,32.07126
2020-05-20,28.28507
2020-05-21,32.73942
2020-05-22,26.0579
2020-05-23,12.91759
2020-05-24,13.80846
2020-05-25,29.17594
2020-05-26,30.51224
2020-05-27,24.27616
2020-05-28,28.06236
2020-05-29,23.83073
2020-05-30,11.35857
2020-05-31,18.04008
2020-06-01,34.07572
2020-06-02,25.38975
2020-06-03,27.17149
2020-06-04,28.50779
2020-06-05,24.27616
2020-06-06,13.58574
2020-06-07,11.13585
2020-06-08,18.48552
2020-06-09,24.7216
2020-06-10,21.82628
2020-06-11,22.71714
2020-06-12,19.37639
2020-06-13,11.13585
2020-06-14,14.69933
2020-06-15,27.17149
2020-06-16,27.83964
2020-06-17,26.94877
2020-06-18,26.28062
2020-06-19,19.37639
2020-06-20,15.14476
2020-06-21,12.02672
2020-06-22,27.17149
2020-06-23,21.38084
2020-06-24,24.94432
2020-06-25,30.06681
2020-06-26,27.17149
2020-06-27,12.91759
2020-06-28,10.91314
2020-06-29,23.16258
2020-06-30,24.49888
2020-07-01,23.3853
2020-07-02,26.94877
2020-07-03,20.93541
2020-07-04,13.14031
2020-07-05,12.24944
2020-07-06,24.94432
2020-07-07,23.83073
2020-07-08,25.38975
2020-07-09,25.16703
2020-07-10,19.5991
2020-07-11,12.69487
2020-07-12,11.804
2020-07-13,24.49888
2020-07-14,24.27616
2020-07-15,29.84409
2020-07-16,23.16258
2020-07-17,21.38084
2020-07-18,12.47216
2020-07-19,13.36302
2020-07-20,29.39866
2020-07-21,29.39866
2020-07-22,30.95768
2020-07-23,22.27171
2020-07-24,24.94432
2020-07-25,13.58574
2020-07-26,8.90868
2020-07-27,24.05345
2020-07-28,31.62583
2020-07-29,26.72605
2020-07-30,25.83518
2020-07-31,20.48997
2020-08-01,10.69042
2020-08-02,9.1314
2020-08-03,24.05345
2020-08-04,21.15812
2020-08-05,22.49443
2020-08-06,22.27171
2020-08-07,18.93095
2020-08-08,11.58129
2020-08-09,13.14031
2020-08-10,24.49888
2020-08-11,27.17149
2020-08-12,30.06681
2020-08-13,29.39866
2020-08-14,23.83073
2020-08-15,11.13585
2020-08-16,9.57683
2020-08-17,14.47661
2020-08-18,28.28507
2020-08-19,23.60801
2020-08-20,31.84855
2020-08-21,28.06236
2020-08-22,11.804
2020-08-23,13.58574
2020-08-24,29.17594
2020-08-25,31.84855
2020-08-26,24.05345
2020-08-27,24.94432
2020-08-28,24.27616
2020-08-29,10.69042
2020-08-30,14.92204
2020-08-31,19.37639
2020-09-01,27.61692
2020-09-02,26.0579
2020-09-03,22.71714
2020-09-04,21.15812
2020-09-05,14.25389
2020-09-06,17.59465
2020-09-07,23.16258
2020-09-08,28.28507
2020-09-09,26.0579
2020-09-10,26.28062
2020-09-11,26.94877
2020-09-12,13.80846
2020-09-13,11.13585
2020-09-14,30.51224
2020-09-15,28.50779
2020-09-16,24.94432
2020-09-17,27.3942
2020-09-18,22.27171
2020-09-19,11.35857
2020-09-20,10.02227
2020-09-21,26.72605
2020-09-22,33.853
2020-09-23,29.62138
2020-09-24,30.95768
2020-09-25,25.38975
2020-09-26,12.47216
2020-09-27,9.35412
2020-09-28,21.82628
2020-09-29,17.81737
2020-09-30,10.91314
2020-10-01,10.69042
2020-10-02,11.35857
2020-10-03,8.68596
2020-10-04,12.69487
2020-10-05,28.73051
2020-10-06,30.51224
2020-10-07,28.06236
2020-10-08,25.38975
2020-10-09,15.36748
2020-10-10,9.79955
2020-10-11,10.69042
2020-10-12,29.84409
2020-10-13,31.84855
2020-10-14,31.84855
2020-10-15,26.94877
2020-10-16,26.28062
2020-10-17,10.24498
2020-10-18,9.57683
2020-10-19,28.28507
2020-10-20,34.96659
2020-10-21,29.17594
2020-10-22,26.0579
2020-10-23,21.60356
2020-10-24,10.24498
2020-10-25,11.58129
2020-10-26,20.04454
2020-10-27,23.16258
2020-10-28,27.83964
2020-10-29,22.04899
2020-10-30,23.16258
2020-10-31,9.1314
2020-11-01,10.02227
2020-11-02,20.04454
2020-11-03,21.15812
2020-11-04,23.16258
2020-11-05,27.61692
2020-11-06,20.93541
2020-11-07,9.79955
2020-11-08,11.804
2020-11-09,21.60356
2020-11-10,32.5167
2020-11-11,30.95768
2020-11-12,27.61692
2020-11-13,22.49443
2020-11-14,8.24053
2020-11-15,10.69042
2020-11-16,18.2628
2020-11-17,20.48997
2020-11-18,31.40311
2020-11-19,21.60356
2020-11-20,20.26726
2020-11-21,10.4677
2020-11-22,9.79955
2020-11-23,26.0579
2020-11-24,22.49443
2020-11-25,22.04899
2020-11-26,22.49443
2020-11-27,23.3853
2020-11-28,9.79955
2020-11-29,12.69487
2020-11-30,22.27171
