date,실손보험
2020-03-20,5.04666
2020-03-21,3.06823
2020-03-22,2.9844
2020-03-23,5.6726
2020-03-24,6.51092
2020-03-25,6.49415
2020-03-26,6.69535
2020-03-27,5.95763
2020-03-28,3.8842
2020-03-29,3.47063
2020-03-30,6.67858
2020-03-31,6.47739
2020-04-01,5.16961
2020-04-02,5.08578
2020-04-03,4.7281
2020-04-04,2.87822
2020-04-05,2.57083
2020-04-06,5.19197
2020-04-07,5.46023
2020-04-08,5.51612
2020-04-09,5.33169
2020-04-10,4.49896
2020-04-11,2.73291
2020-04-12,2.69937
2020-04-13,5.48259
2020-04-14,5.01313
2020-04-15,3.02352
2020-04-16,4.82311
2020-04-17,5.15844
2020-04-18,2.68261
2020-04-19,2.76085
2020-04-20,6.11412
2020-04-21,5.86821
2020-04-22,6.06382
2020-04-23,5.65584
2020-04-24,5.05225
2020-04-25,2.90616
2020-04-26,2.87263
2020-04-27,5.75644
2020-04-28,5.76202
2020-04-29,5.25345
2020-04-30,2.98999
2020-05-01,3.00676
2020-05-02,2.49818
2020-05-03,2.44788
2020-05-04,5.14726
2020-05-05,2.95087
2020-05-06,5.76761
2020-05-07,5.38199
2020-05-08,5.05784
2020-05-09,2.71614
2020-05-10,2.34728
2020-05-11,5.53288
2020-05-12,5.67819
2020-05-13,5.18079
2020-05-14,5.91851
2020-05-15,6.04705
2020-05-16,3.56564
2020-05-17,3.38679
2020-05-18,6.44944
2020-05-19,6.17559
2020-05-20,6.18677
2020-05-21,6.09176
2020-05-22,5.96881
2020-05-23,3.21354
2020-05-24,2.64349
2020-05-25,7.70692
2020-05-26,7.86899
2020-05-27,7.08657
2020-05-28,6.00793
2020-05-29,4.76163
2020-05-30,3.61035
2020-05-31,2.76085
2020-06-01,6.20354
2020-06-02,5.18638
2020-06-03,5.39317
2020-06-04,5.50494
2020-06-05,5.54406
2020-06-06,3.27502
2020-06-07,2.71614
2020-06-08,5.63907
2020-06-09,5.83468
2020-06-10,6.42709
2020-06-11,6.38797
2020-06-12,4.96842
2020-06-13,2.97881
2020-06-14,3.0347
2020-06-15,6.35444
2020-06-16,5.71731
2020-06-17,5.33169
2020-06-18,5.25903
2020-06-19,4.71133
2020-06-20,2.87263
2020-06-21,2.59878
2020-06-22,6.30973
2020-06-23,5.87939
2020-06-24,5.89057
2020-06-25,5.72849
2020-06-26,4.95724
2020-06-27,3.14648
2020-06-28,2.60437
2020-06-29,6.05264
2020-06-30,5.80115
2020-07-01,5.40993
2020-07-02,5.24786
2020-07-03,4.70575
2020-07-04,2.86145
2020-07-05,2.47023
2020-07-06,5.62231
2020-07-07,5.58318
2020-07-08,5.10814
2020-07-09,6.09735
2020-07-10,4.66662
2020-07-11,3.16324
2020-07-12,2.82233
2020-07-13,5.56083
2020-07-14,6.18677
2020-07-15,5.58318
2020-07-16,4.89018
2020-07-17,4.87341
2020-07-18,2.72173
2020-07-19,3.30296
2020-07-20,6.4215
2020-07-21,5.81791
2020-07-22,6.20354
2020-07-23,4.90135
2020-07-24,4.87341
2020-07-25,3.10736
2020-07-26,3.99038
2020-07-27,7.08098
2020-07-28,6.23707
2020-07-29,5.86262
2020-07-30,6.65623
2020-07-31,4.81193
2020-08-01,3.06265
2020-08-02,2.37523
2020-08-03,4.80076
2020-08-04,5.67819
2020-08-05,5.70055
2020-08-06,5.99116
2020-08-07,5.78997
2020-08-08,2.87822
2020-08-09,2.55407
2020-08-10,6.673
2020-08-11,6.32649
2020-08-12,6.00234
2020-08-13,5.45464
2020-08-14,5.54406
2020-08-15,2.39199
2020-08-16,2.20756
2020-08-17,3.61593
2020-08-18,5.5776
2020-08-19,5.28139
2020-08-20,6.14765
2020-08-21,5.94645
2020-08-22,3.88978
2020-08-23,2.91734
2020-08-24,6.16442
2020-08-25,7.67339
2020-08-26,6.14765
2020-08-27,5.75085
2020-08-28,5.54965
2020-08-29,3.14089
2020-08-30,2.69937
2020-08-31,6.075
2020-09-01,6.21472
2020-09-02,5.33169
2020-09-03,5.14726
2020-09-04,5.10255
2020-09-05,2.84468
2020-09-06,5.09696
2020-09-07,5.95204
2020-09-08,6.10853
2020-09-09,6.39915
2020-09-10,5.6726
2020-09-11,5.88498
2020-09-12,2.94528
2020-09-13,2.79438
2020-09-14,10.85899
2020-09-15,11.47376
2020-09-16,7.34924
2020-09-17,5.89616
2020-09-18,6.71771
2020-09-19,4.37042
2020-09-20,2.71614
2020-09-21,7.13128
2020-09-22,7.98636
2020-09-23,7.14245
2020-09-24,6.64505
2020-09-25,5.68937
2020-09-26,3.32532
2020-09-27,3.18001
2020-09-28,5.84027
2020-09-29,5.40993
2020-09-30,2.34728
2020-10-01,2.30816
2020-10-02,2.60995
2020-10-03,2.57083
2020-10-04,7.00832
2020-10-05,13.30129
2020-10-06,8.33286
2020-10-07,7.85782
2020-10-08,7.37718
2020-10-09,3.42033
2020-10-10,3.26384
2020-10-11,3.21354
2020-10-12,15.3356
2020-10-13,14.8885
2020-10-14,9.65181
2020-10-15,8.52847
2020-10-16,7.07539
2020-10-17,4.24747
2020-10-18,3.02352
2020-10-19,6.51651
2020-10-20,7.10333
2020-10-21,6.9189
2020-10-22,6.14206
2020-10-23,5.85703
2020-10-24,2.84468
2020-10-25,3.20795
2020-10-26,6.93567
2020-10-27,14.66495
2020-10-28,17.2805
2020-10-29,9.69652
2020-10-30,7.00832
2020-10-31,3.3365
2020-11-01,6.98038
2020-11-02,14.86614
2020-11-03,8.49494
2020-11-04,6.77918
2020-11-05,6.9189
2020-11-06,5.88498
2020-11-07,3.44268
2020-11-08,5.78438
2020-11-09,14.82143
2020-11-10,9.99832
2020-11-11,8.2658
2020-11-12,9.07617
2020-11-13,7.13128
2020-11-14,6.44944
2020-11-15,4.40395
2020-11-16,8.80791
2020-11-17,7.83546
2020-11-18,7.85782
2020-11-19,6.8686
2020-11-20,6.34885
2020-11-21,3.94567
2020-11-22,3.74448
2020-11-23,6.71771
2020-11-24,6.89655
2020-11-25,11.1049
2020-11-26,8.75202
2020-11-27,8.80232
2020-11-28,4.2307
2020-11-29,3.7333
2020-11-30,7.1704
2020-12-01,7.72369
2020-12-02,7.74604
2020-12-03,8.58436
2020-12-04,7.13128
2020-12-05,4.1804
2020-12-06,6.24825
2020-12-07,8.6626
2020-12-08,9.25501
2020-12-09,40.52981
2020-12-10,40.29508
2020-12-11,17.47051
2020-12-12,7.18716
2020-12-13,11.98233
2020-12-14,16.43659
2020-12-15,15.66534
2020-12-16,12.07175
2020-12-17,11.51288
2020-12-18,9.89213
2020-12-19,5.99116
2020-12-20,5.7229
2020-12-21,11.27256
2020-12-22,12.96037
2020-12-23,18.8733
2020-12-24,14.98351
2020-12-25,6.38797
2020-12-26,5.96322
2020-12-27,8.10931
2020-12-28,14.46934
2020-12-29,13.41865
2020-12-30,13.84899
2020-12-31,10.62985
2021-01-01,4.33689
2021-01-02,4.96283
2021-01-03,4.95724
2021-01-04,8.62348
2021-01-05,9.01469
2021-01-06,7.53926
2021-01-07,8.52288
2021-01-08,7.6678
2021-01-09,4.07421
2021-01-10,3.92891
2021-01-11,8.3161
2021-01-12,8.44464
2021-01-13,8.84703
2021-01-14,9.04823
2021-01-15,9.758
2021-01-16,5.06902
2021-01-17,4.61074
2021-01-18,12.26736
2021-01-19,14.02783
2021-01-20,11.51847
2021-01-21,10.81428
2021-01-22,9.84183
2021-01-23,5.39875
2021-01-24,5.14726
2021-01-25,10.38394
2021-01-26,12.16118
2021-01-27,10.2554
2021-01-28,10.10451
2021-01-29,8.19873
2021-01-30,4.83429
2021-01-31,4.66662
2021-02-01,8.75761
2021-02-02,9.81948
2021-02-03,9.66858
2021-02-04,8.69054
2021-02-05,7.94165
2021-02-06,4.37601
2021-02-07,4.36483
2021-02-08,9.31649
2021-02-09,7.72927
2021-02-10,6.87419
2021-02-11,3.27502
2021-02-12,3.81154
2021-02-13,3.53769
2021-02-14,3.96244
2021-02-15,9.72447
2021-02-16,9.70211
2021-02-17,8.65701
2021-02-18,9.42267
2021-02-19,26.63052
2021-02-20,13.44659
2021-02-21,6.53886
2021-02-22,11.4011
2021-02-23,30.90035
2021-02-24,26.8876
2021-02-25,26.27284
2021-02-26,20.22019
2021-02-27,8.80791
2021-02-28,12.01028
2021-03-01,18.69446
2021-03-02,18.28648
2021-03-03,14.71525
2021-03-04,12.74241
2021-03-05,10.80869
2021-03-06,6.71212
2021-03-07,10.61867
2021-03-08,17.48169
2021-03-09,13.3963
2021-03-10,11.52405
2021-03-11,15.00586
2021-03-12,11.04901
2021-03-13,5.35404
2021-03-14,5.10814
2021-03-15,13.83222
2021-03-16,14.31285
2021-03-17,12.57474
2021-03-18,11.06019
2021-03-19,10.04303
2021-03-20,6.24266
2021-03-21,4.98518
2021-03-22,10.36159
2021-03-23,12.28413
2021-03-24,10.93723
2021-03-25,10.83664
2021-03-26,8.55082
2021-03-27,4.93489
2021-03-28,5.54406
2021-03-29,9.8083
2021-03-30,10.07097
2021-03-31,9.74682
2021-04-01,7.28217
2021-04-02,7.37718
2021-04-03,4.62191
2021-04-04,3.07382
2021-04-05,7.93047
2021-04-06,8.13726
2021-04-07,7.31012
2021-04-08,7.70692
2021-04-09,6.78477
2021-04-10,3.34767
2021-04-11,3.10177
2021-04-12,7.99195
2021-04-13,8.65701
2021-04-14,9.01469
2021-04-15,7.81311
2021-04-16,7.18716
2021-04-17,4.37042
2021-04-18,4.19717
2021-04-19,8.55082
2021-04-20,8.39434
2021-04-21,7.56161
2021-04-22,7.39954
2021-04-23,7.49455
2021-04-24,3.8339
2021-04-25,3.24149
2021-04-26,7.97518
2021-04-27,9.43944
2021-04-28,8.69054
2021-04-29,7.57279
2021-04-30,7.13128
2021-05-01,4.10216
2021-05-02,3.07382
2021-05-03,7.04744
2021-05-04,6.89655
2021-05-05,7.13686
2021-05-06,12.35678
2021-05-07,9.0594
2021-05-08,5.05225
2021-05-09,3.8339
2021-05-10,9.19912
2021-05-11,9.24942
2021-05-12,8.87497
2021-05-13,8.34963
2021-05-14,6.65623
2021-05-15,4.06863
2021-05-16,4.64427
2021-05-17,8.93086
2021-05-18,8.50611
2021-05-19,4.18599
2021-05-20,7.86341
2021-05-21,7.62868
2021-05-22,4.09098
2021-05-23,4.38719
2021-05-24,10.12127
2021-05-25,9.99273
2021-05-26,11.01548
2021-05-27,10.81987
2021-05-28,8.64025
2021-05-29,4.60515
2021-05-30,8.9141
2021-05-31,16.11244
2021-06-01,10.8534
2021-06-02,12.23383
2021-06-03,11.39551
2021-06-04,9.53445
2021-06-05,5.07461
2021-06-06,5.04666
2021-06-07,12.48532
2021-06-08,13.36835
2021-06-09,13.70368
2021-06-10,12.96596
2021-06-11,13.72044
2021-06-12,6.80154
2021-06-13,6.91331
2021-06-14,16.88369
2021-06-15,16.5819
2021-06-16,16.05096
2021-06-17,15.27412
2021-06-18,12.80947
