date,실시간해외선물
2020-03-20,77.98165
2020-03-21,33.63914
2020-03-22,30.27522
2020-03-23,100.0
2020-03-24,77.06422
2020-03-25,87.15596
2020-03-26,71.86544
2020-03-27,44.64831
2020-03-28,21.10091
2020-03-29,11.31498
2020-03-30,48.01223
2020-03-31,29.6636
2020-04-01,33.33333
2020-04-02,39.44954
2020-04-03,29.05198
2020-04-04,14.06727
2020-04-05,9.48012
2020-04-06,33.63914
2020-04-07,34.86238
2020-04-08,23.85321
2020-04-09,29.05198
2020-04-10,29.05198
2020-04-11,7.64525
2020-04-12,5.19877
2020-04-13,28.44036
2020-04-14,18.96024
2020-04-15,12.84403
2020-04-16,14.9847
2020-04-17,25.07645
2020-04-18,9.17431
2020-04-19,7.64525
2020-04-20,23.5474
2020-04-21,32.11009
2020-04-22,28.13455
2020-04-23,20.48929
2020-04-24,10.70336
2020-04-25,3.97553
2020-04-26,4.28134
2020-04-27,13.45565
2020-04-28,17.12538
2020-04-29,14.9847
2020-04-30,10.70336
2020-05-01,13.45565
2020-05-02,6.72782
2020-05-03,5.81039
2020-05-04,14.67889
2020-05-05,13.76146
2020-05-06,14.67889
2020-05-07,12.84403
2020-05-08,12.23241
2020-05-09,4.28134
2020-05-10,8.56269
2020-05-11,21.10091
2020-05-12,14.06727
2020-05-13,15.29051
2020-05-14,11.62079
2020-05-15,10.39755
2020-05-16,3.66972
2020-05-17,3.36391
2020-05-18,15.90214
2020-05-19,12.84403
2020-05-20,12.84403
2020-05-21,9.48012
2020-05-22,7.95107
2020-05-23,4.28134
2020-05-24,1.83486
2020-05-25,11.31498
2020-05-26,12.23241
2020-05-27,7.33944
2020-05-28,11.62079
2020-05-29,10.09174
2020-05-30,4.28134
2020-05-31,2.44648
2020-06-01,13.76146
2020-06-02,19.57186
2020-06-03,11.62079
2020-06-04,11.62079
2020-06-05,10.70336
2020-06-06,3.36391
2020-06-07,3.36391
2020-06-08,9.17431
2020-06-09,10.09174
2020-06-10,9.17431
2020-06-11,14.37308
2020-06-12,18.65443
2020-06-13,3.97553
2020-06-14,4.58715
2020-06-15,27.52293
2020-06-16,20.7951
2020-06-17,17.43119
2020-06-18,14.06727
2020-06-19,8.56269
2020-06-20,5.81039
2020-06-21,6.72782
2020-06-22,16.51376
2020-06-23,8.8685
2020-06-24,13.14984
2020-06-25,16.81957
2020-06-26,10.09174
2020-06-27,3.0581
2020-06-28,3.97553
2020-06-29,18.34862
2020-06-30,15.29051
2020-07-01,8.56269
2020-07-02,11.9266
2020-07-03,7.95107
2020-07-04,5.19877
2020-07-05,1.83486
2020-07-06,7.33944
2020-07-07,7.95107
2020-07-08,11.00917
2020-07-09,7.03363
2020-07-10,9.17431
2020-07-11,5.81039
2020-07-12,5.50458
2020-07-13,8.56269
2020-07-14,15.59633
2020-07-15,13.45565
2020-07-16,14.67889
2020-07-17,14.06727
2020-07-18,7.03363
2020-07-20,9.78593
2020-07-21,10.09174
2020-07-22,10.39755
2020-07-23,7.95107
2020-07-24,11.00917
2020-07-25,4.28134
2020-07-26,1.52905
2020-07-27,14.06727
2020-07-28,8.8685
2020-07-29,9.78593
2020-07-30,10.70336
2020-07-31,11.00917
2020-08-01,6.42201
2020-08-02,1.52905
2020-08-03,12.84403
2020-08-04,14.37308
2020-08-05,7.03363
2020-08-06,10.39755
2020-08-07,13.14984
2020-08-08,7.03363
2020-08-09,4.28134
2020-08-10,12.53822
2020-08-11,14.9847
2020-08-12,15.90214
2020-08-13,11.31498
2020-08-14,8.56269
2020-08-15,3.66972
2020-08-16,3.66972
2020-08-17,11.31498
2020-08-18,9.17431
2020-08-19,7.03363
2020-08-20,8.8685
2020-08-21,13.45565
2020-08-22,4.58715
2020-08-23,3.66972
2020-08-24,12.53822
2020-08-25,12.53822
2020-08-26,8.56269
2020-08-27,7.03363
2020-08-28,11.31498
2020-08-29,6.42201
2020-08-30,4.58715
2020-08-31,8.8685
2020-09-01,8.56269
2020-09-02,7.95107
2020-09-03,11.31498
2020-09-04,18.65443
2020-09-05,12.53822
2020-09-07,10.39755
2020-09-08,19.26605
2020-09-09,18.34862
2020-09-10,24.46483
2020-09-11,17.12538
2020-09-12,9.78593
2020-09-13,5.81039
2020-09-14,11.31498
2020-09-15,9.78593
2020-09-16,12.84403
2020-09-17,21.71253
2020-09-18,14.37308
2020-09-19,10.09174
2020-09-20,2.75229
2020-09-21,26.29969
2020-09-22,23.24159
2020-09-23,14.9847
2020-09-24,29.96941
2020-09-25,14.37308
2020-09-26,4.89296
2020-09-27,4.28134
2020-09-28,11.31498
2020-09-29,9.48012
2020-09-30,6.42201
2020-10-01,2.75229
2020-10-02,20.18348
2020-10-03,3.36391
2020-10-04,5.19877
2020-10-05,10.09174
2020-10-06,7.64525
2020-10-07,8.56269
2020-10-08,7.64525
2020-10-09,7.33944
2020-10-10,3.36391
2020-10-11,3.36391
2020-10-12,10.70336
2020-10-13,7.64525
2020-10-14,7.33944
2020-10-15,11.62079
2020-10-16,9.48012
2020-10-17,5.50458
2020-10-18,2.44648
2020-10-19,6.42201
2020-10-20,14.37308
2020-10-21,13.45565
2020-10-22,7.33944
2020-10-23,7.03363
2020-10-24,3.66972
2020-10-25,2.14067
2020-10-26,9.48012
2020-10-27,11.62079
2020-10-28,15.29051
2020-10-29,13.76146
2020-10-30,11.31498
2020-10-31,8.56269
2020-11-01,4.28134
2020-11-02,12.23241
2020-11-03,11.31498
2020-11-04,18.96024
2020-11-05,16.81957
2020-11-06,17.12538
2020-11-07,4.28134
2020-11-08,7.03363
2020-11-09,26.29969
2020-11-10,20.7951
2020-11-11,9.78593
2020-11-12,11.31498
2020-11-13,9.78593
2020-11-14,4.28134
2020-11-15,3.0581
2020-11-16,9.48012
2020-11-17,15.59633
2020-11-18,11.9266
2020-11-19,9.78593
2020-11-20,8.56269
2020-11-21,3.0581
2020-11-22,5.50458
2020-11-23,8.8685
2020-11-24,9.78593
2020-11-25,9.48012
2020-11-26,7.95107
2020-11-27,9.17431
2020-11-28,2.44648
2020-11-29,3.66972
2020-11-30,11.00917
2020-12-01,10.09174
2020-12-02,11.9266
2020-12-03,7.33944
2020-12-04,7.95107
2020-12-05,6.42201
2020-12-06,2.14067
2020-12-07,9.17431
2020-12-08,5.81039
2020-12-09,14.37308
2020-12-10,14.06727
2020-12-11,8.56269
2020-12-12,5.50458
2020-12-13,1.83486
2020-12-14,5.19877
2020-12-15,7.95107
2020-12-16,7.64525
2020-12-17,11.62079
2020-12-18,8.8685
2020-12-19,5.81039
2020-12-20,4.89296
2020-12-21,21.40672
2020-12-22,22.93577
2020-12-23,15.90214
2020-12-24,10.09174
2020-12-25,5.50458
2020-12-26,4.58715
2020-12-27,4.28134
2020-12-28,10.09174
2020-12-29,11.00917
2020-12-30,7.95107
2020-12-31,4.89296
2021-01-01,5.50458
2021-01-02,3.97553
2021-01-03,1.52905
2021-01-04,9.48012
2021-01-05,10.70336
2021-01-06,16.20795
2021-01-07,11.9266
2021-01-08,11.31498
2021-01-09,7.03363
2021-01-10,3.97553
2021-01-11,9.48012
2021-01-12,12.84403
2021-01-13,8.25688
2021-01-14,12.84403
2021-01-15,10.09174
2021-01-16,4.89296
2021-01-17,5.19877
2021-01-18,11.9266
2021-01-19,16.81957
