date,씨티카드
2020-03-20,41.00343
2020-03-21,15.43974
2020-03-22,15.20083
2020-03-23,48.06629
2020-03-24,44.67672
2020-03-25,53.02374
2020-03-26,46.94639
2020-03-27,43.07899
2020-03-28,16.90309
2020-03-29,13.82708
2020-03-30,46.93146
2020-03-31,48.75317
2020-04-01,52.15768
2020-04-02,41.60071
2020-04-03,39.43556
2020-04-04,13.58817
2020-04-05,14.73794
2020-04-06,41.83962
2020-04-07,39.89846
2020-04-08,34.83649
2020-04-09,34.91115
2020-04-10,40.22696
2020-04-11,15.88771
2020-04-12,15.43974
2020-04-13,48.84276
2020-04-14,46.75227
2020-04-15,21.71121
2020-04-16,55.20382
2020-04-17,49.9776
2020-04-18,17.50037
2020-04-19,16.12662
2020-04-20,59.51918
2020-04-21,51.63506
2020-04-22,50.45542
2020-04-23,41.60071
2020-04-24,46.22965
2020-04-25,17.08227
2020-04-26,16.14155
2020-04-27,67.79154
2020-04-28,56.66716
2020-04-29,49.49977
2020-04-30,23.72704
2020-05-01,26.34015
2020-05-02,15.45468
2020-05-03,17.06734
2020-05-04,62.95356
2020-05-05,22.5474
2020-05-06,66.92548
2020-05-07,53.35224
2020-05-08,48.79796
2020-05-09,18.57548
2020-05-10,22.99537
2020-05-11,100.0
2020-05-12,77.24354
2020-05-13,67.85127
2020-05-14,61.77392
2020-05-15,58.47394
2020-05-16,21.20352
2020-05-17,19.30715
2020-05-18,59.57891
2020-05-19,51.11243
2020-05-20,48.30521
2020-05-21,44.79617
2020-05-22,41.94415
2020-05-23,15.42481
2020-05-24,16.02209
2020-05-25,59.13095
2020-05-26,47.66313
2020-05-27,44.37807
2020-05-28,37.73331
2020-05-29,37.64372
2020-05-30,14.26011
2020-05-31,15.21576
2020-06-01,46.46856
2020-06-02,37.27041
2020-06-03,35.89667
2020-06-04,30.76004
2020-06-05,31.32746
2020-06-06,11.10945
2020-06-07,11.79632
2020-06-08,39.48036
2020-06-09,33.73152
2020-06-10,39.61475
2020-06-11,32.58175
2020-06-12,31.37225
2020-06-13,10.93026
2020-06-14,12.00537
2020-06-15,47.20023
2020-06-16,38.36045
2020-06-17,38.85321
2020-06-18,32.746
2020-06-19,30.35687
2020-06-20,11.40809
2020-06-21,11.52754
2020-06-22,38.80842
2020-06-23,37.19575
2020-06-24,37.22562
2020-06-25,40.51067
2020-06-26,34.40346
2020-06-27,12.27415
2020-06-28,10.21352
2020-06-29,42.22786
2020-06-30,42.88487
2020-07-01,37.83783
2020-07-02,31.52157
2020-07-03,30.43153
2020-07-04,10.09407
2020-07-05,10.76601
2020-07-06,39.49529
2020-07-07,33.9555
2020-07-08,29.95371
2020-07-09,27.31073
2020-07-10,31.76048
2020-07-11,11.57234
2020-07-12,13.00582
2020-07-13,42.855
2020-07-14,39.27131
2020-07-15,40.48081
2020-07-16,36.85232
2020-07-17,33.82111
2020-07-18,13.48364
2020-07-19,13.185
2020-07-20,42.46677
2020-07-21,39.89846
2020-07-22,35.89667
2020-07-23,34.52292
2020-07-24,35.88173
2020-07-25,13.28953
2020-07-26,12.42347
2020-07-27,45.274
2020-07-28,39.85366
2020-07-29,30.7899
2020-07-30,28.92339
2020-07-31,29.53561
2020-08-01,11.30356
2020-08-02,12.70718
2020-08-03,36.44915
2020-08-04,36.37449
2020-08-05,32.67134
2020-08-06,28.53516
2020-08-07,28.69941
2020-08-08,10.49723
2020-08-09,11.40809
2020-08-10,40.33149
2020-08-11,32.59668
2020-08-12,33.17903
2020-08-13,37.16589
2020-08-14,36.03105
2020-08-15,14.67821
2020-08-16,12.4384
2020-08-17,20.05375
2020-08-18,41.19755
2020-08-19,35.92653
2020-08-20,34.79169
2020-08-21,35.61296
2020-08-22,14.87233
2020-08-23,13.67776
2020-08-24,42.63102
2020-08-25,44.76631
2020-08-26,36.68806
2020-08-27,34.82156
2020-08-28,31.10347
2020-08-29,12.91623
2020-08-30,12.24428
2020-08-31,43.39256
2020-09-01,36.92698
2020-09-02,31.98447
2020-09-03,30.59578
2020-09-04,26.68358
2020-09-05,9.91488
2020-09-06,10.75108
2020-09-07,34.6573
2020-09-08,29.78945
2020-09-09,28.47543
2020-09-10,30.87949
2020-09-11,29.69986
2020-09-12,10.9004
2020-09-13,10.22846
2020-09-14,36.34463
2020-09-15,36.22517
2020-09-16,34.68717
2020-09-17,32.85053
2020-09-18,29.98357
2020-09-19,11.3185
2020-09-20,10.78094
2020-09-21,36.37449
2020-09-22,32.26817
2020-09-23,30.99895
2020-09-24,30.95415
2020-09-25,38.67403
