date,아이큐코인
2020-07-23,0.03033
2021-04-02,0.03639
2022-10-21,2.0808
2022-10-22,1.43169
2022-10-23,15.88813
2022-10-24,2.90584
2022-10-25,0.84324
2022-10-26,0.63698
2022-10-27,0.50351
2022-10-28,0.32759
2022-10-29,0.35792
2022-10-30,0.48531
2022-10-31,0.37005
2022-11-01,0.51565
2022-11-02,0.27905
2022-11-03,0.34578
2022-11-04,0.35185
2022-11-05,0.31545
2022-11-06,0.24265
2022-11-07,0.66124
2022-11-08,0.25479
2022-11-09,0.23052
2022-11-10,0.35792
2022-11-11,0.20626
2022-11-12,0.21839
2022-11-13,0.24265
2022-11-14,0.38218
2022-11-15,0.31545
2022-11-16,0.24265
2022-11-17,0.13346
2022-11-18,0.17592
2022-11-19,38.81946
2022-11-20,100.0
2022-11-21,18.27226
2022-11-22,8.9966
2022-11-23,4.44673
2022-11-24,3.16064
2022-11-25,2.2082
2022-11-26,9.87017
2022-11-27,13.70419
2022-11-28,4.64693
2022-11-29,3.57316
2022-11-30,2.31739
2022-12-01,1.96554
2022-12-02,2.14147
2022-12-03,1.43775
2022-12-04,1.19509
2022-12-05,2.06867
2022-12-06,1.18296
2022-12-07,1.23756
2022-12-08,2.49939
2022-12-09,1.52268
2022-12-10,0.82504
2022-12-11,1.11016
2022-12-12,1.06163
2022-12-13,0.76437
2022-12-14,0.59451
2022-12-15,0.50351
2022-12-16,0.52778
2022-12-17,0.60058
2022-12-18,0.39432
2022-12-19,0.73404
2022-12-20,1.25576
2022-12-21,0.81897
2022-12-22,0.50958
2022-12-23,0.30939
2022-12-24,0.26085
2022-12-25,0.20019
2022-12-26,0.53991
2022-12-27,0.30939
2022-12-28,0.44892
2022-12-29,0.38825
2022-12-30,0.32759
2022-12-31,0.16379
2023-01-01,0.42465
2023-01-02,0.38825
2023-01-03,0.38825
2023-01-04,0.33972
2023-01-05,0.21839
2023-01-06,0.20626
2023-01-07,0.15772
2023-01-08,0.21839
2023-01-09,0.56418
2023-01-10,0.48531
2023-01-11,0.58844
2023-01-12,0.51565
2023-01-13,0.37005
2023-01-14,0.64911
2023-01-15,6.48507
2023-01-16,2.02014
2023-01-17,0.91603
2023-01-18,0.67338
2023-01-19,0.40645
2023-01-20,0.32759
2023-01-21,0.67944
2023-01-22,0.47925
2023-01-23,0.75831
2023-01-24,1.05556
2023-01-25,0.80684
2023-01-26,0.85537
2023-01-27,0.74011
2023-01-28,0.91603
2023-01-29,0.48531
2023-01-30,0.77651
2023-01-31,0.70371
2023-02-01,0.46711
2023-02-02,0.80077
2023-02-03,0.68551
2023-02-04,0.61878
2023-02-05,0.65518
2023-02-06,0.59451
2023-02-07,0.53385
2023-02-08,0.76437
2023-02-09,2.38413
2023-02-10,0.81897
2023-02-11,0.31545
2023-02-12,0.9949
2023-02-13,0.98883
2023-02-14,0.56418
2023-02-15,0.64911
2023-02-16,2.74205
2023-02-17,1.72288
2023-02-18,0.87964
2023-02-19,0.77044
2023-02-20,0.9403
2023-02-21,0.76437
2023-02-22,0.78257
2023-02-23,0.93423
2023-02-24,0.70977
2023-02-25,0.52778
2023-02-26,0.42465
2023-02-27,0.31545
2023-02-28,0.18806
2023-03-01,0.26692
2023-03-02,0.41252
2023-03-03,0.44892
2023-03-04,0.18806
2023-03-05,0.22446
2023-03-06,0.35792
2023-03-07,0.33972
2023-03-08,0.23052
2023-03-09,0.17592
2023-03-10,0.19412
2023-03-11,0.60664
2023-03-12,0.49138
2023-03-13,0.28512
2023-03-14,0.32759
2023-03-15,1.82601
2023-03-16,0.93423
2023-03-17,0.45498
2023-03-18,0.41858
2023-03-19,0.48531
2023-03-20,0.37612
2023-03-21,0.29725
2023-03-22,0.15772
2023-03-23,0.30939
2023-03-24,0.21839
2023-03-25,0.26692
2023-03-26,0.27299
2023-03-27,0.22446
2023-03-28,0.27905
2023-03-29,0.18199
2023-03-30,0.23052
2023-03-31,0.16986
2023-04-01,0.34578
2023-04-02,0.15772
2023-04-03,0.23052
2023-04-04,0.36398
2023-04-05,0.29119
2023-04-06,0.33365
2023-04-07,0.22446
2023-04-08,0.15772
2023-04-09,0.15166
2023-04-10,0.20019
2023-04-11,0.35185
2023-04-12,0.25479
2023-04-13,0.16379
2023-04-14,0.32759
2023-04-15,0.22446
2023-04-16,0.29725
2023-04-17,0.23052
2023-04-18,0.26692
2023-04-19,0.26085
2023-04-20,0.39432
2023-04-21,2.46906
2023-04-22,3.47003
2023-04-23,1.59548
2023-04-24,3.35476
2023-04-25,1.09196
2023-04-26,1.18903
2023-04-27,0.77651
2023-04-28,0.97063
2023-04-29,1.23149
2023-04-30,0.65518
2023-05-01,0.70371
2023-05-02,0.61271
2023-05-03,0.35185
2023-05-04,0.35792
2023-05-05,0.36398
2023-05-06,0.40038
2023-05-07,0.36398
2023-05-08,0.67338
2023-05-09,0.45498
2023-05-10,0.29725
2023-05-11,0.32759
2023-05-12,0.40645
2023-05-13,1.25576
2023-05-14,0.54598
2023-05-15,0.46711
2023-05-16,0.33365
2023-05-17,0.32152
2023-05-18,0.28512
2023-05-19,0.22446
2023-05-20,0.12739
2023-05-21,0.32759
2023-05-22,0.43678
2023-05-23,0.26692
2023-05-24,0.29725
2023-05-25,0.37005
2023-05-26,0.27299
2023-05-27,0.21232
2023-05-28,0.26692
