date,아트포스터
2020-03-20,28.85572
2020-03-21,36.81592
2020-03-22,34.32835
2020-03-23,43.78109
2020-03-24,29.35323
2020-03-25,39.30348
2020-03-26,38.80597
2020-03-27,49.25373
2020-03-28,25.37313
2020-03-29,34.32835
2020-03-30,45.27363
2020-03-31,36.3184
2020-04-01,31.34328
2020-04-02,25.37313
2020-04-03,27.36318
2020-04-04,40.2985
2020-04-05,32.3383
2020-04-06,37.81094
2020-04-07,40.2985
2020-04-08,45.77114
2020-04-09,33.33333
2020-04-10,41.29353
2020-04-11,26.36815
2020-04-12,40.2985
2020-04-13,47.76119
2020-04-14,38.30845
2020-04-15,42.78606
2020-04-16,41.79104
2020-04-17,42.28855
2020-04-18,32.3383
2020-04-19,42.28855
2020-04-20,36.81592
2020-04-21,47.26368
2020-04-22,44.77611
2020-04-23,44.2786
2020-04-24,49.75124
2020-04-25,37.31343
2020-04-26,31.84079
2020-04-27,46.76616
2020-04-28,38.80597
2020-04-29,27.86069
2020-04-30,29.85074
2020-05-01,31.84079
2020-05-02,29.35323
2020-05-03,32.83582
2020-05-04,26.86567
2020-05-05,36.3184
2020-05-06,31.34328
2020-05-07,29.35323
2020-05-08,33.33333
2020-05-09,28.85572
2020-05-10,34.82587
2020-05-11,36.81592
2020-05-12,36.3184
2020-05-13,34.82587
2020-05-14,37.31343
2020-05-15,41.29353
2020-05-16,37.81094
2020-05-17,39.30348
2020-05-18,40.79601
2020-05-19,45.77114
2020-05-20,37.31343
2020-05-21,30.84577
2020-05-22,42.78606
2020-05-23,22.88557
2020-05-24,34.32835
2020-05-25,33.33333
2020-05-26,33.33333
2020-05-27,30.84577
2020-05-28,30.84577
2020-05-29,28.85572
2020-05-30,35.82089
2020-05-31,48.2587
2020-06-01,38.30845
2020-06-02,31.34328
2020-06-03,41.29353
2020-06-04,47.26368
2020-06-05,27.86069
2020-06-06,33.33333
2020-06-07,27.36318
2020-06-08,29.85074
2020-06-09,32.83582
2020-06-10,42.78606
2020-06-11,45.27363
2020-06-12,34.82587
2020-06-13,42.78606
2020-06-14,42.78606
2020-06-15,40.79601
2020-06-16,47.26368
2020-06-17,36.81592
2020-06-18,36.3184
2020-06-19,30.34825
2020-06-20,40.2985
2020-06-21,42.78606
2020-06-22,40.79601
2020-06-23,30.84577
2020-06-24,47.76119
2020-06-25,27.36318
2020-06-26,37.81094
2020-06-27,38.80597
2020-06-28,43.78109
2020-06-29,41.29353
2020-06-30,47.26368
2020-07-01,39.30348
2020-07-02,41.79104
2020-07-03,38.80597
2020-07-04,36.81592
2020-07-05,26.36815
2020-07-06,39.30348
2020-07-07,37.81094
2020-07-08,36.3184
2020-07-09,35.32338
2020-07-10,27.86069
2020-07-11,38.30845
2020-07-12,32.3383
2020-07-13,40.79601
2020-07-14,32.83582
2020-07-15,39.30348
2020-07-16,47.76119
2020-07-17,42.28855
2020-07-18,28.3582
2020-07-19,30.84577
2020-07-20,37.31343
2020-07-21,33.83084
2020-07-22,40.2985
2020-07-23,74.62686
2020-07-24,35.32338
2020-07-25,36.81592
2020-07-26,36.81592
2020-07-27,47.26368
2020-07-28,36.81592
2020-07-29,43.78109
2020-07-30,34.32835
2020-07-31,33.33333
2020-08-01,29.85074
2020-08-02,37.31343
2020-08-03,37.31343
2020-08-04,40.2985
2020-08-05,32.3383
2020-08-06,36.81592
2020-08-07,39.80099
2020-08-08,37.81094
2020-08-09,32.3383
2020-08-10,36.81592
2020-08-11,46.26865
2020-08-12,45.77114
2020-08-13,45.77114
2020-08-14,42.28855
2020-08-15,40.2985
2020-08-16,32.83582
2020-08-17,41.29353
2020-08-18,39.80099
2020-08-19,42.78606
2020-08-20,42.28855
2020-08-21,40.79601
2020-08-22,33.33333
2020-08-23,45.77114
2020-08-24,51.24378
2020-08-25,47.76119
2020-08-26,57.21393
2020-08-27,58.20895
2020-08-28,80.59701
2020-08-29,60.69651
2020-08-30,86.56716
2020-08-31,51.24378
2020-09-01,48.2587
2020-09-02,55.72139
2020-09-03,55.72139
2020-09-04,47.26368
2020-09-05,47.76119
2020-09-06,56.71641
2020-09-07,63.18407
2020-09-08,42.28855
2020-09-09,49.25373
2020-09-10,56.2189
2020-09-11,38.80597
2020-09-12,47.76119
2020-09-13,29.85074
2020-09-14,52.2388
2020-09-15,52.2388
2020-09-16,56.2189
2020-09-17,44.77611
2020-09-18,41.79104
2020-09-19,33.33333
2020-09-20,37.81094
2020-09-21,50.74626
2020-09-22,43.78109
2020-09-23,38.80597
2020-09-24,36.81592
2020-09-25,32.3383
2020-09-26,31.34328
2020-09-27,30.34825
2020-09-28,41.29353
2020-09-29,27.36318
2020-09-30,20.398
2020-10-01,27.86069
2020-10-02,37.81094
2020-10-03,35.82089
2020-10-04,37.31343
2020-10-05,39.80099
2020-10-06,42.28855
2020-10-07,38.80597
2020-10-08,38.80597
2020-10-09,21.39303
2020-10-10,33.83084
2020-10-11,36.81592
2020-10-12,34.82587
2020-10-13,37.31343
2020-10-14,36.81592
2020-10-15,19.90049
2020-10-16,36.81592
2020-10-17,26.36815
2020-10-18,29.85074
2020-10-19,40.2985
2020-10-20,38.30845
2020-10-21,42.78606
2020-10-22,31.84079
2020-10-23,36.81592
2020-10-24,26.86567
2020-10-25,29.35323
2020-10-26,41.29353
2020-10-27,37.31343
2020-10-28,37.31343
2020-10-29,41.79104
2020-10-30,24.87562
2020-10-31,38.30845
2020-11-01,37.31343
2020-11-02,37.31343
2020-11-03,37.81094
2020-11-04,45.27363
2020-11-05,28.85572
2020-11-06,23.38308
2020-11-07,19.90049
2020-11-08,40.79601
2020-11-09,35.32338
2020-11-10,33.33333
2020-11-11,25.87064
2020-11-12,24.3781
2020-11-13,27.36318
2020-11-14,31.34328
2020-11-15,55.72139
2020-11-16,45.27363
2020-11-17,40.2985
2020-11-18,45.27363
2020-11-19,42.28855
2020-11-20,28.85572
2020-11-21,34.32835
2020-11-22,32.3383
2020-11-23,29.85074
2020-11-24,34.32835
2020-11-25,45.27363
2020-11-26,48.75621
2020-11-27,36.3184
2020-11-28,50.74626
2020-11-29,49.25373
2020-11-30,45.27363
2020-12-01,34.32835
2020-12-02,39.80099
2020-12-03,31.84079
2020-12-04,29.35323
2020-12-05,38.80597
2020-12-06,38.80597
2020-12-07,35.82089
2020-12-08,56.71641
2020-12-09,42.78606
2020-12-10,40.79601
2020-12-11,36.81592
2020-12-12,37.31343
2020-12-13,42.28855
2020-12-14,34.32835
2020-12-15,41.79104
2020-12-16,43.78109
2020-12-17,34.82587
2020-12-18,29.35323
2020-12-19,30.84577
2020-12-20,55.22388
2020-12-21,42.28855
2020-12-22,59.70149
2020-12-23,42.28855
2020-12-24,36.3184
2020-12-25,43.28358
2020-12-26,42.28855
2020-12-27,53.73134
2020-12-28,44.2786
2020-12-29,49.25373
2020-12-30,42.28855
2020-12-31,34.32835
2021-01-01,41.29353
2021-01-02,51.24378
2021-01-03,47.26368
2021-01-04,39.80099
2021-01-05,48.75621
2021-01-06,43.78109
2021-01-07,40.79601
2021-01-08,46.26865
2021-01-09,44.2786
2021-01-10,57.21393
2021-01-11,53.23383
2021-01-12,43.78109
2021-01-13,48.2587
2021-01-14,45.77114
2021-01-15,36.3184
2021-01-16,40.79601
2021-01-17,51.74129
2021-01-18,53.23383
2021-01-19,48.2587
2021-01-20,52.2388
2021-01-21,50.24875
2021-01-22,47.26368
2021-01-23,62.18905
2021-01-24,59.20398
2021-01-25,50.24875
2021-01-26,49.75124
2021-01-27,47.26368
2021-01-28,32.83582
2021-01-29,36.3184
2021-01-30,30.34825
2021-01-31,50.24875
2021-02-01,41.79104
2021-02-02,41.79104
2021-02-03,39.80099
2021-02-04,48.2587
2021-02-05,38.80597
2021-02-06,38.80597
2021-02-07,29.35323
2021-02-08,53.73134
2021-02-09,41.79104
2021-02-10,38.30845
2021-02-11,34.82587
2021-02-12,37.31343
2021-02-13,41.29353
2021-02-14,38.80597
2021-02-15,51.74129
2021-02-16,28.3582
2021-02-17,37.31343
2021-02-18,44.77611
2021-02-19,33.83084
2021-02-20,30.84577
2021-02-21,49.25373
