date,아파트
2020-03-20,23.53434
2020-03-21,23.31854
2020-03-22,23.94197
2020-03-23,24.87711
2020-03-24,24.85313
2020-03-25,22.89893
2020-03-26,23.22263
2020-03-27,21.01666
2020-03-28,20.84881
2020-03-29,23.51037
2020-03-30,24.15777
2020-03-31,24.08584
2020-04-01,24.18175
2020-04-02,22.73108
2020-04-03,19.98561
2020-04-04,21.91583
2020-04-05,22.81501
2020-04-06,23.29456
2020-04-07,25.26076
2020-04-08,23.45042
2020-04-09,24.46948
2020-04-10,21.23246
2020-04-11,21.736
2020-04-12,24.90109
2020-04-13,24.55341
2020-04-14,22.94688
2020-04-15,22.17959
2020-04-16,23.03081
2020-04-17,22.86296
2020-04-18,23.35451
2020-04-19,25.26076
2020-04-20,29.44491
2020-04-21,26.92722
2020-04-22,25.20081
2020-04-23,22.64716
2020-04-24,22.41937
2020-04-25,22.15561
2020-04-26,24.45749
2020-04-27,24.27766
2020-04-28,23.64224
2020-04-29,21.85589
2020-04-30,22.46733
2020-05-01,21.35235
2020-05-02,22.80302
2020-05-03,24.74523
2020-05-04,23.83407
2020-05-05,24.03788
2020-05-06,23.19865
2020-05-07,22.35942
2020-05-08,22.04771
2020-05-09,20.36926
2020-05-10,23.10274
2020-05-11,29.69667
2020-05-12,27.52667
2020-05-13,23.96595
2020-05-14,22.21556
2020-05-15,21.71202
2020-05-16,21.71202
2020-05-17,24.98501
2020-05-18,26.00407
2020-05-19,25.44059
2020-05-20,28.64164
2020-05-21,24.19374
2020-05-22,22.79103
2020-05-23,19.94964
2020-05-24,24.57738
2020-05-25,25.14087
2020-05-26,25.33269
2020-05-27,23.94197
2020-05-28,23.33053
2020-05-29,21.53219
2020-05-30,22.29948
2020-05-31,22.63517
2020-06-01,24.49346
2020-06-02,25.06893
2020-06-03,22.71909
2020-06-04,24.26567
2020-06-05,22.63517
2020-06-06,23.42644
2020-06-07,25.63241
2020-06-08,27.22695
2020-06-09,25.04495
2020-06-10,23.77412
2020-06-11,23.84606
2020-06-12,22.34744
2020-06-13,22.99484
2020-06-14,25.70435
2020-06-15,26.65148
2020-06-16,27.4907
2020-06-17,29.54082
2020-06-18,27.97026
2020-06-19,25.26076
2020-06-20,23.07876
2020-06-21,24.93705
2020-06-22,26.4117
2020-06-23,26.47164
2020-06-24,25.18882
2020-06-25,23.76213
2020-06-26,23.51037
2020-06-27,21.64009
2020-06-28,25.03296
2020-06-29,27.167
2020-06-30,24.97302
2020-07-01,24.97302
2020-07-02,25.72832
2020-07-03,24.80517
2020-07-04,23.91799
2020-07-05,25.41661
2020-07-06,27.10706
2020-07-07,27.69452
2020-07-08,29.15717
2020-07-09,27.80242
2020-07-10,27.53866
2020-07-11,25.69236
2020-07-12,26.23186
2020-07-13,25.81225
2020-07-14,23.6902
2020-07-15,24.51744
2020-07-16,26.09998
2020-07-17,22.77904
2020-07-18,23.73816
2020-07-19,23.35451
2020-07-20,25.95612
2020-07-21,28.55772
2020-07-22,25.56048
2020-07-23,24.24169
2020-07-24,22.26351
2020-07-25,23.35451
2020-07-26,23.87003
2020-07-27,25.78827
2020-07-28,24.10981
2020-07-29,23.75014
2020-07-30,24.94904
2020-07-31,28.32993
2020-08-01,22.5992
2020-08-02,22.76705
2020-08-03,26.42369
2020-08-04,27.58662
2020-08-05,24.21771
2020-08-06,22.33545
2020-08-07,23.13871
2020-08-08,22.3834
2020-08-09,23.12672
2020-08-10,25.65639
2020-08-11,27.69452
2020-08-12,31.36314
2020-08-13,24.68528
2020-08-14,20.92075
2020-08-15,22.45534
2020-08-16,22.22755
2020-08-17,23.18666
2020-08-18,24.75722
2020-08-19,24.92506
2020-08-20,23.29456
2020-08-21,25.74031
2020-08-22,27.55065
2020-08-23,27.44275
2020-08-24,27.15501
2020-08-25,26.56755
2020-08-26,27.65855
2020-08-27,31.98657
2020-08-28,27.0591
2020-08-29,26.08799
2020-08-30,27.82639
2020-08-31,25.68037
2020-09-01,25.83623
2020-09-02,26.91523
2020-09-03,27.99424
2020-09-04,23.66622
2020-09-05,24.49346
2020-09-06,26.99916
2020-09-07,29.98441
2020-09-08,29.337
2020-09-09,26.53159
2020-09-10,24.60136
