date,아파트등기비용
2020-03-20,66.90821
2020-03-21,49.03381
2020-03-22,55.07246
2020-03-23,82.85024
2020-03-24,89.61352
2020-03-25,68.84057
2020-03-26,80.43478
2020-03-27,62.31884
2020-03-28,43.7198
2020-03-29,44.20289
2020-03-30,81.64251
2020-03-31,74.63768
2020-04-01,61.5942
2020-04-02,62.56038
2020-04-03,60.86956
2020-04-04,39.85507
2020-04-05,34.29951
2020-04-06,57.24637
2020-04-07,60.86956
2020-04-08,57.48792
2020-04-09,60.38647
2020-04-10,48.06763
2020-04-11,35.50724
2020-04-12,28.9855
2020-04-13,73.67149
2020-04-14,60.62801
2020-04-15,44.20289
2020-04-16,68.59903
2020-04-17,65.94202
2020-04-18,50.48309
2020-04-19,45.41062
2020-04-20,83.81642
2020-04-21,73.91304
2020-04-22,65.45893
2020-04-23,69.80676
2020-04-24,59.66183
2020-04-25,40.82125
2020-04-26,39.61352
2020-04-27,69.80676
2020-04-28,73.42995
2020-04-29,56.52173
2020-04-30,33.09178
2020-05-01,48.30917
2020-05-02,31.64251
2020-05-03,38.40579
2020-05-04,59.17874
2020-05-05,48.06763
2020-05-06,67.63285
2020-05-07,54.34782
2020-05-08,48.06763
2020-05-09,57.00483
2020-05-10,39.37198
2020-05-11,64.73429
2020-05-12,80.43478
2020-05-13,64.2512
2020-05-14,64.73429
2020-05-15,64.2512
2020-05-16,50.96618
2020-05-17,49.27536
2020-05-18,76.08695
2020-05-19,77.53623
2020-05-20,77.05314
2020-05-21,67.14975
2020-05-22,63.52657
2020-05-23,36.23188
2020-05-24,46.8599
2020-05-25,79.22705
2020-05-26,78.74396
2020-05-27,71.73913
2020-05-28,65.94202
2020-05-29,64.97584
2020-05-30,38.16425
2020-05-31,36.47342
2020-06-01,72.94685
2020-06-02,73.91304
2020-06-03,72.94685
2020-06-04,67.14975
2020-06-05,61.35265
2020-06-06,42.75362
2020-06-07,47.34299
2020-06-08,82.1256
2020-06-09,82.1256
2020-06-10,77.29468
2020-06-11,73.1884
2020-06-12,60.86956
2020-06-13,54.34782
2020-06-14,54.10628
2020-06-15,85.74879
2020-06-16,95.16908
2020-06-17,88.64734
2020-06-18,80.43478
2020-06-19,70.5314
2020-06-20,52.89855
2020-06-21,58.93719
2020-06-22,93.47826
2020-06-23,86.71497
2020-06-24,100.0
2020-06-25,88.64734
2020-06-26,77.77777
2020-06-27,57.24637
2020-06-28,54.34782
2020-06-29,88.88888
2020-06-30,79.95169
2020-07-01,77.77777
2020-07-02,72.70531
2020-07-03,64.73429
2020-07-04,43.7198
2020-07-05,47.82608
2020-07-06,86.23188
2020-07-07,81.64251
2020-07-08,82.36714
2020-07-09,82.85024
2020-07-10,78.9855
2020-07-11,48.55072
2020-07-12,48.06763
2020-07-13,86.23188
2020-07-14,90.82125
2020-07-15,77.05314
2020-07-16,74.87922
2020-07-17,66.90821
2020-07-18,53.38164
2020-07-19,46.8599
2020-07-20,72.70531
2020-07-21,72.70531
2020-07-22,70.0483
2020-07-23,68.84057
2020-07-24,57.97101
2020-07-25,39.13043
2020-07-26,41.78743
2020-07-27,71.98067
2020-07-28,71.25603
2020-07-29,68.84057
2020-07-30,64.49275
2020-07-31,52.17391
2020-08-01,33.33333
2020-08-02,27.53623
2020-08-03,53.62318
2020-08-04,58.93719
2020-08-05,61.35265
2020-08-06,52.17391
2020-08-07,52.17391
2020-08-08,35.99033
2020-08-09,40.33816
2020-08-10,64.73429
2020-08-11,62.31884
2020-08-12,60.38647
2020-08-13,66.18357
2020-08-14,57.72946
2020-08-15,35.50724
2020-08-16,24.87922
