date,아파트전세
2020-03-20,45.34986
2020-03-21,47.74136
2020-03-22,55.27015
2020-03-23,57.66164
2020-03-24,54.56155
2020-03-25,49.42426
2020-03-26,47.47564
2020-03-27,44.46412
2020-03-28,44.99557
2020-03-29,46.94419
2020-03-30,56.68733
2020-03-31,46.2356
2020-04-01,45.88131
2020-04-02,49.33569
2020-04-03,44.1984
2020-04-04,44.81842
2020-04-05,49.33569
2020-04-06,56.7759
2020-04-07,54.38441
2020-04-08,49.68999
2020-04-09,48.44995
2020-04-10,45.26129
2020-04-11,47.65279
2020-04-12,54.91585
2020-04-13,63.86182
2020-04-14,54.91585
2020-04-15,49.42426
2020-04-16,51.81576
2020-04-17,50.13286
2020-04-18,41.98405
2020-04-19,53.94154
2020-04-20,54.7387
2020-04-21,57.21877
2020-04-22,54.29583
2020-04-23,48.6271
2020-04-24,44.46412
2020-04-25,43.75553
2020-04-26,54.47298
2020-04-27,54.38441
2020-04-28,49.60141
2020-04-29,46.50132
2020-04-30,44.1984
2020-05-01,45.61558
2020-05-02,44.72984
2020-05-03,50.93002
2020-05-04,63.95039
2020-05-05,52.3472
2020-05-06,59.78742
2020-05-07,47.29849
2020-05-08,37.7325
2020-05-09,44.72984
2020-05-10,47.03277
2020-05-11,58.90168
2020-05-12,60.31886
2020-05-13,51.37289
2020-05-14,49.15854
2020-05-15,44.46412
2020-05-16,44.72984
2020-05-17,50.39858
2020-05-18,63.5961
2020-05-19,49.15854
2020-05-20,51.81576
2020-05-21,52.25863
2020-05-22,49.06997
2020-05-23,45.08414
2020-05-24,53.76439
2020-05-25,60.23029
2020-05-26,56.33303
2020-05-27,50.39858
2020-05-28,48.2728
2020-05-29,46.05845
2020-05-30,45.26129
2020-05-31,49.06997
2020-06-01,58.8131
2020-06-02,56.59875
2020-06-03,50.48715
2020-06-04,50.93002
2020-06-05,49.24712
2020-06-06,44.5527
2020-06-07,53.58724
2020-06-08,68.0248
2020-06-09,60.23029
2020-06-10,51.37289
2020-06-11,56.51018
2020-06-12,47.82993
2020-06-13,47.74136
2020-06-14,58.54738
2020-06-15,64.57041
2020-06-16,56.15589
2020-06-17,60.67316
2020-06-18,61.11603
2020-06-19,56.59875
2020-06-20,52.96722
2020-06-21,52.61293
2020-06-22,64.03897
2020-06-23,62.44464
2020-06-24,55.80159
2020-06-25,50.22143
2020-06-26,53.85296
2020-06-27,44.46412
2020-06-28,53.76439
2020-06-29,63.06465
2020-06-30,63.68467
2020-07-01,63.06465
2020-07-02,57.21877
2020-07-03,51.37289
2020-07-04,51.28432
2020-07-05,50.39858
2020-07-06,66.43046
2020-07-07,65.10186
2020-07-08,66.16474
2020-07-09,59.43312
2020-07-10,58.37023
2020-07-11,55.27015
2020-07-12,61.91319
2020-07-13,68.73339
2020-07-14,66.43046
2020-07-15,66.16474
2020-07-16,65.10186
2020-07-17,54.82728
2020-07-18,53.58724
2020-07-19,54.56155
2020-07-20,72.27635
2020-07-21,68.82196
2020-07-22,57.30735
2020-07-23,57.30735
2020-07-24,53.41009
2020-07-25,49.24712
2020-07-26,54.91585
2020-07-27,64.12754
2020-07-28,75.02214
2020-07-29,68.73339
2020-07-30,87.15677
2020-07-31,81.93091
2020-08-01,69.7077
2020-08-02,74.1364
2020-08-03,90.34543
2020-08-04,77.67936
2020-08-05,62.26749
2020-08-06,65.19043
2020-08-07,68.29052
2020-08-08,56.95305
2020-08-09,60.76173
2020-08-10,71.83348
2020-08-11,69.7077
2020-08-12,69.79627
2020-08-13,76.97077
2020-08-14,59.96457
2020-08-15,56.24446
2020-08-16,56.33303
2020-08-17,70.32772
2020-08-18,68.0248
2020-08-19,73.95925
2020-08-20,71.21346
2020-08-21,68.99911
2020-08-22,64.57041
2020-08-23,63.15323
2020-08-24,65.19043
2020-08-25,64.48184
2020-08-26,64.48184
2020-08-27,66.51904
2020-08-28,61.2046
2020-08-29,63.68467
2020-08-30,59.5217
2020-08-31,74.04782
2020-09-01,75.02214
2020-09-02,69.7077
2020-09-03,64.92471
2020-09-04,61.02745
2020-09-05,59.61027
2020-09-06,68.91054
2020-09-07,77.59078
2020-09-08,81.39946
2020-09-09,72.01062
2020-09-10,72.01062
2020-09-11,68.64481
2020-09-12,66.96191
2020-09-13,65.279
2020-09-14,70.50487
2020-09-15,70.77059
2020-09-16,64.21612
2020-09-17,65.98759
2020-09-18,58.45881
2020-09-19,60.40744
2020-09-20,56.7759
2020-09-21,71.56775
2020-09-22,63.68467
2020-09-23,57.57307
2020-09-24,58.10451
2020-09-25,57.83879
2020-09-26,58.99025
2020-09-27,56.7759
2020-09-28,60.49601
2020-09-29,45.70416
2020-09-30,41.54118
2020-10-01,39.68113
2020-10-02,46.67847
2020-10-03,53.67581
2020-10-04,71.56775
2020-10-05,84.94242
2020-10-06,76.43932
2020-10-07,71.83348
2020-10-08,70.32772
2020-10-09,71.21346
2020-10-10,70.41629
2020-10-11,75.90788
2020-10-12,89.90256
2020-10-13,93.09123
2020-10-14,100.0
2020-10-15,95.74844
2020-10-16,87.59964
2020-10-17,68.64481
2020-10-18,84.94242
2020-10-19,89.63684
2020-10-20,70.32772
2020-10-21,75.19929
2020-10-22,68.29052
2020-10-23,55.53587
2020-10-24,62.09034
2020-10-25,61.2046
2020-10-26,80.15943
2020-10-27,66.96191
2020-10-28,70.59344
2020-10-29,69.7077
2020-10-30,55.18157
2020-10-31,59.07883
2020-11-01,63.86182
2020-11-02,72.63064
2020-11-03,63.5961
2020-11-04,60.76173
2020-11-05,65.54472
2020-11-06,57.92736
2020-11-07,54.82728
2020-11-08,63.15323
2020-11-09,74.49069
