date,알트코인
2020-03-20,0.30967
2020-03-21,0.20322
2020-03-22,0.15725
2020-03-23,0.2008
2020-03-24,0.17902
2020-03-25,0.24193
2020-03-26,0.22741
2020-03-27,0.16209
2020-03-28,0.14273
2020-03-29,0.17661
2020-03-30,0.2008
2020-03-31,0.22257
2020-04-01,0.16693
2020-04-02,0.15967
2020-04-03,0.20564
2020-04-04,0.1137
2020-04-05,0.15725
2020-04-06,0.19112
2020-04-07,0.15483
2020-04-08,0.1887
2020-04-09,0.20322
2020-04-10,0.13548
2020-04-11,0.1258
2020-04-12,0.12096
2020-04-13,0.19596
2020-04-14,0.14032
2020-04-15,0.1137
2020-04-16,0.14515
2020-04-17,0.15967
2020-04-18,0.08951
2020-04-19,0.11612
2020-04-20,0.19596
2020-04-21,0.16935
2020-04-22,0.13064
2020-04-23,0.15241
2020-04-24,0.13548
2020-04-25,0.14273
2020-04-26,0.19354
2020-04-27,0.19354
2020-04-28,0.13548
2020-04-29,0.16935
2020-04-30,0.32176
2020-05-01,0.25402
2020-05-02,0.14757
2020-05-03,0.15967
2020-05-04,0.23709
2020-05-05,0.24435
2020-05-06,0.26612
2020-05-07,0.32902
2020-05-08,0.47418
2020-05-09,0.31209
2020-05-10,0.20806
2020-05-11,0.22015
2020-05-12,0.20806
2020-05-13,0.22257
2020-05-14,0.23467
2020-05-15,0.28305
2020-05-16,0.19838
2020-05-17,0.2516
2020-05-18,0.26128
2020-05-19,0.24677
2020-05-20,0.21773
2020-05-21,0.2758
2020-05-22,0.23951
2020-05-23,0.22015
2020-05-24,0.23467
2020-05-25,0.35322
2020-05-26,0.30241
2020-05-27,0.29757
2020-05-28,0.21773
2020-05-29,0.19112
2020-05-30,0.14032
2020-05-31,0.22983
2020-06-01,0.23709
2020-06-02,0.24677
2020-06-03,0.24435
2020-06-04,0.26128
2020-06-05,0.15967
2020-06-06,0.16451
2020-06-07,0.2008
2020-06-08,0.23225
2020-06-09,0.24193
2020-06-10,0.23951
2020-06-11,0.20806
2020-06-12,0.23467
2020-06-13,0.12096
2020-06-14,0.10403
2020-06-15,0.20806
2020-06-16,0.20322
2020-06-17,0.23709
2020-06-18,0.17902
2020-06-19,0.14273
2020-06-20,0.09919
2020-06-21,0.14515
2020-06-22,0.15725
2020-06-23,0.21289
2020-06-24,0.16935
2020-06-25,0.12096
2020-06-26,0.1137
2020-06-27,0.08225
2020-06-28,0.1137
2020-06-29,0.12096
2020-06-30,0.13306
2020-07-01,0.15241
2020-07-02,0.14999
2020-07-03,0.13548
2020-07-04,0.12338
2020-07-05,0.06774
2020-07-06,0.23225
2020-07-07,0.30725
2020-07-08,0.43547
2020-07-09,0.4766
2020-07-10,0.25402
2020-07-11,0.19838
2020-07-12,0.15967
2020-07-13,0.24677
2020-07-14,0.19354
2020-07-15,1.34513
2020-07-16,0.54918
2020-07-17,0.21289
2020-07-18,0.17661
2020-07-19,0.12096
2020-07-20,0.24193
2020-07-21,0.20322
2020-07-22,0.23709
2020-07-23,0.22499
2020-07-24,0.16935
2020-07-25,0.17419
2020-07-26,0.31209
2020-07-27,0.69192
2020-07-28,0.60966
2020-07-29,0.4137
2020-07-30,0.37741
2020-07-31,0.32418
2020-08-01,0.31693
2020-08-02,0.60966
2020-08-03,0.8274
2020-08-04,0.43789
