date,압구정재건축
2020-03-20,5.43912
2020-03-21,4.39121
2020-03-22,3.14371
2020-03-23,4.29141
2020-03-24,5.48902
2020-03-25,4.29141
2020-03-26,4.69061
2020-03-27,4.04191
2020-03-28,3.19361
2020-03-29,4.09181
2020-03-30,3.79241
2020-03-31,4.54091
2020-04-01,4.99001
2020-04-02,5.33932
2020-04-03,4.04191
2020-04-04,3.69261
2020-04-05,4.19161
2020-04-06,5.18962
2020-04-07,5.68862
2020-04-08,5.58882
2020-04-09,6.38722
2020-04-10,5.38922
2020-04-11,5.23952
2020-04-12,4.64071
2020-04-13,6.63672
2020-04-14,6.38722
2020-04-15,4.49101
2020-04-16,9.48103
2020-04-17,7.83433
2020-04-18,5.58882
2020-04-19,4.94011
2020-04-20,6.78642
2020-04-21,6.93612
2020-04-22,5.48902
2020-04-23,7.18562
2020-04-24,6.48702
2020-04-25,5.48902
2020-04-26,5.53892
2020-04-27,7.38522
2020-04-28,7.33532
2020-04-29,5.23952
2020-04-30,6.38722
2020-05-01,5.83832
2020-05-02,5.13972
2020-05-03,5.63872
2020-05-04,5.63872
2020-05-05,5.93812
2020-05-06,6.23752
2020-05-07,6.63672
2020-05-08,5.53892
2020-05-09,4.94011
2020-05-10,4.89021
2020-05-11,5.23952
2020-05-12,6.23752
2020-05-13,5.78842
2020-05-14,6.08782
2020-05-15,5.98802
2020-05-16,4.39121
2020-05-17,4.84031
2020-05-18,5.33932
2020-05-19,5.23952
2020-05-20,5.03992
2020-05-21,5.08982
2020-05-22,5.33932
2020-05-23,4.99001
2020-05-24,3.94211
2020-05-25,5.58882
2020-05-26,5.63872
2020-05-27,5.38922
2020-05-28,5.03992
2020-05-29,4.69061
2020-05-30,5.33932
2020-05-31,5.08982
2020-06-01,6.58682
2020-06-02,6.18762
2020-06-03,5.18962
2020-06-04,5.28942
2020-06-05,4.44111
2020-06-06,5.08982
2020-06-07,5.43912
2020-06-08,5.73852
2020-06-09,6.03792
2020-06-10,5.03992
2020-06-11,5.63872
2020-06-12,5.23952
2020-06-13,5.53892
2020-06-14,5.33932
2020-06-15,5.43912
2020-06-16,5.78842
2020-06-17,7.53493
2020-06-18,9.23153
2020-06-19,7.98403
2020-06-20,6.28742
2020-06-21,6.63672
2020-06-22,9.38123
2020-06-23,6.78642
2020-06-24,7.08582
2020-06-25,7.73453
2020-06-26,7.18562
2020-06-27,5.38922
2020-06-28,6.18762
2020-06-29,6.63672
2020-06-30,7.68463
2020-07-01,8.03393
2020-07-02,8.23353
2020-07-03,7.93413
2020-07-04,6.78642
2020-07-05,5.68862
2020-07-06,7.58483
2020-07-07,7.13572
2020-07-08,6.43712
2020-07-09,7.38522
2020-07-10,6.93612
2020-07-11,5.88822
2020-07-12,7.03592
2020-07-13,7.93413
2020-07-14,7.38522
2020-07-15,8.13373
2020-07-16,8.83233
2020-07-17,9.18163
2020-07-18,7.88423
2020-07-19,8.68263
2020-07-20,11.87624
2020-07-21,10.62874
2020-07-22,11.07784
2020-07-23,20.05988
2020-07-24,29.29141
2020-07-25,14.42115
2020-07-26,13.82235
2020-07-27,17.71457
2020-07-28,15.56886
2020-07-29,15.76846
2020-07-30,13.72255
2020-07-31,13.37325
2020-08-01,11.42714
2020-08-02,11.67664
2020-08-03,16.46706
2020-08-04,34.33133
2020-08-05,18.11377
2020-08-06,14.62075
2020-08-07,13.42315
2020-08-08,8.48303
2020-08-09,12.02594
2020-08-10,12.47504
2020-08-11,10.72854
2020-08-12,10.82834
2020-08-13,14.17165
2020-08-14,12.47504
2020-08-15,7.73453
2020-08-16,7.68463
2020-08-17,9.68063
2020-08-18,10.82834
2020-08-19,10.32934
2020-08-20,11.97604
2020-08-21,13.47305
2020-08-22,8.53293
2020-08-23,8.13373
2020-08-24,12.02594
2020-08-25,11.37724
2020-08-26,10.42914
2020-08-27,9.93013
2020-08-28,8.78243
2020-08-29,8.68263
2020-08-30,7.78443
2020-08-31,12.52495
2020-09-01,12.62475
2020-09-02,12.52495
2020-09-03,13.07385
2020-09-04,12.92415
2020-09-05,14.47105
2020-09-06,12.67465
2020-09-07,14.77045
2020-09-08,13.67265
2020-09-09,13.52295
2020-09-10,13.72255
2020-09-11,12.97405
2020-09-12,13.07385
2020-09-13,10.12974
2020-09-14,14.42115
2020-09-15,13.37325
2020-09-16,13.62275
2020-09-17,12.57485
2020-09-18,12.37524
2020-09-19,9.88023
2020-09-20,9.43113
2020-09-21,10.12974
2020-09-22,10.12974
2020-09-23,9.38123
2020-09-24,10.17964
2020-09-25,9.58083
2020-09-26,8.58283
2020-09-27,8.48303
2020-09-28,10.17964
2020-09-29,10.12974
2020-09-30,8.23353
2020-10-01,7.08582
2020-10-02,8.28343
2020-10-03,7.63473
2020-10-04,7.23552
2020-10-05,10.22954
2020-10-06,13.37325
2020-10-07,11.97604
2020-10-08,10.07984
2020-10-09,8.48303
2020-10-10,8.93213
2020-10-11,8.63273
2020-10-12,10.92814
2020-10-13,11.72654
2020-10-14,10.27944
2020-10-15,10.12974
2020-10-16,10.42914
2020-10-17,8.63273
2020-10-18,7.43512
2020-10-19,10.42914
2020-10-20,13.12375
2020-10-21,12.22554
2020-10-22,11.07784
2020-10-23,9.03193
2020-10-24,7.68463
2020-10-25,7.93413
2020-10-26,11.67664
2020-10-27,9.63073
2020-10-28,10.87824
2020-10-29,10.82834
2020-10-30,10.92814
2020-10-31,10.47904
2020-11-01,7.83433
2020-11-02,16.21756
2020-11-03,16.31736
2020-11-04,14.67065
2020-11-05,14.37125
2020-11-06,13.22355
