date,압류
2020-03-20,6.30777
2020-03-21,3.45296
2020-03-22,3.12669
2020-03-23,5.89994
2020-03-24,7.31375
2020-03-25,6.98749
2020-03-26,6.55247
2020-03-27,5.62805
2020-03-28,3.31702
2020-03-29,3.26264
2020-03-30,5.89994
2020-03-31,5.92713
2020-04-01,6.19902
2020-04-02,5.32898
2020-04-03,5.11147
2020-04-04,2.90918
2020-04-05,3.07232
2020-04-06,5.68243
2020-04-07,6.57966
2020-04-08,6.74279
2020-04-09,6.98749
2020-04-10,6.30777
2020-04-11,3.53452
2020-04-12,3.88798
2020-04-13,6.30777
2020-04-14,6.38934
2020-04-15,3.37139
2020-04-16,5.5193
2020-04-17,5.73681
2020-04-18,3.75203
2020-04-19,3.01794
2020-04-20,6.03588
2020-04-21,7.28656
2020-04-22,7.80315
2020-04-23,6.4709
2020-04-24,6.7156
2020-04-25,3.37139
2020-04-26,3.8336
2020-04-27,6.66122
2020-04-28,7.01468
2020-04-29,5.65524
2020-04-30,4.26862
2020-05-01,6.90592
2020-05-02,3.37139
2020-05-03,3.88798
2020-05-04,5.92713
2020-05-05,3.50734
2020-05-06,7.58564
2020-05-07,7.36813
2020-05-08,6.2262
2020-05-09,4.86677
2020-05-10,3.50734
2020-05-11,7.58564
2020-05-12,6.7156
2020-05-13,6.06307
2020-05-14,6.82436
2020-05-15,6.44371
2020-05-16,4.21424
2020-05-17,3.61609
2020-05-18,6.14464
2020-05-19,8.4013
2020-05-20,7.42251
2020-05-21,6.4709
2020-05-22,6.38934
2020-05-23,3.31702
2020-05-24,2.80043
2020-05-25,6.98749
2020-05-26,6.9603
2020-05-27,6.7156
2020-05-28,7.69439
2020-05-29,5.00271
2020-05-30,3.56171
2020-05-31,2.69168
2020-06-01,6.06307
2020-06-02,6.33496
2020-06-03,6.55247
2020-06-04,6.79717
2020-06-05,5.73681
2020-06-06,2.90918
2020-06-07,3.37139
2020-06-08,5.84556
2020-06-09,6.25339
2020-06-10,5.60087
2020-06-11,6.2262
2020-06-12,5.57368
2020-06-13,2.85481
2020-06-14,3.31702
2020-06-15,6.25339
2020-06-16,7.15062
2020-06-17,6.79717
2020-06-18,6.19902
2020-06-19,4.92115
2020-06-20,3.3442
2020-06-21,3.77922
2020-06-22,5.2746
2020-06-23,6.14464
2020-06-24,6.14464
2020-06-25,6.7156
2020-06-26,5.41054
2020-06-27,3.50734
2020-06-28,2.17509
2020-06-29,6.7156
2020-06-30,6.14464
2020-07-01,6.14464
2020-07-02,5.35617
2020-07-03,4.37737
2020-07-04,2.93637
2020-07-05,2.99075
2020-07-06,5.13866
2020-07-07,6.85154
2020-07-08,6.60685
2020-07-09,5.65524
2020-07-10,4.89396
2020-07-11,3.31702
2020-07-12,2.66449
2020-07-13,6.06307
2020-07-14,6.11745
2020-07-15,6.82436
2020-07-16,6.52528
2020-07-17,5.87275
2020-07-18,2.99075
2020-07-19,2.96356
2020-07-20,6.17183
2020-07-21,6.09026
2020-07-22,7.64002
2020-07-23,6.2262
2020-07-24,6.14464
2020-07-25,3.39858
2020-07-26,3.04513
2020-07-27,5.98151
2020-07-28,6.36215
2020-07-29,5.70962
2020-07-30,5.57368
2020-07-31,6.0087
2020-08-01,3.69766
2020-08-02,3.45296
2020-08-03,7.15062
2020-08-04,10.90266
2020-08-05,6.25339
2020-08-06,6.74279
2020-08-07,5.00271
2020-08-08,3.12669
2020-08-09,2.69168
2020-08-10,5.24741
2020-08-11,5.11147
2020-08-12,5.38336
2020-08-13,7.01468
2020-08-14,5.41054
2020-08-15,2.80043
2020-08-16,2.50135
2020-08-17,4.05111
2020-08-18,6.2262
2020-08-19,5.73681
2020-08-20,6.2262
2020-08-21,6.55247
2020-08-22,3.07232
2020-08-23,3.39858
2020-08-24,6.2262
2020-08-25,6.09026
2020-08-26,6.06307
2020-08-27,6.60685
2020-08-28,5.16585
2020-08-29,3.01794
2020-08-30,2.80043
2020-08-31,5.62805
2020-09-01,5.764
2020-09-02,5.35617
2020-09-03,5.22022
2020-09-04,5.65524
2020-09-05,3.8336
2020-09-06,2.93637
2020-09-07,5.57368
2020-09-08,6.0087
2020-09-09,7.06905
2020-09-10,6.55247
2020-09-11,5.08428
2020-09-12,3.61609
2020-09-13,2.50135
2020-09-14,6.66122
2020-09-15,7.15062
2020-09-16,6.30777
2020-09-17,6.33496
2020-09-18,6.74279
2020-09-19,4.18705
2020-09-20,3.45296
2020-09-21,6.41653
2020-09-22,6.33496
2020-09-23,6.60685
2020-09-24,6.63404
2020-09-25,5.65524
2020-09-26,3.20826
2020-09-27,3.01794
2020-09-28,5.05709
2020-09-29,4.0783
2020-09-30,2.58292
2020-10-01,2.20228
2020-10-02,2.41979
2020-10-03,3.48015
2020-10-04,2.82762
2020-10-05,5.49211
2020-10-06,6.55247
2020-10-07,6.7156
2020-10-08,6.0087
2020-10-09,3.04513
2020-10-10,2.85481
2020-10-11,3.15388
2020-10-12,6.76998
2020-10-13,6.17183
2020-10-14,6.93311
2020-10-15,7.9119
2020-10-16,5.764
2020-10-17,3.42577
2020-10-18,3.23545
2020-10-19,7.85753
2020-10-20,7.69439
2020-10-21,7.28656
2020-10-22,6.63404
2020-10-23,5.41054
2020-10-24,2.99075
2020-10-25,3.31702
2020-10-26,6.74279
2020-10-27,5.89994
2020-10-28,6.41653
2020-10-29,6.57966
2020-10-30,5.24741
2020-10-31,2.93637
2020-11-01,2.80043
2020-11-02,5.5193
2020-11-03,5.87275
2020-11-04,5.68243
2020-11-05,5.54649
2020-11-06,4.97553
2020-11-07,3.31702
2020-11-08,2.61011
2020-11-09,5.84556
2020-11-10,5.87275
2020-11-11,5.32898
2020-11-12,5.98151
2020-11-13,5.32898
2020-11-14,3.15388
2020-11-15,2.99075
2020-11-16,5.68243
2020-11-17,6.06307
2020-11-18,7.34094
2020-11-19,6.4709
2020-11-20,8.42849
2020-11-21,4.21424
2020-11-22,3.48015
2020-11-23,6.98749
2020-11-24,6.0087
2020-11-25,6.76998
2020-11-26,6.44371
2020-11-27,5.5193
2020-11-28,3.26264
2020-11-29,3.09951
2020-11-30,5.57368
2020-12-01,6.68841
2020-12-02,6.41653
2020-12-03,5.79119
2020-12-04,5.2746
2020-12-05,3.56171
2020-12-06,3.64328
2020-12-07,6.17183
2020-12-08,7.15062
2020-12-09,8.53724
2020-12-10,6.28058
2020-12-11,5.92713
2020-12-12,3.5889
2020-12-13,3.04513
2020-12-14,5.38336
2020-12-15,6.63404
2020-12-16,5.87275
2020-12-17,5.81837
2020-12-18,5.41054
2020-12-19,3.12669
2020-12-20,3.88798
2020-12-21,5.84556
2020-12-22,6.30777
2020-12-23,5.5193
2020-12-24,4.45894
2020-12-25,2.52854
2020-12-26,2.71886
2020-12-27,2.3926
2020-12-28,5.68243
2020-12-29,5.30179
2020-12-30,5.11147
2020-12-31,4.0783
2021-01-01,2.82762
2021-01-02,2.74605
2021-01-03,2.96356
2021-01-04,4.75802
2021-01-05,6.11745
2021-01-06,5.2746
2021-01-07,4.81239
2021-01-08,5.764
2021-01-09,3.18107
2021-01-10,3.09951
2021-01-11,5.57368
2021-01-12,6.11745
2021-01-13,5.35617
2021-01-14,5.5193
2021-01-15,5.764
2021-01-16,3.31702
2021-01-17,2.99075
2021-01-18,5.95432
2021-01-19,5.79119
2021-01-20,6.49809
2021-01-21,6.85154
2021-01-22,6.9603
2021-01-23,3.37139
2021-01-24,3.12669
2021-01-25,7.04187
2021-01-26,6.09026
2021-01-27,5.70962
2021-01-28,5.79119
2021-01-29,5.79119
2021-01-30,3.56171
2021-01-31,3.37139
2021-02-01,5.30179
2021-02-02,6.60685
2021-02-03,5.5193
2021-02-04,5.41054
2021-02-05,5.65524
2021-02-06,3.5889
2021-02-07,3.15388
2021-02-08,5.60087
2021-02-09,5.87275
2021-02-10,4.81239
2021-02-11,2.22947
2021-02-12,2.69168
2021-02-13,2.66449
2021-02-14,3.26264
2021-02-15,6.33496
2021-02-16,6.85154
2021-02-17,6.82436
2021-02-18,6.66122
2021-02-19,5.60087
2021-02-20,2.90918
2021-02-21,3.28983
2021-02-22,6.14464
2021-02-23,6.63404
2021-02-24,6.87873
2021-02-25,6.52528
2021-02-26,5.2746
2021-02-27,3.86079
2021-02-28,2.55573
2021-03-01,3.01794
2021-03-02,5.46492
2021-03-03,5.68243
2021-03-04,6.63404
2021-03-05,5.19303
2021-03-06,3.39858
2021-03-07,2.6373
2021-03-08,5.43773
2021-03-09,5.95432
2021-03-10,5.5193
2021-03-11,4.81239
2021-03-12,5.00271
2021-03-13,3.45296
2021-03-14,2.90918
2021-03-15,5.70962
2021-03-16,5.95432
2021-03-17,6.57966
2021-03-18,5.764
2021-03-19,5.54649
2021-03-20,3.80641
2021-03-21,2.47417
2021-03-22,5.13866
2021-03-23,6.63404
2021-03-24,6.68841
2021-03-25,5.79119
2021-03-26,5.13866
2021-03-27,3.15388
2021-03-28,3.42577
2021-03-29,6.30777
2021-03-30,5.62805
2021-03-31,5.764
2021-04-01,5.35617
2021-04-02,4.54051
2021-04-03,2.33822
2021-04-04,2.33822
2021-04-05,5.79119
2021-04-06,5.62805
2021-04-07,5.68243
2021-04-08,5.65524
2021-04-09,5.5193
2021-04-10,2.85481
2021-04-11,3.04513
2021-04-12,5.95432
2021-04-13,4.92115
2021-04-14,5.70962
2021-04-15,6.03588
2021-04-16,6.2262
2021-04-17,3.3442
2021-04-18,4.10549
2021-04-19,5.22022
2021-04-20,5.84556
2021-04-21,6.7156
2021-04-22,6.2262
2021-04-23,6.98749
2021-04-24,3.48015
2021-04-25,2.99075
2021-04-26,6.76998
2021-04-27,5.73681
2021-04-28,5.87275
2021-04-29,6.06307
2021-04-30,5.32898
2021-05-01,3.23545
2021-05-02,3.18107
2021-05-03,5.92713
2021-05-04,6.57966
2021-05-05,3.80641
2021-05-06,5.08428
2021-05-07,4.92115
2021-05-08,3.15388
2021-05-09,2.71886
2021-05-10,5.24741
2021-05-11,5.70962
2021-05-12,6.74279
2021-05-13,5.95432
2021-05-14,4.97553
2021-05-15,3.61609
2021-05-16,2.6373
2021-05-17,5.22022
2021-05-18,6.30777
2021-05-19,3.48015
2021-05-20,5.68243
2021-05-21,6.06307
2021-05-22,2.90918
2021-05-23,2.96356
2021-05-24,5.92713
2021-05-25,6.0087
2021-05-26,5.764
2021-05-27,5.62805
2021-05-28,5.38336
2021-05-29,3.91517
2021-05-30,3.61609
2021-05-31,5.87275
2021-06-01,5.764
2021-06-02,5.54649
2021-06-03,5.38336
2021-06-04,5.5193
2021-06-05,3.07232
2021-06-06,2.41979
2021-06-07,5.2746
2021-06-08,6.85154
2021-06-09,6.63404
2021-06-10,6.09026
2021-06-11,5.62805
2021-06-12,3.56171
2021-06-13,3.12669
2021-06-14,5.764
2021-06-15,5.38336
2021-06-16,5.62805
2021-06-17,5.35617
2021-06-18,4.94834
2021-06-19,2.55573
2021-06-20,2.66449
2021-06-21,6.03588
2021-06-22,5.5193
2021-06-23,5.60087
2021-06-24,4.86677
2021-06-25,5.89994
2021-06-26,2.31103
2021-06-27,2.17509
2021-06-28,4.89396
2021-06-29,4.86677
2021-06-30,5.24741
2021-07-01,4.15986
2021-07-02,4.81239
2021-07-03,3.09951
2021-07-04,2.93637
2021-07-05,4.83958
2021-07-06,5.81837
2021-07-07,6.11745
2021-07-08,5.764
2021-07-09,4.70364
2021-07-10,2.69168
2021-07-11,2.58292
2021-07-12,5.05709
2021-07-13,5.43773
2021-07-14,4.81239
2021-07-15,5.11147
2021-07-16,4.35019
2021-07-17,2.28384
2021-07-18,2.882
2021-07-19,5.32898
2021-07-20,5.57368
2021-07-21,5.79119
2021-07-22,5.68243
2021-07-23,4.86677
2021-07-24,2.77324
2021-07-25,2.82762
2021-07-26,5.00271
2021-07-27,5.38336
2021-07-28,4.67645
2021-07-29,5.0299
2021-07-30,5.05709
2021-07-31,2.55573
2021-08-01,3.69766
2021-08-02,4.67645
2021-08-03,4.89396
2021-08-04,5.73681
2021-08-05,5.95432
2021-08-06,5.13866
2021-08-07,2.93637
